bodaj	qub	I	2		partykuła wyrażająca przekonanie mówiącego, że skoro spełnienie jego oczekiwań jest nierealne, trzeba je ograniczyć do minimum	Pożycz bodaj sto złotych.
bodaj	qub	I	3		partykuła wyrażająca życzenie lub przekleństwo	Bodaj kark skręcił.
bodajże	qub				zobacz „bodaj I”  w znaczeniu 1	
byle	qub	II	1	a	partykuła nadająca komuś lub czemuś cechę dowolności	Wyszedł pod byle pretekstem.
byle	qub	II	1	b	lub wyrażająca obojętność wyboru	Przenocujemy byle gdzie.
byle	qub	II	2	a	partykuła wyrażająca negatywną ocenę czegoś lub kogoś	Zadawał się z byle kim.
byle	qub	II	2	b	lub – w połączeniu z poprzedzającym „nie” – wyróżniająca kogoś lub coś jako zasługującego na uwagę	Jej brat to nie byle kto.
byle	qub	II	3		partykuła wyrażająca życzenie mówiącego	Byle szybko.
byleby	qub	II			zobacz „byle II”  w znaczeniu 3	
bynajmniej	qub	I			partykuła wzmacniająca przeczenie zawarte w wypowiedzi	Nie twierdzę bynajmniej, że jest to jedyne rozwiązanie.
bądź	qub	II			partykuła występująca po zaimkach pytajnych, nadająca im znaczenie nieokreśloności, wyrażająca obojętność wyboru	Możesz to zrobić kiedy bądź.
chociaż	qub	II			partykuła komunikująca o minimalnym ograniczeniu zakresu czegoś	 Posadź tam chociaż dwa drzewa.
chociażby	qub	II			zobacz „choćby II” 	
choć	qub	II			zobacz „chociaż II” 	
choćby	qub	II	1		zobacz „chociaż II” 	
choćby	qub	II	2		partykuła komunikująca, że wyrażenie, do którego się odnosi, charakteryzuje jeden z możliwych przykładów tego, o czym mowa w zdaniu	Porozmawiajmy choćby o turystyce górskiej.
chyba	qub	I			partykuła wyrażająca przypuszczenie mówiącego, że komunikowany w zdaniu sąd jest prawdziwy	Chyba doszliśmy do porozumienia.
co	qub	V			partykuła wyrażająca sugestię mówiącego, by adresat potwierdził prawdziwość danego sądu lub zgodził się na to, co mówiący zaproponował	Nie poznajesz mnie, co?
coś	qub	II			partykuła charakteryzująca cechę lub zdarzenie w sposób przybliżony, często wyrażająca niepewność lub zdziwienie	On ostatnio coś wychudł.
czy	qub	I			partykuła rozpoczynająca zdanie pytajne lub ekspresywne, mające formę zdania pytajnego	Czy pada deszcz?
czyż	qub	I			partykuła wprowadzająca pytanie retoryczne, zaprzeczająca komunikowanej w nim treści	Czyż można było przyglądać się temu z obojętnością.
czyżby	qub	I			partykuła wprowadzająca pytanie retoryczne, zaprzeczająca komunikowanej w nim treści lub podająca w wątpliwość to, co zostało powiedziane	Czyżby pani miała zamiar wyjechać?
dopiero	qub	I	1		partykuła komunikująca, że coś nastąpiło później, niż można było się spodziewać	Mieszka tu dopiero od stycznia.
dopiero	qub	I	2		partykuła komunikująca, że nikt inny nie zrobił wcześniej tego, o czym mowa	Dopiero ojciec pożyczył jej pieniądze.
dopiero	qub	I	3		partykuła komunikująca, że czegoś lub kogoś w danym czasie jest mniej lub że coś jest mniej intensywne, niż można było się spodziewać	Spłacił dopiero połowę długu.
doprawdy	qub		1		partykuła, za pomocą której mówiący chce podkreślić prawdziwość tego, o czym mówi	Doprawdy nie rozumiem, o co chodzi.
doprawdy	qub		2		partykuła wyrażająca zdziwienie lub niedowierzanie	Zrobił furorę w Paryżu. – Doprawdy?
gdyby	qub	II		a	partykuła wprowadzająca wypowiedzenie wyrażające możliwość podjęcia działania, o którym mowa	A gdybym tak zaprosił ją do kina?
gdyby	qub	II		b	wyrażające prośbę	Gdybyś mogła powtórzyć swój adres.
gdyby	qub	II		c	lub wprowadzająca wypowiedzenie wyrażające pragnienie lub życzenie	Gdyby to mieszkanie było tańsze.
gdybyż	qub				partykuła wprowadzająca wypowiedzenie wyrażające pragnienie lub życzenie	Gdybyż to była prawda.
gdzie	qub	II			partykuła wzmacniająca, uwydatniająca kontrast, nierealność lub niemożliwość czegoś	Gdzie mnie staremu do tańca.
gdzieś	qub	II		a	partykuła nadająca znaczenie przybliżenia określeniom czasu i miejsca	Zjemy coś gdzieś po drodze.
gdzieś	qub	II		b	lub wyrażeniom określającym liczbę, ilość lub miarę	Wrócimy gdzieś za godzinę.
he	qub	I			partykuła wzmacniająca pytanie	Czemu milczysz, he?
hę	qub				partykuła wzmacniająca pytanie	Jak to było, hę?
i	qub	III	1	a	partykuła włączająca do danego zbioru wyróżniony przez nią element	Trzeba i jego zaprosić.
i	qub	III	1	b	lub wprowadzająca w zdanie wyrażenie wtrącone	Obrady, i tak spóźnione, odwlekały się.
i	qub	III	2		partykuła wprowadzająca wypowiedź akceptującą czyjąś wcześniejszą wypowiedź	Idę spać. – I słusznie.
i	qub	III	3	a	partykuła poprzedzająca składnik zdania, który komunikuje o jednym z możliwych zachowań w danej sytuacji	Mogę i sama to naprawić.
i	qub	III	3	b	lub określający minimalny zakres niespełnionych oczekiwań mówiącego	Wychodząc i słowa nie powiedział.
istotnie	qub				partykuła potwierdzająca słuszność tego, co ktoś wcześniej powiedział	
jak	qub	IV	1		partykuła wraz ze słowem „nie” wprowadzająca zdanie, w którym nadawca zaczyna opowiadać o czyimś spontanicznym zachowaniu	Jak nie krzyknie, jak się nie wścieknie...
jak	qub	IV	2		partykuła wraz ze słowem „to” wprowadzająca pytanie, za pomocą którego mówiący wyraża swoje zaskoczenie	Jak to, już czwarta?
jakby	qub	I			partykuła komunikująca, że wyrażony w zdaniu sąd nie odpowiada dosłownie faktycznemu stanowi rzeczy	Wszystko w jego żołądku zaczęło jakby pulsować.
jakoby	qub	II			partykuła komunikująca, że zawarty w zdaniu sąd nie pochodzi od mówiącego i że mówiący wątpi w prawdziwość tego sądu	 Krążą pogłoski o mających jakoby nastąpić zmianach w rządzie.
jakoś	qub	II			partykuła wskazująca na to, że podana charakterystyka dotycząca czasu lub miejsca jest przybliżona	Umówmy się tak jakoś na początku przyszłego tygodnia.
jednak	qub	II			partykuła komunikująca, iż to, o czym mowa w zdaniu, jest niezgodne z przewidywaniami mówiącego	Ta książka była jednak za droga.
jedynie	qub		1		partykuła ograniczająca odniesienie komunikowanego w zdaniu sądu do tych obiektów i stanów rzeczy, które są wymienione	Czuł się dobrze jedynie w domu.
jedynie	qub		2		partykuła komunikująca, że czegoś jest bardzo mało i że mówiący spodziewał się, iż ilość, zakres lub natężenie tego, o czym mowa, będą większe	Mam dla was jedynie po czekoladzie.
jeszcze	qub		1		partykuła komunikująca, że dany stan rzeczy trwał lub trwa dłużej, niż mówiący się tego spodziewał	Dziecko jeszcze śpi.
jeszcze	qub		2		partykuła komunikująca, że coś stało się niedawno lub że od zajścia danego zdarzenia upłynęło niewiele czasu	Jeszcze przed godziną było tu gwarno.
jeszcze	qub		3		partykuła uwydatniająca odległość w czasie lub przestrzeni między danym miejscem bądź momentem a początkiem lub końcem zdarzenia, o którym jest mowa	 Do wyjazdu mamy jeszcze dwa dni.
jeszcze	qub		4		partykuła włączająca do danego zbioru wyróżniony przez nią obiekt	Dzwoniła jeszcze twoja siostra.
jeszcze	qub		5		partykuła podkreślająca, że cecha, o której mowa, przysługuje danemu obiektowi w większym stopniu niż innym wskazanym obiektom i że mówiący nie spodziewał się tego	 Dziś jest jeszcze chłodniej niż wczoraj.
jeszcze	qub		6		partykuła komunikująca, że mówiący ocenia dany przedmiot z punktu widzenia charakteryzowanej cechy jako stosunkowo niezły na tle innych przedmiotów tego samego rodzaju	Wśród tych zwiędłych kwiatów te róże są jeszcze najładniejsze.
jeszcze	qub		7		partykuła zapewniająca adresata, który wątpi w urzeczywistnienie się faktu, o którym jest mowa, że będzie on miał miejsce w przyszłości	Jeszcze się o tym przekonasz.
już	qub		1	a	partykuła komunikująca, że dany stan rzeczy zaczął się lub zakończył wcześniej, niż to przewidywano	Nie mam już pieniędzy.
już	qub		1	b	albo że miał miejsce dawno lub trwa, będzie trwać długo	Mecz trwa już godzinę.
już	qub		2		partykuła uwydatniająca niewielką odległość między czasem wypowiedzi a przewidywanym początkiem lub końcem danego zdarzenia	Do wakacji już tylko miesiąc.
już	qub		3		partykuła komunikująca, że niewiele brakowało, by dany stan rzeczy nastąpił	Już miał się z nami przywitać, ale ktoś go zawołał.
już	qub		4		partykuła komunikująca, że to, co się stało, spełnia oczekiwania mówiącego	To już wystarczy na zaliczenie zajęć.
już	qub		5		partykuła podkreślająca niezgodność czyjegoś zachowania z przyjętą normą	To już wielka przesada.
już	qub		6		partykuła użyta w zdaniu wykrzyknikowym lub rozkazującym: wyrażająca wolę, by zmiana danego stanu rzeczy nastąpiła w tej chwili	Wyłącz to już!
już	qub		7		partykuła użyta w odniesieniu do czasownika w trybie rozkazującym wprowadzająca zdanie, które ma nakłonić adresata do zmiany jego zachowania lub postępowania	Już nie płacz.
lada	qub	II	1	a	partykuła nadająca komuś lub czemuś cechę dowolności	Pod lada pretekstem przynosił do pracy alkohol.
lada	qub	II	1	b	wyrażająca obojętność wyboru	Obywał się lada czym.
lada	qub	II	1	c	wyrażająca negatywną ocenę czegoś lub kogoś	Nie będzie mnie lada kto obrażał.
lada	qub	II	1	d	wyróżniająca kogoś lub coś jako zasługującego na uwagę	To był nie lada sukces.
ledwie	qub	III			zobacz „ledwo III” 	
ledwo	qub	III			partykuła komunikująca, że ilość, zakres lub natężenie czegoś jest bardzo małe	Herbata była ledwo ciepła.
lub	qub	II			partykuła używana między dwoma określeniami ilości lub liczby, komunikująca, że podane wielkości są przybliżone	Spotykali się dwa lub trzy razy w tygodniu.
może	qub		1		partykuła nadająca wypowiedzi odcień przypuszczenia, wahania, osłabienia kategoryczności	Zadzwoń do niej, może już wróciła.
może	qub		2		partykuła poprzedzająca określenie liczby lub ilości czegoś, komunikująca, że jest ono przybliżone	Byłam w Krakowie może pięć razy w życiu.
może	qub		3		partykuła używana w zdaniach wyrażających propozycję, prośbę, radę lub polecenie, świadczy o grzeczności lub uprzejmości mówiącego w stosunku do rozmówcy	Zaczekaj może jeszcze kilka dni.
może	qub		4		partykuła używana wówczas, gdy mówiący nie chce udzielić jednoznacznej odpowiedzi	Zdążysz to zrobić do jutra? - Może.
najmniej	qub	II			partykuła komunikująca, że ilość, liczba lub miara czegoś jest nie mniejsza od wymienionej i że może być większa	Konferencja potrwa najmniej trzy godziny.
najwidoczniej	qub				zobacz „widocznie” 	
najwyżej	qub	II			partykuła komunikująca, że wymieniona w zdaniu wielkość stanowi, według mówiącego, w danym wypadku maksimum możliwości	Ona ma najwyżej dwadzieścia lat.
naprawdę	qub		1		partykuła, za pomocą której mówiący, chcąc przekonać kogoś o słuszności swojego sądu, potwierdza jego prawdziwość	Naprawdę nie wiem.
naprawdę	qub		2		partykuła wyrażająca zdziwienie lub niedowierzanie	Czy ty naprawdę myślisz, że ci uwierzyłam?
naturalnie	qub	I			partykuła komunikująca, że to, o czym jest mowa, nie budzi żadnych wątpliwości	Nie chciał się uczyć i naturalnie nie zdał egzaminu.
nawet	qub		1		partykuła wyrażająca zdziwienie mówiącego wywołane jakąś nietypową lub nieoczekiwaną sytuacją	Nawet chleba nie było.
nawet	qub		2		partykuła wyrażająca obojętność mówiącego wobec czyjegoś wyboru	Możesz polecieć nawet do Australii.
ni	qub	II			partykuła komunikująca, wraz ze słowem „nie” poprzedzającym formę czasownika, że nie ma takiej rzeczy, osoby i sytuacji, do której odnosiłoby się to, o czym jest mowa w zdaniu	Nie dostał za tę pracę ni złotówki.
niby	qub	III	1	a	partykuła wyrażająca dystans mówiącego wobec sądu uważanego za nieprawdziwy	Niby cieszyła się dobrą opinią w swoim środowisku.
niby	qub	III	1	b	lub wobec sądu kontrastującego z innym i dlatego tylko w pewnym zakresie kwestionowanego	Tak go niby lubi, a robi mu przykrości.
niby	qub	III	2		partykuła wyrażająca niedowierzanie mówiącego, a także jego zastrzeżenie lub dezaprobatę wobec czyjegoś postępowania	Za chwilę wychodzimy. – Niby dokąd?
nie	qub	I	1		partykuła występująca przed głównym składnikiem zdania lub równoważnikiem zdania, zmieniająca jego treść na przeciwną	Nie kupiliśmy tego mieszkania.
nie	qub	I	2		partykuła poprzedzająca określony składnik zdania, wykluczając w ten sposób z zakresu treści zdania to, do czego ten składnik się odnosi	Nie z zazdrości to zrobił.
nie	qub	I	3		partykuła negująca wcześniejszy sąd	Jedni lokatorzy sami remontują mieszkania, inni nie.
nie	qub	I	4		partykuła używana w pytaniach, kiedy mówiący liczy – w zależności od znaczenia pytania, jego kontekstu – na odpowiedź twierdzącą lub przeczącą	Nie mylisz się czasem?
nie	qub	I	5		partykuła używana w pytaniach wyrażających jakąś propozycję lub prośbę	Nie poszlibyśmy do kina?
nie	qub	I	6		partykuła poprzedzająca czasownik w zdaniach wykrzyknikowych i pytaniach retorycznych, podkreślając, jak wielu przedmiotów lub stanów rzeczy dotyczy, to o czym mowa	Co się nie najeździła tymi pociągami!
nie	qub	I	7		partykuła używana w pytaniach retorycznych dla podkreślenia, że prawdziwość tego, o czym mowa, jest oczywista	Czyż zdrowie nie jest najważniejsze?
nie	qub	I	8		partykuła używana w pytaniach wyrażających zdziwienie, że nie nastąpiło to, o czym jest mowa	Nie powiedziałeś mi o tym wcześniej?
nie	qub	I	9		partykuła wykluczająca zależność między przedmiotami lub stanami rzeczy wyrażoną w danym zdaniu	Ojciec był nie wyższy od matki.
nie	qub	I	10		partykuła podkreślająca, że dana osoba, dany obiekt lub stan rzeczy są pozbawione jakiejś cechy lub przysługuje im ona w małym stopniu	Egzaminy zdawał nie najlepiej.
nie	qub	I	11		partykuła używana, aby odpowiedzieć na pytanie rozstrzygnięcia	Kupiłeś sobie garnitur? – Nie.
nie	qub	I	12		partykuła używana, aby odrzucić sąd rozmówcy lub jego propozycję albo żeby odmówić spełnienia jego prośby lub polecenia	Zostań u nas na kolacji! – Nie, dziś nie mogę.
nie	qub	I	13		partykuła poprzedzająca korektę lub autokorektę tego, co zostało powiedziane wcześniej	Wrócę w niedzielę, nie, w poniedziałek.
nie	qub	I	14		partykuła używana z intonacją pytającą na końcu zdania twierdzącego, kiedy mówiący oczekuje aprobaty tego, co powiedział	Cieszysz się z tego, nie?
nie	qub	I	15	a	partykuła używana jako wypowiedzenie wykrzyknikowe dla wyrażenia emocji, zwykle na widok czegoś niespodziewanego	Nie! Przecież to mój kumpel ze szkoły!
nie	qub	I	15	b	lub w celu powstrzymania kogoś przed jakimś działaniem	Nie! Zostaw ją w spokoju.
niech	qub			a	partykuła tworząca formy opisowe trybu rozkazującego, występująca na początku zdań i równoważników zdań wyrażających: prośbę, polecenie, życzenie	Niech pani siądzie.
niech	qub			b	warunek	Niech dostanie pieniądze, zaraz je wyda.
niech	qub			c	niemożliwość czegoś	Niech kto tak pięknie zagra jak ona.
niech	qub			d	niechętne przyzwolenie na coś, obojętność	Zostanę tam jeszcze ze dwa dni. – Niech ci będzie.
niech	qub			e	możliwość skutku, który nie odstrasza od powziętego zamiaru	Niech mnie zwolnią, nie zmienię swojego zdania.
niech	qub			f	sprzeciw wobec czegoś lub pogróżkę, groźbę	Niech ja złapię tego smarkacza.
niechaj	qub				zobacz „niech” 	
niechby	qub				partykuła wprowadzająca zdania i równoważniki zdań wyrażające życzenie	Niechby się wreszcie pogodzili.
niechże	qub				zobacz „niech” 	
niejako	qub				partykuła komunikująca, że wyrażony w zdaniu sąd nie odpowiada dosłownie faktycznemu stanowi rzeczy, ale jest mu bliski	Niejako podświadomie pozwalała mu o wszystkim decydować.
niemal	qub				partykuła komunikująca, iż to, o czym mowa, nie zostało osiągnięte i że niewiele brakuje, aby się urzeczywistniło	Skarpety były niemal w strzępach.
niemalże	qub				zobacz „niemal” 	
nieomal	qub				zobacz „niemal” 	
niespełna	qub				partykuła dodawana do wyrażenia określającego ilość, liczbę, miarę, informująca, iż czegoś jest niewiele mniej, niż komunikuje to dane wyrażenie	Miał niespełna pięćdziesiąt lat.
niestety	qub				partykuła, za pomocą której mówiący wyraża żal, iż dana sytuacja ma miejsce, i zarazem pragnienie, żeby było inaczej	Niestety, nie mogę ci pomóc.
no	qub	I	1	a	partykuła występująca w wypowiedzeniach wyrażających polecenie lub rozkaz	Siedź no spokojnie.
no	qub	I	1	b	albo naleganie	Porozmawiał no byś z nią!
no	qub	I	1	c	albo groźbę lub ostrzeżenie	Niech no ja go spotkam!
no	qub	I	2	a	partykuła występująca na początku kolejnego wypowiedzenia, wyraźnie nawiązującego do poprzedniego	Chciał jak najlepiej, no ale mu nie wyszło.
no	qub	I	2	b	albo na początku repliki w dialogu	Wpadniesz do mnie na chwilę? - No dobrze.
no	qub	I	3		partykuła poprzedzająca słowo wprowadzające pytanie	No co ja mam mu odpowiedzieć?
no	qub	I	4		partykuła występująca na początku wypowiedzenia odnoszącego się bezpośrednio do danej sytuacji	No czemu się tak krzywisz?
oby	qub				partykuła wyrażająca życzenie, aby spełniło się to, czego mówiący pragnie	Obyś żył długo i szczęśliwie.
oczywiście	qub	I			partykuła komunikująca, że to, o czym jest mowa, nie budzi żadnych wątpliwości	To było oczywiście nieporozumienie.
około	qub	II			partykuła dodawana do określenia liczby, ilości lub miary, komunikująca, że jest ono przybliżone	Ceny papieru wzrosły około trzykrotnie.
omal	qub	II			partykuła nadająca wyrazowi, który poprzedza, odcień przybliżenia, mniejszej dokładności	Naiwność granicząca omalże z głupotą.
omalże	qub	II			zobacz „omal II” 	
ot	qub				partykuła poprzedzająca składnik zdania odnoszący się do czegoś, co mówiący uważa za zwyczajne lub nieistotne	Odwiedziłem wczoraj dziadka, ot tak sobie, żeby pogadać.
oto	qub	II	1		partykuła wzmacniająca funkcję wskazującą sąsiadującego zaimka	Tyle oto są warte wasze obietnice.
oto	qub	II	2		partykuła otwierająca nową wypowiedź, która stanowi podsumowanie wcześniejszej lub komentarz do niej	Dziesięć płyt – oto jej dorobek piosenkarski.
oto	qub	II	3		partykuła wprowadzająca wypowiedzenie odsyłające do sytuacji i nawiązujące do poprzedzającego kontekstu	Zbliżaliśmy się do miasta, bo oto widać już było światła.
otóż	qub				partykuła wprowadzająca nową wypowiedź, która nawiązuje do wcześniejszej i jest komentarzem do niej lub wyjaśnieniem zawartych w niej informacji	Zgadza się pan z moją oceną? – Otóż nie, sądzę, że jest niesprawiedliwa.
owszem	qub		1	a	partykuła potwierdzająca to, co powiedział rozmówca, lub wyrażająca twierdzącą odpowiedź na pytanie	Smakuje ci? – Owszem.
owszem	qub		1	b	używana też jako wtrącenie	Nikt mu nie szkodził, owszem, szli mu na rękę.
owszem	qub		2		partykuła kwestionująca sąd rozmówcy	Ona już nie wróci. – Owszem, wróci.
pewnie	qub	I			partykuła komunikująca, że mówiący uważa coś za bardzo prawdopodobne	Pewnie dobrze zarobię.
ponad	qub	II			partykuła komunikująca, że czegoś jest więcej, niż informuje wyraz, do którego została dodana	Nie widzieli się ponad rok.
ponadto	qub				partykuła nawiązująca do poprzedniego kontekstu i wprowadzająca nową informację na omawiany już temat	Była zdolna i pracowita, a ponadto bardzo miła.
poniekąd	qub				partykuła komunikująca, że wyrażony w zdaniu sąd nie odpowiada dosłownie faktycznemu stanowi rzeczy, ale jest mu w znacznym stopniu bliski	Reprodukcje zastępują poniekąd oryginały.
praktycznie	qub				partykuła używana jako składnik wyrażeń „praktycznie biorąc”, „praktycznie rzecz biorąc”, komunikująca, że wyrażony w zdaniu sąd jest w znacznym stopniu bliski stanowi rzeczywistemu	Praktycznie biorąc, sprawa była dość prosta.
prawda	qub	III			partykuła używana jako wtrącenie, sygnalizująca, że mówiący zastanawia się nad dalszym ciągiem swojej wypowiedzi	Trzeba wreszcie znaleźć, prawda, rozwiązanie, prawda, tej kwestii.
prawie	qub				partykuła komunikująca, iż to, o czym mowa, nie zostało osiągnięte i że niewiele brakuje, aby się urzeczywistniło	Była prawie mężatką.
przecież	qub				partykuła wprowadzająca sąd polemiczny w stosunku do wypowiedzianego wcześniej, podkreślająca, że jego prawdziwość jest dla mówiącego oczywista	Pana przecież obowiązuje jakaś etyka zawodowa.
przeciwnie	qub	II			partykuła wprowadzająca sąd polemiczny lub zaprzeczający w stosunku do wypowiedzianego wcześniej	Oni nie wyjeżdżają, przeciwnie, dopiero niedawno wrócili.
przeszło	qub				partykuła komunikująca, że czegoś jest więcej, niż informuje wyraz, do którego została dodana	Rozmawiali przeszło godzinę.
przynajmniej	qub			a	partykuła wyznaczająca minimalny, możliwy do zaakceptowania przez mówiącego zakres czegoś	Wypij przynajmniej mleko.
przynajmniej	qub			b	lub komunikująca, że ilość lub miara czegoś jest nie mniejsza od wymienionej i że może być większa	Wyjechała przynajmniej na rok.
raczej	qub		1		partykuła wyrażająca wahanie mówiącego co do wyboru odpowiedniego sądu i zarazem skłonność, by uznać sąd komunikowany w zdaniu	Recenzje były raczej przychylne.
raczej	qub		2	a	partykuła wyrażająca przekonanie mówiącego, że jedna z dwóch możliwości jest bardziej prawdopodobna w porównaniu z drugą	Szeptał raczej, niż mówił.
raczej	qub		2	b	lub że dane zachowanie uważa on za bardziej właściwe	Raczej trzymaj się od niej z daleka.
raczej	qub		3		partykuła używana w spontanicznych wypowiedziach mówionych w celu unieważnienia wcześniejszych słów i zastąpienia ich nowymi, charakteryzującymi lepiej dany fakt	To jest granatowe, czarne raczej.
również	qub				partykuła włączająca do większego zbioru wyróżniony przez nią element i komunikująca, że można o nim powiedzieć to samo co o pozostałych elementach tego zbioru	Jest surowy dla wszystkich, również dla siebie.
skądinąd	qub	I			partykuła używana w wyrażeniu wtrąconym, nawiązującym do wcześniejszej wypowiedzi i uzupełniającym je nową, zwykle mniej istotną informacją	Człowiek ten, skądinąd postępowy, był przeciwnikiem równouprawnienia kobiet.
szczególnie	qub				partykuła, za pomocą której mówiący wyróżnia określony obiekt lub stan rzeczy, stwierdzając, że to, co jest powiedziane w zdaniu, w większym stopniu dotyczy tego obiektu lub stanu rzeczy niż innych	Było zimno, szczególnie rano.
tak	qub	I	1		partykuła wyrażająca twierdzącą odpowiedź na pytanie	Czy lubi pani słodycze? Tak.
tak	qub	I	2		partykuła wyrażająca aprobatę	Wyrzucisz śmiecie? Tak.
tak	qub	I	3		partykuła wyrażająca oczekiwanie mówiącego, że adresat potwierdzi jego przypuszczenie	Napiłbyś się czegoś, tak?
tak	qub	I	4		partykuła poprzedzająca określenie ilości lub miary, rzadziej czasu	Spotkajmy się tak o piątej.
tam	qub	II			partykuła o charakterze ekspresywnym, zwykle podkreślająca obojętność mówiącego wobec obiektów lub zdarzeń, o których mowa	Ma tam jakieś zasługi.
też	qub		1		partykuła włączająca do większego zbioru wyróżniony przez nią element i komunikująca, że można o nim powiedzieć to samo co o pozostałych elementach	Czy ty też o tym wiedziałeś?
też	qub		2		partykuła występująca w zdaniu nawiązującym do poprzedniego i podkreślająca, że mowa jest o tych samych przedmiotach lub faktach, których dotyczyło wcześniejsze zdanie	Liczyłam, że dostanie nagrodę. Tak też się stało.
też	qub		3		partykuła występująca bezpośrednio przed ostatnim członem wyliczenia, sygnalizując jego zamknięcie	Nie wiem, czy dobrze usłyszałam, czy też nie.
też	qub		4		partykuła wprowadzająca wypowiedź wyrażającą negatywny stosunek mówiącego do osoby, przedmiotu lub faktu, których dotyczy	Też masz zachcianki!
to	qub	III		a	partykuła dodawana do wyrazów, które nadawca chce w szczególny sposób wyróżnić	Kogo to ja widzę?
to	qub	III		b	lub oddzielająca temat wypowiedzi od reszty zdania	Teraz to idź spać.
toż	qub				partykuła nawiązująca do jakiejś sytuacji lub do czyjejś wypowiedzi, wprowadzająca sąd polemiczny	Sto tysięcy? Toż to majątek.
trochę	qub	II			partykuła komunikująca o niewielkim stopniu nasilenia cechy	To trochę naiwność.
tu	qub	II	1		partykuła używana z reguły w rozmowach telefonicznych, wprowadzająca wyrażenie, za pomocą którego mówiący przedstawia się	Dzień dobry, tu Ania.
tu	qub	II	2		partykula o charakterze ekspresywnym, wyrażająca najczęściej zniecierpliwienie, a nawet złość	Ty mi tu nie płacz!
tuż	qub			a	partykuła komunikująca o bardzo małej odległości między dwoma miejscami	Ojciec mieszka tuż obok.
tuż	qub			b	lub komunikująca, że między dwoma zdarzeniami upłynęło bardzo mało czasu	Zachorowała tuż po maturze.
tylko	qub	I	1		partykuła ograniczająca odniesienie komunikowanego w zdaniu sądu do tych obiektów i stanów rzeczy, które są wymienione	Nosi tylko dżinsy.
tylko	qub	I	2		partykuła komunikująca, że czegoś jest bardzo mało i że mówiący spodziewał się, iż ilość, zakres lub natężenie tego, o czym mowa, będą większe	Uczyła się angielskiego tylko rok.
tylko	qub	I	3		partykuła komunikująca, że mówiący ogranicza swoją prośbę lub życzenie do minimum	Oby jutro tylko nie padało.
tylko	qub	I	4		partykuła wprowadzająca zastrzeżenie lub dodatkowy komentarz mówiącego do wyrażonej wcześniej zgody na coś	Tylko bez żartów.
tylko	qub	I	5		partykuła używana w zdaniach wyrażających groźbę	Spróbuj tylko tam pójść.
tymczasem	qub	I		a	partykuła przyłączająca zdanie o treści przeciwstawnej w stosunku do poprzedzającego kontekstu	Zdążył wsiąść do pociągu, tymczasem kolega został na peronie.
tymczasem	qub	I		b	lub przyłączajaca zdanie o treści niezgodnej z tym, co można wywnioskować z poprzedzającego kontekstu	Zapowiadali słońce, tymczasem padał deszcz.
