alternatywny	alternatywa
umięśniony	mięsień
linearny	linia
jednobarwny	barwa
złodziejski	złodziejstwo
fałszywy	fałsz
ułudny	ułuda
piaszczysty	piasek
wyboisty	wybój
pensjonarski	pensjonarka
rosisty	rosa
słotny	słota
szczęśliwy	szczęście
idiotyczny	idiota
zbrodniczy	zbrodnia
zbrodniczy	zbrodnia
barwny	barwa
żałobny	żałoba
zaszczytny	zaszczyt
paprykowy	papryka
zrezygnowany	zrezygnowanie
kilkuosobowy	osoba
kilkumetrowy	metr
funkcyjny	funkcja
funkcyjny	funkcja
hydrofobowy	hydrofob
mniejszościowy	mniejszość
rówieśniczy	rówieśnik
trzymetrowy	metr
metrowy	metr
skalisty	skała
górzysty	góry
śnieżysty	śnieg
śnieżny	śnieg
śnieżysty	śnieg
wstrętny	wstręt
wstrętny	wstręt
wstrętny	wstręt
debiutancki	debiutant
dwuwarstwowy	warstwa
dwuwarstwowy	warstwa
gliniasty	glina
próchniczy	próchnica
próchniczny	próchnica
wieśniacki	wieśniak
torfiasty	torf
wielkogłowy	głowa
bagienny	bagno
bagnisty	bagno
górski	góry
górski	góry
nizinny	nizina
nizinny	nizina
pofałdowany	fałda
utrapiony	utrapienie
utrapiony	utrapienie
uroczy	urok
tępogłowy	głowa
szczeniacki	szczeniak
dziecinny	dziecko
szczeniacki	szczeniak
sprytny	spryt
szatański	szatan
inteligentny	inteligencja
szarlatański	szarlatan
seksowny	seks
suczy	suka
sobaczy	sobaka
równinny	równina
stepowy	step
stepowy	step
wyżynny	wyżyna
wyżynny	wyżyna
czarnorynkowy	czarny rynek
estetyczny	estetyka
kaloryczny	kaloria
kulturalny	kultura
pogodny	pogoda
progowy	próg
smakowy	smak
szacunkowy	szacunek
seksistowski	seksizm
seksistowski	seksizm
zerowy	zero
rozpaczny	rozpacz
rozpaczny	rozpacz
rozpaczliwy	rozpacz
desperacki	desperacja
desperacki	desperacja
dumny	duma
pustogłowy	głowa
dumny	duma
patentowany	patent
oszczerczy	oszczerstwo
brzemienny	brzemię
brzemienny	brzemię
błękitnooki	oko
ciemnooki	oko
czarnobrewy	brew
czarnooki	oko
długonogi	noga
jasnooki	oczy
niebieskooki	oko
złotowłosy	włosy
płowowłosy	włosy
skośnooki	oko
wielkooki	oko
anegdotyczny	anegdota
dysonansowy	dysonans
farsowy	farsa
farsowy	farsa
paranoiczny	paranoja
katastroficzny	katastrofizm
modelowy	model
modelowy	model
połyskliwy	połysk
wełnisty	wełna
piersiasty	pierś
piersiasty	piersi
bajerancki	bajer
cyniczny	cynizm
cyniczny	cynizm
fantastyczny	fantazja
fartowny	fart
fartowny	fart
ignorancki	ignorancja
ignorancki	ignorancja
kiczowaty	kicz
mglisty	mgła
mgławicowy	mgławica
szałowy	szał
urodny	uroda
niesławny	niesława
niesławny	niesława
groteskowy	groteska
hałaśliwy	hałas
intelektualistyczny	intelektualizm
krotochwilny	krotochwila
luzacki	luz
megalomański	megalomania
melancholiczny	melancholia
melancholijny	melancholia
melancholijny	melancholia
melancholiczny	melancholia
melancholiczny	melancholia
męski	mężczyzna
gustowny	gust
perwersyjny	perwersja
perwersyjny	perwersja
powabny	powab
powabny	powab
pretensjonalny	pretensja
pretensjonalny	pretensja
pretensjonalny	pretensja
gniewny	gniew
ryzykancki	ryzyko
sadystyczny	sadyzm
sadystyczny	sadyzm
manieryczny	maniera
manieryczny	maniera
jednozdaniowy	zdanie
jarmarczny	jarmark
intrygancki	intrygant
liberalny	liberalizm
idylliczny	idylla
felerny	feler
partnerski	partnerstwo
donosicielski	donosiciel
czarowny	czar
burżujski	burżuj
bluźnierczy	bluźnierstwo
białoskóry	skóra
urokliwy	urok
urokliwy	urok
wstydliwy	wstyd
zadżumiony	dżuma
tysięczny	tysiąc
kilkutysięczny	tysiąc
obrzydliwy	obrzydzenie
destrukcyjny	destrukcja
intencjonalny	intencja
prewencyjny	prewencja
profilaktyczny	profilaktyka
czubaty	czub
czubaty	czub
aromatyczny	aromat
nietaktowny	nietakt
dwunogi	noga
dwunożny	noga
futrzasty	futro
hermafrodytyczny	hermafrodytyzm
humanoidalny	humanoid
wielogłowy	głowa
hegemonistyczny	hegemonia
hegemoniczny	hegemonia
horyzontalny	horyzont
cętkowany	cętka
plamisty	plama
niebolesny	ból
pręgowany	pręga
łuskowaty	łuska
relaksowy	relaks
uprzywilejowany	przywilej
wyjściowy	wyjście
kilkudniowy	dzień
kilkumiesięczny	miesiąc
czteromiesięczny	miesiąc
dwumiesięczny	miesiąc
dziesięciomiesięczny	miesiąc
kilkuletni	lata
dwumetrowy	metr
treściowy	treść
rodowodowy	rodowód
dziuplasty	dziupla
gałęziasty	gałąź
gałęzisty	gałąź
grzywiasty	grzywa
kolczasty	kolec
paromiesięczny	miesiąc
godzinny	godzina
jednogodzinny	godzina
parodniowy	dzień
dwuletni	lata
paroletni	lata
pięcioletni	lata
czteroletni	lata
sześcioletni	lata
siedmioletni	lata
ośmioletni	lata
dziewięcioletni	lata
ośmiomiesięczny	miesiąc
trzymiesięczny	miesiąc
pięciomiesięczny	miesiąc
siedmiomiesięczny	miesiąc
dziewięciomiesięczny	miesiąc
dwudniowy	dzień
sześciomiesięczny	miesiąc
dziesięcioletni	lata
krótkowzroczny	wzrok
mgławy	mgła
zezowaty	zez
zezowaty	zez
kilkunastoletni	lata
parunastoletni	lata
kilkudziesięcioletni	lata
kilkunastominutowy	minuta
kilkumiesięczny	miesiąc
paromiesięczny	miesiąc
kilkunastomiesięczny	miesiąc
astmatyczny	astma
objawowy	objaw
bezżenny	żona
depresyjny	depresja
letargiczny	letarg
maniakalny	mania
psychotyczny	psychoza
brodaty	broda
długobrody	broda
osiemdziesięcioletni	lata
siedemdziesięcioletni	lata
sklerotyczny	skleroza
zreumatyzowany	reumatyzm
zreumatyzowany	reumatyzm
aksjomatyczny	aksjomat
kilkunastotygodniowy	tydzień
parunastotygodniowy	tydzień
kilkutygodniowy	tydzień
parotygodniowy	tydzień
tygodniowy	tydzień
jednotygodniowy	tydzień
kilkunastodniowy	dzień
parunastodniowy	dzień
kilkudziesięciodniowy	dzień
kilkudziesięciotygodniowy	tydzień
siedmiodniowy	dzień
mimetyczny	mimetyzm
rozsądkowy	rozsądek
spiskowy	spisek
sytuacyjny	sytuacja
kierowy	kier
kierowy	kier
pikowy	pik
pikowy	pik
immunosupresyjny	immunosupresja
kolektywistyczny	kolektywizm
proletariacki	proletariat
sarmacki	Sarmata
ochotniczy	ochotnik
dwuskrzydłowy	skrzydło
tarasowy	taras
wahadłowy	wahadło
zamczysty	zamek
parodziesięciodniowy	dzień
parodziesięcioletni	lata
parodziesięciotygodniowy	tydzień
kilkutysięczny	tysiąc
stroficzny	strofa
rymowy	rym
pasowy	pas
pasowy	pas
czteroczęściowy	część
chronologiczny	chronologia
zawiasowy	zawias
balladowy	ballada
balladowy	ballada
wizyjny	wizja
większościowy	większość
sensoryczny	sensor
wspomnieniowy	wspomnienie
retrospektywny	retrospektywa
retrospektywny	retrospekcja
redundantny	redundancja
modularny	moduł
dwustopniowy	stopień
etapowy	etap
dwustopniowy	stopień
inercyjny	inercja
kołowy	koło
pierścieniowaty	pierścień ciała
prostokątny	kąt prosty
fazowy	faza
fazowy	faza
interferencyjny	interferencja
metryczny	metryka
metryczny	metrum
szczelinowaty	szczelina
barczysty	bark
brzuchaty	brzuch
krzywonogi	noga
pleczysty	plecy
szarooki	oko
żonaty	żona
bladolicy	lico
ciemnolicy	lico
czarnobrody	broda
dwudziestopięcioletni	lata
długonosy	nos
długowłosy	włosy
jednonogi	noga
jednoręki	ręka
rudobrody	broda
siwobrody	broda
śniadolicy	lico
żylasty	żyła
żylasty	żyła
mnisi	mnich
mniszy	mnich
pokutniczy	pokutnik
centymetrowy	centymetr
dwucalowy	cal
półmetrowy	metr
półmetrowy	pół
wielometrowy	metr
całodzienny	dzień
całodniowy	dzień
dwuminutowy	minuta
dziesięciominutowy	minuta
pięciominutowy	minuta
piętnastominutowy	minuta
trzyminutowy	minuta
asekuracyjny	asekuracja
samarytański	samarytanin
bilionowy	bilion
bilionowy	bilion
miliardowy	miliard
miliardowy	miliard
peryferyjny	peryferie
peryferyczny	peryferie
ażurowy	ażur
belkowy	belka
ambiwalentny	ambiwalencja
kumoterski	kumoterstwo
cudzoziemski	cudzoziemiec
pancerny	pancerz
pancerny	pancerz
pancerny	pancerz
rebeliancki	rebeliant
dalekowzroczny	dalekowzroczność
finezyjny	finezja
ogólnikowy	ogólnik
oporny	opór
perspektywiczny	perspektywa
pragmatyczny	pragmatyka
pruderyjny	pruderia
szykowny	szyk
szykowny	szyk
pomysłowy	pomysł
amortyzacyjny	amortyzacja
hiperboliczny	hiperbola
falowy	fala
terminowy	termin
terminowy	termin
benedyktyński	benedyktyn
pożarniczy	pożarnictwo
artretyczny	artretyzm
artretyczny	artretyzm
medialny	media
pazurzasty	pazur
trójpalczasty	palec
szpotawy	szpotawość
poetycki	poezja
sękaty	sęk
szponiasty	szpon
węzłowaty	węzeł
włochaty	włos
włochaty	włos
włochaty	włosek
półkilogramowy	kilogram
dwutonowy	tona
tarasowaty	taras
huczny	huk
iluzoryczny	iluzja
kilkustopniowy	stopień
sinobrody	broda
sofistyczny	sofizmat
wielokilometrowy	kilometr
schizofreniczny	schizofrenia
skrótowy	skrót
minimalistyczny	minimalizm
kunsztowny	kunszt
schizofreniczny	schizofrenia
narkotyczny	narkotyk
bezwymiarowy	wymiar
czworościenny	czworościan
parzysty	para
rekordowy	rekord
rekordowy	rekord
demagogiczny	demagogia
demagogiczny	demagogia
emocjonalny	emocja
destruktywny	destrukcja
erudycyjny	erudycja
realistyczny	realizm
niekonsekwentny	niekonsekwencja
prostopadłościenny	prostopadłościan
żołędziowy	żołądź
żołędziowy	żołądź
eklektyczny	eklektyzm
bałaganiarski	bałaganiarz
ekwilibrystyczny	ekwilibrystyka
humorystyczny	humor
manifestacyjny	manifestacja
parodystyczny	parodia
kleszczowy	kleszcze
pęcherzykowaty	pęcherzyk
wirusowy	wirus
uzdrowicielski	uzdrowiciel
matczyny	matka
ojcowski	ojciec
altruistyczny	altruizm
oblubieńczy	oblubienica
oblubieńczy	oblubieniec
dwuczłonowy	człon
dwuwyrazowy	wyraz
jednoczłonowy	człon
jednowyrazowy	wyraz
szumny	szum
wielowyrazowy	wyraz
gwiaździsty	gwiazda
gwieździsty	gwiazda
gwiaździsty	gwiazda
gwieździsty	gwiazda
etykietalny	etykieta
kubiczny	kubik
awersyjny	awersja
idiosynkratyczny	idiosynkrazja
groszowy	grosz
skandaliczny	skandal
utopijny	utopia
dystroficzny	dystrofia
dwuizbowy	izba
jednoizbowy	izba
dwusylabowy	sylaba
eufemistyczny	eufemizm
eufemiczny	eufemizm
jednosylabowy	sylaba
pieszczotliwy	pieszczota
losowy	los
losowy	los
topowy	top
wieloosobowy	osoba
czterolistny	liść
trójlistny	liść
obiegowy	obieg
samowolny	samowola
chóralny	chór
cygański	cygan
neurasteniczny	neurastenia
polifoniczny	polifonia
barwisty	barwa
ofiarniczy	ofiarnik
ceremonialny	ceremonialność
goryczkowy	goryczka
fałdzisty	fałda
krzesełkowy	krzesełko
koronkowy	koronka
drobnoziarnisty	ziarno
koturnowy	koturn
wielowarstwowy	warstwa
kamuflażowy	kamuflaż
krótkowłosy	włosy
krótkowłosy	włos
długowłosy	włos
dewocyjny	dewocja
skrzydlaty	skrzydło
łaciaty	łata
łaciaty	łata
dziurawy	dziura
dziurawy	dziura
eliptyczny	elipsa
kopulasty	kopuła
kopułowy	kopuła
ostrołukowy	ostrołuk
żebrowy	żebro
bufiasty	bufa
kraciasty	krata
pasiasty	pas
mądrościowy	mądrość
odręczny	ręka
polemiczny	polemika
konformistyczny	konformizm
oportunistyczny	oportunizm
wielkonakładowy	nakład
wysokonakładowy	nakład
czarnoskrzydły	skrzydło
staropanieński	stara panna
asekurancki	asekurant
libertyński	libertynizm
narcystyczny	narcyzm
narcystyczny	narcyzm
nietolerancyjny	nietolerancja
nietolerancyjny	nietolerancja
jednowątkowy	wątek
gnostyczny	gnostycyzm
idealistyczny	idealizm
idealistyczny	idealizm
materialistyczny	materializm
metafizyczny	metafizyka
scholastyczny	scholastyka
synkretyczny	synkretyzm
uniwersalistyczny	uniwersalizm
utylitarystyczny	utylitaryzm
troskliwy	troska
troskliwy	troska
grudkowaty	grudka
wielotonowy	ton
czterotomowy	tom
instruktażowy	instruktaż
niskonakładowy	nakład
obcojęzyczny	język
obrazkowy	obrazek
ikoniczny	ikona
odcinkowy	odcinek
dokumentalny	dokument
podróżniczy	podróż
przygodowy	przygoda
fabularny	fabuła
teleadresowy	telefon
teleadresowy	adres
trzytomowy	tom
wielotomowy	tom
niemocny	niemoc
potężny	potęga
próżny	próżność
skacowany	kac
stary	starość
zaśniedziały	śniedź
swarliwy	swary
zrozpaczony	rozpacz
zrozpaczony	rozpacz
głodny	głód
chwalebny	chwała
trędowaty	trąd
złotowy	złoty
gardłowy	gardło
sprzedażny	sprzedaż
energiczny	energia
dynamiczny	dynamika
chwacki	chwat
milowy	mila
rytmiczny	rytm
rytmiczny	rytm
pośpieszny	pośpiech
pospieszny	pośpiech
rosyjskojęzyczny	język
obrachunkowy	obrachunek
korelacyjny	korelacja
antynomiczny	antynomia
łobuzerski	łobuzerstwo
fasadowy	fasadowość
instrukcyjny	instrukcja
moralistyczny	moralistyka
moralizatorski	moralizatorstwo
kaznodziejski	kaznodziejstwo
mentorski	mentorstwo
konwulsyjny	konwulsja
jednoaspektowy	aspekt
chutliwy	chuć
pożądliwy	pożądanie
kabotyński	kabotynizm
kabotyński	kabotyństwo
krwawy	krew
kwietny	kwiat
kwietny	kwiat
kwiecisty	kwiat
kwiecisty	kwiat
monumentalny	monumentalizm
mroczny	mrok
kształtny	kształtność
nostalgiczny	nostalgia
obsesyjny	obsesja
paniczny	panika
trzyczęściowy	część
puchaty	puch
robaczywy	robak
rozkoszny	rozkosz
zabobonny	zabobonność
zaściankowy	zaścianek
gwarny	gwar
zgiełkliwy	zgiełk
hektarowy	hektar
dwuprzęsłowy	przęsło
długolistny	liść
jednoprzęsłowy	przęsło
okrągłolistny	liść
zakalcowaty	zakalec
profilowy	profil
profilowy	profil
dwukołowy	koło
dwuosiowy	oś
jednoręczny	ręka
przyszłoroczny	rok
jednostopniowy	stopień
jednostopniowy	stopień
jednostopniowy	stopień
afirmatywny	afirmacja
ludzki	ludzie
bębnowy	bęben
rakowaty	rak
słupkowy	słupek
tarczowy	tarcza
cierniowy	cierń
kolizyjny	kolizja
ugodowy	ugoda
kompromisowy	kompromis
multimedialny	multimedia
kolankowy	kolanko
nieprzenikliwy	nieprzenikliwość
wielorzędowy	rząd
charyzmatyczny	charyzma
charyzmatyczny	charyzma
długoręki	ręka
mityczny	mit
nietuzinkowy	nietuzinkowość
pełnokrwisty	pełna krew
uskrzydlony	skrzydło
motorowy	motor
liryczny	liryka
sylabotoniczny	sylabotonizm
bąbelkowy	bąbelek
półlitrowy	litr
czerwienny	czerwień
jednoimienny	imię
jednoimienny	imię
błazeński	błazeństwo
konspiracyjny	konspiracja
bezwodny	woda
kamienisty	kamień
lesisty	las
maratoński	maraton
nadrzeczny	nadrzecze
przybrzeżny	przybrzeże
trawiasty	trawa
trzystopniowy	stopień
trzystopniowy	stopień
pięciostopniowy	stopień
sześciostopniowy	stopień
pięciostopniowy	stopień
sześciostopniowy	stopień
konserwowy	konserwa
ochotny	ochota
jednonasienny	nasienie
obrotowy	obrót
ognisty	ogień
filcowaty	filc
kutnerowaty	kutner
omszały	mech
omszony	mech
owłosiony	włos
owłosiony	włos
zębaty	ząb
pienisty	piana
wysokoprocentowy	procent
guzkowaty	guzek
herbowy	herb
kolczysty	kolec
dwubiegunowy	biegun
dwubiegunowy	biegun
jednobiegunowy	biegun
kroplisty	kropla
nawalny	nawał
seryjny	seria
choinkowy	choinka
pięciogwiazdkowy	gwiazdka
przeświadczony	przeświadczenie
uczony	uczoność
długodzioby	dziób
wąskolistny	liść
ustrojowy	ustrój
łobuzerski	łobuzerstwo
błogi	błogość
cwaniacki	cwaniactwo
ironiczny	ironia
kokieteryjny	kokieteria
lubieżny	lubieżność
marzycielski	marzycielstwo
marzycielski	marzycielstwo
obleśny	obleśność
obleśny	obleśność
przekorny	przekora
przekorny	przekora
przekorny	przekora
psotny	psota
szyderczy	szyderstwo
czterocylindrowy	cylinder
dwucylindrowy	cylinder
jednocylindrowy	cylinder
litrowy	litr
wysokoobrotowy	obrót
szybkoobrotowy	obrót
czworonogi	noga
czworonożny	noga
długouchy	ucho
ofiarny	ofiara
ofiarny	ofiara
oddany	oddanie
parzystokopytny	parzystokopytne
szybkonogi	noga
zgrzytliwy	zgrzyt
brzękliwy	brzęk
charkotliwy	charkot
chichotliwy	chichot
chrypliwy	chrypa
histeryczny	histeria
jazgotliwy	jazgot
jękliwy	jęk
opanowany	opanowanie
piskliwy	pisk
rozpłakany	płacz
schrypnięty	chrypa
spokojny	spokój
spokojny	spokój
spokojny	spokój
starczy	starzec
labiryntowy	labirynt
labiryntowy	labirynt
słodkowodny	woda
pięciokondygnacyjny	kondygnacja
bilateralny	bilateralizm
dżentelmeński	dżentelmen
konsensualny	konsensus
kolankowaty	kolanko
kolankowaty	kolanko
krótkonogi	noga
muskularny	muskuł
filozoficzny	filozof
pryszczaty	pryszcz
krostowaty	krosta
epizodyczny	epizod
pożyłkowany	żyłka
skupiony	skupienie
gawędziarski	gawęda
gderliwy	gderanie
konwersacyjny	konwersacja
namaszczony	namaszczenie
szczęśliwy	szczęście
nonszalancki	nonszalancja
swobodny	swoboda
nonszalancki	nonszalancja
patetyczny	patos
włóknisty	włókno
włóknisty	włókno
włóknisty	włókno
sarkastyczny	sarkazm
sarkastyczny	sarkazm
swobodny	swoboda
władczy	władca
żartobliwy	żart
zrezygnowany	zrezygnowanie
boleściwy	boleść
boleściwy	boleść
niekompetentny	niekompetencja
kompetentny	kompetencja
gazowany	gaz
mulisty	muł
chłodny	chłód
żelazisty	żelazo
projektowy	projekt
przyczynkowy	przyczynek
przyczynkarski	przyczynek
wielomiesięczny	miesiąc
zarobkowy	zarobek
obojnaczy	obojnactwo
obojnaczy	obojnactwo
pogodny	pogoda
elegancki	elegancja
dyplomowany	dyplom
dyżurny	dyżur
taktyczny	taktyka
szerokolistny	liść
antyfaszystowski	antyfaszyzm
heretycki	herezja
heterodoksyjny	heterodoksja
laminarny	lamina
warstwowy	warstwa
prometejski	prometeizm
rewizjonistyczny	rewizjonizm
rotacyjny	rotacja
rotacyjny	rotacja
rytmiczny	rytm
skrętny	skręt
trzepotliwy	trzepot
wirowy	wir
zamaszysty	zamach
grabieżczy	grabież
izolacjonistyczny	izolacjonizm
kunktatorski	kunktatorstwo
protekcjonistyczny	protekcjonizm
ekspansywny	ekspansja
ekspansywny	ekspansja
regionalny	region
bodźcowy	bodziec
stresowy	stres
komfortowy	komfort
komfortowy	komfort
konfliktowy	konflikt
problemowy	problem
groszkowy	groszki
dystyngowany	dystynkcja
dystyngowany	dystynkcja
głodny	głód
głodny	głód
honorny	honor
luźny	luz
niezdyscyplinowany	niezdyscyplinowanie
zdyscyplinowany	dyscyplina
