argumentacja	argumentować
kosa	kosić
zapałka	zapalić
spinacz	spinać
miotła	zamiatać
podkowa	podkuwać
kołyska	kołysać
kołyska	kołysać
spinka	spinać
informator	informować
nakrętka	nakręcić
zatrzask	zatrzaskiwać
zakrętka	zakręcać
tłuczek	tłuc
tarka	trzeć
zbrojenie	zbroić
kolebka	kolebać
pozew	pozwać
huśtawka	huśtać
szczepionka	szczepić
klej	kleić
rozpuszczalnik	rozpuszczać
kąpiel	kąpać
kołysanka	kołysać
odnośnik	odnosić
wywód	wywodzić
wabik	wabić
przypomnienie	przypomnieć
utrwalacz	utrwalać
wachlarz	wachlować
wahadło	wahać
więź	wiązać
więź	wiązać
podłączenie	podłączyć
zmywacz	zmywać
zmywacz	zmywać
wybielacz	wybielać
kąpielówki	kąpać się
temperówka	temperować
liczydło	liczyć
napęd	napędzać
opiekacz	opiekać
polewaczka	polewać
trzepaczka	trzepać
uziemienie	uziemiać
zapalarka	zapalać
zszywka	zszywać
cedzak	cedzić
ładunek	ładować
rzutka	rzucać
migacz	migać
przegroda	przegrodzić
pralka	prać
przepustnica	przepuszczać
wyrzutnia	wyrzucać
edytor	edytować
wkrętak	wkręcać
zasilanie	zasilać
przykrywka	przykrywać
ściąga	ściągać
karmnik	karmić
karmidło	karmić
zwrot	zwrócić się
miernik	mierzyć
spoiwo	spoić
kupela	kupelować
przedłużacz	przedłużać
próbnik	próbować
bijak	bić
ilustracja	ilustrować
egzemplifikacja	egzemplifikować
nosidło	nosić
klasyfikator	klasyfikować
zanieczyszczenie	zanieczyścić
rozwidlacz	rozwidlać
spoidło	spoić
spoiwo	spoić
unifikator	unifikować
analizator	analizować
chwytak	chwytać
chwytnik	chwycić
dekoder	dekodować
frezarka	frezować
dmuchawka	dmuchać
kasownik	kasować
kontrolka	kontrolować
młocarnia	młócić
pelengator	pelengować
zaprzęg	zaprzęgać
pilarka	piłować
przecinarka	przecinać
podgrzewacz	podgrzewać
podgrzewacz	podgrzewać
przenośnik	przenosić
samopał	palić
samopał	palić
sikawka	sikać
kondensator	kondensować
spawarka	spawać
sterylizator	sterylizować
symulator	symulować
imitator	imitować
wiązar	wiązać
wyciągarka	wyciągać
wyciągarka	wyciągać
wyrzutnik	wyrzucać
wysokościomierz	mierzyć
zatrzask	zatrzaskiwać
wywrotka	wywracać
ładowarka	ładować
ładowarka	ładować
utleniacz	utleniać
stroik	stroić
gratulacje	gratulować
powinszowania	powinszować
odnośnik	odnosić
ściągacz	ściągać
odsyłacz	odsyłać
kiełzno	kiełznać
wyróżnienie	wyróżnić
stroik	stroić
stroik	stroić
zakwas	zakwaszać
próbnik	próbować
krzesiwo	krzesać
ćwiczenie	ćwiczyć
promocja	promować
zaprawa	zaprawiać
prowadnica	prowadzić
prowadnik	prowadzić
przyssawka	przysysać się
przyssawka	przyssać się
przyssawka	przysysać się
przyssawka	przyssać się
niwelator	niwelować
poidło	poić
zgrzebło	zgrzeblić
ścigacz	ścigać
stawiacz	stawiać
torpedowiec	torpedować
zlewka	zlewać
szczoteczka	szczotkować
przepychacz	przepychać
przetyczka	przetykać
trzepaczka	trzepać
okucie	okuć
kruszarka	kruszyć
zwód	zwodzić
patrzałki	patrzeć
lepik	lepić
asekuracja	asekurować
trutka	truć
złączka	złączać
przerywnik	przerywać
przerywnik	przerywać
garbnik	garbować
ściągawka	ściągać
pomoc	pomagać
podpałka	podpalić
rozpałka	rozpalać
indukcja	indukować
docisk	dociskać
wywabiacz	wywabiać
chwytnik	chwytać
chwytnik	chwytać
wypełniacz	wypełniać
napełniacz	napełniać
wiązanie	wiązać
dozownik	dozować
golarka	golić się
golarka	golić
lutownica	lutować
łupacz	łupać
wskaźnik	wskazywać
odbierak	odbierać
powielacz	powielać
powielarka	powielać
przedłużacz	przedłużać
rozdzielacz	rozdzielać
separator	separować
datownik	datować
uzbrojenie	uzbrajać
składarka	składać
zgrzewarka	zgrzewać
świstawka	świstać
induktor	indukować
odsłuch	odsłuchiwać
wtryskarka	wtryskiwać
nakrywka	nakrywać
tryskawka	tryskać
wprowadzenie	wprowadzić
identyfikator	identyfikować
karczownik	karczować
wyciskacz	wyciskać
oddzielacz	oddzielać
ściągaczka	ściągać
odwracacz	odwracać
przekładka	przekładać
przekładka	przekładać
przetrwalnik	przetrwać
przykrycie	przykryć
łącznica	łączyć
prasowalnica	prasować
rozpylacz	rozpylać
kopaczka	kopać
kopaczka	kopać
wtryskiwacz	wtryskiwać
rozłącznik	rozłączać
walcarka	walcować
przyciągarka	przyciągać
impregnat	impregnować
impregnator	impregnować
zmiękczacz	zmiękczać
nastawnik	nastawiać
rozcieńczalnik	rozcieńczać
utwardzacz	utwardzać
zagrycha	zagryzać
sumator	sumować
podziałka	podzielić
wskaz	wskazać
wskaz	wskazać
synchronizator	synchronizować
strugarka	strugać
heblarka	heblować
strugarka	strugać
obcinacz	obcinać
okrasa	krasić
wyżymaczka	wyżymać
wałek	wałkować
zabierak	zabierać
zabierak	zabierać
rębak	rąbać
ciosak	ciosać
rębak	rąbać
rębarka	rąbać
korowarka	korować
korowaczka	korować
żuwka	żuć
gwizdałka	gwizdać
kolczykownica	kolczykować
szturmowiec	szturmować
nalew	nalewać
rozrzutnik	rozrzucać
powlekarka	powlekać
międlarka	międlić
smarownica	smarować
obcinak	obcinać
złącznik	złączać
wprowadzenie	wprowadzić
wykrojnik	wykrawać
organizer	organizować
oliwiarka	oliwić
przeszkoda	przeszkodzić
wytłaczarka	wytłaczać
asekuracja	asekurować
polerka	polerować
odśnieżarka	odśnieżać
niszczarka	niszczyć
mikser	miksować
pytel	pytlować
ubijarka	ubijać
zgrzeblarka	zgrzeblić
nakładarka	nakładać
łączniarka	łączyć
rozciągarka	rozciągać
pakowaczka	pakować
napęd	napędzać
zwilżacz	zwilżać
nagrywarka	nagrywać
odpowietrznik	odpowietrzać
odpowietrzacz	odpowietrzać
laminarka	laminować
laminator	laminować
gręplarka	gręplować
odrdzewiacz	odrdzewiać
wiórkarka	wiórkować
odciągacz	odciągać
ściągaczka	ściągać
odciągacz	odciągać
dezynfektor	dezynfekować
pasteryzator	pasteryzować
pogłębiacz	pogłębiać
nitownica	nitować
łyżeczka chirurgiczna	łyżeczkować
blok	blokować
blokada	blokować
przesiewacz	przesiewać
cykliniarka	cyklinować
opylacz	opylać
opryskiwacz	opryskiwać
spryskiwacz	spryskiwać
obcinarka	obcinać
obcinaczka	obcinać
drapaczka	drapać
usztywniacz	usztywniać
usztywniacz	usztywniać
postrzygalnia	postrzygać tkaninę
oznacznik	oznaczać
zwolnica	zwalniać
gwintownik	gwintować
ostrzałka	ostrzyć
przebijak	przebijać
klepak	klepać
osłona	osłonić
przyśpieszacz	przyśpieszać
przyspieszacz	przyspieszać
usypiacz	usypiać
obsypnik	obsypywać
login	logować się
kąpiel	kąpać
tyczka	tyczyć
barwiczka	barwić
barwica	barwić
obszywka	obszywać
czytacz	czytać
odbijacz	odbijać
polepszacz	polepszać
wałek	wałkować
neutralizator	neutralizować
rozsiewacz	rozsiewać
sadzarka	sadzić
śrutownik	śrutować
zagłuszarka	zagłuszać
reklamówka	reklamować
ocieplacz	ocieplać
czuwak	czuwać
adresarka	adresować
odświeżacz	odświeżać
odświeżacz	odświeżać
słodzik	słodzić
owijka	owijać
przykrywa	przykrywać
sprzęg	sprzęgać
rozcieracz	rozcierać
ekstrapolacja	ekstrapolować
przekłuwacz	przekłuwać
przekłuwacz	przekłuwać
rozpieracz	rozpierać
wciągnik	wciągać
ciągadło	ciągnąć
lutowie	lutować
odkażalnik	odkażać
szczeliwo	uszczelniać
zagęstnik	zagęszczać
gwizdawka	gwizdać
zapchajdziura	zapchać dziurę
cechówka	cechować
cechówka	cechować
zagęszczacz	zagęszczać
wyrywacz	wyrywać
odstraszacz	odstraszać
szatkownica	szatkować
zapalacz	zapalać
bielnik	bielić
obsada	obsadzać
ściemniacz	ściemniać
przeciągacz	przeciągać
przedłużka	przedłużać
aplikator	aplikować
spulchniacz	spulchniać
tester	testować
wyszukiwarka	wyszukać
tatuownica	tatuować
spulchniacz	spulchniać
wzmacniak	wzmacniać
naświetlarka	naświetlać
ugniatarka	ugniatać
gniotownik	gnieść
wyrzynarka	wyrzynać
oczyszczarka	oczyszczać
czyszczalnia	czyścić
rekonstruktor	rekonstruować
złączenie	złączyć
umocnienie	umocnić
przedział	przedzielić
dowód	dowodzić
zasłona	zasłaniać
zasłona	zasłaniać
zasłona	zasłaniać
instalator	instalować
installer	instalować
instalka	instalować
ubezpieczenie	ubezpieczać
wabik	wabić
płucznia	płukać
ubijaczka	ubijać
krajacz	krajać
smażalnik	smażyć
piszczek	piszczeć
kurzysko	kurzyć
diamentówka	diamentować
lutówka	lutować
rolownik	rolować
nitownik	nitować
centrownik	centrować
centrownik	centrować
obieraczka	obierać
belownica	belować
chlorownica	chlorować
chlorownik	chlorować
chlorator	chlorować
plantownik	plantować
wiórkownik	wiórkować
wiórkownik	wiórkować
zaciskarka	zaciskać
zagniatarka	zagniatać
korownik	korować
rozkaźnik	rozkazywać
rozkaźnik	rozkazywać
wygładzak	wygładzać
zakuwnik	zakuwać
sygnałówka	sygnalizować
karczownica	karczować
obrywak	obrywać
zaciskacz	zaciskać
prasownica	prasować
dziurkownik	dziurkować
gasiwo	gasić
gasiwo	gasić
karbonizator	karbonizować
klarownik	klarować
ściągarka	ściągać
żwirownica	żwirować
drylownica	drylować
heblownica	heblować
maglownik	maglować
wlewnik	wlewać
celownica	celować
celownica	celować
homogenizator	homogenizować
przesuwak	przesuwać
przesuwnica	przesuwać
przyspiesznik	przyspieszać
przyśpiesznik	przyśpieszać
przyśpiesznik	przyśpieszać
przyspiesznik	przyspieszać
przyśpiesznik	przyśpieszać
przyspiesznik	przyspieszać
wygniatarka	wygniatać
wkupne	wkupić się
dozownica	dozować
formatownik	formatować
międlica	międlić
odwadniarka	odwadniać
spulchniarka	spulchniać
stemplownica	stemplować
usuwak	usuwać
klepacz	klepać
podwieszka	podwieszać
wytaczadło	wytaczać
popuszczadło	popuszczać
czochradło	czochrać
dołącznik	dołączać
nawijadło	nawijać
zarzynadło	zarzynać
przeciągadło	przeciągać
pukadło	pukać
czerpadło	czerpać
czesak	czesać
gasidło	gasić
nawijarka	nawijać
odcinak	odcinać
odlewarka	odlewać
opalarka	opalać
rozściełacz	rozściełać
oziębiarka	oziębiać
podbijarka	podbijać
potrząsarka	potrząsać
prostowarka	prostować
przebijarka	przebijać
rozbijarka	rozbijać
rozbijarka	rozbijać
rozdrabiarka	rozdrabiać
sklejarka	sklejać
sklejarka	sklejać
wycinarka	wycinać
zawijarka	zawijać
znakowarka	znakować
żłobkarka	żłobkować
docierarka	docierać
dozowarka	dozować
nadziewarka	nadziewać
obrzynarka	obrzynać
wyrzynarka	wyrzynać
oklejarka	oklejać
okrawarka	okrawać
podawarka	podawać
podszywarka	podszywać
polewarka	polewać
pojnik	poić
rabowarka	rabować
ściągarka	ściągać
ściągarka	ściągać
skrawarka	skrawać
łuszczarka	łuszczyć
skręcak	skręcać
skrobarka	skrobać
wykańczarka	wykańczać
wykańczarka	wykańczać
wykończarka	wykończać
wykończarka	wykończać
wykrawarka	wykrawać
wyważarka	wyważać
wałkownica	wałkować
wybijak	wybijać
wydłużka	wydłużać
cerówka	cerować
klarownica	klarować
sumator	sumować
płacidło	płacić
wygniatak	wygniatać
gniotownik	gnieść
cedzidło	cedzić
destylarka	destylować
kołkownica	kołkować
wygładnica	wygładzać
gładziarka	gładzić
komenderówka	komenderować
korkownica	korkować
kurzywo	podkurzać
wstrząsak	wstrząsać
trawiarka	trawić
utylizator	utylizować
nacinarka	nacinać
gwintownica	gwintować
nabijak	nabijać
wycinak	wycinać
barwiarka	barwić
przykrywadło	przykrywać
przykrywadło	przykrywać
zgrzewadło	zgrzewać
dziurkownica	dziurkować
odbijak	odbijać
gładzarka	gładzić
obracak	obracać
gładzak	gładzić
osadzarka	osadzać
wabidło	wabić
obierałka	obierać
pastownica	pastować
podgrzewalnia	podgrzewać
wygładnik	wygładzać
zalewnia	zalewać
chody	chodzić
podgląd	podglądać
wyłuszczarnia	wyłuszczać
nawłoka	nawłóczyć
oklejka	oklejać
podsłuchiwacz	podsłuchiwać
czochra	czochrać
nawój	nawijać
siekacz	siekać
nabierka	nabierać
mlewnik	mleć
ciągownik	ciągnąć
tynkownica	tynkować
grabie	grabić
wydrążacz	wydrążać
oskardnik	oskardować
suszak	suszyć
srebrzanka	srebrzyć
blanszownik	blanszować
rozparzacz	rozparzać
strugarnia	strugać
draparnia	drapać
płuczkarnia	płukać
płuczkarka	płukać
śrutownica	śrutować
lutówka	lutować
kolorówka	kolorować
odzysknica	odzyskiwać
ługownica	ługować
bujak	bujać się
znacznik	znaczyć
przekaz	przekazać
zabezpieczenie	zabezpieczyć się
skreślenie	skreślić
regenerator	regenerować
znieczulenie	znieczulić
narzutnica	narzucać
strzępiarka	strzępić
rozpornica	rozpierać
wytrawiacz	wytrawiać
zaparzacz	zaparzać
wyłapywacz	wyłapywać
sytnik	sycić
zacieraczka	zacierać
zakrywka	zakrywać
zaparzaczka	zaparzać
zapisywacz	zapisywać
rozjaśniacz	rozjaśniać
zbieralnik	zbierać
trzepaczka kuchenna	trzepać
użyźniacz	użyźniać
odkładnica	odkładać
podrzynacz	podrzynać
wyciskarka	wyciskać
wyciskarka	wyciskać
popita	popić
mielnik	mielić
rozgrzewacz	rozgrzewać
rozgrzewacz	rozgrzewać
wciągacz	wciągać
sprawdzarka	sprawdzać
spływnik	spływać
metkownica	metkować
pralnik	prać
strojnica	stroić
chłodnik	chłodzić
ścinacz	ścinać
ściskacz	ściskać
napromiennik	napromieniać
moralizacja	moralizować
cedzidło	cedzić
obdzieracz	obdzierać
łupaczka	łupać
łapaczka	łapać
łapaczka	łapać
przecinaczka	przecinać
obwiązka	obwiązywać
opaska	opasywać
wodzidło	wodzić
ociekacz	ociekać
zwijarka	zwijać
zwiernik	zwierać
zszywarka	zszywać
zraszarka	zraszać
zraszarka	zraszać
znieczulacz	znieczulać
oczyszczalnik	oczyszczać
oczyszczalnik	oczyszczać
odbieracz	odbierać
odbojnik	odbijać
odkażacz	odkażać
odmierzacz	odmierzać
odmulacz	odmulać
odsuwacz	odsuwać
odłownia	odławiać
wybieracz	wybierać
liczarka	liczyć
podbieracz	podbierać
podbieracz pokosów	podbierać
podkurzacz	podkurzać
wykrawacz	wykrawać
wydmuchiwacz	wydmuchiwać
wydmuchiwacz	wydmuchiwać
wybijacz	wybijać
układnica	układać
wspornica	wspierać
nastawnica	nastawiać
nastawnica	nastawiać
grępel	gręplować
grępla	gręplować
wyciągacz	wyciągać
oziębiacz	oziębiać
pęca	pętać
pętca	pętać
pęczca	pętać
pęcina	pętać
stroisz	stroić
spych	spychać
oczyszczacz	oczyszczać
odsysacz	odsysać
przekładacz	przekładać
przepychaczka	przepychać
przerabiacz	przerabiać
przesuwnik	przesuwać
przesyp	przesypać się
przesyłacz	przesyłać
fabrykator	fabrykować
czyszczarnia	czyścić
przeglądacz	przeglądać
zapychacz	zapychać
zapychacz	zapychać
wypychacz	wypychać
wypychacz	wypychać
stroik	stroić
tłumik	tłumić
grodzica	grodzić
celownik	celować
czerpacz	czerpać
czerpacz	czerpać
czesalnia	czesać
dzielnik	dzielić
rozpryskiwacz	rozpryskiwać
rozszerzacz	rozszerzać
pamiętne	pamiętać
pucówka	pucować
rozgałęźnik	rozgałęziać
rozgałęziacz	rozgałęziać
rozwidlacz	rozwidlać
ulepszacz	ulepszać
chwytacz	chwytać
maglownica	maglować
drążarka	drążyć
żłobiarka	żłobić
taranowiec	taranować
prezentacja	prezentować
wykupne	wykupić
sprawdzian	sprawdzać
