administrator	administrować
oszust	oszukiwać
figurant	figurować
grabieżca	grabić
gwałciciel	gwałcić
kpiarz	kpić
krętacz	kręcić
kłamca	kłamać
kłusownik	kłusować
marzyciel	marzyć
naciągacz	naciągać
naśladowca	naśladować
nudziarz	nudzić
pasterz	paść
pijak	pić
pochlebca	pochlebiać
podżegacz	podżegać
przechodzień	przechodzić
rabuś	rabować
sekundant	sekundować
szantażysta	szantażować
sługa	służyć
terminator	terminować
wędrowiec	wędrować
tropiciel	tropić
zjawa	zjawić się
włamywacz	włamywać się
włóczęga	włóczyć się
zamiatacz	zamiatać
żartowniś	żartować
żarłok	żreć
zdrajca	zdradzać
żongler	żonglować
zwiastun	zwiastować
piekarz	piec
świstak	świstać
gęś	gęgać
grzechotnik	grzechotać
anarchista	anarchizować
biegacz	biegać
bokser	boksować
debiutant	debiutować
dekorator	dekorować
drukarz	drukować
dzierżawca	dzierżawić
egzaminator	egzaminować
emigrant	emigrować
garbarz	garbować
imigrant	imigrować
licytator	licytować
moralista	moralizować
murarz	murować
negocjator	negocjować
odkrywca	odkrywać
okupant	okupować
oponent	oponować
palacz	palić
palacz	palić
pasjonat	pasjonować się
referent	referować
rzeźbiarz	rzeźbić
selekcjoner	selekcjonować
selekcjoner	selekcjonować
trębacz	trąbić
treser	tresować
uchodźca	uchodzić
uciekinier	uciekać
wędkarz	wędkować
wspinacz	wspinać się
wynalazca	wynaleźć
wystawca	wystawiać
zbieracz	zbierać
zdobywca	zdobyć
zdobywca	zdobywać
amortyzator	amortyzować
ciągnik	ciągnąć
czytnik	czytać
grzejnik	grzać
holownik	holować
ślizgacz	ślizgać się
tankowiec	tankować
wirówka	wirować
wzmacniacz	wzmacniać
znacznik	znaczyć
chichot	chichotać
diagnostyk	diagnozować
grzechotka	grzechotać
wyściółka	wyściełać
informator	informować
informator	informować
decydent	decydować
dystrybutor	dystrybuować
ekspedycja	ekspediować
eksporter	eksportować
eksporter	eksportować
szkodnik	szkodzić
importer	importować
importer	importować
kolaborant	kolaborować
konkurent	konkurować
odpowiednik	odpowiadać
ubezpieczyciel	ubezpieczyć
agitator	agitować
sprzymierzeniec	sprzymierzyć się
maruder	marudzić
wczasowicz	wczasować
lunatyk	lunatykować
inkasent	inkasować
likwidator	likwidować
okaziciel	okazywać
bankrut	bankrutować
zbieg	zbiec
instalator	instalować
spawacz	spawać
tkacz	tkać
dokumentalista	dokumentować
poszukiwacz	poszukiwać
łapacz	łapać
spacerowicz	spacerować
zguba	zgubić się
fundator	fundować
wyróżnik	wyróżniać
kujon	kuć
kreślarz	kreślić
krzywdziciel	krzywdzić
ekspedient	ekspediować
eksplorator	eksplorować
osiedleniec	osiedlać się
wyzyskiwacz	wyzyskiwać
wagarowicz	wagarować
spowiednik	spowiadać
akompaniator	akompaniować
imitator	imitować
otwieracz	otwierać
zszywacz	zszywać
przemytnik	przemycać
spekulant	spekulować
spiskowiec	spiskować
gaduła	gadać
tułacz	tułać się
wizytator	wizytować
zmiennik	zmieniać
bajarz	bajać
biesiadnik	biesiadować
bombardier	bombardować
demonstrant	demonstrować
dyspozytor	dysponować
koczownik	koczować
konwojent	konwojować
piastun	piastować
prześladowca	prześladować
szyderca	szydzić
wieszcz	wieszczyć
wojak	wojować
zbawiciel	zbawić
łowca	łowić
dzwonek	dzwonić
przegroda	przegrodzić
miotacz	miotać
wykrywacz	wykrywać
animator	animować
animator	animować
aplikant	aplikować
deponent	deponować
diagnosta	diagnozować
dyskutant	dyskutować
gorszyciel	gorszyć
mediator	mediować
zleceniodawca	zlecić
promotor	promować
przetwórca	przetwarzać
recytator	recytować
współtwórca	współtworzyć
sygnatariusz	sygnować
stołownik	stołować się
włamywacz komputerowy	włamywać się
hulaka	hulać
wyrażenie	wyrażać
prezenter	prezentować
oblatywacz	oblatywać
aranżer	aranżować
aranżer	aranżować
gawędziarz	gawędzić
opowiadacz	opowiadać
zbieracz	zbierać
hipnotyzer	hipnotyzować
magnetyzer	magnetyzować
wróżbiarz	wróżyć
wróżbita	wróżyć
wróż	wróżyć
wieszczek	wieszczyć
interpretator	interpretować
objaśniacz	objaśniać
glosator	glosować
paker	pakować
ujeżdżacz	ujeżdżać
piekielnik	pieklić się
złośnik	złościć się
inspirator	inspirować
modernizator	modernizować
wyzwoliciel	wyzwolić
oswobodziciel	oswobodzić
beletryzator	beletryzować
czciciel	czcić
zaklinacz	zaklinać
interpretator	interpretować
praktykant	praktykować
zrzęda	zrzędzić
burczymucha	burczeć
gderacz	gderać
narzekacz	narzekać
połykacz	połykać
zapowiadacz	zapowiadać
prezenter	prezentować
demonstrator	demonstrować
bajerant	bajerować
księgowy	księgować
majsterkowicz	majsterkować
wykonawca	wykonywać
kooperant	kooperować
odtwórca	odtwarzać
odtwórca	odtwarzać
przewodniczący	przewodniczyć
pożeracz	pożerać
zjadacz	zjadać
uwodziciel	uwodzić
bałamut	bałamucić
bałamutnik	bałamucić
czaruś	czarować
kokiet	kokietować
podrywacz	podrywać
szybownik	szybować
odstępca	odstępować
sprzedawczyk	sprzedać się
bluźnierca	bluźnić
cudzołożnik	cudzołożyć
podgryzacz	podgryzać
konspirator	konspirować
niszczyciel	niszczyć
czyściciel	czyścić
minowiec	minować
służba	służyć
kopista	kopiować
preparator	preparować
monter	montować
poławiacz	poławiać
moralizator	moralizować
śpiewak	śpiewać
fundator	fundować
bumelant	bumelować
dekownik	dekować się
markierant	markierować
migacz	migać się
próżniak	próżnować
wałkoń	wałkonić się
gazownik	gazować
pijus	pić
potakiwacz	potakiwać
potakiewicz	potakiwać
opluwacz	opluwać
podpalacz	podpalać
cierpiętnik	cierpieć
smutas	smucić się
golibroda	golić
najmita	najmować się
brakarz	brakować
śmierdziel	śmierdzieć
harcownik	harcować
truciciel	truć
truciciel	truć
emitor	emitować
zatruwacz	zatruwać
marnotrawca	marnotrawić
rozrabiaka	rozrabiać
łgarz	łgać
łupieżca	łupić
klasyfikator	klasyfikować
mściciel	mścić się
mściciel	mścić
pomocnik	pomóc
współuczestnik	współuczestniczyć
pomagier	pomagać
mówiący	mówić
odbiorca	odbierać
poskromiciel	poskromić
poskramiacz	poskramiać
poskromiciel	poskromić
przebieraniec	przebierać się
odciąg	odciągać
rejestrator	rejestrować
cyzelator	cyzelować
cyzeler	cyzelować
druciarz	drutować
grawer	grawerować
chodziarz	chodzić
saneczkarz	saneczkować
szlifierz	szlifować
tapicer	tapicerować
składowa	składać się
zapominalski	zapominać
podnośnik	podnosić
emiter	emitować
emiter	emitować
burzyciel	burzyć
cherlak	cherlać
konwerter	konwertować
popychacz	popychać
przenosiciel	przenosić
ciemięzca	ciemiężyć
ciemiężyciel	ciemiężyć
pchacz	pchać
zamiennik	zamieniać
otoczka	otaczać
syntezator	syntezować
grzechotka	grzechotać
piastunka	piastować
przybyły	przybyć
masażysta	masować
hołdownik	hołdować
kopista	kopiować
przepisywacz	przepisywać
znak	znaczyć
zawiązek	zawiązać się
ciułacz	ciułać
chomik	chomikować
lustrator	lustrować
migrant	migrować
protokolant	protokołować
protokólant	protokółować
ozdrowieniec	ozdrowieć
żabojad	jeść
interpretator	interpretować
wędrownik	wędrować
rządzący	rządzić
manifestant	manifestować
chałturzysta	chałturzyć
zmieniacz	zmieniać
swat	swatać
hołdownik	hołdować
formalista	formalizować
nioska	nieść się
denuncjator	denuncjować
skarżypyta	skarżyć
kapuś	kapować
kontemplator	kontemplować
podglądacz	podglądać
podpatrywacz	podpatrywać
obserwator	obserwować
radykalista	radykalizować
triumfator	triumfować
tryumfator	tryumfować
determinanta	determinować
determinant	determinować
frustrat	frustrować się
patrolowiec	patrolować
aktywator	aktywować
reflektant	reflektować
ankieter	ankietyzować
ankieter	ankietować
charakteryzator	charakteryzować
eksperymentator	eksperymentować
poręczyciel	poręczyć
żyrant	żyrować
siewca	siać
głosiciel	głosić
promotor	promować
propagator	propagować
szerzyciel	szerzyć
odnowiciel	odnowić
popularyzator	popularyzować
składacz	składać
roznosiciel	roznosić
roznosiciel	roznosić
przenośnik	przenosić
nosiciel	nosić
nosiciel	nosić
nosiciel	nosić
pełzak	pełzać
rodzicielka	rodzić
kreator	kreować
rezydent	rezydować
rezydent	rezydować
rezydent	rezydować
współredaktor	współredagować
współredaktor	współredagować
napinacz	napinać
wielbicielka	wielbić
uzdrawiacz	uzdrawiać
reagent	reagować
regenerator	regenerować się
regenerator	regenerować
analityk	analizować
rehabilitant	rehabilitować
czyścioch	czyścić
ilustrator	ilustrować
karykaturzysta	karykaturować
rysownik	rysować
rzygacz	rzygać
etymolog	etymologizować
manipulator	manipulować
manipulant	manipulować
warunek	warunkować
inscenizator	inscenizować
nawiew	nawiewać
nadmuch	nadmuchiwać
reduktor	redukować
kumka	kumkać
wypełniacz	wypełniać
chrzciciel	chrzcić
malwersant	malwersować
zaborca	zabierać
defraudant	defraudować
przywłaszczyciel	przywłaszczyć
grasant	grasować
dójka	doić
dojarz	doić
pocieszyciel	pocieszyć
wyraziciel	wyrazić
eksponent	eksponować
werbownik	werbować
szyfrant	szyfrować
napinacz	napinać
odlewnik	odlewać
zalotnik	zalecać się
przerywacz	przerywać
tryumfator	tryumfować
numerator	numerować
interwenient	interweniować
interwent	interweniować
trajkotka	trajkotać
testator	testować
wiercipięta	wiercić się
umrzyk	umrzeć
szukacz	szukać
frezer	frezować
magazynier	magazynować
nosiwoda	nosić
rytownik	rytować
sprzątacz	sprzątać
tynkarz	tynkować
dawca	dawać
gloryfikator	gloryfikować
emitent	emitować
licytant	licytować
balsamista	balsamować
kosiarz	kosić
stroiciel	stroić
subskrybent	subskrybować
dmuchacz	dmuchać
celebrant	celebrować
stresor	stresować
chwalca	chwalić
lobbysta	lobbować
asekurant	asekurować
rewizor	rewidować
tryskawka	tryskać
naruszyciel	naruszyć
mieszalnik	mieszać
guzdrała	guzdrać się
połamaniec	połamać się
węszyciel	węszyć
gnębiciel	gnębić
adaptator	adaptować
identyfikator	identyfikować
oglądacz	oglądać
oglądacz	oglądać
degustator	degustować
plażowicz	plażować
biwakowicz	biwakować
cedent	cedować
brukarz	brukować
naprawiacz	naprawiać
przedziałek	przedzielać
racjonalizator	racjonalizować
karczownik	karczować
osłabiacz	osłabiać
karmicielka	karmić
ekspedytor	ekspediować
zgniatarka	zgniatać
wtryskiwacz	wtryskiwać
współzawodnik	współzawodniczyć
wybawiciel	wybawić
prowokator	prowokować
uzurpator	uzurpować
wichrzyciel	wichrzyć
zdzierca	zdzierać
zwodziciel	zwodzić
wiązałka	wiązać
drybler	dryblować
grajek	grać
kusiciel	kusić
kusiciel	kusić
odkupiciel	odkupić
przepowiadacz	przepowiadać
wskrzesiciel	wskrzesić
kodyfikator	kodyfikować
prenumerator	prenumerować
chwalipięta	chwalić się
rozrabiacz	rozrabiać
symulant	symulować
udawacz	udawać
szczebiotka	szczebiotać
mieszacz	mieszać
bałaganiarz	bałaganić
śmieciarz	śmiecić
indosant	indosować
budziciel	budzić
budziciel	budzić
mamidło	mamić
absorbent	absorbować
czatownik	czatować
czatownik	czatować
uczeń	uczyć się
wyjec	wyć
łasuch	łasować
topielec	topić się
wisielec	wisieć
przodownik	przodować
przybłęda	przybłąkać się
przybłęda	przybłąkać się
szabrownik	szabrować
znalazca	znaleźć
baj	bajać
politykier	politykować
przeklętnik	przeklinać
rozdawca	rozdawać
woziwoda	wozić
pyskacz	pyskować
żeniec	żąć
łamacz	łamać
kwalifikator	kwalifikować
wodzirej	wodzić
tancerz	tańczyć
podjudzacz	podjudzać
oprowadzacz	oprowadzać
mieszkaniec	mieszkać
paplacz	paplać
odciek	odciec
galwanizator	galwanizować
galwanizer	galwanizować
sortownica	sortować
kostkarz	kostkować
szturmowiec	szturmować
zamawiaczka	zamawiać
brązownik	brązowić
świnia	świnić
nawijaczka	nawijać
kosztorysant	kosztorysować
przewodnik	przewodzić
adiustator	adiustować
golarz	golić
zmywacz	zmywać
spaślak	spaść się
wyrodek	wyrodzić się
poprawiacz	poprawiać
ulepszacz	ulepszać
uzdrowiciel	uzdrowić
ustawiacz	ustawiać
stójkowy	stać
rębacz	rąbać
zakłócenie	zakłócać
wskaziciel	wskazywać
pleciuch	pleść
pleciuga	pleść
deklamator	deklamować
dochodząca kobieta	dochodzić
dochodząca dziewczyna	dochodzić
obozowicz	obozować
czesarka	czesać
oznaka	oznaczać
konsekrator	konsekrować
asfalciarz	asfaltować
maruda	marudzić
maruda	marudzić
grymaśnik	grymasić
maruda	marudzić
derkacz	derkać
demoralizator	demoralizować
ekranizator	ekranizować
komplemenciarz	komplementować
emalier	emaliować
emaliernik	emaliować
dymacz	dymać
kupczyk	kupczyć
praczka	prać
kontestator	kontestować
gręplarz	gręplować
zgrzeblarz	zgrzeblić
dezynfektor	dezynfekować
firmant	firmować
zamiatarka	zamiatać
zamiataczka	zamiatać
smarownik	smarować
smarowacz	smarować
lutowacz	lutować
pakowacz	pakować
repetent	repetować
korowacz	korować
aprowizator	aprowidować
campingowiec	campingować
kempingowiec	kempingować
cykliniarz	cyklinować
hospitant	hospitować
inwentaryzator	inwentaryzować
polerownik	polerować
habilitant	habilitować się
kwestarz	kwestować
wierzący	wierzyć
końcówka	kończyć
windykator	windykować
dezerter	dezerterować
ćpun	ćpać
sekwestrator	sekwestrować
szpaner	szpanować
asekurant	asekurować
mazgaj	mazać się
beksa	beczeć
płaksa	płakać
cykor	mieć cykora
ciągarka	ciągnąć
ciągarka	ciągnąć
giętarka	giąć
rozdrabniacz	rozdrabniać
rozdrabniarka	rozdrabniać
sortownik	sortować
sorter	sortować
reducent	redukować
tępiciel	tępić
szczypawica	szczypać
szczypawka	szczypać
wirówka	wirować
wirówka	wirować
mąciciel	mącić
porywaczka	porywać
jonizator	jonizować
ściernica	ścierać
tryskacz	tryskać
ślizgowiec	ślizgać się
reanimator	reanimować
reanimator	reanimować
klepak	klepać
lawirownik	lawirować
cerowacz	cerować
imprezowicz	imprezować
syntetyzator	syntetyzować
syntezator	syntezować
syntetyzator	syntetyzować
zagłuszacz	zagłuszać
prasowacz	prasować
układarka	układać
usypiacz	usypiać
usypiacz	usypiać
grypser	grypsować
czyściwo	czyścić
wąchacz	wąchać
deprawator	deprawować
transportowiec	transportować
ciemiężca	ciemiężyć
rekruter	rekrutować
Zbawiciel	zbawić
kopista	kopiować
kolonizator	kolonizować
kolonizator	kolonizować
osacznik	osaczać
tropowiec	tropić
lecznik	leczyć
odbijacz	odbijać
roztrząsacz	roztrząsać
przetrząsacz	przetrząsać
roztrząsacz	roztrząsać
ględa	ględzić
łapacz	łapać
łapacz	łapać
łapacz	łapać
szkodnik	szkodzić
psuj	psuć
psuj	psuć
rokoszanin	rokoszować
rusyfikator	rusyfikować
oracz	orać
deklamator	deklamować
diagnosta	diagnozować
nastawiacz	nastawiać
nastawiacz	nastawiać
pojedynkowicz	pojedynkować się
końcówka	kończyć się
końcówka	kończyć
stacz	stać
lepiszcze	lepić
wspomożyciel	wspomagać
układacz	układać
układacz	układać
zgarniarka	zgarniać
wydobywca	wydobywać
papla	paplać
podrabiacz	podrabiać
eksploatator	eksploatować
eksploatator	eksploatować
retuszer	retuszować
zagęszczacz	zagęszczać
fascynat	fascynować się
wyrywacz	wyrywać
wytwórca	wytwarzać
producent	produkować
przechowawca	przechowywać
gryzmoła	gryzmolić
bazgracz	bazgrać
bazgrała	bazgrać
gryzmoła	gryzmolić
odłam	odłamać
iluminator	iluminować
ładowacz	ładować
sortowacz	sortować
partycypant	partycypować
podpowiadacz	podpowiadać
filtrator	filtrować
ekspedytura	ekspediować
eksploatator	eksploatować
tester	testować
balowicz	balować
załatwiacz	załatwiać
oświetlacz	oświetlać
oświetlacz	oświetlać
gniotownik	gnieść
gniotownik	gnieść
podkuwacz	podkuwać
taksator	taksować
rekonstruktor	rekonstruować
surfer	surfować
tropiciel	tropić
odlewacz	odlewać
odlewacz	odlewać
odlewacz	odlewać
wytapiacz	wytapiać
zasłona	zasłaniać
stwórca	stworzyć
stwórca	stworzyć
ubezpieczenie	ubezpieczać
sędzia	sądzić
puszczalska	puszczać się
odmóżdżacz	odmóżdżać
szczotkarka	szczotkować
starający się	starać się o rękę
nosiłkowy	nosić
miner	minować
strzelec	strzelać
krajczy	kroić
odźwierny	otwierać
hartownik	hartować
hartowacz	hartować
ciągacz	ciągnąć
nagabywacz	nagabywać
asenizator	asenizować
kopacz	kopać
kopacz	kopać
pomoc	pomagać
pomoc	pomagać
wyplatacz	wyplatać
reperator	reperować
krajacz	krajać
smażalnik	smażyć
prządka	prząść
rozlepiacz	rozlepiać
gwizdacz	gwizdać
wspinacz	wspinać się
nabijacz	nabijać
wytwórca	wytwarzać
wystawca	wystawiać
piszczek	piszczeć
jodler	jodłować
kokietka	kokietować
asymilator	asymilować
dewastator	dewastować
eskortant	eskortować
eskortant	eskortować
falsyfikator	falsyfikować
germanizator	germanizować
gromiciel	gromić
hańbiciel	hańbić
kapitulant	kapitulować
kapitulant	kapitulować
przegrany	przegrać
przegrany	przegrać
karciciel	karcić
mechanizator	mechanizować
męczyciel	męczyć
męczyciel	męczyć
wyręczyciel	wyręczyć
rozwoziciel	rozwozić
przekaziciel	przekazywać
przekaziciel	przekazywać
tłumiciel	tłumić
grasownik	grasować
judziciel	judzić
lawirant	lawirować
mnożyciel	mnożyć
mnożyciel	mnożyć
mnożyciel	mnożyć
obwieściciel	obwieszczać
podburzyciel	podburzać
rozkrzewiciel	rozkrzewić
ucztownik	ucztować
wznowiciel	wznowić
zgubiciel	zgubić
zgwałciciel	zgwałcić
współprzewodniczący	współprzewodniczyć
współprzewodniczący	współprzewodniczyć
wywłaszczyciel	wywłaszczyć
haftarz	haftować
selekcjoner	selekcjonować
kastrator	kastrować
mamiciel	mamić
paskudziarz	paskudzić
polownik	polować
przejemca	przejmować
szperacz	szperać
szperacz	szperać
przystawca	przystawiać
śledziciel	śledzić
śledziciel	śledzić
zagrabiciel	zagrabić
zaszczepiciel	zaszczepić
aktywizator	aktywizować
dysputant	dysputować
firmator	firmować
firmator	firmować
pobudziciel	pobudzać
przenośnik	przenosić
przenosiciel	przenosić
naprawiciel	naprawić
odlewca	odlewać
potępiciel	potępiać
przekształciciel	przekształcić
radiofonizator	radiofonizować
rozlewca	rozlewać
rzępoła	rzępolić
sprawiciel	sprawić
stemplownik	stemplować
rolownik	rolować
uznawca	uznawać
defilator	defilować
dysputator	dysputować
hałasownik	hałasować
lastrykarz	lastrykować
oczerniciel	oczernić
obroniciel	obronić
pokrzepiciel	pokrzepiać
polonizator	polonizować
polonizator	polonizować
reeksporter	reeksportować
trepanator	trepanować
uprowadziciel	uprowadzić
ustanowiciel	ustanowić
dyskonter	dyskontować
kształciciel	kształcić
rozgłosiciel	rozgłosić
rozsiewca	rozsiewać
trwoniciel	trwonić
ukoiciel	ukoić
wulgaryzator	wulgaryzować
wynajemca	wynajmować
wynajemca	wynajmować
batożnik	batożyć
centralizator	centralizować
kooperator	kooperować
kooperator	kooperować
nawróciciel	nawrócić
nawróciciel	nawrócić
nitownik	nitować
osądziciel	osądzać
odzierca	odzierać
oświeciciel	oświecać
oświeciciel	oświecać
miotacz	miotać
poniewierca	poniewierać
poniewierca	poniewierać
przypochlebca	przypochlebiać
rozszerzyciel	rozszerzyć
składownik	składować
tworzyciel	tworzyć
zwyciężyciel	zwyciężyć
obraziciel	obrazić
obraziciel	obrazić
odnalazca	odnaleźć
odprzedawca	odprzedawać
polemizator	polemizować
wojownik	wojować
grabiciel	grabić
jątrzyciel	jątrzyć
koiciel	koić
latynizator	latynizować
naśladownik	naśladować
radziciel	radzić
roiciel	roić
szczepiciel	szczepić
traciciel	tracić
cyrkularz	cyrkulować
doprowadzalnik	doprowadzać
doprowadzalnik	doprowadzać
tańcownik	tańcować
elektryzator	elektryzować
inaktywator	inaktywować
mieszałka	mieszać
mroziwo	mrozić
odgroda	odgradzać
podciągnik	podciągać
rozpierak	rozpierać
przodówka	przodować
blokownik	blokować
odwodziciel	odwodzić
wirownica	wirować
gniazdówka	gniazdować
impulsator	impulsować
korelator	korelować
miarkownik	miarkować
syntetyzer	syntetyzować
doiciel	doić
zgazowarka	zgazować
przesiewnik	przesiewać
bandażownica	bandażować
ogranicznik	ograniczać
limiter	limitować
odprowadzalnik	odprowadzać
żyła	żyłować
wywiewka	wywiewać
brzękadło	brzękać
optant	optować
deratyzator	deratyzować
dmucharka	dmuchać
skubarka	skubać
szarparka	szarpać
utrząsarka	utrząsać
wstrząsarka	wstrząsać
nadmuchiwarka	nadmuchiwać
nagrzewarka	nagrzewać
nawilżarka	nawilżać
szydełkarka	szydełkować
trzeparka	trzepać
kostniwo	kostnieć
lutownik	lutować
cywilizator	cywilizować
furkadło	furkotać
pyrkawka	pyrkać
pyrkawka	pyrkać
stukawka	stukać
czatownik	czatować
meliniarz	melinować
napowietrznik	napowietrzać
nowelizator	nowelizować
pijący	pić
jadak	jadać
chrupacz	chrupać
ryżojad	jeść
pieścidło	pieścić
padałka	padać
opinka	opinać
luzownik	luzować
cyrkularka	cyrkulować
cyrkulatka	cyrkulować
gestykulator	gestykulować
wierny	wierzyć
łazik	łazić
dygotka	dygotać
skulica	skulać się
podsłuchiwacz	podsłuchiwać
gracz	grać
jebaka	jebać
jebak	jebać
łaciarz	łatać
kartownik	kartować
prorok	prorokować
jąkała	jąkać się
wielbiciel	wielbić
picownik	picować
szwarcownik	szwarcować
krochmalarz	krochmalić
wychowawca	wychować
osadźca	osadzać
poddzierżawca	poddzierżawiać
ziębiarka	ziębić
pedałowicz	pedałować
pielgrzymowicz	pielgrzymować
grzebała	grzebać się
grzebuła	grzebać się
balownik	balować
redaktor	redagować
redaktor	redagować
nabieracz	nabierać
mądraliński	mądrzyć się
pomnożyciel	pomnożyć
pomnożyciel	pomnożyć
rozmnożyciel	rozmnożyć
rozmnożyciel	rozmnożyć
pogwałciciel	pogwałcić
tępiciel	tępić
wskaźnik	wskazywać
osłona	osłaniać
stepówka	stepować
podlot	podlecieć
powtarzacz	powtarzać
młodożeniec	żenić się
wyłapywacz	wyłapywać
wyławiacz	wyławiać
gruchacz	gruchać
wzdychacz	wzdychać
wzgardziciel	wzgardzić
zachwalacz	zachwalać
zapisywacz	zapisywać
ubijacz	ubijać
ujarzmiciel	ujarzmić
uprawiacz	uprawiać
uprawiacz	uprawiać
domina	dominować
uspokajacz	uspokajać
rozpruwacz	rozpruwać
uszczęśliwiacz	uszczęśliwiać
człapak	człapać
człapak	człapać
skarżyciel	skarżyć
sklejacz	sklejać
wdrożeniowiec	wdrażać
skupywacz	skupować
plwacz	plwać
zachowawca	zachować
zachowawca	zachować
przesiąk	przesiąkać
froter	froterować
rozgrzewacz	rozgrzewać
polerowacz	polerować
polowacz	polować
pomagacz	pomagać
spawalnik	spawać
spisywacz	spisywać
sprzeniewierca	sprzeniewierzyć
paginator	paginować
zgadywacz	zgadywać
strugacz	strugać
strugacz	strugać
zdzierus	zdzierać
ścinacz	ścinać
ściskacz	ściskać
śmierdziuch	śmierdzieć
dryfter	dryfować
mlaskot	mlaskać
parcelant	parcelować
młocarz	młócić
obdzieracz	obdzierać
obijacz	obijać się
objeżdżacz	objeżdżać
wielożeńca	żenić się
