akceptować	zaakceptować
otaczać	otoczyć
otrzymywać	otrzymać
otwierać	otworzyć
otwierać się	otworzyć się
oznaczać	oznaczyć
padać	paść
palić	zapalić
pasować	spasować
patrzeć	popatrzeć
patrzyć	popatrzyć
pauzować	spauzować
pierzchać	pierzchnąć
pobierać	pobrać
pobierać	pobrać
pobierać się	pobrać się
pochlebiać	pochlebić
pochłaniać	pochłonąć
pociągać	pociągnąć
podawać	podać
podawać się do dymisji	podać się do dymisji
podążać	podążyć
podbijać	podbić
podchodzić	podejść
poddawać	poddać
podejmować	podjąć
podkreślać	podkreślić
podliczać	podliczyć
podnosić	podnieść
podnosić	podnieść
podnosić na duchu	podnieść na duchu
podnosić się	podnieść się
podobać się	spodobać się
podsumowywać	podsumować
podsuwać	podsunąć
podtrzymywać	podtrzymać
podtrzymywać	podtrzymać
podtrzymywać na duchu	podtrzymać na duchu
podważać	podważyć
podzielać	podzielić
pojawiać się	pojawić się
pojednywać	pojednać
pokazywać	pokazać
pokrywać	pokryć
polecać	polecić
pomieszkiwać	pomieszkać
pomijać	pominąć
pomijać	pominąć
ponaglać	ponaglić
ponosić odpowiedzialność	ponieść odpowiedzialność
ponosić porażkę	ponieść porażkę
popełniać	popełnić
popierać	poprzeć
popijać	popić
poprzedzać	poprzedzić
porównywać	porównać
poruszać	poruszyć
porządkować	uporządkować
poślubiać	poślubić
pospieszać	pospieszyć
posuwać	posunąć
posuwać się	posunąć się
poświadczać	poświadczyć
posyłać	posłać
posyłać uśmiech	posłać uśmiech
potęgować się	spotęgować się
potrząsać	potrząsnąć
potwierdzać	potwierdzić
powiadamiać	powiadomić
powlekać	powlec
powoływać	powołać
powracać	powrócić
powstrzymywać	powstrzymać
powtarzać	powtórzyć
pozdrawiać	pozdrowić
poznawać	poznać
pozostawać	pozostać
pozostawiać	pozostawić
pozostawić	pozostawiać
pozwalać	pozwolić
pozwalać	pozwolić
pozyskiwać	pozyskać
pożywiać się	pożywić się
prezentować	zaprezentować
prezentować	zaprezentować
próbować	spróbować
projektować	zaprojektować
prosić	poprosić
protestować	zaprotestować
przebrzmiewać	przebrzmieć
przebudzać się	przebudzić się
przechodzić	przejść
przechwytywać	przechwycić
przeciągać	przeciągnąć
przedkładać	przedłożyć
przedsiębrać	przedsięwziąć
przedstawiać się	przedstawić się
przedzierzgać	przedzierzgnąć
przedłużać	przedłużyć
przeglądać	przejrzeć
przegrywać	przegrać
przehandlowywać	przehandlować
przejmować	przejąć
przejmować się	przejąć się
przekazywać	przekazać
przekonywać	przekonać
przekraczać	przekroczyć
przekształcać	przekształcić
przekwaterowywać się	przekwaterować się
przelatywać	przelecieć
przemieniać	przemienić
przenosić	przenieść
przeobrażać	przeobrazić
przepełniać	przepełnić
przepowiadać	przepowiedzieć
przepraszać	przeprosić
przeprawiać się	przeprawić się
przeprowadzać	przeprowadzić
przeprowadzać się	przeprowadzić się
przepuszczać	przepuścić
przepytywać	przepytać
przerażać	przerazić
przerywać	przerwać
przerywać	przerwać
przestrzegać	przestrzec
przesuwać	przesunąć
przesyłać	przesłać
przesłuchiwać	przesłuchać
przesłuchiwać	przesłuchać
przeważać	przeważyć
przewozić	przewieźć
przewyższać	przewyższyć
przeznaczać	przeznaczyć
przełamywać	przełamać
przybliżać	przybliżyć
przybliżać się	przybliżyć się
przybywać	przybyć
przychodzić	przyjść
przyciągać	przyciągnąć
przydzielać	przydzielić
przygotowywać	przygotować
przyjeżdżać	przyjechać
przyjmować	przyjąć
przyjmować	przyjąć
przyjmować	przyjąć
przykrywać	przykryć
przymuszać	przymusić
przynęcać	przynęcić
przynosić	przynieść
przypadać do gustu	przypaść do gustu
przypominać	przypomnieć
przyprowadzać	przyprowadzić
przyrównywać	przyrównać
przystawać	przystać
przystawać	przystać
przystępować	przystąpić
przytaczać	przytoczyć
przywabiać	przywabić
przywoływać	przywołać
przyznawać	przyznać
przyznawać się	przyznać się
przyzwalać	przyzwolić
przyzywać	przyzwać
psuć	zepsuć
psuć	popsuć
puszczać	puścić
pytać	zapytać
pytać	spytać
płacić	zapłacić
płonąć	spłonąć
płynąć	wypłynąć
rachować	porachować
raczyć się	uraczyć się
reagować	zareagować
realizować	zrealizować
ręczyć	zaręczyć
regulować	uregulować
rekomendować	zarekomendować
replikować	zareplikować
rezygnować	zrezygnować
rosnąć	urosnąć
rozbudzać	rozbudzić
rozbudzać	rozbudzić
rozchylać się	rozchylić się
rozdawać	rozdać
rozeznawać	rozeznać
rozglądać się	rozejrzeć się
rozgrywać	rozegrać
rozkazywać	rozkazać
rozkradać	rozkraść
rozplanowywać	rozplanować
rozpoczynać	rozpocząć
rozporządzać	rozporządzić
rozpoznawać	rozpoznać
rozpływać się	rozpłynąć się
rozstawać się	rozstać się
rozstrzygać	rozstrzygnąć
rozstrzygać	rozstrzygnąć
rozszarpywać	rozszarpać
rozsznurowywać	rozsznurować
rozważać	rozważyć
rozwiązywać	rozwiązać
rozwiązywać	rozwiązać
rozwierać	rozewrzeć
rozwijać	rozwinąć
rozwijać się	rozwinąć się
rozwijać się	rozwinąć się
rozłamywać	rozłamać
ruszać	ruszyć
rwać	zerwać
rzucać	rzucić
rzucać	rzucić
schlebiać	schlebić
schodzić	zejść
ściągać	ściągnąć
ściągać	ściągnąć
ściągać	ściągnąć
ściekać	ścieknąć
selekcjonować	wyselekcjonować
siadać	siąść
sięgać	sięgnąć
sięgać	sięgnąć
sięgać korzeniami	sięgnąć korzeniami
skakać	skoczyć
skierowywać	skierować
skręcać	skręcić
skrywać	skryć
skrywać	skryć
skupiać się	skupić się
składać	złożyć
składać	uskładać
składać	złożyć
składać broń	złożyć broń
składać podziękowanie	złożyć podziękowanie
składać przeprosiny	złożyć przeprosiny
składać reklamację	złożyć reklamację
składać urząd	złożyć urząd
składać zeznanie	złożyć zeznanie
składać życzenia	złożyć życzenia
smakować	posmakować
spadać	spaść
śpiewać	zaśpiewać
spojrzeć	spoglądać
spowalniać	spowolnić
spożywać	spożyć
sprawiać	sprawić
sprowadzać	sprowadzić
sprzeciwiać się	sprzeciwić się
sprzedawać	sprzedać
spływać	spłynąć
starać się	wystarać się
starać się	postarać się
starczać	starczyć
stawać	stanąć
stawać się	stać się
stawiać	postawić
stawiać	postawić
straszyć	wystraszyć
streszczać	streścić
strzelać	strzelić
studiować	wystudiować
stwierdzić	stwierdzać
stwierdzić	twierdzić
sugerować	zasugerować
sumować	zsumować
świadczyć	zaświadczyć
sygnalizować	zasygnalizować
sytuować	usytuować
szacować	oszacować
szacować	wyszacować
szkodzić	zaszkodzić
szkolić się	wyszkolić się
służyć	posłużyć
targać	targnąć
telefonować	zatelefonować
tracić	stracić
trafiać	trafić
trafiać	trafić
truchleć	struchleć
tworzyć	stworzyć
tworzyć	utworzyć
tykać	tknąć
typować	wytypować
typować	wytypować
uchodzić	ujść
uchylać	uchylić
uciekać	uciec
udaremniać	udaremnić
uderzać	uderzyć
uderzać	uderzyć
uderzać	uderzyć
udostępniać	udostępnić
udowadniać	udowodnić
udzielać wypowiedzi	udzielić wypowiedzi
udzielać	udzielić
ugaszczać	ugościć
ujmować	ująć
ujmować	ująć
ukazywać	ukazać
ukazywać się	ukazać się
ukrywać	ukryć
układać	ułożyć
układać	ułożyć
układać się	ułożyć się
uleczać	uleczyć
ulegać	ulec
umierać	umrzeć
umieszczać	poumieszczać
umieszczać	umieścić
umykać	umknąć
uniemożliwiać	uniemożliwić
unosić	unieść
unosić się	unieść się
upaść	upadać
upodabniać się	upodobnić się
upominać	upomnieć
upominać się	upomnieć się
uprawomocniać się	uprawomocnić się
uprzystępniać	uprzystępnić
uprzywilejowywać	uprzywilejować
urządzać	urządzić
uśmiechać się	uśmiechnąć się
uśmiercać	uśmiercić
ustalać	ustalić
ustalać	ustalić
ustawać	ustać
ustawiać	ustawić
ustępować	ustąpić
usuwać	usunąć
usuwać	usunąć
utrzymywać	utrzymać
utrzymywać	utrzymać
utrzymywać	utrzymać
utrzymywać się	utrzymać się
uwijać się	uwinąć się
uzasadniać	uzasadnić
uzdrawiać	uzdrowić
uzgadniać	uzgodnić
uzupełniać	uzupełnić
użyczać	użyczyć
uzyskiwać	uzyskać
ułatwiać	ułatwić
wabić	zwabić
walić	walnąć
ważyć	zważyć
wchodzić	wejść
wchodzić w słowo	wejść w słowo
winszować	powinszować
witać	przywitać
witać	powitać
wkładać	włożyć
wlatywać	wlecieć
wnioskować	wywnioskować
wnioskować	zawnioskować
wnosić	wnieść
wpadać	wpaść
wprowadzać	wprowadzić
wprowadzać się	wprowadzić się
wpływać	wpłynąć
wschodzić	wzejść
wściekać	wściec
wściekać się	wściec się
wskazywać	wskazać
wskazywać	wskazać
wspierać	wesprzeć
wspinać się	wspiąć się
wstrzymywać	wstrzymać
wstrzymywać	wstrzymać
wszczynać	wszcząć
wtrącać się	wtrącić się
wybiegać	wybiec
wybierać	wybrać
wybijać	wybić
wybudzać	wybudzić
wychodzić	wyjść
wychodzić	wyjść
wychowywać	wychować
wychylać	wychylić
wyciągać	wyciągnąć
wyciągać konsekwencje	wyciągnąć konsekwencje
wyciągać rękę	wyciągnąć rękę
wycofywać się	wycofać się
wydawać	wydać
wydobywać	wydobyć
wydłużać	wydłużyć
wygniatać	wygnieść
wyjaśniać	wyjaśnić
wyjmować	wyjąć
wykazywać	wykazać
wykluczać	wykluczyć
wykopywać	wykopać
wykradać	wykraść
wykładać	wyłożyć
wykładać	wyłożyć
wylatywać	wylecieć
wylatywać z głowy	wylecieć z głowy
wylewać łzy	wylać łzy
wyliczać	wyliczyć
wyliczać	wyliczyć
wymawiać	wymówić
wymieniać	wymienić
wymieniać	wymienić
wymuszać	wymusić
wynikać	wyniknąć
wynosić	wynieść
wynosić	wynieść
wynosić się	wynieść się
wypadać	wypaść
wypełniać	wypełnić
wypełniać	wypełnić
wypełniać się	wypełnić się
wypijać	wypić
wypisywać się	wypisać się
wypowiadać	wypowiedzieć
wyprawiać	wyprawić
wyprowadzać się	wyprowadzić się
wypuszczać	wypuścić
wypuszczać	wypuścić
wypychać	wypchać
wypłacać	wypłacić
wypływać	wypłynąć
wyrastać	wyrosnąć
wyrastać	wyrosnąć
wyrażać	wyrazić
wyrokować	zawyrokować
wyróżniać	wyróżnić
wyruszać	wyruszyć
wyrywać	wyrwać
wyrywać	wyrwać
wyrzucać	wyrzucić
wysadzać	wysadzić
wyściubiać	wyściubić
wyśmiewać się	wyśmiać się
wystarczać	wystarczyć
wystawiać	wystawić
występować	wystąpić
występować	wystąpić
wystrzeliwać	wystrzelać
wysuwać wniosek	wysunąć wniosek
wysyłać	wysłać
wyszczególniać	wyszczególnić
wyszukiwać	wyszukać
wytracać prędkość	wytracić prędkość
wytrzymywać	wytrzymać
wytykać	wytknąć
wywiadywać się	wywiedzieć się
wywodzić się	wywieść się
wywoływać	wywołać
wywoływać	wywołać
wywoływać z pamięci	wywołać z pamięci
wywyższać	wywyższyć
wyzyskiwać	wyzyskać
wyłączać	wyłączyć
wyłuszczać	wyłuszczyć
wzbudzać	wzbudzić
wzmagać się	wzmóc się
wznosić	wznieść
wzywać	wezwać
włączać	włączyć
zabawiać	zabawić
zabierać	zabrać
zabierać	zabrać
zabierać głos	zabrać głos
zabierać się	zabrać się
zablokowywać	zablokować
zachęcać	zachęcić
zachodzić	zajść
zachwycać się	zachwycić się
zaciskać	zacisnąć
zaczynać	zacząć
żądać	zażądać
zadawać pytanie	zadać pytanie
zadawać	zadać
zadręczać	zadręczyć
zadręczać się	zadręczyć się
zadziwiać	zadziwić
zadziwiać się	zadziwić się
zaglądać	zajrzeć
zaglądać	zajrzeć
zagniatać	zagnieść
zagotować się	zagotowywać się
zajeżdżać	zajechać
zajmować	zająć
zajmować się	zająć się
zakupywać	zakupić
zakładać	założyć
zakładać się	założyć się
zalecać	zalecić
zaliczać	zaliczyć
zaliczać	zaliczyć
zamęczać	zamęczyć
zamieniać	zamienić
zamierzać	zamierzyć
zamykać	zamknąć
zanikać	zaniknąć
zanosić	zanieść
zaoszczędzać	zaoszczędzić
zapadać się	zapaść się
zapalać	zapalić
zapewniać	zapewnić
zapełniać	zapełnić
zapełniać się	zapełnić się
zapoczątkowywać	zapoczątkować
zapominać	zapomnieć
zapowiadać	zapowiedzieć
zapoznawać	zapoznać
zapożyczać się	zapożyczyć się
zapraszać	zaprosić
zaprzepaszczać	zaprzepaścić
zapuszczać oko	zapuścić oko
zapuszczać spojrzenie	zapuścić spojrzenie
zapuszczać wzrok	zapuścić wzrok
zapuszczać żurawia	zapuścić żurawia
zapytywać	zapytać
zarabiać	zarobić
zarzucać	zarzucić
zasądzać	zasądzić
zasięgać opinii	zasięgnąć opinii
zaskakiwać	zaskoczyć
zaślubiać	zaślubić
zasmucać	zasmucić
zaświadczać	zaświadczyć
zasługiwać	zasłużyć
zatrudnić	zatrudniać
zatrzymywać	zatrzymać
zatrzymywać	zatrzymać
zatrzymywać się	zatrzymać się
zauważać	zauważyć
zawiadamiać	zawiadomić
zawiązywać	zawiązać
zawierać	zawrzeć
zawierać	zawrzeć
zawierzać	zawierzyć
zawieszać	zawiesić
zawracać	zawrócić
zaznaczać	zaznaczyć
zbierać	zebrać
zbierać	zebrać
zbierać	zebrać
zbierać się	zebrać się
zbierać się	pozbierać się
zbliżać się	zbliżyć się
zbywać	zbyć
zdawać	zdać
zdawać	zdać
zdążać	zdążyć
zderzać	zderzyć
zderzać się	zderzyć się
zdumiewać	zdumieć
zdumiewać się	zdumieć się
żegnać	pożegnać
żegnać się	pożegnać się
zestawiać	zestawić
zeznawać	zeznać
zezwalać	zezwolić
zgadzać się	zgodzić się
zgadzać się	zgodzić się
zgniatać	zgnieść
zgromadzać	zgromadzić
zgromadzać	zgromadzić
zgładzać	zgładzić
zgłaszać się	zgłosić się
zgłosić	zgłaszać
zgłosić	zgłaszać
zjeżdżać	zjechać
zlecać	zlecić
zliczać	zliczyć
zmieniać	zmienić
zmieniać się	zmienić się
zmieniać	zmienić
zmuszać	zmusić
znajdować	znaleźć
znajdować się	znaleźć się
znikać	zniknąć
znosić	znieść
znosić	znieść
zostawać	zostać
zostawiać	zostawić
zostawić	zostawiać
zrywać	zerwać
zrywać	zerwać
zrzynać	zerżnąć
zstępować	zstąpić
zsuwać się	zsunąć się
zwabiać	zwabić
zwalniać	zwolnić
zwalniać	zwolnić
zwiedzać	zwiedzić
zwisać	zwisnąć
zwracać się	zwrócić się
zwyciężać	zwyciężyć
życzyć	pożyczyć
zyskiwać	zyskać
złączać	złączyć
łączyć	połączyć
łamać	złamać
łamać	złamać
zanieczyszczać	zanieczyścić
wykonywać czynności prawne	wykonać czynności prawne
produkować	wyprodukować
pisać	napisać
wzbudzać uczucia negatywne	wzbudzić uczucia negatywne
wzbudzać uczucia pozytywne	wzbudzić uczucia pozytywne
dofinansowywać	dofinansować
dekompletować	zdekompletować
dobrze wychodzić	dobrze wyjść
źle wychodzić	źle wyjść
najmować	nająć
wynajmować	wynająć
obdarzać	obdarzyć
odkupywać	odkupić
odnajmować	odnająć
zwijać	zwinąć
podprowadzić	podprowadzać
kosić	skosić
powierzać	powierzyć
pozbawiać	pozbawić
wyzuwać	wyzuć
pozbywać się	pozbyć się
dołączać	dołączyć
skupować	skupić
dopłacać	dopłacić
utrzymywać	utrzymać
wręczać	wręczyć
wyposażać	wyposażyć
zaopatrywać	zaopatrzyć
wyrzucać	wyrzucić
wywalać	wywalić
wyzbywać się	wyzbyć się
biednieć	zbiednieć
popadać w niedostatek	popaść w niedostatek
dorabiać się	dorobić się
zachowywać	zachować
zaciągać dług	zaciągnąć dług
zadłużać się	zadłużyć się
zaciągać pożyczkę	zaciągnąć pożyczkę
załatwiać	załatwić
zdobywać	zdobyć
zrzekać się	zrzec się
ubożeć	zubożeć
obrastać w piórka	obrosnąć w piórka
zbijać majątek	zbić majątek
przysparzać	przysporzyć
załączać	załączyć
przyłączać	przyłączyć
dokładać	dołożyć
dodawać	dodać
przywłaszczać	przywłaszczyć
odsprzedawać	odsprzedać
zużywać	zużyć
zatrzymywać	zatrzymać
wyprowadzać z równowagi	wyprowadzić z równowagi
wkurzać	wkurzyć
wkurwiać	wkurwić
wnerwiać	wnerwić
tracić panowanie nad sobą	stracić panowanie nad sobą
tracić nerwy	stracić nerwy
dawać się we znaki	dać się we znaki
dogryzać	dogryźć
załazić za skórę	zaleźć za skórę
dawać popalić	dać popalić
dawać do wiwatu	dać do wiwatu
obejmować	objąć
podbijać	podbić
zjednywać	zjednać
przenikać	przeniknąć
przywykać	przywyknąć
przyzwyczajać się	przyzwyczaić się
zżywać się	zżyć się
puszczać płazem	puścić płazem
zawodzić	zawieść
rozczulać	rozczulić
wzruszać	wzruszyć
rozrzewniać	rozrzewnić
rozczulać się	rozczulić się
wzruszać się	wzruszyć się
rozklejać się	rozkleić się
rozrzewniać się	rozrzewnić się
rozśmieszać	rozśmieszyć
tulić uszy po sobie	stulić uszy po sobie
ujmować	ująć
zdobywać przychylność	zdobyć przychylność
upadać na duchu	upaść na duchu
urzekać	urzec
satysfakcjonować	usatysfakcjonować
zadowalać	zadowolić
uspokajać	uspokoić
łagodzić	złagodzić
wyciszać	wyciszyć
czynić dobro	uczynić dobro
zaspokajać	zaspokoić
ranić	zranić
urażać	urazić
zwodzić	zwieść
wywyższać się	wywyższyć się
artykułować	wyartykułować
bić	pobić
brać	wziąć
chwycić	uchwycić
chwytać	chwycić
dostawać	dostać
działać	podziałać
dziękować	podziękować
liczyć	wyliczyć
liczyć	policzyć
nadawać	nadać
nakładać	nałożyć
nakładać	nałożyć
narastać	narosnąć
nazywać	nazwać
oceniać	ocenić
odbierać	odebrać
odbierać	odebrać
odbierać	odebrać
odbijać	odbić
oddawać	oddać
oddawać	oddać
odkrywać	odkryć
odmawiać pacierz	odmówić pacierz
oglądać	oglądnąć
oglądać	obejrzeć
ogłaszać	ogłosić
okrążać	okrążyć
okrążać	okrążyć
omawiać	omówić
orzekać	orzec
planować	zaplanować
planować	uplanować
pobierać	pobrać
podawać	podać
podchodzić	podejść
podejmować	podjąć
podskakiwać	podskoczyć
polecać	polecić
pośpieszać	pośpieszyć
postępować	postąpić
powtarzać	powtórzyć
poznawać	poznać
przechodzić	przejść
przedstawiać	przedstawić
przedstawiać	przedstawić
przedłużać	przedłużyć
przejmować się	przejąć się
przenosić	przenieść
przesłuchiwać	przesłuchać
przyjmować	przyjąć
przywoływać	przywołać
pytać	zapytać
pytać	przepytać
pytać	odpytać
reklamować	zareklamować
rozbawiać	rozbawić
rozwijać się	rozwinąć się
ruszać	ruszyć
schodzić	zejść
ściskać	ścisnąć
składać	złożyć
składać	złożyć
składać egzamin	złożyć egzamin
spieszyć się	pospieszyć się
śpiewać	wyśpiewać
sprowadzać	sprowadzić
sprowadzać	sprowadzić
sugerować	zasugerować
uderzać	uderzyć
układać	ułożyć
utrzymywać	utrzymać
wchodzić	wejść
wołać	zawołać
wpadać	wpaść
wpadać	wpaść
wstępować	wstąpić
wybijać	wybić
wydawać	wydać
wykorzystywać	wykorzystać
wylatywać	wylecieć
wynosić	wynieść
wynosić się	wynieść się
wypowiadać	wypowiedzieć
wypowiadać się	wypowiedzieć się
wypłacać	wypłacić
wystartować	startować
wystawiać	wystawić
wzrastać	wzrosnąć
wzywać	wezwać
włączać	włączyć
zachodzić	zajść
zachodzić	zajść
zajmować	zająć
zalecać	zalecić
zanosić	zanieść
zapowiadać	zapowiedzieć
zapraszać	zaprosić
zdawać egzamin	zdać egzamin
zdobywać	zdobyć
znikać	zniknąć
zwracać się	zwrócić się
zgarniać	zgarnąć
podpieprzać	podpieprzyć
obrabiać	obrobić
golić	ogolić
podpierdalać	podpierdolić
podpierdzielać	podpierdzielić
zachowywać	zachować
załatwiać	załatwić
odpuszczać	odpuścić
przebaczać	przebaczyć
olśniewać	olśnić
fascynować	zafascynować
zjednywać	zjednać
rozczarowywać się	rozczarować się
uspokajać	uspokoić
popijać	popić
wytwarzać	wytworzyć
chwalić się	pochwalić się
dodawać	dodać
dotykać	dotknąć
dotykać	dotknąć
poruszać	poruszyć
interpretować	zinterpretować
nadmieniać	nadmienić
przykazywać	przykazać
oświadczać	oświadczyć
oświadczać się	oświadczyć się
podnosić	podnieść
podejmować	podjąć
prosić o rękę	poprosić o rękę
popierać	poprzeć
radzić się	poradzić się
porozumiewać się	porozumieć się
potępiać	potępić
powtarzać	powtórzyć
przepowiadać	przepowiedzieć
żegnać się	pożegnać się
przerywać	przerwać
ucinać	uciąć
przypomnieć	przypominać
przyznawać	przyznać
radzić	poradzić
wydawać	wydać
ujmować się	ująć się
wtrącać się	wtrącić się
wtrącać swoje trzy grosze	wtrącić swoje trzy grosze
wydawać wyrok	wydać wyrok
wyznaczać	wyznaczyć
wzbraniać	wzbronić
zabraniać	zabronić
bukować	zabukować
denuncjować	zadenuncjować
zamawiać	zamówić
zamawiać	zamówić
zarządzać	zarządzić
poddawać próbie	poddać próbie
pojmować	pojąć
umiejscawiać	umiejscowić
uprzytamniać	uprzytomnić
urozmaicać	urozmaicić
słuchać	posłuchać
słuchać	usłuchać
wydawać się	wydać się
wymyślać	wymyślić
wymyślać	zwymyślać
zmuszać	zmusić
wymiotować	zwymiotować
nastawiać	nastawić
odkrywać	odkryć
odłączać	odłączyć
odsłaniać	odsłonić
odziewać	odziać
ozdabiać	ozdobić
podkreślać	podkreślić
dzielić	podzielić
porywać	porwać
przedzielać	przedzielić
przyciskać	przycisnąć
rozdzielać	rozdzielić
rozrywać	rozerwać
rozkładać	rozłożyć
rozkładać	rozłożyć
splatać	spleść
ubierać	ubrać
dekorować	udekorować
urywać	urwać
wciskać	wcisnąć
wpadać	wpaść
wydzierać	wydrzeć
wylewać	wylać
wyrywać	wyrwać
zakręcać	zakręcić
gasić	ugasić
gasić	zgasić
zdejmować	zdjąć
wiązać	związać
wiązać	związać
wyłaniać się	wyłonić się
wynurzać się	wynurzyć się
cofać	cofnąć
poruszać się	poruszyć się
dodawać gazu	dodać gazu
dotrzymywać kroku	dotrzymać kroku
dowozić	dowieźć
nadążać	nadążyć
nadsyłać	nadesłać
obejmować	objąć
oblewać	oblać
obracać się	obrócić się
obwieszać	obwiesić
odbijać się	odbić się
