zezwalać|zgadzać się|pozwalać|akceptować|godzić się|przystawać|przyzwalać|wyrażać zgodę	odwieszać
kręcić|obracać|okręcać	przekręcić
kręcić|obracać|okręcać	zakręcać
kręcić|obracać|okręcać	zakręcić
kręcić|obracać|okręcać	ukręcić
kręcić|obracać|okręcać	wkręcać
kręcić|obracać|okręcać	obtaczać
krytykować|dezaprobować|ganić|przyganiać	czepiać się|przyczepiać się|przypinać się|tykać się|doczepiać się
krzyknąć|wykrzyknąć|wrzasnąć|wydrzeć się	odwrzasnąć
krzyknąć|wykrzyknąć|wrzasnąć|wydrzeć się	odkrzyknąć
kształcić|uczyć|edukować|szkolić|nauczać	pouczyć
kupić|nabyć|zakupić|sprawić	zaimportować
kupić|nabyć|zakupić|sprawić	importować
kupić|nabyć|zakupić|sprawić	kupić
kupić|nabyć|zakupić|sprawić	wykupić
kupować|nabywać|zakupywać|sprawiać	wykupywać
kupować|nabywać|zakupywać|sprawiać	importować
kupować|nabywać|zakupywać|sprawiać	kupować
kłaść	zakładać
kłaść	obkładać|okładać
kłaść	składać|znosić
lać się|lecieć	sikać
lać się|lecieć	przelać się
lać się|lecieć	przelewać się
lać się|lecieć	rozlać się
lać się|lecieć	rozlewać się
szybować	poszybować
leczyć|kurować|uleczać	dowlec
lekceważyć|lekce sobie ważyć	przebimbać
leżeć	pobyczyć się|powylegiwać się
leżeć	zlec|zlegnąć
leżeć	przeleżeć
leżeć	poleżeć|przeleżeć
leżeć	tarzać się
liczyć|obliczać|obrachowywać|wyliczać	sprowadzać
liczyć|obliczać|obrachowywać|wyliczać	przeliczać
liczyć|obliczać|obrachowywać|wyliczać	przeliczyć
liczyć|obliczać|obrachowywać|wyliczać	wyznaczać
usuwać|likwidować|eliminować|pozbywać się	wyciągać
gnębić się|martwić się|gryźć się|zamartwiać się|trapić się|troszczyć się|trwożyć się	zamartwić się|zagryźć się
marzyć|fantazjować|roić|śnić	zamarzyć się
marzyć|fantazjować|roić|śnić	częstować
męczyć|znęcać się|pastwić się|maltretować	zastraszać
miąć|gnieść|giąć|międlić|wygniatać|zagniatać|zgniatać|tłamsić|miętosić	wgnieść|wgiąć
miąć|gnieść|giąć|międlić|wygniatać|zagniatać|zgniatać|tłamsić|miętosić	wgniatać|wginać
miąć|gnieść|giąć|międlić|wygniatać|zagniatać|zgniatać|tłamsić|miętosić	przygniatać
mieszać|bełtać	domieszać
mieszać|bełtać	wmieszać
mieszać|bełtać	rozrzedzić|rozgęścić
mieszkać|rezydować|zamieszkiwać	pomieszkać|posiedzieć
milczeć	pomilczeć
milczeć	przemilczeć|zmilczeć
milczeć	przemilczać
mówić	zapeszać
mówić	dogadywać się
mówić	zapędzić się
mówić	zapędzać się
mówić	dowalić
mówić	wypowiadać|mówić
mówić	dodawać|dopowiadać|nadmieniać
mówić	zauważyć
mówić	opowiedzieć
mówić	wyznawać
mówić	opowiadać
mówić	przerywać|wchodzić w słowo
mówić	wejść w słowo|przerwać
mówić	dogadać się
myśleć|rozumować|dumać|medytować|rozmyślać	domyślić się
myśleć|rozumować|dumać|medytować|rozmyślać	zinterpretować|zrozumieć
myśleć|rozumować|dumać|medytować|rozmyślać	wnioskować|konkludować|dochodzić do wniosku|wnosić|wyciągać wniosek|wyrozumowywać|wysnuwać wniosek
myśleć|rozumować|dumać|medytować|rozmyślać	skupiać się|koncentrować się
myśleć|rozumować|dumać|medytować|rozmyślać	domyślać się
oszukiwać|nabierać	zdzierać
oszukiwać|nabierać	golić
oszukiwać|nabierać	ściągać|zrzynać|odwalać|spisywać
nabrać|oszukać	podstawić
nabrać|oszukać	zedrzeć
nabrać|oszukać	ogolić
nabrać|oszukać	ściągnąć|spisać|zerżnąć|odwalić
nacisnąć|nagnieść|przycisnąć|wcisnąć	sprężać
nacisnąć|nagnieść|przycisnąć|wcisnąć	weprzeć|zaprzeć
nacisnąć|nagnieść|przycisnąć|wcisnąć	odbić|odcisnąć|odgnieść
nadać się	pójść
nadawać się|kwalifikować się	iść
nadawać się|kwalifikować się	wchodzić
nakazać|rozkazać	powołać
namawiać	naciągać
narzekać|skarżyć się|uskarżać się|utyskiwać|sarkać|stękać	ponarzekać
naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać	wzorować się
naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać	przejąć|przyswoić|zasymilować|zapożyczyć
naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać	przejmować|przyswajać|asymilować|zapożyczać
naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać	powtórzyć
naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać	powtarzać
nieść	donieść
nieść	podnieść
nieść	ponieść
nieść	zanosić|odnosić
niszczyć	atakować
nosić	przenosić
nosić	ponosić
nosić	nieść
obchodzić|okrążać|kręcić się	oborywać
zrozumieć|pojąć|objąć umysłem|ogarnąć umysłem|pochwycić|objąć	posłuchać
policzyć|obrachować|obliczyć|wyliczyć	przeliczyć się
policzyć|obrachować|obliczyć|wyliczyć	sprowadzić
policzyć|obrachować|obliczyć|wyliczyć	wyznaczyć
osądzać|sądzić|oceniać|wartościować	zawyrokować
osądzać|sądzić|oceniać|wartościować	wyrokować
ocenić|osądzić	przewartościować
odbierać	zabierać|odbierać|pozbawiać
zabierać|odbierać|pozbawiać	zniewalać
odbijać	lobować
oddziaływać|wpływać|rzutować|działać|wywierać wpływ	wdzierać się
oddziaływać|wpływać|rzutować|działać|wywierać wpływ	docierać
oddziaływać|wpływać|rzutować|działać|wywierać wpływ	hipnotyzować
zanieść|odnieść	odnieść
zanosić|odnosić	odnosić
odpowiadać|dawać odpowiedź|odpierać|odrzekać|udzielać odpowiedzi	rozmawiać|dialogować|mówić
spadać|padać|upadać	zawalić
spadać|padać|upadać	koziołkować
palić się|płonąć|spalać się	nadpalić się
świecić|palić się	poświecić
palić|ćmić|kurzyć|kopcić	napalić
palić|ćmić|kurzyć|kopcić	popalić
palić|ćmić|kurzyć|kopcić	pyknąć
palić|ćmić|kurzyć|kopcić	wypalić
palić|ćmić|kurzyć|kopcić	wypalać
pamiętać|nosić w pamięci|mieć w pamięci	zachować|przechować
spaść|polecieć|upaść|paść	przysypać
patrzeć|patrzyć|patrzeć się|patrzyć się	patrzeć|patrzyć|patrzeć się|patrzyć się|wypatrywać
patrzeć|patrzyć|patrzeć się|patrzyć się	patrolować|krążyć
patrzeć|patrzyć|patrzeć się|patrzyć się	przyjrzeć się|przypatrzyć się|obejrzeć|oglądnąć|przyglądnąć się
patrzeć|patrzyć|patrzeć się|patrzyć się	przyglądać się|przypatrywać się|oglądać
pić|drinkować|wypijać|wlewać ... w siebie	przepić
pić|drinkować|wypijać|wlewać ... w siebie	przepić się
pić|drinkować|wypijać|wlewać ... w siebie	przepić
pić|drinkować|wypijać|wlewać ... w siebie	przepić
pić|drinkować|wypijać|wlewać ... w siebie	opijać|oblewać
pić|drinkować|wypijać|wlewać ... w siebie	zapijać
pić|drinkować|wypijać|wlewać ... w siebie	zapić
pić|drinkować|wypijać|wlewać ... w siebie	upijać się|spijać się|opijać się|upajać się|zaprawiać się|zakrapiać się|zapijać|doprawiać się
pilnować|strzec|uważać|dopilnowywać	eskortować
pilnować|strzec|uważać|dopilnowywać	eskortować|konwojować|odprowadzać
planować|obmyślać|snuć|układać|rozplanowywać|programować|projektować	urządzać|organizować
planować|obmyślać|snuć|układać|rozplanowywać|programować|projektować	szykować
wziąć|pobrać	wymienić się|zamienić się
pochwalić	przechwalić
pochylić się|nachylić się|przychylić się|schylić się	ukłonić się|złożyć ukłon
podobać się	podniecać
podobać się	podniecić
podróżować|wojażować|wędrować	zjeździć|zjechać
podróżować|wojażować|wędrować	zawędrować|przywędrować
zachwycać się|achać|entuzjazmować się|fascynować się	zapatrywać się
zademonstrować|zaprezentować	zapoznać|zaznajomić
pokazywać	obnosić
pokazywać	wczytywać
pokazywać	pokazywać
wykluczać|wyłączać	wymanewrowywać
popierać|stać po stronie|trzymać stronę|brać stronę	przestać
popisać się	wystąpić
poprosić|zwrócić się z prośbą	trudzić|fatygować
porównać|skonfrontować|zderzyć|zestawić|przyrównać	zróżnicować
porównywać|konfrontować|zestawiać|zderzać|przyrównywać	różnicować
porównywać|konfrontować|zestawiać|zderzać|przyrównywać	identyfikować|utożsamiać
ruszać|poruszać	poruszać
użyć|posłużyć się|zastosować|wykorzystać|skorzystać	naużywać się
potwierdzać	świadczyć
powiedzieć|rzec	zapeszyć
powiedzieć|rzec	dodać|dopowiedzieć|nadmienić
powiedzieć|rzec	wyznać|zwierzyć|wyjawić
powiedzieć|rzec	powiedzieć|wypowiedzieć
powrócić|wrócić	zawrócić|wrócić|nawrócić|zawrócić się|wrócić się
powstać|utworzyć się	potworzyć się|popowstawać
pozwolić|zezwolić|zgodzić się|przystać|przyzwolić|zaakceptować|wyrazić zgodę	odwiesić
pracować|wykonywać	dopracować
pracować|wykonywać	wyrobić
pracować|wykonywać	wyrabiać
pracować|wykonywać	przepracowywać
pracować|wykonywać	przepracować
pracować|wykonywać	wysłużyć
pracować|wykonywać	zapracować
pracować|wykonywać	zarządzać|administrować|menedżerować|zawiadywać|gospodarować
pracować|wykonywać	awansować
zgłaszać|proponować	przedkładać|przedstawiać
prosić|zwracać się z prośbą	wypraszać|upraszać
kierować|prowadzić	poprowadzić
prowadzić|wieść	doprowadzać|sprowadzać|przyprowadzać
prowadzić|wieść	przywodzić
prowadzić|wieść	zaprowadzać
prowadzić|wieść	wprowadzać|wwodzić
prowadzić|wieść	oprowadzić
prowadzić|wieść	oprowadzać
prowadzić|wieść	wprowadzić|wwieść
prowadzić|wieść	doprowadzić|przyprowadzić|sprowadzić|zaprowadzić|przywieść
przeczytać	wczytać się
przeczytać	doczytać
przeczytać	przeczytać
przeczytać	oczytać się
przegrać|ponieść porażkę	wracać na tarczy
przegrać|ponieść porażkę	wrócić na tarczy
przegrać|ponieść porażkę	poddać
przegrywać|ponosić porażkę	poddawać
przegrywać|ponosić porażkę	poddawać się|składać broń|pasować|ulegać
przemieścić się|przenieść się	zrównać się
przenieść	przesadzić
straszyć	przestraszać
straszyć	przestraszyć|nastraszyć|wystraszyć|napędzić stracha
przesunąć	zasunąć
przesuwać|suwać|posuwać|sunąć	zasuwać
przesuwać|suwać|posuwać|sunąć	przysunąć
przesuwać|suwać|posuwać|sunąć	przysuwać
przeszkadzać|zawadzać	hałasować|robić hałas
odpytać|przepytać|zapytać	przeegzaminować
przewidzieć	obliczyć
przewidzieć	obliczyć
przeznaczać	przydzielać
przeznaczyć	przydzielić
przemieścić	osiedlić|osadzić
przyglądać się|przypatrywać się|oglądać	przyglądać się
przyglądać się|przypatrywać się|oglądać	przyglądnąć się|przyjrzeć się
przyglądać się|przypatrywać się|oglądać	poprzyglądać się
przynieść|donieść	znieść|złożyć
przynosić|donosić	donosić
przynosić|donosić	składać|znosić
przyznawać	dawać
wypuścić|puścić	popuścić
wypuszczać|puszczać	popuszczać
pytać|indagować|nagabywać|zapytywać|zapytywać się|zadawać pytanie|pytać się|zwracać się z pytaniem	wypytać|wypytać się
przepytywać|odpytywać|pytać	egzaminować
płakać|wylewać łzy|lać łzy|ronić łzy	przepłakać
płakać|wylewać łzy|lać łzy|ronić łzy	przepłakiwać
płakać|wylewać łzy|lać łzy|ronić łzy	przepłakać
płakać|wylewać łzy|lać łzy|ronić łzy	wypłakać się
płakać|wylewać łzy|lać łzy|ronić łzy	wypłakać się
płakać|wylewać łzy|lać łzy|ronić łzy	wypłakiwać się
płakać|wylewać łzy|lać łzy|ronić łzy	jęczeć
płakać|wylewać łzy|lać łzy|ronić łzy	opłakać
płynąć|iść	podpłynąć
płynąć|iść	podpływać
płynąć|iść	zalać
płynąć|iść	zalewać
płynąć|iść	wlać się
płynąć|iść	wlewać się
płynąć|iść	napłynąć|nabiec|nabiegnąć
płynąć|iść	napływać|nabiegać
płynąć|iść	rozpłynąć się
płynąć|iść	rozpływać się
płynąć|iść	spłynąć
płynąć|iść	wpłynąć
płynąć|iść	wpływać
płynąć|iść	odpływać|uchodzić|ściekać
płynąć|iść	nadbiec|nadbiegnąć
płynąć|iść	lać się|lecieć
reagować	odreagować
reagować	odreagowywać
reklamować|promować	lansować
rozglądać się|oglądać się	porozglądać się
zaczynać|rozpoczynać|inicjować|wszczynać|poczynać	zaserwować
przemyśleć	namyślić się
rozszyfrować|rozgryźć	odszyfrować|rozszyfrować|zdekodować
rozszyfrowywać|rozgryzać	dekodować|odszyfrowywać|rozszyfrowywać
rozwiązywać|rozwikływać|rozsupływać	wyplątywać
rozwiązywać|rozwikływać|rozsupływać	wyplątać
ruszać|poruszać|wprawiać w ruch	zaanimować
ruszać|poruszać|wprawiać w ruch	animować
drzeć	drzeć|zdzierać|obdzierać|odzierać
rzucać|ciskać|miotać	narzucać|zarzucać
rzucać|ciskać|miotać	trafiać|utrafiać|wcelowywać|celować
rzucać|ciskać|miotać	odrzucić
rzucać|ciskać|miotać	odrzucać
rzucać|ciskać|miotać	porzucać
rzucać|ciskać|miotać	wrzucać
rzucać|ciskać|miotać	przerzucać
rzucać|ciskać|miotać	odrzucać
rzucać|ciskać|miotać	odrzucić
ukryć|schować|skryć	zachować|zatrzymać|schować
sformułować|wyrazić|ująć|wyartykułować	rozwlec
sformułować|wyrazić|ująć|wyartykułować	rzucić
siadać	przysiąść
siadać	przysiadać|przysiadywać
siadać	obsiąść
siadać	obsiadać
siadać	rozsiąść się
siadać	rozsiadać się
siadać	przysiadać się|dosiadać się
siedzieć	posiedzieć
podskakiwać|skakać	krzesać hołubce
skakać	obszczekiwać
skakać	zeskoczyć
skakać	zeskakiwać
skakać	przeskakiwać
skakać	poskakać
skakać	doskoczyć
skakać	uskakiwać
skakać	doskakiwać
skakać	doskakiwać|przyskakiwać
skakać	doskoczyć|przyskoczyć
skakać	odskakiwać
skakać	odskoczyć
rzucać się|skakać	nurkować
rzucać się|skakać	zanurkować
zwrócić się|skierować się|obrócić się	obejrzeć się|oglądnąć się
ukraść|skraść|zwinąć	okraść|obrobić
zmniejszyć|pomniejszyć	odwodnić
szpiegować|śledzić|inwigilować	węszyć
czołgać się|pełzać|pełznąć	przeczołgiwać się
czołgać się|pełzać|pełznąć	przepełznąć|przeczołgać się
czołgać się|pełzać|pełznąć	podczołgać się
czołgać się|pełzać|pełznąć	podczołgiwać się
czołgać się|pełzać|pełznąć	poczołgać się|popełznąć
czołgać się|pełzać|pełznąć	wyczołgać się|wypełznąć
czołgać się|pełzać|pełznąć	wyczołgiwać się|wypełzać
czołgać się|pełzać|pełznąć	wczołgać się|wpełznąć
czołgać się|pełzać|pełznąć	wczołgiwać się|wpełzać|wślizgiwać się|wsuwać się
czołgać się|pełzać|pełznąć	odczołgać się|odpełznąć
czołgać się|pełzać|pełznąć	odczołgiwać się
czołgać się|pełzać|pełznąć	doczołgać się|przyczołgać się|dopełznąć
czołgać się|pełzać|pełznąć	doczołgiwać się|przyczołgiwać się|dopełzać
spać	przesypiać
spać	przespać
spać	przesypiać
spać	przespać
spać	przespać
spać	przesypiać
spać	lunatykować
spać	pospać
spać	wyspać się|dospać
spać	wysypiać się|dosypiać
spać	odespać
spać	odsypiać
spać	przespać się
uwijać się|pośpieszać|spieszyć się|śpieszyć się|galopować|pospieszać	połykać|przełykać|łykać|chapać
śpiewać|odśpiewywać	pośpiewać
śpiewać|odśpiewywać	dośpiewać
śpiewać|odśpiewywać	kolędować
spoglądać|kierować spojrzenie|kierować wzrok	obcinać
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	wyjadać
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	wyjeść
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	ufetować się|uraczyć się
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	posilać|pożywiać
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	posilić|pożywić
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	przejeść
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	przejadać
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	odpaść się
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	przejeść się
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	smakować
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	odpasać się
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	mlaskać|ciamkać
jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się	objadać
stawiać|ustawiać	nastawiać się
stawiać|ustawiać	przestawić
stawiać|ustawiać	podstawić
stawiać|ustawiać	podstawiać
stawiać|ustawiać	przestawiać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	przestrzelać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	wstrzeliwać się
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	kropnąć
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	chybić|spudłować
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	chybiać|pudłować
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	postrzelać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	postrzelać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	trafiać|utrafiać|wcelowywać|celować
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	zestrzeliwać|strącać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	zestrzelić|strącić
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	odstrzelić
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	odstrzeliwać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	odstrzelić
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	odstrzeliwać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	przestrzeliwać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	ostrzelać|obstrzelać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	ostrzeliwać|obstrzeliwać
szacować|oceniać	przeszacować
szacować|oceniać	wycyrklować
szacować|oceniać	cyrklować
szepnąć|powiedzieć na ucho	odszepnąć
szeptać|mówić na ucho	odszeptywać
szeptać|mówić na ucho	podszepnąć
szeptać|mówić na ucho	podszeptywać
tańczyć|pląsać|tańcować	natańczyć się
tańczyć|pląsać|tańcować	roztańczyć się
tańczyć|pląsać|tańcować	przetańczyć
tańczyć|pląsać|tańcować	potańczyć
toczyć|przetaczać|turlać|kulać|taczać	wytoczyć
toczyć|przetaczać|turlać|kulać|taczać	wytaczać
