desperacja	desperować
licowanie	licować
gaszenie	gasić
zagaszanie	zagaszać
kłócenie się	kłócić się
kolidowanie	kolidować
zgrzytanie	zgrzytać
odpowiadanie	odpowiadać
przystawanie	przystawać
zależenie	zależeć
warunkowanie	warunkować
graniczenie	graniczyć
ocieranie się	ocierać się
współistnienie	współistnieć
koegzystowanie	koegzystować
górowanie	górować
przewyższanie	przewyższać
przebijanie	przebijać
przypominanie	przypominać
przewyższanie	przewyższać
przerastanie	przerastać
pasowanie	pasować
harmonizowanie	harmonizować
komponowanie się	komponować się
korelowanie	korelować
współbrzmienie	współbrzmieć
korespondowanie	korespondować
wkomponowywanie się	wkomponowywać się
współgranie	współgrać
godzenie się	godzić się
przyćmiewanie	przyćmiewać
kontrastowanie	kontrastować
wyrastanie ponad ...	wyrastać
przypadanie	przypadać
dostawanie się	dostawać się
okrajanie się	okrajać się
okrawanie się	okrawać się
królowanie	królować
przygaszanie	przygaszać
bycie, pozostawanie w jakiejś relacji do czegoś	być, pozostawać w jakiejś relacji do czegoś
uzupełnianie się	uzupełniać się
dopełnianie się	dopełniać się
różnienie się	różnić się
odbieganie	odbiegać
odróżnianie się	odróżniać się
odstawanie	odstawać
rozbłyskanie	rozbłyskać
rozbłyskiwanie	rozbłyskiwać
noszenie	nosić
GERUNDIUM - STAN NDK oznaczający relacje ponadczasowe i abstrakcyjne	CZASOWNIK - STAN NDK oznaczający relacje ponadczasowe i abstrakcyjne
poprzedzanie	poprzedzać
kontaktowanie	kontaktować
sylabizowanie	sylabizować
dukanie	dukać
wyróżnianie się	wyróżniać się
wybijanie się	wybijać się
dominowanie	dominować
przeważanie	przeważać
górowanie	górować
wystarczanie	wystarczać
rządzenie	rządzić
chcenie	chcieć
wypływanie	wypływać
słynięcie	słynąć
szczycenie się	szczycić się
zalecanie się	zalecać się
brylowanie	brylować
bycie w stanie	być w stanie
pozostawanie w mocy	być w mocy
panowanie	panować
celowanie	celować
wpadanie	wpadać
błyszczenie	błyszczeć
noszenie	nosić
bycie zmuszonym	być zmuszonym
czytanie	czytać
obniżanie się	obniżać się
spadanie	spadać
pochylanie się	pochylać się
opadanie	opadać
wznoszenie się	wznosić się
dochodzenie	dochodzić
dobieganie	dobiegać
krzyżowanie się	krzyżować się
przecinanie się	przecinać się
zlewanie się	zlewać się
piętrzenie się	piętrzyć się
wypiętrzanie się	wypiętrzać się
łączenie się	łączyć się
stykanie się	stykać się
schodzenie się	schodzić się
zbieganie się	zbiegać się
przecinanie	przecinać
bycie jakoś usytuowanym	być jakoś usytuowanym
wystrzelanie	wystrzelać
przyleganie	przylegać
dotykanie	dotykać
przytykanie	przytykać
sąsiadowanie	sąsiadować
graniczenie	graniczyć
ogarnianie	ogarniać
spowijanie	spowijać
okręcanie się	okręcać się
omotywanie się	omotywać się
oplatanie	oplatać
oplątywanie	oplątywać
oplątywanie się	oplątywać się
owijanie się	owijać się
zawijanie się	zawijać się
oplatanie się	oplatać się
opływanie	opływać
nawijanie się	nawijać się
oblewanie	oblewać
obmywanie	obmywać
omywanie	omywać
owiewanie	owiewać
osnuwanie	osnuwać
opasywanie	opasywać
przepasywanie	przepasywać
okalanie	okalać
obramowywanie	obramowywać
ogradzanie	ogradzać
ograniczanie	ograniczać
muskanie	muskać
przyprószanie	przyprószać
zalewanie	zalewać
zatapianie	zatapiać
podtapianie	podtapiać
obsypywanie	obsypywać
osypywanie	osypywać
oblepianie	oblepiać
oprószanie	oprószać
zachwaszczanie	zachwaszczać
pokrywanie	pokrywać
okrywanie	okrywać
oszranianie	oszraniać
obladzanie	obladzać
owiewanie	owiewać
porastanie	porastać
obrastanie	obrastać
zarastanie	zarastać
nachodzenie	nachodzić
zachodzenie	zachodzić
przykrywanie	przykrywać
sterczenie	sterczeć
stanie	stać
stanie sztorcem	stać sztorcem
pokrywanie	pokrywać
mieszczenie się	mieścić się
wchodzenie	wchodzić
bycie jakoś usytuowanym względem czegoś	być jakoś usytuowanym względem czegoś
włażenie	włazić
poprzedzanie	poprzedzać
krycie	kryć
otulanie	otulać
wystawanie	wystawać
zaśmiecanie	zaśmiecać
wyrastanie	wyrastać
górowanie	górować
ciągnięcie się	ciągnąć się
zachowywanie się	zachowywać się
dłużenie się	dłużyć się
wleczenie się	wlec się
dożywanie	dożywać
zachowywanie się	zachowywać się
przechowywanie się	przechowywać się
zostawanie	zostawać
pozostawanie	pozostawać
przepływanie	przepływać
mijanie	mijać
płynięcie	płynąć
biegnięcie	biegnąć
biegnięcie	biec
upływanie	upływać
zostawanie	zostawać
pozostawanie	pozostawać
kwaszenie się	kwasić się
kiszenie się	kisić się
ukwaszanie się	ukwaszać się
zakiszanie się	zakiszać się
zakwaszanie się	zakwaszać się
konserwowanie się	konserwować się
marynowanie się	marynować się
umykanie	umykać
przemykanie	przemykać
trwanie	trwać
współżycie	współżyć
życie	żyć
kumplowanie się	kumplować się
kolegowanie się	kolegować się
przyjaźnienie się	przyjaźnić się
przestawanie	przestawać
obcowanie	obcować
zadawanie się	zadawać się
należenie	należeć
zawdzięczanie	zawdzięczać
przynależenie	przynależeć
bycie własnością	być własnością
należenie	należeć
pochodzenie	pochodzić
wywodzenie się	wywodzić się
odpowiadanie	odpowiadać
pozostawanie w jakichś relacjach społecznych	być, pozostawać w jakichś relacjach społecznych
pospolitowanie się	pospolitować się
pasjonowanie	pasjonować
zauważanie	zauważać
zwracanie uwagi	zwracać uwagę
przykuwanie uwagi	przykuwać uwagę
pochłanianie	pochłaniać
absorbowanie	absorbować
zaprzątanie	zaprzątać
zaprzątywanie	zaprzątywać
interesowanie	interesować
ciekawienie	ciekawić
frapowanie	frapować
zaciekawianie	zaciekawiać
zajmowanie	zajmować
pociąganie	pociągać
nęcenie	nęcić
kuszenie	kusić
magnetyzowanie	magnetyzować
mamienie	mamić
przyciąganie	przyciągać
przynęcanie	przynęcać
przywabianie	przywabiać
wabienie	wabić
zwabianie	zwabiać
znęcanie	znęcać
przyganianie	przyganiać
kalkulowanie	kalkulować
manienie	manić
intrygowanie	intrygować
uderzanie	uderzać
zastanawianie	zastanawiać
dawanie do myślenia	dawać do myślenia
smakowanie	smakować
przypadanie do smaku	przypadać do smaku
izolowanie	izolować
lubienie	lubić
ciągnięcie się	ciągnąć się
kosztowanie	kosztować
stanie	stać
ciążenie	ciążyć
ciągnięcie	ciągnąć
stanie	stać
posiadanie jakiegoś parametru, cechy, cechowanie się	mieć jakiś parametr, cechę
przepuszczanie	przepuszczać
wymaganie	wymagać
potrzebowanie	potrzebować
przeciekanie	przeciekać
cieknięcie	ciec
cieknięcie	cieknąć
kończenie się	kończyć się
kłanianie się	kłaniać się
zgadzanie się	zgadzać się
kazanie	kazać
nakazywanie	nakazywać
przewodzenie	przewodzić
odpowiadanie	odpowiadać
pasowanie	pasować
dogadzanie	dogadzać
konweniowanie	konweniować
leżenie	leżeć
urządzanie	urządzać
wystarczanie	wystarczać
starczanie	starczać
wychodzenie	wychodzić
pisanie się	pisać się
kończenie się	kończyć się
urywanie się	urywać się
zaciekanie	zaciekać
zamykanie się	zamykać się
ważenie	ważyć
przemakanie	przemakać
przemaczanie się	przemaczać się
kłucie w zęby	kłuć w zęby
dostawanie	dostawać
cieszenie się	cieszyć się
unikanie	unikać
stronienie	stronić
należenie się	należeć się
zasługiwanie	zasługiwać
liczenie	liczyć
wynoszenie	wynosić
wykazywanie się	wykazywać się
krycie	kryć
tchnięcie	tchnąć
dosięganie	dosięgać
dostawanie	dostawać
miewanie	miewać
noszenie	nosić
wałkonienie się	wałkonić się
wywijanie się	wywijać się
wymigiwanie się	wymigiwać się
miganie się	migać się
wystrzeganie się	wystrzegać się
kierowanie	kierować
zarządzanie	zarządzać
kontrolowanie	kontrolować
zawiadywanie	zawiadywać
dziczenie	dziczeć
zrzeszanie	zrzeszać
stowarzyszanie	stowarzyszać
dorastanie	dorastać
trącenie	trącić
zalatywanie	zalatywać
zapowiadanie się	zapowiadać się
sięganie	sięgać
nazywanie się	nazywać się
zwanie się	zwać się
charakteryzowanie się	charakteryzować się
cechowanie się	cechować się
posiadanie	posiadać
odznaczanie się	odznaczać się
noszenie	nosić
gruntowanie	gruntować
odnajdowanie się	odnajdować się
odnajdywanie się	odnajdywać się
wychodzenie	wychodzić
utrzymywanie się	utrzymywać się
życie	żyć
życie	żyć
bytowanie	bytować
egzystowanie	egzystować
prowadzenie życia	prowadzić życie
podtrzymywanie	podtrzymywać
utrzymywanie	utrzymywać
biedowanie	biedować
ubieranie się	ubierać się
noszenie się	nosić się
pieczenie się	piec się
czucie się	czuć się
kwitnięcie	kwitnąć
podsmażanie się	podsmażać się
czesanie się	czesać się
znajdowanie się	znajdować się
wrzenie	wrzeć
gotowanie się	gotować się
robienie się	robić się
drukowanie się	drukować się
warzenie się	warzyć się
gotowanie się	gotować się
drętwienie	drętwieć
miewanie się	miewać się
odbijanie się	odbijać się
odzwierciedlanie się	odzwierciedlać się
przeglądanie się	przeglądać się
łożyskowanie	łożyskować
wyglądanie	wyglądać
prezentowanie się	prezentować się
przedstawianie się	przedstawiać się
wypadanie	wypadać
trzymanie	trzymać
GERUNDIUM - STAN NDK oznaczający stan fizyczny	CZASOWNIK - STAN NDK oznaczający stan fizyczny
markowanie	markować
wegetowanie	wegetować
koczowanie	koczować
opiekanie się	opiekać się
przeżywanie	przeżywać
smażenie się	smażyć się
konsternowanie się	konsternować się
rozżalanie się	rozżalać się
rozgoryczanie się	rozgoryczać się
tremowanie się	tremować się
histeryzowanie	histeryzować
panikowanie	panikować
banie się spojrzenia w oczy	bać się spojrzeć w oczy
wstydzenie się	wstydzić się
banie się	bać się
lękanie się	lękać się
obawianie się	obawiać się
drżenie	drżeć
zawodzenie się	zawodzić się
rozczarowywanie się	rozczarowywać się
trwożenie się	trwożyć się
truchlenie	truchleć
tęsknienie	tęsknić
konfundowanie się	konfundować się
niepokojenie się	niepokoić się
denerwowanie się	denerwować się
gorączkowanie się	gorączkować się
gniewanie się	gniewać się
podłamywanie się	podłamywać się
rozsypywanie się	rozsypywać się
tragizowanie	tragizować
robienie tragedii	robić tragedię
dramatyzowanie	dramatyzować
opłakiwanie	opłakiwać
płakanie	płakać
patrzenie	patrzeć
patrzenie się	patrzeć się
żałowanie	żałować
stresowanie się	stresować się
wrzenie	wrzeć
peszenie się	peszyć się
detonowanie się	detonować się
deprymowanie się	deprymować się
zawstydzanie się	zawstydzać się
mieszanie się	mieszać się
płoszenie się	płoszyć się
pękanie	pękać
dbanie	dbać
żywienie do kogoś uczucia negatywnego	żywić do kogoś uczucie negatywne
baranienie	baranieć
głupienie	głupieć
durnienie	durnieć
żenowanie się	żenować się
wstydzenie się	wstydzić się
nienawidzenie	nienawidzić
lamentowanie	lamentować
zamykanie się	zamykać się
banie się spojrzenia w oczy	bać się spojrzeć w oczy
rozpaczanie	rozpaczać
zazdroszczenie	zazdrościć
załamywanie się	załamywać się
łamanie się	łamać się
sromanie się	sromać się
kłopotanie się	kłopotać się
niepokojenie się	niepokoić się
przejmowanie się	przejmować się
wstydzenie się	wstydzić się
krępowanie się	krępować się
odczuwanie wstydu	odczuwać wstyd
desperowanie	desperować
doświadczanie negatywnego uczucia	doświadczać negatywnego uczucia
kochanie	kochać
obdarzanie uczuciem	obdarzać uczuciem
darzenie uczuciem	darzyć uczuciem
darzenie miłością	darzyć miłością
obdarzanie miłością	obdarzać miłością
miłowanie	miłować
ufanie	ufać
zawierzanie	zawierzać
żywienie wiary	żywić wiarę
wierzenie	wierzyć
uwielbianie	uwielbiać
wielbienie	wielbić
przepadanie	przepadać
ubóstwianie	ubóstwiać
szalenie	szaleć
czczenie	czcić
żywienie do kogoś pozytywnych uczuć	żywić do kogoś uczucie pozytywne
lubienie	lubić
sympatyzowanie	sympatyzować
sprzyjanie	sprzyjać
cenienie	cenić
docenianie	doceniać
dowierzanie	dowierzać
respektowanie	respektować
opieranie się	opierać się
obdarowywanie	obdarowywać
obdarzanie	obdarzać
darzenie uczuciem	darzyć uczuciem
obdarzanie uczuciem	obdarzać uczuciem
darzenie	darzyć
przelewanie	przelewać
szanowanie	szanować
poważanie	poważać
liczenie się	liczyć się
chylenie głowy	chylić głowę
chylenie czoła	chylić czoła
rozkoszowanie się	rozkoszować się
delektowanie się	delektować się
lubowanie się	lubować się
napawanie się	napawać się
nasycanie się	nasycać się
zachłystywanie się	zachłystywać się
nurzanie się	nurzać się
pławienie się	pławić się
tarzanie się	tarzać się
odczuwanie zadowolenia	odczuwać zadowolenie
pojenie się	poić się
pasienie się	paść się
wzruszanie się	wzruszać się
rozczulanie się	rozczulać się
roztkliwianie się	roztkliwiać się
rozklejanie się	rozklejać się
rozrzewnianie się	rozrzewniać się
rozkrochmalanie się	rozkrochmalać się
promienienie	promienieć
upajanie się	upajać się
lubienie	lubić
gustowanie	gustować
doświadczanie pozytywnego uczucia	doświadczać pozytywnego uczucia
rozsmakowywanie się	rozsmakowywać się
smakowanie	smakować
chlubienie się	chlubić się
odczuwanie dumy	odczuwać dumę
pieszczenie się	pieścić się
kochanie się	kochać się
odurzanie się	odurzać się
podbudowywanie się	podbudowywać się
upajanie się	upajać się
podziwianie	podziwiać
upijanie się	upijać się
chowanie	chować
żywienie	żywić
garnięcie się	garnąć się
ciągnięcie	ciągnąć
lgnięcie	lgnąć
kochanie się	kochać się
szarpanie się	szarpać się
noszenie w sercu	nosić w sercu
noszenie w sobie	nosić w sobie
noszenie w duszy	nosić w duszy
niesienie	nieść
palenie się	palić się
kwapienie się	kwapić się
czucie	czuć
odczuwanie	odczuwać
uczuwanie	uczuwać
potrzebowanie	potrzebować
pałanie	pałać
gorzenie	gorzeć
gorenie	goreć
podkochiwanie się	podkochiwać się
durzenie się	durzyć się
chcenie	chcieć
posiadanie chęci	mieć chęć
posiadanie ochoty	mieć ochotę
życzenie sobie	życzyć sobie
bujanie się	bujać się
podleganie	podlegać
dziwienie się	dziwić się
zdumiewanie się	zdumiewać się
zadziwianie się	zadziwiać się
dziwowanie się	dziwować się
kcenie	kcieć
fcenie	fcieć
wczuwanie się	wczuwać się
rozumienie	rozumieć
pasjonowanie się	pasjonować się
bycie świadomym	być świadomym
odkrywanie	odkrywać
posiadanie	posiadać
solidaryzowanie się	solidaryzować się
kumanie	kumać
czajenie	czaić
chwytanie	chwytać
łapanie	łapać
kapowanie	kapować
jarzenie	jarzyć
kontaktowanie	kontaktować
zwracanie uwagi	zwracać uwagę
rozumienie	rozumieć
kojarzenie	kojarzyć
pojmowanie	pojmować
oczekiwanie	oczekiwać
czekanie	czekać
nasłuchiwanie	nasłuchiwać
przysłuchiwanie się	przysłuchiwać się
wsłuchiwanie się	wsłuchiwać się
łowienie uchem	łowić uchem
nadsłuchiwanie	nadsłuchiwać
obejmowanie	obejmować
ogarnianie	ogarniać
rozumienie	rozumieć
spodziewanie się	spodziewać się
czucie	czuć
wyczuwanie	wyczuwać
poczuwanie się	poczuwać się
liczenie	liczyć
interesowanie się	interesować się
ciekawienie się	ciekawić się
zaciekawianie się	zaciekawiać się
czyhanie	czyhać
GERUNDIUM - STAN NDK oznaczający stan psychiczny intelektualny	CZASOWNIK - STAN NDK oznaczający stan psychiczny intelektualny
rozumienie	rozumieć
posiadanie nadziei	mieć nadzieję
tuszenie	tuszyć
wieńczenie	wieńczyć
zwieńczanie	zwieńczać
wychodzenie	wychodzić
pojawianie się	pojawiać się
odpadanie	odpadać
odchodzenie	odchodzić
zianie nudą	ziać nudą
zionięcie nudą	zionąć nudą
wianie nudą	wiać nudą
preferowanie	preferować
przedkładanie	przedkładać
wierzenie	wierzyć
wyglądanie	wyglądać
trzymanie	trzymać
ostawanie się	ostawać się
tłoczenie się	tłoczyć się
wchodzenie	wchodzić
pulsowanie	pulsować
tętnienie	tętnić
wychodzenie	wychodzić
poleganie	polegać
zianie pustką	ziać pustką
zionięcie pustką	zionąć pustką
ukazywanie się	ukazywać się
tworzenie	tworzyć
składanie się	składać się
współtworzenie	współtworzyć
czekanie	czekać
rekrutowanie się	rekrutować się
kończenie	kończyć
zakończanie	zakończać
zakańczanie	zakańczać
służenie	służyć
swawolenie	swawolić
krycie się	kryć się
zawieranie się	zawierać się
mieszczenie się	mieścić się
rymowanie się	rymować się
utrzymywanie się	utrzymywać się
zdawanie się	zdawać się
zamykanie	zamykać
odchodzenie	odchodzić
GERUNDIUM - STAN NDK oznaczający stan emocjonalny	CZASOWNIK - STAN NDK oznaczający stan emocjonalny
zostawanie	zostawać
brakowanie	brakować
pokutowanie	pokutować
przekładanie	przekładać
ufanie	ufać
wierzenie	wierzyć
wątpienie	wątpić
powątpiewanie	powątpiewać
wirowanie	wirować
zaleganie	zalegać
bycie	być
GERUNDIUM - STAN NDK oznaczający stan mentalny	CZASOWNIK - STAN NDK oznaczający stan mentalny
przenikanie	przenikać
wakowanie	wakować
tonięcie	tonąć
zapadanie	zapadać
stanowienie	stanowić
powracanie	powracać
wracanie	wracać
rumienienie się	rumienić się
rudzenie	rudzieć
uwydatnianie się	uwydatniać się
odznaczanie się	odznaczać się
czernienie	czernieć
czernienie się	czernić się
ciemnienie	ciemnieć
błękitnienie	błękitnieć
bielenie	bieleć
bielenie się	bielić się
żółcenie	żółcieć
żółcenie się	żółcić się
szarzenie	szarzeć
zielenienie	zielenieć
zielenienie się	zielenić się
czerwienienie	czerwienieć
czerwienienie się	czerwienić się
purpurowienie	purpurowieć
rudzenie	rudzieć
odcinanie się	odcinać się
wyróżnianie się	wyróżniać się
kontrastowanie	kontrastować
odgraniczanie się	odgraniczać się
wyodrębnianie się	wyodrębniać się
granatowienie	granatowieć
brązowienie	brązowieć
brązowienie się	brązowić się
brunatnienie	brunatnieć
brunatnienie się	brunatnić się
różowienie	różowieć
różowienie się	różowić się
niebieszczenie	niebieszczeć
