administracyjny	administracja
przedmiotowy	przedmiot
metodyczny	metodyka
samczy	samiec
nałogowy	nałóg
operacyjny	operacja
personalny	persona
rzymski	Rzym
senny	sen
solankowy	solanka
inicjacyjny	inicjacja
przejazdowy	przejazd
poligraficzny	poligrafia
drukarski	druk
arlekinowy	arlekin
szambowy	szambo
sprężynowy	sprężyna
dymorficzny	dymorfizm
faktograficzny	faktografia
eposowy	epos
futbolowy	futbol
wapienny	wapień
graniowy	grań
kefirowy	kefir
nowotworowy	nowotwór
lesbijski	lesbijka
agnostyczny	agnostycyzm
teocentryczny	teocentryzm
gejowski	gej
liczbowy	liczba
szatański	szatan
renesansowy	renesans
ptaszęcy	ptaszę
wrocławski	Wrocław
żałobny	żałoba
pogrzebowy	pogrzeb
pochówkowy	pochówek
weselny	wesele
albański	Albańczyk
albański	Albania
andorski	Andora
belgijski	Belgia
bośniacki	Bośnia
hercegowiński	Hercegowina
czarnogórski	Czarnogóra
duński	Dania
estoński	Estonia
finlandzki	Finlandia
fiński	Finlandia
grecki	Grecja
islandzki	Islandia
luksemburski	Luksemburg
łotewski	Łotwa
maltański	Malta
mołdawski	Mołdawia
portugalski	Portugalia
rumuński	Rumunia
serbski	Serbia
słowacki	Słowacja
słoweński	Słowenia
szwajcarski	Szwajcaria
watykański	Watykan
węgierski	Węgier
węgierski	Węgry
szkocki	Szkot
szkocki	Szkocja
walijski	Walia
argentyński	Argentyńczyk
argentyński	Argentyna
brazylijski	Brazylia
bałkański	Bałkany
australijski	Australia
afrykański	Afrykanin
afrykański	Afryka
mazurski	Mazury
warmiński	Warmia
olsztyński	Olsztyn
podlaski	Podlasie
katowicki	Katowice
dolnośląski	Dolny Śląsk
bydgoski	Bydgoszcz
pomorski	Pomorze
szczeciński	Szczecin
gdański	Gdańsk
wielkopolski	Wielkopolska
poznański	Poznań
monakijski	Monako
kolorystyczny	kolorystyka
atawistyczny	atawizm
powitalny	powitanie
agonalny	agonia
biurokratyczny	biurokracja
monopolistyczny	monopolista
jamisty	jama
autokratyczny	autokracja
autokratyczny	autokratyzm
niebiański	niebo
cielęcy	cielę
kinetyczny	kineza
cytodiagnostyczny	cytodiagnostyka
dozymetryczny	dozymetria
dozymetryczny	dozymetr
flagowy	flaga
gwinejski	Gwinea
histaminowy	histamina
imperialny	imperium
impresaryjny	impresario
karbunkułowy	karbunkuł
karbunkułowy	karbunkuł
łazienkowy	łazienka
liposomowy	liposom
tartaczny	tartak
instancyjny	instancja
latarniowy	latarnia
lejcowy	lejce
nekrotyczny	nekroza
jelitowy	jelito
kiłowy	kiła
kniaziowy	kniaź
kneziowy	kneź
kornikowy	kornik
laburzystowski	laburzysta
niżowy	niż
ranczowy	ranczo
rangowy	ranga
toaletowy	toaleta
ceklarski	ceklarz
cietrzewi	cietrzew
cykoriowy	cykoria
fistułowaty	fistuła
przetokowy	przetoka
hydrokinetyczny	hydrokinetyka
kalafiorowy	kalafior
kimonowy	kimono
kompresorowy	kompresor
koronny	korona
koronny	korona
krawędziowy	krawędź
krawędziowy	krawędź
termoregulacyjny	termoregulacja
telepatyczny	telepatia
rzędowy	rząd
rokoszowy	rokosz
limfatyczny	limfa
lugrowy	lugier
łuzowy	łuza
autokataliczny	autokataliza
fotoelektronowy	fotoelektron
pajdocentryczny	pajdocentryzm
ilustracyjny	ilustracja
restrykcyjny	restrykcja
restrykcyjny	restrykcja
techniczny	technika
defoliacyjny	defoliacja
klanowy	klan
rakietowy	rakieta
retoryczny	retoryka
homozygotyczny	homozygota
strefowy	strefa
bizantyjski	Bizancjum
agenturalny	agentura
wrażeniowy	wrażenie
akustyczny	akustyka
dźwiękowy	dźwięk
amerykański	Amerykanin
amerykański	Ameryka
bananowy	banan
szpiegowski	szpieg
kontynentalny	kontynent
archetypowy	archetyp
archetypiczny	archetyp
arystokratyczny	arystokracja
administracyjny	administracja
kierowniczy	kierownictwo
bursztynowy	bursztyn
naukowy	nauka
butelkowy	butelka
czołowy	czoło
ciężarowy	ciężar
dochodowy	dochód
domowy	dom
dekadencki	dekadentyzm
deklinacyjny	deklinacja
demoniczny	demon
kaliski	Kalisz
kielecki	Kielce
lubelski	Lublin
opolski	Opole
podkarpacki	Podkarpacie
toruński	Toruń
łódzki	Łódź
księżycowy	Księżyc
cynamonowy	cynamon
cytrynowy	cytryna
cząstkowy	cząstka
czekoladowy	czekolada
nadfioletowy	nadfiolet
podczerwony	podczerwień
pryzmatyczny	pryzmat
trupi	trup
ultrafioletowy	ultrafiolet
arbitrażowy	arbitraż
dzielnicowy	dzielnica
noblowski	nobel
plebiscytowy	plebiscyt
plebiscytowy	plebiscyt
prymasowski	prymas
referendalny	referendum
strajkowy	strajk
żeglugowy	żegluga
trolejbusowy	trolejbus
tramwajowy	tramwaj
telegraficzny	telegraf
średnicowy	średnica
promowy	prom
południkowy	południk
orzeczniczy	orzecznictwo
montażowy	montaż
montażowy	montaż
kropkowany	kropka
konturowy	kontur
bramowy	brama
bramowy	brama
autowy	aut
autowy	aut
abonencki	abonent
blasterowy	blaster
dwustrzałowy	strzał
iglicowy	iglica
iglicowy	iglica
atramentowy	atrament
atomowy	atom
atomowy	atom
biskupi	biskup
kapłański	kapłan
bramowy	bramka
bramowy	bramka
konturowy	kontur
algierski	Algierczyk
algierski	Algieria
bluszczowy	bluszcz
chilijski	Chile
gruziński	Gruzja
kanadyjski	Kanada
marokański	Maroko
nigeryjski	Nigeria
peruwiański	Peru
iglicowy	iglica
kapiszonowy	kapiszon
kapiszonowy	kapiszon
kapiszonowy	kapiszon
kulowy	kula
kulowy	kula
kulowy	kula
laserowy	laser
lufowy	lufa
strzałowy	strzał
plazmowy	plazma
carski	car
dagestański	Dagestan
dominialny	dominium
dominialny	dominium
dominialny	dominium
dziekański	dziekan
hospodarski	hospodar
kościelny	kościół
lagrowy	lagier
pulsacyjny	pulsacja
monarchiczny	monarchia
monarszy	monarcha
municypalny	municypium
namiestniczy	namiestnik
okupacyjny	okupacja
oświatowy	oświata
oświatowy	oświata
rektorski	rektor
reżimowy	reżim
peerelowski	Peerel
prawodawczy	prawodawstwo
snajperski	snajper
sądowniczy	sądownictwo
statyczny	statyka
senioralny	senior
senioralny	senior
zrzutowy	zrzut
zrzutowy	zrzut
świecki	Świecko
folwarczny	folwark
uzurpatorski	uzurpator
wielkoksiążęcy	wielki książę
wykonawczy	wykonawca
wykonawczy	wykonawstwo
wykonawczy	wykonawstwo
wykonawczy	wykonawca
medalowy	medal
noclegowy	nocleg
pobytowy	pobyt
noclegowy	nocleg
nurkowy	nurek
pływacki	pływak
nurkowy	nurkowanie
parkingowy	parking
językowy	język
ustępowy	ustęp
ożywiony	życie
hollywoodzki	Hollywood
orderowy	order
ruchowy	ruch
motoryczny	motoryka
larwalny	larwa
ontogenetyczny	ontogeneza
bałtycki	Bałtyk
bałtycki	Bałt
zaćmieniowy	zaćmienie
kniaziowski	kniaź
adriatycki	Adriatyk
erytrejski	Erytrea
galilejski	Galilea
grenlandzki	Grenlandia
karaibski	Karaiby
lipecki	Lipce
obłoczny	obłok
opawski	Opawa
boski	bóg
skotnicki	Skotniki
skotnicki	Skotniki
Boski	Bóg
Boży	Bóg
sargassowy	sargas
tyrreński	Morze Tyrreńskie
bramkowy	bramka
barbarzyński	barbarzyńca
dobowy	doba
elżbietański	Elżbieta I
przestępczy	przestępca
bandycki	bandyta
łotrowski	łotr
łajdacki	łajdak
złodziejski	złodziej
cywilizacyjny	cywilizacja
cywilizacyjny	cywilizacja
dynamiczny	dynamika
pomyłkowy	pomyłka
zarodkowy	zarodek
embrionalny	embrion
zarodkowy	zarodek
dzwonny	dzwon
obsługowy	obsługa
obsługowy	obsługa
obsługowy	obsługa
ratuszowy	ratusz
spadochronowy	spadochron
strażniczy	straż
strażniczy	strażnik
triangulacyjny	triangulacja
wiertniczy	wiercenie
wiertniczy	wiercenie
bazaltowy	bazalt
dolomitowy	dolomit
gnejsowy	gnejs
granitowy	granit
klifowy	klif
krzemianowy	krzemian
krzemionkowy	krzemionka
magmowy	magma
nabrzeżny	nabrzeże
nadbrzeżny	nadbrzeże
piaskowcowy	piaskowiec
wapienny	wapno
węglanowy	węglan
wulkaniczny	wulkan
łyszczykowy	łyszczyk
baskijski	Bask
cechowy	cech
filomacki	filomata
kartowy	karta
kombatancki	kombatant
komsomolski	Komsomoł
masoński	mason
wolnomularski	wolnomularz
skautowy	skaut
maoistowski	maoizm
lożowy	loża
lożowy	loża
neonazistowski	neonazizm
oenzetowski	ONZ
paneuropejski	Paneuropa
paneuropejski	paneuropeizm
polonijny	Polonia
abonamentowy	abonament
depozytowy	depozyt
depozytowy	depozyt
importowy	import
kancelaryjny	kancelaria
lotniskowy	lotnisko
manipulacyjny	manipulacja
gierkowski	Gierek
produktowy	produkt
Homerowy	Homer
prolongacyjny	prolongata
prowizyjny	prowizja
epicki	epika
ryczałtowy	ryczałt
ryczałtowy	ryczałt
śmieciowy	śmieć
Jelcynowski	Jelcyn
targowy	targ
karoliński	Karolingowie
wwozowy	wwóz
kolonialny	kolonia
asfaltowy	asfalt
dojazdowy	dojazd
e-mailowy	e-mail
ewakuacyjny	ewakuacja
forteczny	forteca
karawanowy	karawana
karawanowy	karawan
korespondencyjny	korespondencja
korespondencyjny	korespondencja
leśny	las
listowny	list
magistralny	magistrala
magistralny	magistrala
mailowy	mail
mleczny	mleko
licealny	liceum
licealny	liceum
moczowy	mocz
oddechowy	oddech
pożarowy	pożar
szynowy	szyna
mesjański	mesjasz
mesjański	Mesjasz
procesyjny	procesja
procesyjny	procesja
płciowy	płeć
rokadowy	rokada
wspinaczkowy	wspinaczka
pensjonarski	pensjonarka
czerwcowy	czerwiec
bilansowy	bilans
kwietniowy	kwiecień
grudniowy	grudzień
lipcowy	lipiec
lutowy	luty
majowy	maj
marcowy	marzec
październikowy	październik
postny	post
sierpniowy	sierpień
sobótkowy	sobótka
sobótkowy	sobótka
sylwestrowy	sylwester
wigilijny	wigilia
wigilijny	wigilia
zaduszny	Zaduszki
pogański	poganin
pogański	poganizm
pogański	poganin
prasłowiański	Prasłowianin
historyczny	historia
ptolemejski	Ptolemeusze
zdradziecki	zdrajca
zbrodniczy	zbrodniarz
saski	Sas
saski	Sasi
statkowy	statek
wiktoriański	Wiktoria
karmazynowy	karmazyn
karmazynowy	karmazyn
archidiecezjalny	archidiecezja
dramaturgiczny	dramaturgia
dyrygencki	dyrygent
festiwalowy	festiwal
fletowy	flet
fortepianowy	fortepian
hippiczny	hippika
hipiczny	hipika
jeździecki	jeździectwo
klarnetowy	klarnet
kompozytorski	kompozytor
pianistyczny	pianino
piosenkarski	piosenkarz
skrzypcowy	skrzypce
wiolonczelowy	wiolonczela
egzekucyjny	egzekucja
egzekucyjny	egzekucja
egzekucyjny	egzekucja
ekstradycyjny	ekstradycja
karny	kara
kompensacyjny	kompensacja
kompensacyjny	kompensacja
kompensacyjny	kompensacja
kompensacyjny	kompensacja
mandatowy	mandat
mandatowy	mandat
prokuratorski	prokurator
regulacyjny	regulacja
regulacyjny	regulacja
regulacyjny	regulacja
reklamacyjny	reklamacja
sądowy	sąd
sądowy	sąd
skargowy	skarga
umorzeniowy	umorzenie
upadłościowy	upadłość
wnioskowy	wniosek
wnioskowy	wniosek
wywłaszczeniowy	wywłaszczenie
jogurtowy	jogurt
cebulowy	cebula
bulionowy	bulion
chrzanowy	chrzan
fasolowy	fasola
grochowy	groch
jarzynowy	jarzyna
krewetkowy	krewetka
ogórkowy	ogórek
paprykowy	papryka
paprykowy	papryka
barażowy	baraż
ćwierćfinałowy	ćwierćfinał
pieczarkowy	pieczarka
deblowy	debel
pomidorowy	pomidor
derbowy	derby
rosołowy	rosół
eliminacyjny	eliminacje
sardelowy	sardela
eliminacyjny	eliminacja
śledziowy	śledź
śledziowy	śledź
szczawiowy	szczaw
grupowy	grupa
ligowy	liga
waniliowy	wanilia
żółwiowy	żółw
mundialowy	mundial
abordażowy	abordaż
powtórkowy	powtórka
aeronautyczny	aeronautyka
powtórkowy	powtórka
alkilowy	alkil
powtórkowy	powtórka
półfinałowy	półfinał
etnograficzny	etnografia
modowy	moda
konfederacyjny	konfederacja
konfederacyjny	konfederacja
konfederacyjny	konfederacja
jasełkowy	jasełka
kolędniczy	kolędnik
internatowy	internat
podhalański	Podhale
wagonowy	wagon
remisowy	remis
taryfowy	taryfa
haremowy	harem
rewanżowy	rewanż
haremowy	harem
dochodzeniowy	dochodzenie
tenisowy	tenis
singlowy	singel
turniejowy	turniej
urugwajski	Urugwaj
wielkoszlemowy	Wielki Szlem
milicyjny	milicja
poprodukcyjny	produkcja
przedpoborowy	pobór
szkolny	szkoła
ujściowy	ujście
armijny	armia
awangardowy	awangarda
eterowy	eter
funkcyjny	funkcja
funkcyjny	funkcja
głoskowy	głoska
inwalidzki	inwalida
kapitałowy	kapitała
narkomański	narkoman
narodowościowy	narodowość
perkusyjny	perkusja
rockowy	rock
pilotowy	pilotowanie
spółgłoskowy	spółgłoska
zadaniowy	zadanie
batalionowy	batalion
bazowy	baza
felczerski	felczer
gastronomiczny	gastronomia
katechetyczny	katecheza
kompanijny	kompania
konstrukcyjny	konstrukcja
meczowy	mecz
newralgiczny	newralgia
obserwacyjny	obserwacja
pomiarowy	pomiar
pomiarowy	pomiar
werbunkowy	werbunek
premierowy	premiera
zjazdowy	zjazd
zjazdowy	zjazd
beskidzki	Beskidy
himalajski	Himalaje
gnojny	gnój
jeleni	jeleń
księżowski	ksiądz
księży	ksiądz
parkowy	park
parkowy	park narodowy
magnesowy	magnes trwały
pontyjski	Pont
śnieżysty	śnieg
śnieżny	śnieg
śniegowy	śnieg
żalny	żal
sroczy	sroka
ptasi	ptak
szubieniczny	szubienica
tarnowski	Tarnów
wododziałowy	wododział
zamkowy	zamek
alchemiczny	alchemia
bibliologiczny	bibliologia
księgoznawczy	księgoznawstwo
biochemiczny	biochemia
biznesowy	biznes
bliskowschodni	Bliski Wschód
decentralizacyjny	decentralizacja
decyzyjny	decyzja
dyfuzyjny	dyfuzja
dyfuzyjny	dyfuzja kulturowa
dziejowy	dzieje
erozyjny	erozja
ewolucyjny	ewolucja
historycznoliteracki	historia literatury
inkwizycyjny	inkwizycja
katalityczny	kataliza
koncesyjny	koncesja
metaboliczny	metabolizm
oksydacyjny	oksydacja
ozdrowieńczy	ozdrowienie
prywatyzacyjny	prywatyzacja
przekształceniowy	przekształcenie
transformacyjny	transformacja
urbanizacyjny	urbanizacja
zapalny	zapalenie
żywieniowy	żywienie
eurazjatycki	Eurazja
gipsowy	gips
gramofonowy	gramofon
inskrypcyjny	inskrypcja
winylowy	winyl
tektoniczny	tektonika
studyjny	studio
studyjny	studiowanie
podłogowy	podłoga
detonacyjny	detonacja
bednarski	bednarz
tokarski	tokarz
tokarski	tokarka
egipski	Egipt
obszarniczy	obszarnik
próchniczy	próchnica
próchniczy	próchnica
wojacki	wojak
żołnierski	żołnierz
włościański	włościanin
wiośniany	wiosna
bagienny	bagno
malaryczny	malaria
metropolitalny	metropolia
metropolitarny	metropolia
metropolitalny	metropolia
metropolitarny	metropolia
piknikowy	piknik
wariacki	wariat
syryjski	Syria
saksoński	Saksonia
ubecki	UB
sztubacki	sztubak
szkopski	szkop
diabelski	diabeł
sypialniany	sypialnia
świętokradczy	świętokradca
stepowy	step
stepowy	step
źródliskowy	źródlisko
estetyczny	estetyka
kosztorysowy	kosztorys
księgowy	księga
odżywczy	odżywianie
smakowy	smak
szacunkowy	szacunek
akcyjny	akcja
bytomski	Bytom
cukrowy	cukier
przedwiosenny	przedwiośnie
pedalski	pedał
czteroaktowy	akt
szyfrowy	szyfr
szyfrowy	szyfr
zatrzaskowy	zatrzask
anorektyczny	anorektyk
anorektyczny	anorektyk
mogilny	mogiła
nomenklaturowy	nomenklatura
portfelowy	portfel
portfelowy	portfel
sterowy	ster
węglowy	węgiel
paranoiczny	paranoja
katastroficzny	katastrofizm
krytyczny	krytyka
kruczy	kruk
zatokowy	zatoka
zatokowy	zatoka
cyniczny	cynizm
futurystyczny	futuryzm
mgławicowy	mgławica
odjazdowy	odjazd
melancholijny	melancholia
melancholiczny	melancholia
melodramatyczny	melodramat
melodramatyczny	melodramat
anihilacyjny	anihilacja
kasetowy	kaseta
kasetowy	kaseta
kasetowy	kaseta
kilowy	kil
kobaltowy	kobalt
nasadkowy	nasadka
neutronowy	neutron
plutonowy	pluton
plutonowy	pluton
uranowy	uran
wodorowy	wodór
zegarowy	zegar
zegarowy	zegar
cyrkulacyjny	cyrkulacja
natowski	NATO
daktyloskopowy	daktyloskopia
daktyloskopijny	daktyloskopia
purytański	purytanizm
debetowy	debet
debetowy	debet
ewidencyjny	ewidencja
ewidencyjny	ewidencja
flotowy	flota
identyfikacyjny	identyfikacja
identyfikacyjny	identyfikacja
katalogowy	katalog
mikroprocesorowy	mikroprocesor
mobilizacyjny	mobilizacja
mobilizacyjny	mobilizacja
pergaminowy	pergamin
płatniczy	płatnik
rejestracyjny	rejestracja
rejestracyjny	rejestracja
rowerowy	rower
stołówkowy	stołówka
małpi	małpa
zgłoszeniowy	zgłoszenie
zgłoszeniowy	zgłoszenie
sieciowy	sieć
sieciowy	sieć
sieciowy	sieć
manieryczny	manieryzm
manieryczny	manieryzm
ludożerczy	ludożerca
lilipuci	liliput
kuglarski	kuglarz
kretyński	kretyn
mieszczański	mieszczaństwo
korsykański	Korsyka
wyspiarski	wyspa
lądowy	ląd
korsykański	Korsykanin
komediancki	komediant
knajpiany	knajpa
knajpowy	knajpa
kaskaderski	kaskader
kaskaderski	kaskader
akrobatyczny	akrobatyka
zdaniowy	zdanie
jaśniepański	jaśniepan
jarmarczny	jarmark
jarmarczny	jarmark
jankeski	Jankes
amerykański	Ameryka
amerykański	Amerykanin
jankeski	Jankes
intelektualny	intelektualista
piekielny	piekło
idylliczny	idylla
hultajski	hultajstwo
hultajski	hultaj
Gombrowiczowski	Gombrowicz
gombrowiczowski	Gombrowicz
gliniarski	gliniarz
bliźniaczy	bliźnię
dalmatyński	Dalmacja
etruski	Etrusk
fenicki	Fenicja
gubernialny	gubernia
hanzeatycki	hanza
hanzeatycki	hanza
italski	Italia
italijski	Italia
kresowy	Kresy
prowincjonalny	prowincja
epokowy	epoka
druidyczny	druid
donosicielski	donosiciel
czarowny	czar
burżujski	burżuj
bluźnierczy	bluźnierstwo
bluźnierczy	bluźnierca
partnerski	partnerstwo
surrealistyczny	surrealizm
automobilowy	automobil
harcerski	harcerz
hokejowy	hokej
jachtowy	jacht
juniorski	junior
koszykarski	koszykówka
koszykarski	koszykarstwo
kręglarski	kręglarstwo
krykietowy	krykiet
podwórkowy	podwórko
siatkarski	siatkarz
zuchowy	zuch
administratorski	administrator
arytmetyczny	arytmetyka
rezydencjalny	rezydencja
rezydencjonalny	rezydencja
rezydencjalny	rezydowanie
deweloperski	deweloper
developerski	developer
farmaceutyczny	farmacja
leasingowy	leasing
lobbystyczny	lobby
lobbistyczny	lobby
gwardyjski	gwardia
gwardyjski	gwardia
jugosłowiański	Jugosławia
kurewski	kurwa
odwodowy	odwód
powstańczy	powstaniec
powstańczy	powstanie
syberyjski	Syberia
terakotowy	terakota
bibliograficzny	bibliografia
bibliograficzny	bibliografia
drenażowy	drenaż
drenażowy	drenaż
drenażowy	drenaż
filogenetyczny	filogeneza
filogenetyczny	filogenetyka
konstytucjonalny	konstytucja
medytacyjny	medytacja
hydrostatyczny	hydrostatyka
żylny	żyła
anyżowy	anyż
glicerynowy	gliceryna
jaśminowy	jaśmin
jałowcowy	jałowiec
lawendowy	lawenda
muszkatołowy	muszkatołowiec
rozmarynowy	rozmaryn
rumiankowy	rumianek
precedensowy	precedens
prejudycjalny	prejudykat
retoryczny	retoryka
gwiazdorski	gwiazdor
barani	baran
borsuczy	borsuk
bydlęcy	bydlę
książkowy	książka
książkowy	książka
hebanowy	heban
jagnięcy	jagnię
koński	koń
kozi	koza
koźlęcy	koźlę
lekturowy	lektura
lewoskrzydłowy	skrzydło
prawoskrzydłowy	skrzydło
kreci	kret
króliczy	królik
lewoskrzydłowy	skrzydło
prawoskrzydłowy	skrzydło
prawoskrzydłowy	skrzydło
lewoskrzydłowy	skrzydło
oliwkowy	oliwka
mocarstwowy	mocarstwo
świński	świnia
tygrysi	tygrys
wilczy	wilk
pozabilansowy	bilans
skrzydłowy	skrzydło
skrzydłowy	skrzydło
skrzydłowy	skrzydło
taksonomiczny	taksonomia
wyjściowy	wyjście
wyjściowy	wyjście
cyrkowy	cyrk
cyrkowy	cyrk
cyrkowy	cyrk
czarnoksięski	czarnoksiężnik
czarodziejski	czarodziej
dalekowschodni	Daleki Wschód
drzeworytniczy	drzeworytnik
epistolograficzny	epistolografia
epistolograficzny	epistolografia
autokarowy	autokar
imigracyjny	imigracja
imigracyjny	imigracja
kanclerski	kanclerz
kasacyjny	kasacja
kasacyjny	kasacja
kasztelański	kasztelan
komisarski	komisarz
komisarski	komisarz
konsularny	konsul
magistracki	magistrat
referendarski	referendarz
rejestrowy	rejestr
rejestrowy	rejestr
wiecowy	wiec
ławniczy	ławnik
akcyzowy	akcyza
cepeliowski	Cepelia
ceramiczny	ceramika
ceramiczny	ceramika
galanteryjny	galanteria
