akademik	dom akademicki
poczynania	poczynanie sobie
poczynania	poczynać sobie
bakłażan	bakłażan
bakłażan	bakłażan
słodycze	słodycz
brzoskwinia	brzoskwinia
brzoskwinia	brzoskwinia
cebula	cebula
cytryna	cytryna
cytryna	cytryna
czereśnia	czereśnia
czereśnia	czereśnia
czosnek	czosnek
daktyl	daktyl
fasola	fasola
figa	figa
figa	figa
gruszka	gruszka
gruszka	gruszka
herbata	herbata
jęczmień	jęczmień
mak	mak
mak	mak
malina	malina
malina	malina
mandarynka	mandarynka
mandarynka	mandarynka
melon	melon
melon	melon
mięta	mięta
mięta	mięta
morela	morela
morela	morela
ogórek	ogórek
ogórek	ogórek
orzech włoski	orzech włoski
owies	owies
papryka	papryka
papryka	papryka
pietruszka	pietruszka
pomarańcza	pomarańcza
pomarańcza	pomarańcza
pomidor	pomidor
pomidor	pomidor
porzeczka	porzeczka
porzeczka	porzeczka
pszenica	pszenica
rzepa	rzepa
rzepa	rzepa
fasola	fasola
soczewica	soczewica
soczewica	soczewica
szynka	szynka
szynka	szynka
truskawka	truskawka
truskawka	truskawka
tymianek	tymianek
tymianek	tymianek
wiśnia	wiśnia
głóg	głóg
głóg	głóg
jeżyna	jeżyna
szałwia	szałwia
Murzyn	po murzyńsku
admirał	admirał
amazonka	Amazonka
bosman	bosman
brygadier	brygadier
domownik	domownicy
drużba	drużbant
dżentelmen	gentleman
komandor	komandor
lord	lord
major	major
markiz	markiz
podporucznik	podporucznik
podpułkownik	podpułkownik
porucznik	porucznik
pułkownik	pułkownik
pirat	po piracku
sierota	sierota
sierżant	sierżant
stwora	stwór
szeregowiec	szeregowy
tato	tata
teść	teściowie
wandal	Wandal
wnuk	wnuki
zbój	zbójca
bruzda	bruzdowy
nasyp	odsyp
skała	stupaja
refektarz	trapeza
wał	międzywał
łacha	ławica
Biblia	targum
oczodół	oko
bliźnię	bliźnięta
spazm	spazmolityczny
aptekarz	aptekarski
ciężarowiec	podnoszenie ciężarów
dyktator	dyktatura
dyktator	dyktatura
garbarz	garbarnia
maszynistka	maszyna do pisania
spiker	speaker
dyktatura	dyktator
dyktatura	dyktator
tyrania	tyran
spowodowanie śmierci	powodowanie śmierci
klarnet	basklarnet
rower górski	góral
wózek inwalidzki	wózkarz
bób	bób
bób	bób
chrzan	chrzan
chrzan	chrzan
frytki	frytka
kukurydza	kukurydza
migdał	migdał
rumianek	rumianek
rzodkiewka	rzodkiewka
rzodkiewka	rzodkiewka
szpik	auszpik
świergot	świegot
docent	docent
socjologia	zoosocjologia
dokończenie	dokańczanie
dokończenie	dokończanie
modernizacja	modernistycznie
frytka	frytki
mat	mat
kurnik	kurnikowy
spinka	sponka
różaniec	różaniec
różaniec	różaniec
sport wodny	wodniak
futbol	krzyżowo
petycja	petytoryjny
gra w karty	kartograjstwo
gra w karty	karta
żaluzja	łącznik żaluzjowy
młynek	młynkowy
pens	pens
konkurent	konkurencja
mitologia	mit
telefonia	telefon
gryźć	zgryz
apelacja	sąd apelacyjny
apelacja	sąd apelacyjny
eminencja	eminencja
eminencja	eminencja
rozwód	rozwodzenie
poseł sprawozdawca	poseł-sprawozdawca
ławnik	ława przysięgłych
UB	ubowiec
UB	ubek
SB	esbek
teksas	texas
chrzest	syn chrzestny
kosmetyka	kosmetyk
szczepionka	odczyn poszczepienny
prospekt emisyjny	prospektowy
płatek	ośmiopłatkowy
płetwa	trzonopłetwy
magazynowanie	zmagazynowanie
znakowanie	oznakowanie
kaloria	kaloryczność
korepetycja	korepetycje
franciszkanin	franciszkanie
kurier	kurierowy
sąd apelacyjny	apelacja
sąd apelacyjny	apelacja
blef	bluff
blef	bluff
plagiat	plagiatowość
plagiat	plagiatorstwo
katolicyzm	polskokatolicyzm
symetria	symetrycznie
zmysł	organoleptyczny
epizod	epizodyczny
koda	coda
praca	wypracowywanie
asceta	ascetyczny
bukmacher	bookmacher
pan młody	państwo młodzi
public relations	PR
gąsior	gęsior
konsensus	konsensusowy
uzdolnienie	uzdolnienia
oddzielenie	oddzielanie
rozgraniczenie	rozgraniczanie
egzekwowanie	wyegzekwowanie
garncarstwo	garnek
hobbista	hobbysta
mobilizacja	mobilizowanie
imbecyl	imbecyl
marszałek polny	marszałek polny
dzidziuś	dzidzia
sterburta	sterbort
anyż	anyż
anyż	anyż
burak ćwikłowy	burak ćwikłowy
burak ćwikłowy	burak ćwikłowy
żurawina	żurawina
pigwa	pigwa
gentleman	dżentelmen
hetman	hetman
doktór	doktor
doktór	dochtór
kard	kard
dziewka	dziewczyna
dziewka	dziewczynka
pierze	pierzajki
harem	harem
harem	harem
kalina	kalina
moniak	moniaki
ekspertyza	ekspertyza
ekspertyza	ekspertyza
bombardier	bombardier
gromadka	gromadkarz
kanonier	kanonier
niedowiarek	niedowiarstwo
ogniomistrz	ogniomistrz
pradziadek	pradziadkowie
rotmistrz	rotmistrz
zbójca	zbój
kimono	kimono
radiostacja	radiooficer
talerzyk	talerzykowy
dominikanin	dominikanie
bernardyn	bernardyni
alpejczyk	kombinacja alpejska
cysters	cystersi
jezuita	jezuici
literat	młodoliteracki
posesjonat	posesoryjny
jałowcówka	jałowcówka
jałowcówka	jałowcówka
koktajl	cocktail
koktajl	cocktail
marchew	marchew
marchew	marchew
uzyskiwanie	uzyskanie
popieranie	poparcie
umorzenie	umarzanie
uzyskanie	uzyskiwanie
stawianie	postawienie
utrudnianie	utrudnienie
asymilacja	asymilacyjny
nominał	zdenominowanie
nominał	denominowanie
nominał	zdenominować
nominał	denominować
kabała	postawienie kabały
kabała	stawianie kabały
kabała	postawić kabałę
kabała	stawiać kabałę
grand	grand
odsiecz	odsiecz
set	piłka setowa
zapisek	zapiski
gem	piłka gemowa
temperatura	termoczuły
Nando	nandoriński
nandoriński	Nando
urlop dziekański	dziekanka
układ optyczny	optyka
ciąg geometryczny	geometrycznie
kredyt budżetowy	budżet
telefon	telefon grzecznościowy
telefon grzecznościowy	telefon
węgierka	węgierka
szambelan papieski	szambelan papieski
szambelan papieski	szambelan papieski
syn chrzestny	chrzest
didżej	DJ
disc jockey	DJ
disc jockey	dyskdżokej
dyskdżokej	disc jockey
skład drukarski	druk
sejm konwokacyjny	konwokacyjny
ulena	ulena
hipis	hippis
punk rock	punkrock
piłka ręczna	ręka
piłka ręczna	ręka
humor sytuacyjny	sytuacja
samowładztwo	samowładczy
odczyn poszczepienny	szczepionka
olejek eteryczny	olejkodajny
opór elektryczny	elektryczność
mate	mate
mate	mate
bazylianin	bazylianie
nazaretanka	nazaretanki
energia	hydroenergia
Matuzalem	Matuzal
Matuzal	Matuzalem
ława przysięgłych	ława przysięgłych
ława przysięgłych	ławnik
swing	swing
jazz-band	jazzband
casanova	Casanova
donżuan	Don Juan
wodniak	sport wodny
oficjum	oficjant
niebieski ptak	biblizm
arianin	arianie
fusy	wróżenie z fusów
fusy	wróżyć z fusów
pieróg	pierogi
dzień	codzienność
pozycja siedząca	siedzenie
pozycja siedząca	siedzieć
zmarźluch	zmarzluch
opilca	opilec
opilec	opilca
sufizm	sufi
ujednolicanie	ujednolicenie
teściowie	teść
balerina	baleryna
baleryna	balerina
sierota	sierota
outsider	autsajder
autsajder	outsider
trufla	jelenia trufelka
wytłumianie	wytłumienie
przytłumianie	przytłumienie
wytłumianie	wytłumienie
wytłumianie	wytłumienie
ręka	piłka ręczna
druk	skład drukarski
bitnik	beatnik
beatnik	bitnik
dresiarz	dres
gitowiec	git
git	gitowiec
punk	pank
skejt	skate
skinhead	skin
kowboj	cowboy
interregnum	interreks
Metys	metyzacja
psoty	psota
margrabia	margrabia
Sparta	spartański
zombi	zombie
kirkut	kierkut
choroba	kliniczny
salmonelloza	salmoneloza
władztwo	władczo
władztwo	władczy
ziemniak	ziemniak
ziemniak	ziemniaki
świdrowanie	prześwidrowanie
NATO	proatlantycki
prosektorium	sekcja
elektor	elektor
punkrock	punk rock
ulena	ulena
słowiańszczyzna	słowiaństwo
ulem	ulema
ulema	ulem
Imperium Osmańskie	antyosmański
płotkarz	bieg przez płotki
hippis	hipis
piłka setowa	set
piłka meczowa	mecz
emulator	emulacja
skraplanie się	skroplenie się
maszyna do pisania	maszynistka
niezrozumiałość	niezrozumialstwo
dyszkant	dyskancista
dyszkant	dyszkancista
fletnia Pana	Pan
fanaberie	fanaberia
cudzoziemiec	cudzoziemszczyzna
psota	psoty
obrona	obronnie
metaloplastyka	metaloplastyka
metaloplastyka	metaloplastyka
quasimodo	Quasimodo
cocktail	koktajl
cocktail	koktajl
koktajl	cocktail
cocktail	koktajl
kabareton	kabaret
pulpa	pulpowy
słodki ziemniak	słodki ziemniak
batat	batat
patat	patat
flak	flakowaty
jejmość	jejmość
jegomość	jegomość
jejmość	jejmość
doktor Kościoła	doktor Kościoła
maestro	maestro
kobita	kobieta
archimandryta	archimandria
oficjel	oficjalny
szpitalnicy	szpitalnik
szpitalnik	szpitalnicy
świegot	świergot
stenograf	skoropis
chlebowiec	chlebowiec
kombinacja alpejska	alpejczyk
Aryjczyk	Aryjczyk
Hellen	Hellen
żur	żur
żur	żur
bezsens	poczucie bezsensu
bezsensowność	poczucie bezsensowności
wikt	subsystencja
Sarmata	Sarmata
Sowiet	Sowiety
Węgier	antymadziarski
Polska Rzeczpospolita Ludowa	PRL
wapniaki	wapniak
powinowaty	powinowaci
dziadkowie	dziadek
PRL	Peerel
PRL	Polska Rzeczpospolita Ludowa
Peerel	PRL
zrujnowanie	rujnowanie
baronet	baronet
dom	domorosły
donkiszot	Don Kiszot
Kupidyn	Kupido
Kupido	Kupidyn
dzieci	dziecko
lekarze	lekarz
prawnicy	prawnik
klerk	clerk
klerk	clerk
klerk	clerk
clerk	klerk
clerk	klerk
clerk	klerk
feldmarszałek	feldmarszałek
dereń	dereń
dereń	dereń
marszałek polowy	marszałek polowy
doktor habilitowany	doktor habilitowany
harcmistrz	harcmistrz
podharcmistrz	podharcmistrz
bosmanmat	bosmanmat
chorąży	chorąży
górotwórczość	górotwór
tarnina	tarnina
tarka	tarka
herbata	herbata
kawa	kawa
aronia	aronia
cząber	cząber
estragon	estragon
cząber	cząber
lubczyk	lubczyk
lubczyk	lubczyk
kardamon	kardamon
kardamon	kardamon
produkowanie	wyprodukowanie
belladona	belladona
wilcza jagoda	wilcza jagoda
adiunkt	adiunkt
cerber	Cerber
taboryta	taboryci
taboryci	taboryta
ogórecznikowate	ogórecznikowaty
pchełka	pchełki
wtyczka	wtyka
wtyka	wtyczka
outsider	autsajder
autsajder	outsider
paparazzi	paparazzo
paparazzo	paparazzi
kedyw	kedyw
kedyw	kedyw
kureń	kurzeń
kurzeń	kureń
kureń	kurzeń
kurzeń	kureń
kurzeń	kureń
kureń	kurzeń
ataman koszowy	kosz
paroksytoneza	akcent paroksytoniczny
akcent paroksytoniczny	paroksytoneza
flamenco	flamenco
samba	samba
sekcja	prosektorium
kontinuum	continuum
continuum	kontinuum
palpacja	palpacyjny
romanistyka	romanistyka
mediewistyka	mediewalny
kamikadze	kamikadze
kamikaze	kamikaze
cesarskie cięcie	po cesarsku
romanistyka	romanistyka
Bałt	Bałtowie
nędza	nędza
joannita	joannici
krzyżak	krzyżacy
templariusz	templariusze
epolet	gwiazdka
Sarmata	Sarmata
węgierka	węgierka
destylacja	destylat
texas	teksas
juta	juta
elastik	elastik
elastyk	elastyk
lycra	lajkra
strecz	stretch
stretch	strecz
żakard	żakard
misjonarz	misjonarsko
bożogrobiec	bożogrobcy
beznadziejność	poczucie beznadziejności
poczucie beznadziejności	beznadziejność
poczucie bezsensu	bezsens
poczucie bezsensowności	bezsensowność
bobas	bobo
bobo	bobas
juta	juta
dulcynea	Dulcynea
pradziadkowie	pradziadek
wnuki	wnuk
stryjo	stryj
ulicznica	dziewczyna uliczna
wujo	wuja
wuja	wujo
kwadratura	kwadraturowy
duperela	duperele
fanaberia	fanaberie
jagoda	jagoda
jagoda	jagoda
zaawansowanie	średniozaawansowany
kontradmirał	kontradmirał
woda	hydroenergia
wapniak	wapniaki
element	praelement
wiceadmirał	wiceadmirał
leader	lider
cytron	cytron
cytron	cytron
grejpfrut	grejpfrut
grapefruit	grapefruit
grejpfrut	grejpfrut
grapefruit	grapefruit
bera	bera
bera	bera
bergamota	bergamota
bergamota	bergamota
bonkreta	bonkreta
bonkreta	bonkreta
faworytka	faworytka
faworytka	faworytka
klapsa	klapsa
klapsa	klapsa
antonówka	antonówka
antonówka	antonówka
bankroft	bankroft
bankroft	bankroft
boiken	boiken
boiken	boiken
jonatan	jonatan
jonatan	jonatan
koksa	koksa
koksa	koksa
kosztela	kosztela
kosztela	kosztela
lobo	lobo
lobo	lobo
malinówka	malinówka
malinówka	malinówka
mekintosz	mekintosz
mekintosz	mekintosz
papierówka	papierówka
papierówka	papierówka
reneta	reneta
reneta	reneta
papaja	papaja
sztokfisz	stokfisz
samba	samba
neuron	neuropsychiczny
imbecyl	imbecyl
kapucynki	kapucynka
kapucynka	kapucynki
morwa	morwa
morwa	morwa
cowboy	kowboj
arianin	arianie
krysznowiec	krisznowiec
krisznowiec	krysznowiec
pytajnik	pytanie
stylista	stylizator
albertyn	albertyni
benedyktyn	benedyktyni
bernardynka	bernardynki
benedyktynka	benedyktynki
bonifrater	bonifratrzy
brygidka	brygidki
cysterka	cysterki
dominikanka	dominikanki
elżbietanka	elżbietanki
franciszkanka	franciszkanki
karmelita	karmelici
karmelitanka	karmelitanki
kartuz	kartuzi
katarzynka	katarzynki
klaryska	klaryski
norbertanin	norbertanie
norbertanka	norbertanki
oblat	oblaci
pijar	pijarzy
redemptorysta	redemptoryści
reformat	reformaci
salezjanin	salezjanie
trapista	trapiści
urszulanka	urszulanki
werbista	werbiści
wizytka	wizytki
triada	trialistyczny
yakuza	yakuza
chochlik drukarski	chochlikowy
blanki	blanka
blanki	blank
albertyni	albertyn
bazylianie	bazylianin
benedyktyni	benedyktyn
bernardynki	bernardynka
bonifratrzy	bonifrater
bożogrobcy	bożogrobiec
brygidki	brygidka
cysterki	cysterka
elżbietanki	elżbietanka
joannici	joannita
kapucyn	kapucyni
kapucyni	kapucyn
kartuzi	kartuz
premonstratens	premonstratensi
norbertanie	norbertanin
katarzynki	katarzynka
klaryski	klaryska
nazaretanki	nazaretanka
pijarzy	pijar
redemptoryści	redemptorysta
reformaci	reformat
salezjanie	salezjanin
trapiści	trapista
urszulanki	urszulanka
werbiści	werbista
wizytki	wizytka
ewolucjonizm	ewolucjonizm uniwersalny
ewolucjonizm	ewolucjonizm multilinearny
tryptyk	trójka
nasiadówka	kąpiel nasiadowa
destylat	destylacja
eon	eonotem
esauł	esauł
asauł	asauł
esauł	esauł
asauł	asauł
asauła	asauła
hipostaza	gen hipostatyczny
requiem	rekwiem
rekwiem	requiem
requiem	rekwiem
rekwiem	requiem
brukiew	brukiew
karpiel	karpiel
karczoch	karczoch
pistacja	pistacja
pistacja	pistacja
proso	proso
proso	proso
ramia	ramia
ramia	ramia
rzodkiew	rzodkiew
piołun	piołun
piołun	piołun
szalotka	szalotka
kiciuś	kituś
kituś	kiciuś
oddźwięk	dźwięk
obszerność	obszerny
Federaliści	federalista
federalista	Federaliści
ober	oberkelner
kapryfolium	caprifolium
caprifolium	kapryfolium
podnoszenie ciężarów	ciężarowiec
grochówka	grochówka
grochówka	grochówka
bieg przez płotki	płotkarz
eksponent	eksponencjalny
tarnina	tarnina
tarka	tarka
łysienie	wyłysienie
feldfebel	feldfebel
giga	giga
oberlejtnant	oberlejtnant
tymbalik	galareta
auszpik	szpik
obrzeżenie	obierza
adadżio	adagio
adagio	adadżio
adadżio	adagio
adagio	adadżio
adadżio	adagio
adagio	adadżio
kancona	canzona
canzona	kancona
kanconeta	canzonetta
canzonetta	kanconeta
kancona	canzona
canzona	kancona
kanconeta	canzonetta
canzonetta	kanconeta
kancona	canzona
canzona	kancona
poziomka	poziomka
oregano	oregano
oregano	oregano
akowiec	AK-owiec
AK-owiec	akowiec
Kanada	kanada
coda	koda
miodunka plamista	płucnica
miodunka plamista	miodunka lekarska
płucnica	miodunka plamista
Bozia	bozia
Bozia	bozia
bozia	Bozia
bozia	Bozia
emulacja	emulator
skorzonera	skorzonera
tetrarcha	tetrarcha
tetrarcha	tetrarcha
rozmaryn	rozmaryn
rozmaryn	rozmaryn
pieczarka	pieczarkarstwo
asceza	ascetyczny
kłębowisko	kłębowy
wakat	vacat
vacat	wakat
wakat	vacat
vacat	wakat
wakat	vacat
vacat	wakat
górotwór	górotwórczość
dźwiganie	dźwignięcie
dziewczynka	dziewka
chili	chilli
chilli	chili
chili	chilli
chilli	chili
otaczanie	otoczenie
ożywianie	ożywienie
bar	barotropowy
folksdojcz	volksdeutsch
volksdeutsch	folksdojcz
bliźnięta	bliźnię
radiooficer	radiostacja
jazzband	jazz-band
eleata	eleaci
aojda	aojd
gęsior	gąsior
łuk	obłęk
chloryt	chlorytyzacja
egeria	Egeria
biedula	bidula
lejtnant	lejtnant
wachmistrz	wachmistrz
aojd	aojda
eleaci	eleata
citroen	citroën
kotew	kotwa
kotwa	kotew
kotew	kotwa
kotwa	kotew
kotew	kotwa
kotwa	kotew
kabaczek	kabaczek
kurkuma	kurkuma
oberżyna	oberżyna
oberżyna	oberżyna
kanadyjkarstwo	kanadyjka
kanadyjka	kanadyjkarstwo
praprawnuki	praprawnuk
praprawnuk	praprawnuki
prawnuczę	prawnuczęta
epizodyczność	epizodyczny
lojalizm	lojalistyczny
maszynoznawstwo	maszyna
nokturn	noc
nokturn	noc
nokturn	noc
quorum	kworum
orzech brazylijski	orzech brazylijski
makakowate	makakowaty
jura środkowa	jura środkowa
cola	kola
cynadra	cynaderka
cynaderka	cynadra
pyzy	pyza
łazanka	łazanki
rtęciówka	lampa rtęciowa
rozdwojenie	rozdwajanie
augustianin	augustianie
kamedułka	kamedułki
kanoniczki	kanoniczka
kanoniczka	kanoniczki
obserwant	obserwanci
teatyn	teatyni
zmartwychwstanka	zmartwychwstanki
Mefistofeles	Mefisto
Mefisto	Mefistofeles
łącznik żaluzjowy	żaluzja
witamina C	c
prapradziadkowie	prapradziadek
prapradziadek	prapradziadkowie
paramagnetyk	paramagnetyzm
wymiennik ciepła	wymiennikowy
wymiennik ciepła	wymiennikowy
nefropatia	nerka
drybler	dribler
dribler	drybler
fasola szparagowa	fasola szparagowa
monocykl	trycykl
sowizdrzał	sowizrzał
sowizdrzał	sowizrzał
cudzoziemszczyzna	cudzoziemiec
pracownik leśny	las
storczykowate	storczykowaty
adidas	adidas
adidas	adidas
nerkowiec	nerkowiec
nerkowiec	nerkowiec
kaloryczność	kaloria
przebojowość	przebojowo
ponoszenie	poniesienie
agraryzm	agraryzm
esbek	SB
ubek	UB
bluff	blef
bluff	blef
dziekanka	urlop dziekański
łuska	łuska
kwarto	quarto
quarto	kwarto
Dąbrowszczacy	dąbrowszczak
dąbrowszczak	Dąbrowszczacy
alwarowie	alwar
alwar	alwarowie
gen hipostatyczny	hipostaza
gen epistatyczny	epistaza
epistaza	gen epistatyczny
kosz	ataman koszowy
niedowiarstwo	niedowiarek
miczman	miczman
miczman	miczman
moroszka	moroszka
moroszka	moroszka
kawa rozpuszczalna	kawa rozpuszczalna
kawa zbożowa	kawa zbożowa
inka	inka
kawa	kawa
kawa rozpuszczalna	kawa rozpuszczalna
kawa zbożowa	kawa zbożowa
arabika	arabika
arabika	arabica
kawa bezkofeinowa	kawa bezkofeinowa
zgryz	gryzienie
zgryz	gryźć
mamona	mamuna
mamuna	mamona
mumakil	mumak
mumak	mumakil
dżin	dżinn
dżinn	dżin
mastif	mastiff
mastif	mastyf
mastyf	mastif
mastiff	mastif
państwo młodzi	pan młody
wypociny	wypocina
ulęgałka	ulęgałka
ulęgałka	ulęgałka
parszywy	oparszywiały
plask	plask
plask	plask
Podlasiak	Podlasiuk
bidula	biedula
trynitarz	trynitarze
trynitarze	trynitarz
salwatorianin	salwatorianie
salwatorianie	salwatorianin
sakramentka	sakramentki
sakramentki	sakramentka
lubaszka	lubaszka
niepokalanka	niepokalanki
niepokalanki	niepokalanka
popularzy	popular
popular	popularzy
agraryzm	agraryzm
karotka	karotka
karota	karota
karotka	karotka
karota	karota
żigolo	gigolo
gigolo	żigolo
eonotem	eon
eratem	era
chronozona	chron
chron	chronozona
jura środkowa	jura środkowa
substantywizacja	nominalizacja
kierkut	kirkut
tamarynd	tamarynd
słomkowy	paliowy
pierzajki	pierze
łutówka	łutówka
łutówka	łutówka
lądować	wylądować
petetekowiec	PTTK-owiec
PTTK-owiec	petetekowiec
plagiatowość	plagiat
meszta	meszt
pantofel	pantoflarz
pantoflarz	pantofel
kartograjstwo	gra w karty
furmaństwo	furmanka
zimowanie	przezimowanie
szałaput	szałaputa
styczna	styczność
szałaputa	szałaput
plagiatorstwo	plagiat
nafciarstwo	nafta
naftownictwo	nafta
pieczarkarstwo	pieczarka
chlorytyzacja	chloryt
basklarnet	klarnet
singiel	singiel
karty	karcianka
hyćka	hyćka
hyćka	hyczka
hyczka	hyćka
dyszkancista	dyszkant
borówka	borówka
borówka	borówka
czarna jagoda	czarna jagoda
czarna porzeczka	czarna porzeczka
czarna porzeczka	czarna porzeczka
rohatyniec nosorożec	rohatyniec garbarz
rohatyniec nosorożec	nosoróg
dziewczyna uliczna	ulicznica
wycieruch	wyciruch
wyciruch	wycieruch
czerwona porzeczka	czerwona porzeczka
czerwona porzeczka	czerwona porzeczka
latarnia morska	latarnik
rokfor	roquefort
roquefort	rokfor
zboże	zboże
pszenica	pszenica
owies	owies
jęczmień	jęczmień
pikolo	piccolo
piccolo	pikolo
inwazyjny	inwazja
saseks	susseks
