antagonizm	antagonizować
przecier	przecierać
falsyfikat	falsyfikować
fałszywka	fałszować
wyciszenie	wyciszyć
rozliczenie	rozliczyć
druk	drukować
zapłodnienie	zapłodnić
rozsypka	rozsypywać się
atomizacja	atomizować
komunalizacja	komunalizować
połączenie	połączyć
kontaminacja	kontaminować
mazerunek	mazerować
narośl	narosnąć
garnirunek	garnirować
propaganda	propagować
naciek	naciekać
zaciek	zaciekać
wsparcie	wspierać
pomoc	pomóc
kapitalizacja	kapitalizować
kapitalizacja	kapitalizować
rozdział	rozdzielić
kompensata	kompensować
kompensata	kompensować
kontrasygnata	kontrasygnować
zadrzewienie	zadrzewiać
niedowidzenie	niedowidzieć
owrzodzenie	owrzodzieć
polewa	polewać
sprawowanie	sprawować się
ślinotok	toczyć się
zasłabnięcie	zasłabnąć
zrost	zrastać się
zrost	zrastać się
dezorganizacja	dezorganizować
zaprzęg	zaprzęgać
przestawnia	przestawiać
spiętrzenie	spiętrzyć się
formalizm	formalizować
wywrotka	wywracać się
emigracja	emigrować
osłona	osłonić
osłona	osłonić
mechanizacja	mechanizować
grymasy	grymasić
zagranie	zagrać
potłuczenie	potłuc się
rejterada	rejterować
rejterada	rejterować
rozmarzenie	rozmarzyć
słowotok	toczyć się
zachwycenie	zachwycić
zauroczenie	zauroczyć
draśnięcie	drasnąć
zadraśnięcie	zadrasnąć
wylew	wylewać się
wyżłobienie	wyżłobić
zarysowanie	zarysować
żłobienie	żłobić
przekładaniec	przekładać
przekładaniec	przekładać
kudły	kudłać
wskazówka	wskazywać
reinterpretacja	reinterpretować
zakład	zakładać
założenie	założyć
ślizg	ślizgać się
wywrót	wywrócić
bździna	bździć
wymiana	wymienić
szczebiot	szczebiotać
świergot	świergotać
wykrzyknienie	wykrzyknąć
zawołanie	zawołać
opieka	opiekować się
gryzmoły	gryzmolić
mazanina	mazać
przedstawienie	przedstawiać
klasyfikacja	klasyfikować
przejaw	przejawiać się
uzewnętrznienie	uzewnętrznić się
wskazówka	wskazywać
przeszkolenie	przeszkolić
konwersacje	konwersować
warzonka	warzyć
partactwo	partaczyć
odurzenie	odurzyć
dekonspiracja	dekonspirować
belkowanie	belkować
żebrowanie	żebrować
przewrót	przewrócić się
przysiad	przysiąść
wyrzut	wyrzucać
wznos	wznosić
zwis	zwisać
wykwit	wykwitnąć
koczownictwo	koczować
przemyślenie	przemyśliwać
spoczynek	spoczywać
rozdział	rozdzielić
plater	platerować
angaż	angażować
intronizacja	intronizować
unosowienie	unosawiać
depalatalizacja	depalatalizować
palatalizacja	palatalizować
siki	sikać
sugestia	sugerować
propaganda	propagować
podpowiedź	podpowiedzieć
motywacja	motywować
stworzenie	stworzyć
partanina	partaczyć
chałtura	chałturzyć
gloryfikacja	gloryfikować
chłosta	chłostać
łyżeczkowanie	łyżeczkować
przegięcie	przegiąć
zasmażka	zasmażać
spoina	spoić
spoina	spoić
pasteryzacja	pasteryzować
przesuw	przesuwać
odłupek	odłupać
podsumowanie	podsumować
destylacja	destylować
dysocjacja	dysocjować
hydroliza	hydrolizować
socjalizacja	socjalizować
charakteryzacja	charakteryzować
przebranie	przebrać
pauperyzacja	pauperyzować
penalizacja	penalizować
reglamentacja	reglamentować
stymulacja	stymulować
animacja	animować
supozycja	suponować
wytrącanie	wytrącać
przechwyt	przechwycić
przewrotka	przewrócić się
przewrotka	przewrócić się
przewrotka	przewrócić się
ekstrakcja	ekstrahować
odstępstwo	odstępować
ujma	ujmować
przejęzyczenie	przejęzyczyć się
sprostowanie	sprostować
urągowisko	urągać
skroplina	skraplać
ciągoty	ciągnąć
ciągoty	ciągnąć
deprawacja	deprawować
dezercja	dezerterować
malwersacja	malwersować
profanacja	profanować
znieczulica	znieczulić
urobek	urabiać
fedrunek	fedrować
fedrunek	fedrować
inkorporacja	inkorporować
inkaso	inkasować
opust	opuszczać
zachowek	zachować
złorzeczenie	złorzeczyć
przycinek	przycinać
miniaturyzacja	miniaturyzować
transpozycja	transponować
transpozycja	transponować
wspominki	wspominać
systematyzacja	systematyzować
przygrywka	przygrywać
znajomość	znać
antycypacja	antycypować
koegzystencja	koegzystować
przegrupowanie	przegrupować
retusz	retuszować
unowocześnienie	unowocześniać
celebra	celebrować
celebracja	celebrować
wyraz	wyrażać się
wyraz	wyrażać
synchronia	synchronizować
synchronizm	synchronizować
wyjątek	wyjąć
jonizacja	jonizować
wywyższenie	wywyższyć
deprecjacja	deprecjonować
dewaluacja	dewaluować
dyskredytacja	dyskredytować
marginalizacja	marginalizować
pisanina	pisać
kiszonka	kisić
kwaszonka	kwasić
ciąg	ciągnąć się
kiszonka	kisić
kwaszonka	kwasić
wpis	wpisać
udźwięcznienie	udźwięczniać
ubezdźwięcznienie	ubezdźwięczniać
czytanie	czytać
marszczenie	marszczyć
namarszczenie	namarszczyć
mlask	mlaskać
bulgotanie	bulgotać
charczenie	charczeć
cmokanie	cmokać
grzechotanie	grzechotać
parskanie	parskać
ciąg	ciągnąć
wiązanie	wiązać
wiązanie	wiązać
rekapitulacja	rekapitulować
odskok	odskoczyć
odskok	odskoczyć
odskok	odskoczyć
podrzut	podrzucić
szczękościsk	ściskać
zjazd	zjeżdżać
upadłość	upaść
zaokrąglenie	zaokrąglić
przerębel	przerąbać
obwarowanie	obwarować
obwałowanie	obwałować
optymalizacja	optymalizować
synchronizacja	synchronizować
unerwienie	unerwiać
rozsada	rozsadzać
opływ	opływać
podcięcie	podciąć
kotłowanina	kotłować się
żenada	zażenować
szaleństwo	szaleć
człapanie	człapać
szczekanie	szczekać
rozczulenie	rozczulić
cygaństwo	cyganić
cofka	cofać się
wklejka	wkleić
przebitka	przebić
przebitka	przebić
przebitka	przebić
ćwierk	ćwierkać
śpiewanka	śpiewać
spiek	spiekać
napływ	napływać
opancerzenie	opancerzyć
polaryzacja	polaryzować
polaryzacja	polaryzować
rąbanka	rąbać
delegalizacja	delegalizować
obrzynek	obrzynać
osiąg	osiągać
wytyk	wytykać
wyrzut	wyrzucać
bałamuctwo	bałamucić
napomknienie	napomknąć
przymówka	przymawiać
przestawka	przestawiać
zapis	zapisać
migot	migotać
okrawek	okrawać
krajanka	krajać
bulgot	bulgotać
bulgotanie	bulgotać
gulgot	gulgotać
chlupot	chlupotać
hydrolizat	hydrolizować
rafinat	rafinować
wypływ	wypływać
skupienie	skupić
grzebanina	grzebać
amerykanizacja	amerykanizować się
teatralizacja	teatralizować
zawis	zawisnąć
prowadzenie się	prowadzić się
prolongata	prolongować
rewaluacja	rewaluować
przemilczenie	przemilczeć
karczowisko	karczować
trzebież	trzebić
wyrąb	wyrąbywać
szus	szusować
rewaloryzacja	rewaloryzować
siekanka	siekać
odkuwka	odkuwać
szczek	szczekać
zalewajka	zalewać
fałda	fałdować
peklowina	peklować
opuszczenie	opuścić
pominięcie	pominąć
powtórzenie	powtórzyć
debiut	debiutować
walka	walczyć
gra	grać
stęp	stąpać
deklamacja	deklamować
zwrot	zwrócić
separacja	separować
ciągotka	ciągnąć
zbiory	zbierać
wpadka	wpaść
wpadka	wpaść
zakwaszenie	zakwasić
zasolenie	zasolić
zasolenie	zasolić
zapylenie	zapylić
zawieszenie	zawiesić
żłobkowanie	żłobkować
ujęcie	ująć
objaw	objawiać się
odroczenie	odroczyć
uniewinnienie	uniewinnić
zawód	zawodzić
adaptacja	adaptować
beletryzacja	beletryzować
radiofonizacja	radiofonizować
działanie	działać
kumkanie	kumkać
ryk	ryczeć
zgrzytanie	zgrzytać
przedarcie	przedrzeć
zawikłanie	zawikłać
wymiana	wymieniać
przewartościowanie	przewartościować
posrebrzenie	posrebrzyć
prześwietlenie	prześwietlić
żwirówka	żwirować
rozbudowa	rozbudować
pranie	prać
spłata	spłacić
odrobek	odrobić
objazd	objeżdżać
rozwój	rozwijać się
upodobnienie	upodobnić się
ruch	ruszać się
kontestacja	kontestować
obrzezanie	obrzezać
udręczenie	udręczyć
krystalizacja	krystalizować
zagranie	zagrać
zagrywka	zagrać
klon	klonować
strużyna	strugać
heblowina	heblować
strużyna	strugać
atak	atakować
atak	atakować
atak	atakować
chrobot	chrobotać
tętent	tętnić
rozkurcz	rozkurczyć
rozkurcz	rozkurczać
okablowanie	okablować
przekop	przekopać
przewód	przewodzić
aranżacja	aranżować
redukcja	redukować
odbicie	odbić
odbicie	odbić
mruczando	mruczeć
napływ	napływać
transkrypcja	transkrybować
wstrząs	wstrząsnąć
rozstrój	rozstroić
robotyzacja	robotyzować
ocynkowanie	ocynkować
uderzenie	uderzyć
uderzenie	uderzyć
pierd	pierdzieć
tyk	tykać
cyk	cykać
żebranina	żebrać
zadruk	zadrukować
siuśki	siusiać
formalizacja	formalizować
ciapka	ciapać
przełam	przełamać się
krajanka	krajać
wytłoki	tłoczyć
zgrywa	zgrywać się
dobudowa	dobudować
rozpiska	rozpisać
izolat	izolować
przesącz	przesączać
mursz	murszeć
nanos	nanosić
zgrzewka	zgrzewać
bek	beczeć
odkład	odkładać
cmoknięcie	cmoknąć
fabrykat	fabrykować
formatka	formatować
wytłoczka	wytłoczyć
prześmiewka	prześmiewać się
przerzut	przerzucić
przerzut	przerzucić
przerzut	przerzucić
żłobek	żłobić
publikacja	publikować
miks	miksować
miks	miksować
werbalizacja	werbalizować
końcówka	kończyć się
podpucha	podpuszczać
odrys	odrysować
bajda	bajać
określnik	określić
wygłup	wygłupiać się
wrzutka	wrzucić
odpłata	odpłacić się
odpłata	odpłacić
nakrywa	nakrywać
wyszywanka	wyszywać
wyszywanka	wyszywać
wyklejanka	wyklejać
podbudowa	podbudować
wypraska	prasować
bazgrota	bazgrać
odłam	odłamać
maczanka	maczać
zlewki	zlewać
nawijka	nawijać
wyprawa	wyprawić
smażenina	smażyć
zarób	zarobić
wymysł	wymyślić
oszukaństwo	oszukać
wkręt	wkręcać
ułamek	ułamać
odcinek	odcinać
grodza	grodzić
puc	pucować
zachciewajka	zachcieć się
zachciewajka	zachcieć się
skan	skanować
wyrys	wyrysować
grawerka	grawerować
nakres	nakreślić
krępacja	krępować się
przekładanka	przekładać
przekładanka	przekładać
przetop	przetopić
przetop	przetapiać
wytop	wytopić
złączenie	złączyć
upragnienie	upragnąć
wytłumaczenie	wytłumaczyć
powrót na tarczy	wrócić na tarczy
szemranie	szemrać
znieczulenie	znieczulić
zatwierdzenie	zatwierdzić
wykreślenie	wykreślić
otarcie	ocierać
otarcie	otrzeć
wymarcie	wymrzeć
