id;quantity;type;reverse;name;description;posstr;display;shortcut;autoreverse;pwn;tests
26;67;"relacja leksykalna";"21";"porcja";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu porcja) dla &lt;y#>";"holo:porc";"false";"p_#c";"(TAK: &lt;y#> jest porcją &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> jest całością, której porcją jest &lt;y#>,rzeczownik) (TAK: &lt;x#> nie jest porcją &lt;y#subst:sg:gen:%>,rzeczownik)"
27;1718;"relacja leksykalna";"22";"miejsce";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu miejsce) dla &lt;y#>";"holo:msc";"false";"p_#w";"(TAK: &lt;y#> jest miejscem w (na) &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> jest całością, której pewnym miejscem jest &lt;y#>,rzeczownik) (TAK: &lt;x#> nie jest miejscem w/na &lt;y#subst:sg:loc:%>,rzeczownik)"
28;5889;"relacja leksykalna";"23";"element kolekcji";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu element) dla &lt;y#>";"holo:el";"false";"p_#m";"(TAK: &lt;y#> jest elementem &lt;x#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> jest grupą/zbiorem, której elementem jest &lt;y#>,rzeczownik) (TAK: &lt;x#> nie jest elementem &lt;y#subst:sg:gen:%>,rzeczownik)"
29;3735;"relacja leksykalna";"24";"materiał";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest holonimem (typu materiał) dla &lt;y#>";"holo:mat";"false";"p_#s";"(TAK: &lt;y#> jest materiałem, z którego jest zrobione &lt;x#>,rzeczownik) (TAK: &lt;x#> jest całością, która została wykonana (w całości lub części) z &lt;y#subst:sg:gen:%>,rzeczownik) (TAK: &lt;x#> nie jest materiałem, z którego zrobione jest &lt;y#>,rzeczownik)"
34;1384;"relacja leksykalna";"-1";"agens|subiekt";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest agensem dla czynności wyrażanej przez &lt;y#>";"rol:ag";"false";"p_ra";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (TAK: &lt;x#subst:sg:nom:%> jest &lt;x#subst:sg:inst:%>, ponieważ &lt;x#subst:sg:nom:%> &lt;y#fin:sg:ter:%>,rzeczownik) (&lt;x#subst:sg:nom:%> to AGENS|SUBIEKT czynności &lt;y#>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
35;254;"relacja leksykalna";"-1";"pacjens|obiekt";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest pacjensem dla czynności wyrażanej przez &lt;y#>";"rol:pacj";"false";"p_rp";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (TAK: &lt;x#subst:sg:nom:%> jest &lt;x#subst:sg:inst:%>, ponieważ podlega czynności &lt;y#>,rzeczownik) (&lt;x#subst:sg:nom:%> to PACJENS|OBIEKT, który podlega czynności &lt;y#>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
36;833;"relacja leksykalna";"-1";"narzędzie";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest narzędziem dla czynności wyrażanej przez &lt;y#>";"rol:narz";"false";"p_rn";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (TAK: &lt;x#subst:sg:nom:%> jest &lt;x#subst:sg:inst:%>, ponieważ tym (się) &lt;y#fin:sg:ter:%>,rzeczownik) (&lt;x#subst:sg:nom:%> to NARZĘDZIE, którym (się) &lt;y#fin:sg:ter:%>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
37;292;"relacja leksykalna";"-1";"miejsce";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest miejscem dla czynności wyrażanej przez &lt;y#>";"rol:msc";"false";"p_rm";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (TAK: &lt;x#subst:sg:nom:%> jest &lt;x#subst:sg:inst:%>, ponieważ tam (się) &lt;y#fin:sg:ter:%>,rzeczownik) (&lt;x#subst:sg:nom:%> to MIEJSCE, gdzie (się) &lt;y#fin:sg:ter:%>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
38;1541;"relacja leksykalna";"-1";"wytwór|rezultat";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest wytworem|rezultatem dla czynności wyrażanej przez &lt;y#>";"rol:wtw&amp;rez";"false";"p_rw";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (TAK: &lt;x#subst:sg:nom:%> powstaje, gdy (się) &lt;y#fin:sg:ter:%>,rzeczownik) (&lt;x#subst:sg:nom:%> to WYTWÓR | REZULTAT czynności &lt;y#inf:%>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
39;141;"relacja leksykalna";"-1";"czas";"(dziedziczone)";"(dziedziczone)";"&lt;x#> wyraża czas czynności wyrażanej przez &lt;y#>";"rol:czas";"false";"p_rc";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (gdy jest (są) &lt;x#>, wtedy (się) &lt;y#fin:sg:ter:%>,rzeczownik) (&lt;x#subst:sg:nom:%> to CZAS, w którym (się) &lt;y#fin:sg:ter:%>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
40;160;"relacja leksykalna";"-1";"podtyp nieokreślony";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest w relacji rola - podtyp nieokreślony do &lt;y#>";"rol:?";"false";"p_r?";"(rzeczownik &lt;x#> jest derywatem czasownika &lt;y#>,rzeczownik) (znaczenie rzeczownika &lt;x#subst:sg:nom:%> jest  związane z czynnością &lt;y#>,rzeczownik) (&lt;x#subst:sg:nom:%> to ROLA czasownika &lt;y#>,rzeczownik) (znaczenie &lt;x#subst:sg:gen> zawiera w sobie czynność wyrażaną przez czasownik &lt;y#>,rzeczownik)"
41;67;"relacja leksykalna";"-1";"zawieranie agensa|subiektu";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której agensem jest &lt;y#>";"zrol:ag";"false";"p_za";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (czynność: &lt;x#> wykonywana jest przez &lt;y#subst:sg:acc:%>,czasownik) (czasownik &lt;x#> zawiera w sobie AGENSA|SUBIEKT &lt;y#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
42;127;"relacja leksykalna";"-1";"zawieranie pacjensa|obiektu";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której pacjensem jest &lt;y#>";"zrol:pacj";"false";"p_zp";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (&lt;y#subst:sg:nom:%> podlega czynności wyrażanej przez czasownik &lt;x#>,czasownik) (&lt;y#> jest PACJENSEM (obiektem) czynności &lt;x#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
43;29;"relacja leksykalna";"-1";"zawieranie czasu";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której czasem jest &lt;y#>";"zrol:czas";"false";"p_zc";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (&lt;x#fin:sg:ter:%> (się) wtedy, gdy jest (są) &lt;y#>,czasownik) (czasownik &lt;x#> zawiera w sobie CZAS &lt;y#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
44;32;"relacja leksykalna";"-1";"zawieranie miejsca";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której miejscem jest &lt;y#>";"zrol:msc";"false";"p_zm";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (&lt;x#fin:sg:ter:%> (się) tam, gdzie jest (są) &lt;y#>,czasownik) (lub &lt;x#fin:sg:ter:%> (się) w|na &lt;y#subst:sg:loc:%>,czasownik) (czasownik &lt;x#> zawiera w sobie MIEJSCE &lt;y#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
45;463;"relacja leksykalna";"-1";"zawieranie narzędzia";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której narzędziem jest &lt;y#>";"zrol:narz";"false";"p_zn";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (&lt;x#fin:sg:ter> (się) za pomocą &lt;y#subst:sg:gen:%>,czasownik) (czynność &lt;x#> zawiera w sobie NARZĘDZIE: &lt;y#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
46;561;"relacja leksykalna";"-1";"zawieranie wytworu | rezultatu";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, której wytworem|rezultatem jest &lt;y#>";"zrol:wtw&amp;rez";"false";"p_zw";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (gdy (się) &lt;x#fin:sg:ter:%>, wtedy powstaje &lt;y#subst:sg:nom:%>,czasownik) (&lt;y#> jest WYTWOREM | REZULTATEM czynności oznaczanej przez czasownik &lt;x#>,czasownik) (&lt;x#> zawiera w sobie rzeczownik &lt;y#>,czasownik)"
47;82;"relacja leksykalna";"-1";"podtyp nieokreślony";"(dziedziczone)";"(dziedziczone)";"&lt;x#> to sytuacja, która jest związana relacją zawieranie roli - podtyp nieokreślony z &lt;y#>";"zrol:?";"false";"p_zpn";"(czasownik &lt;x#> to derywat rzeczownika &lt;y#>,czasownik) (czynność &lt;x#> jest związana z &lt;y#subst:sg:inst:%>,czasownik) (czynność &lt;x#> zawiera w sobie ROLĘ &lt;y#>,czasownik) (czynność wyrażana przez czasownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,czasownik)"
48;3510;"relacja leksykalna";"-1";"agens przy niewyrażonym predykacie";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest agensem przy niewyrażonym predykacie derywowanym od rzeczownika &lt;y#>";"rol:agNP";"false";"p_ran";"(TAK: rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (TAK: '&lt;y#>' nie jest gerundium (nomen actionis),rzeczownik) (TAK: albo &lt;x#> zajmuje się &lt;y#subst:sg:inst:%>, albo &lt;x#> robi coś z &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: &lt;x#> to AGENS dla czynności INTENCJONALNEJ związanej z &lt;y#subst:sg:inst:%>,rzeczownik) (TAK: rzeczownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,rzeczownik)"
49;390;"relacja leksykalna";"-1";"miejsce przy niewyrażonym predykacie";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest miejscem przy niewyrażonym predykacie derywowanym od rzeczownika &lt;y#>";"rol:mscNP";"false";"p_rmn";"(rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (TAK: &lt;x#> jest miejscem, w którym ktoś/coś  robi coś z &lt;y#>,rzeczownik) (&lt;x#> to MIEJSCE dla &lt;y#subst:sg:gen:%>,rzeczownik) (rzeczownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,rzeczownik)"
50;83;"relacja leksykalna";"-1";"wytwór | rezultat przy niewyrażonym predykacie";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest rezultatem|wytworem przy niewyrażonym predykacie derywowanym od rzeczownika &lt;y#>";"rol:wtw&amp;rezNP";"false";"p_rwn";"(rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (TAK: &lt;x#> powstaje, gdy coś się robi z &lt;y#subst:sg:inst>,rzeczownik) (&lt;x#> to WYTWÓR | REZULTAT tego, co robi się z &lt;y#>,rzeczownik) (rzeczownik &lt;x#> zawiera w sobie znaczenie rzeczownika &lt;y#>,rzeczownik)"
51;955;"relacja leksykalna";"52";"nosiciel_stanu|cechy";"Relacja służy połączeniu rzeczowników opisujących kogoś lub coś, będących w określonym stanie, przejawiających jakiś stan lub charakterystycznych ze względu na jakąś cechę, z przymiotnikami, które wyrażają stan lub cechę. Rzeczownik jest derywowany od przymiotnika.";"rzeczownik,przymiotnik";"&lt;x#> jest nosicielem stanu|cechy &lt;y#>";"nos:s&amp;c";"true";"p_a";"(&lt;x#> to rzeczownik, a &lt;y#> to przymiotnik,rzeczownik) (TAK: &lt;x#> jest kimś/czymś, do kogo/czego odnosi się stan wyrażony przez &lt;y#adj:sg:acc:%>,rzeczownik) (TAK: &lt;x#> jest kimś/czymś, kto/co jest &lt;y#>,rzeczownik)"
52;955;"relacja leksykalna";"51";"stan|cecha";"Relacja służy połączeniu rzeczowników opisujących kogoś lub coś, będących w określonym stanie, przejawiających jakiś stan lub charakterystycznych ze względu na jakąś cechę, z przymiotnikami, które wyrażają stan lub cechę. Przymiotnik jest bazą derywacyjną dla rzeczownika.";"rzeczownik,przymiotnik";"&lt;x#> jest stanem|cechą &lt;y#>";"st&amp;cech";"true";"p_c";"(&lt;y#> jest rzeczownikiem, &lt;x#> jest przymiotnikiem,przymiotnik) (TAK: &lt;y#> jest kimś/czymś, do kogo/czego odnosi się stan wyrażony przez &lt;x#subst:sg:acc:%>,przymiotnik) (TAk: &lt;y#> jest kimś/czymś, kto/co jest &lt;x#>,przymiotnik)"
53;3221;"relacja leksykalna";"-1";"żeńskość";"Dla nazw żeńskich wyprowadzanych z rzeczowników męskich wprowadzamy relację żeńskości. Relacja ta łączyć będzie jednostki leksykalne.&#xa;Pary rzeczowników niezwiązanych morfologicznie, a wyrażające różnicę płci, na przykład &quot;klacz&quot; i &quot;ogier&quot;, łączymy relacją konwersji.";"nieznana,rzeczownik";"'&lt;x#>' jest nazwą żeńską derywowaną od &lt;y#>";"żeń";"false";"p_f";"(&lt;x#> i &lt;y#> to rzeczowniki,rzeczownik) (&lt;x#> jest nazwą żeńską, której podstawą derywacyjną jest &lt;y#>,rzeczownik) (TAK: &lt;x#> to &lt;y#>-kobieta | &lt;y#>-samica,rzeczownik)"
55;73;"relacja leksykalna";"-1";"istota młoda";"(dziedziczone)";"(dziedziczone)";"'&lt;x#>' to nazwa istoty młodej derywowana od &lt;y#>";"nac:ist_mł";"false";"p_ni";"(Rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (&lt;x#> jest nazwą istoty młodej,rzeczownik) (TAK: &lt;x#> to młode (-a, -y) &lt;y#>,rzeczownik)"
56;3905;"relacja leksykalna";"-1";"deminutywność";"(dziedziczone)";"(dziedziczone)";"&lt;x#> jest deminutywne względem &lt;y#>";"nac:dem";"false";"p_nd";"(Rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (&lt;x#> jest nazwą deminutywną,rzeczownik) (TAK: &lt;x#> to mały (-a, -e) &lt;y#> lub &lt;x#> to miły (-a, -e) &lt;y#>,rzeczownik)"
57;843;"relacja leksykalna";"-1";"ekspresywność | augmentatywność";"(dziedziczone)";"(dziedziczone)";"'&lt;x#>' to nazwa ekspresywna/augmentatywna derywowana od &lt;y#>";"nac:eks&amp;aug";"false";"p_ne";"(Rzeczownik &lt;x#> jest derywatem rzeczownika &lt;y#>,rzeczownik) (&lt;x#> jest nazwą ekspresywną lub augmentatywną,rzeczownik) (TAK: &lt;x#> to duży (-a, -e) &lt;y#> lub,rzeczownik) (TAK: &lt;x#> to pozytywne albo negatywne określenie &lt;y#subst:sg:gen:%>,rzeczownik)"
58;493;"relacja pomiędzy synsetami";"-1";"mieszkaniec";"Relacja wynikająca z derywacji: bycie mieszkańcem/obywatelem jakiegoś kraju, regionu lub miasta. Relacja wiąże synsety, z których przynajmniej dwie jednostki musi wiązać relacja derywacyjna (po jednym z każdego).";"rzeczownik";"wyraz &lt;x#> określa mieszkańca miejscowości/regionu &lt;y#>";"mieszk";"false";"p_m";"(&lt;x#> i &lt;y#> to rzeczowniki,rzeczownik) (&lt;x#> jest nazwą osoby, &lt;y#> jest nazwą miejsca,rzeczownik) (TAK: &lt;x#> mieszka w &lt;y#subst:sg:loc:%> lub &lt;x#> pochodzi z &lt;y#subst:sg:gen:%>,rzeczownik)"
