agresywność	agresywny
zwykłość	zwykły
zwykłość	zwykły
dosłowność	dosłowny
nietrzeźwość	nietrzeźwy
celowość	celowy
gęstość	gęsty
gęstość	gęsty
identyczność	identyczny
kompetencja	kompetentny
konieczność	konieczny
namiętność	namiętny
nieobecność	nieobecny
nieskrępowanie	nieskrępowany
niezależność	niezależny
przychylność	przychylny
rzeczywistość	rzeczywisty
spójność	spójny
szarość	szary
tożsamość	tożsamy
wielkość	wielki
zgodność	zgodny
życzliwość	życzliwy
życzliwość	życzliwy
niesprawność	niesprawny
dobroć	dobry
dorosłość	dorosły
dynamiczność	dynamiczny
fałszywość	fałszywy
fałszywość	fałszywy
ironia	ironiczny
jednorodność	jednorodny
męskość	męski
męstwo	mężny
mnogość	mnogi
niegospodarność	niegospodarny
nieścisłość	nieścisły
niespójność	niespójny
normalność	normalny
ograniczoność	ograniczony
ograniczoność	ograniczony
kobiecość	kobiecy
łagodność	łagodny
chciwość	chciwy
niedoskonałość	niedoskonały
bezsenność	bezsenny
mdłość	mdły
nudność	nudny
ślepota	ślepy
bezczelność	bezczelny
chamstwo	chamski
ciemnota	ciemny
lekkomyślność	lekkomyślny
napad	napadowy
nieudolność	nieudolny
prostactwo	prostacki
prymitywizm	prymitywny
szowinizm	szowinistyczny
zachłanność	zachłanny
praworządność	praworządny
spółdzielczość	spółdzielczy
fiolet	fioletowy
żółć	żółty
dyplomacja	dyplomatyczny
bezsilność	bezsilny
beztroska	beztroski
beztroska	beztroski
nieufność	nieufny
roztargnienie	roztargniony
roztargnienie	roztargniony
nawrót	nawrotowy
genialność	genialny
genialność	genialny
męczeństwo	męczeński
natręctwo	natrętny
obrzędowość	obrzędowy
radioaktywność	radioaktywny
szkodliwość	szkodliwy
rdzeń	rdzenny
dostępność	dostępny
banalność	banalny
iluzja	iluzyjny
kaliber	kalibrowy
bezinteresowność	bezinteresowny
nietykalność	nietykalny
obyczajność	obyczajny
ofiarność	ofiarny
ostentacja	ostentacyjny
pobożność	pobożny
pobożność	pobożny
religijność	religijny
wyrozumiałość	wyrozumiały
pobłażliwość	pobłażliwy
pokora	pokorny
polskość	polski
prawdomówność	prawdomówny
przebiegłość	przebiegły
ruchliwość	ruchliwy
ruchliwość	ruchliwy
skrupulatność	skrupulatny
spostrzegawczość	spostrzegawczy
szczodrość	szczodry
umiarkowanie	umiarkowany
ustępliwość	ustępliwy
zaciekłość	zaciekły
żarliwość	żarliwy
żarłoczność	żarłoczny
łatwowierność	łatwowierny
żywotność	żywotny
dociekliwość	dociekliwy
gładkość	gładki
heroizm	heroiczny
nowatorstwo	nowatorski
obfitość	obfity
nowoczesność	nowoczesny
ostrość	ostry
otwartość	otwarty
otwartość	otwarty
skromność	skromny
świeżość	świeżutki
świeżość	świeży
wścibstwo	wścibski
wspaniałość	wspaniały
wytrzymałość	wytrzymały
wytrzymałość	wytrzymały
zajadłość	zajadły
zarozumialstwo	zarozumiały
dziedziczność	dziedziczny
fach	fachowy
zaścianek	zaściankowy
znój	znojny
senność	senny
słodycz	słodki
słodycz	słodki
słodycz	słodki
dedukcja	dedukcyjny
dyrektywa	dyrektywny
określoność	określony
toksyna	nietoksyczny
niedogodność	niedogodny
niedokładność	niedokładny
niedokładność	niedokładny
nieszczelność	nieszczelny
nieuczciwość	nieuczciwy
ogólność	ogólny
rozbieżność	rozbieżny
skomplikowanie	skomplikowany
uciążliwość	uciążliwy
złożoność	złożony
fluktuacja	fluktuacyjny
posępność	posępny
posępność	posępny
posępność	posępny
elitarność	elitarny
gnuśność	gnuśny
jowialność	jowialny
jowialność	jowialny
krzepkość	krzepki
nieszczerość	nieszczery
płochość	płochy
trywialność	trywialny
wtórność	wtórny
zadurzenie	zadurzony
łakomstwo	łakomy
kwasowość	kwasowy
kwasowość	kwasowy
introspekcja	introspektywny
introspekcja	introspekcyjny
lapidarność	lapidarny
sprośność	sprośny
lokalność	lokalny
krótkotrwałość	krótkotrwały
ckliwość	ckliwy
aktywność	aktywny
aktywność	aktywny
bliskość	bliski
bystrość	bystry
bystrość	bystry
celność	celny
ciężkość	ciężki
dojrzałość	dojrzały
dojrzałość	dojrzały
dziedziczność	dziedziczny
dziewiczość	dziewiczy
dzikość	dziki
formalność	formalny
gorycz	gorzki
niegościnność	niegościnny
granat	granatowy
niebieskość	niebieski
indywidualność	indywidualny
jałowość	jałowy
aseptyczność	aseptyczny
sterylność	sterylny
jaskrawość	jaskrawy
jaskrawość	jaskrawy
dobitność	dobitny
równoczesność	równoczesny
klarowność	klarowny
klarowność	klarowny
zrozumiałość	zrozumiały
konkretność	konkretny
kruchość	kruchy
monstrualność	monstrualny
rozgorączkowanie	rozgorączkowany
rozgorączkowanie	rozgorączkowany
białość	biały
niemożliwość	niemożliwy
nienormalność	nienormalny
nieobowiązkowość	nieobowiązkowy
niedołęstwo	niedołężny
strachliwość	strachliwy
strachliwość	strachliwy
wstydliwość	wstydliwy
oczywistość	oczywisty
odporność	odporny
okazałość	okazały
okrągłość	okrągły
okropność	okropny
pracowitość	pracowity
sumienność	sumienny
sumienność	sumienny
szczególność	szczególny
poufność	poufny
dobroduszność	dobroduszny
rewolucyjność	rewolucyjny
rozległość	rozległy
równoległość	równoległy
solidność	solidny
surowość	surowy
bezwzględność	bezwzględny
grafit	grafitowy
nieczystość	nieczysty
dopuszczalność	dopuszczalny
nieważność	nieważny
oddalenie	oddalony
karalność	karalny
hermetyczność	hermetyczny
wierność	wierny
współczesność	współczesny
małość	mały
aktualność	aktualny
anonimowość	anonimowy
apolityczność	apolityczny
żywiołowość	żywiołowy
cząstkowość	cząstkowy
czytelność	czytelny
dochodowość	dochodowy
gospodarność	gospodarny
niefrasobliwość	niefrasobliwy
niejednoznaczność	niejednoznaczny
opłacalność	opłacalny
wydajność	wydajny
produktywność	produktywny
proporcjonalność	proporcjonalny
płynność	płynny
płynność	płynny
reprezentatywność	reprezentatywny
tajność	tajny
trafność	trafny
wiarygodność	wiarygodny
wypłacalność	wypłacalny
zbieżność	zbieżny
zdyscyplinowanie	zdyscyplinowany
zupełność	zupełny
czerwoność	czerwony
gorliwość	gorliwy
krańcowość	krańcowy
mroczność	mroczny
nerwowość	nerwowy
nerwowość	nerwowy
niepomyślność	niepomyślny
odrętwienie	odrętwiały
ordynarność	ordynaryjny
ordynarność	ordynarny
perfekcja	perfekcyjny
pojętność	pojętny
przenikliwość	przenikliwy
przenikliwość	przenikliwy
świątobliwość	świątobliwy
świątobliwość	świątobliwy
tajemniczość	tajemniczy
kompromisowość	kompromisowy
rozciągłość	rozciągły
bezprzedmiotowość	bezprzedmiotowy
pełnoletność	pełnoletni
przeciwstawność	przeciwstawny
niewypłacalność	niewypłacalny
powtarzalność	powtarzalny
niepowtarzalność	niepowtarzalny
dwoistość	dwoisty
dualizm	dualistyczny
dychotomia	dychotomiczny
dychotomiczność	dychotomiczny
liryczność	liryczny
liryzm	liryczny
śmieszność	śmieszny
paradność	paradny
eudajmonizm	eudajmonistyczny
samowładztwo	samowładczy
nieuchronność	nieuchronny
dialektyka	dialektyczny
roślinożerność	roślinożerny
mięsożerność	mięsożerny
apodyktyczność	apodyktyczny
łupliwość	łupliwy
dydaktyczność	dydaktyczny
martyrologia	martyrologiczny
barwność	barwny
duchowość	duchowy
interesowność	interesowny
wyrachowanie	wyrachowany
utylitaryzm	utylitarny
lewicowość	lewicowy
libertynizm	libertyński
zacofanie	zacofany
melodyjność	melodyjny
śpiewność	śpiewny
monumentalność	monumentalny
pomnikowość	pomnikowy
naukowość	naukowy
drętwota	drętwy
subiektywność	subiektywny
bezwładność	bezwładny
niejednorodność	niejednorodny
śmiałość	śmiały
zazdrostka	zazdrosny
gładkość	gładki
kurtuazyjność	kurtuazyjny
nieuprzejmość	nieuprzejmy
niegrzeczność	niegrzeczny
szarmanckość	szarmancki
szarmanckość	szarmancki
zwierzchność	zwierzchny
zwierzchność	zwierzchni
zyskowność	zyskowny
intratność	intratny
mleczność	mleczny
nieopłacalność	nieopłacalny
partyzantka	partyzancki
ambiwalentność	ambiwalentny
dwuznaczność	dwuznaczny
marskość	marski
nadwrażliwość	nadwrażliwy
przeczulenie	przeczulony
przewrażliwienie	przewrażliwiony
niedrożność	niedrożny
niezborność	niezborny
niejednolitość	niejednolity
niezborność	niezborny
ociężałość	ociężały
oziębłość	oziębły
nastrojowość	nastrojowy
romantyczność	romantyczny
poetyckość	poetycki
poetyczność	poetyczny
bojaźliwość	bojaźliwy
tchórzliwość	tchórzliwy
trwożliwość	trwożliwy
płochliwość	płochliwy
pierzchliwość	pierzchliwy
tchórzostwo	tchórzowski
dyspozycyjność	dyspozycyjny
empatia	empatyczny
fakultatywność	fakultatywny
jednoznaczność	jednoznaczny
wieloznaczność	wieloznaczny
niezrozumiałość	niezrozumiały
wieloznaczność	wieloznaczny
komunikatywność	komunikatywny
jasność	jasny
konstytucyjność	konstytucyjny
niedopuszczalność	niedopuszczalny
nienaruszalność	nienaruszalny
niezmienność	niezmienny
obowiązkowość	obowiązkowy
operatywność	operatywny
plastyczność	plastyczny
obrazowość	obrazowy
żywość	żywy
malarskość	malarski
malowniczość	malowniczy
wyrazistość	wyrazisty
plastyczność	plastyczny
punktualność	punktualny
punktualność	punktualny
niepunktualność	niepunktualny
samowystarczalność	samowystarczalny
płodność	płodny
ścisłość	ścisły
współzależność	współzależny
wydolność	wydolny
sprawność	sprawny
wykonalność	wykonalny
niekonstytucyjność	niekonstytucyjny
niepodzielność	niepodzielny
niepodzielność	niepodzielny
prawomocność	prawomocny
sprężystość	sprężysty
sprężystość	sprężysty
sprężystość	sprężysty
sprężystość	sprężysty
ponurość	ponury
ponurość	ponury
zjadliwość	zjadliwy
zjadliwość	zjadliwy
hardość	hardy
niepokorność	niepokorny
małomówność	małomówny
burkliwość	burkliwy
mrukliwość	mrukliwy
natarczywość	natarczywy
nachalność	nachalny
namolność	namolny
upierdliwość	upierdliwy
opryskliwość	opryskliwy
oschłość	oschły
potulność	potulny
pożądliwość	pożądliwy
pożądliwość	pożądliwy
prostoduszność	prostoduszny
rześkość	rześki
drapieżność	drapieżny
napastliwość	napastliwy
skwapliwość	skwapliwy
służalczość	służalczy
służalczość	służalczy
lokajstwo	lokajski
serwilizm	serwilistyczny
służalstwo	służalczy
służalstwo	służalczy
władczość	władczy
despotyczność	despotyczny
skrytość	skryty
skrytość	skryty
łapczywość	łapczywy
gołosłowność	gołosłowny
służebność	służebny
podrzędność	podrzędny
słodkość	słodki
rozdzielność	rozdzielny
tłustość	tłusty
tłustość	tłusty
tłustość	tłusty
terakota	terakotowy
homonimiczność	homonimiczny
synonimiczność	synonimiczny
bliskoznaczność	bliskoznaczny
podobieństwo	podobny
analogiczność	analogiczny
pokrewieństwo	pokrewny
absurdalność	absurdalny
bezsensowność	bezsensowny
niedorzeczność	niedorzeczny
nonsensowność	nonsensowny
amatorszczyzna	amatorski
amatorskość	amatorski
daremność	daremny
bezowocność	bezowocny
nieskuteczność	nieskuteczny
bezskuteczność	bezskuteczny
nierealność	nierealny
przypadkowość	przypadkowy
dyletanctwo	dyletancki
dyletantyzm	dyletancki
krnąbrność	krnąbrny
krnąbrność	krnąbrny
nieprawomyślność	nieprawomyślny
przekorność	przekorny
przekorność	przekorny
przekorność	przekorny
niesforność	niesforny
niezaradność	niezaradny
ciapowatość	ciapowaty
nieporadność	nieporadny
ofermowatość	ofermowaty
pasywność	pasywny
nielojalność	nielojalny
nielojalność	nielojalny
niewierność	niewierny
niestałość	niestały
niestałość	niestały
kapryśność	kapryśny
niestałość	niestały
frywolność	frywolny
nieprzydatność	nieprzydatny
bezużyteczność	bezużyteczny
bezzasadność	bezzasadny
niedostępność	niedostępny
niedostępność	niedostępny
niedostępność	niedostępny
niedostępność	niedostępny
niewidzialność	niewidzialny
niesłuszność	niesłuszny
pasywność	pasywny
błędność	błędny
dokonaność	dokonany
bezczynność	bezczynny
stałość	stały
regularność	regularny
stałość	stały
cynober	cynobrowy
karmin	karminowy
koral	koralowy
krwistość	krwisty
mahoń	mahoniowy
szkarłat	szkarłatny
oranż	oranżowy
pomarańcz	pomarańczowy
beż	beżowy
orzech	orzechowy
sepia	sepiowy
śliwka	śliwkowy
malachit	malachitowy
pistacja	pistacjowy
seledyn	seledynowy
szmaragd	szmaragdowy
krągłość	krągły
różowość	różowy
różowość	różowy
nieciągłość	nieciągły
nierównomierność	nierównomierny
podzielność	podzielny
podzielność	podzielny
dobroczynność	dobroczynny
chytrość	chytry
podstępność	podstępny
prostolinijność	prostolinijny
perfidia	perfidny
dwulicowość	dwulicowy
fałszywość	fałszywy
jezuityzm	jezuicki
kłamliwość	kłamliwy
wykrętność	wykrętny
niezręczność	niezręczny
pruderyjność	pruderyjny
gustowność	gustowny
minoderia	minoderyjny
minoderyjność	minoderyjny
niekompetentność	niekompetentny
niekompetentność	niekompetentny
kompetentność	kompetentny
kompetentność	kompetentny
stołeczność	stołeczny
marzycielstwo	marzycielski
mierność	mierny
lichota	lichy
tandeta	tandetny
tandetność	tandetny
nieprzewidywalność	nieprzewidywalny
nieobliczalność	nieobliczalny
przewidywalność	przewidywalny
prowincjonalizm	prowincjonalny
prowincjonalność	prowincjonalny
zaściankowość	zaściankowy
małomiasteczkowość	małomiasteczkowy
efekciarstwo	efekciarski
tromtadracja	tromtadracki
nadgorliwość	nadgorliwy
tymczasowość	tymczasowy
umowność	umowny
zwyczajność	zwyczajny
promieniotwórczość	promieniotwórczy
równoprawność	równoprawny
poczytalność	poczytalny
przyczynowość	przyczynowy
kolegialność	kolegialny
dobrowolność	dobrowolny
bezprawność	bezprawny
asymetryczność	asymetryczny
asymetryczność	asymetryczny
niesymetryczność	niesymetryczny
chwiejność	chwiejny
chwiejność	chwiejny
trójkątność	trójkątny
infantylizm	infantylny
dziecinność	dziecinny
dziecinność	dziecinny
dziecinność	dziecinny
infantylność	infantylny
nadpłynność	nadpłynny
niekompletność	niekompletny
nieokreśloność	nieokreślony
nieokreśloność	nieokreślony
przewlekłość	przewlekły
ruchomość	ruchomy
beznadziejność	beznadziejny
bezbronność	bezbronny
tkliwość	tkliwy
tkliwość	tkliwy
prowizoryczność	prowizoryczny
nieustępliwość	nieustępliwy
odszczepieństwo	odszczepieńczy
bałwochwalstwo	bałwochwalski
bałwochwalstwo	bałwochwalczy
nadzwyczajność	nadzwyczajny
bezbożność	bezbożny
bezecność	bezecny
niecność	niecny
chuligaństwo	chuligański
cudzożywność	cudzożywny
jednożerność	jednożerny
samożywność	samożywny
wielożerność	wielożerny
mistrzostwo	mistrzowski
fachowość	fachowy
profesjonalizm	profesjonalny
zawodowstwo	zawodowy
krasa	krasy
śliczność	śliczny
bezkompromisowość	bezkompromisowy
pryncypializm	pryncypialny
pryncypialność	pryncypialny
dramatyzm	dramatyczny
dramatyczność	dramatyczny
sceniczność	sceniczny
drobiazgowość	drobiazgowy
rozwiązłość	rozwiązły
niemoralność	niemoralny
pedantyczność	pedantyczny
pedantyczność	pedantyczny
amoralność	amoralny
grzeszność	grzeszny
nierzetelność	nierzetelny
niesolidność	niesolidny
niesumienność	niesumienny
egzotyka	egzotyczny
egzotyczność	egzotyczny
egzotyzm	egzotyczny
bajkowość	bajkowy
demoniczność	demoniczny
dziwność	dziwny
nadprzyrodzoność	nadprzyrodzony
zagadkowość	zagadkowy
baśniowość	baśniowy
egzoteryczność	egzoteryczny
bezduszność	bezduszny
bezwstyd	bezwstydny
chudość	chudy
mistyczność	mistyczny
drażliwość	drażliwy
drażliwość	drażliwy
gadatliwość	gadatliwy
impulsywność	impulsywny
kłótliwość	kłótliwy
swarliwość	swarliwy
wymowność	wymowny
emocjonalność	emocjonalny
emocjonalność	emocjonalny
uczoność	uczony
encyklopedyczność	encyklopedyczny
małostkowość	małostkowy
małoduszność	małoduszny
mściwość	mściwy
niechlujstwo	niechlujny
niechlujstwo	niechlujny
niechlujstwo	niechlujny
giętkość	giętki
giętkość	giętki
niechlujność	niechlujny
niechlujność	niechlujny
niechlujność	niechlujny
niedbalstwo	niedbały
niedbalstwo	niedbały
niedbalstwo	niedbały
muzykalność	muzykalny
nieodpowiedzialność	nieodpowiedzialny
nieostrożność	nieostrożny
nierozwaga	nierozważny
pazerność	pazerny
nabożeństwo	nabożny
pobudliwość	pobudliwy
rygorystyczność	rygorystyczny
popędliwość	popędliwy
porywczość	porywczy
poufałość	poufały
familiarność	familiarny
poufałość	poufały
zaborczość	zaborczy
zapalczywość	zapalczywy
uszczypliwość	uszczypliwy
uszczypliwość	uszczypliwy
wszeteczeństwo	wszeteczny
wszeteczeństwo	wszeteczny
stówa	stumarkowy
niewymuszoność	niewymuszony
pewność	pewny
nieomylność	nieomylny
nieomylność	nieomylny
zdecydowanie	zdecydowany
praktyczność	praktyczny
praktyczność	praktyczny
przezorność	przezorny
samokrytycyzm	samokrytyczny
nieugiętość	nieugięty
szczodrobliwość	szczodrobliwy
waleczność	waleczny
waleczność	waleczny
bojowość	bojowy
bitność	bitny
wojowniczość	wojowniczy
wielkoduszność	wielkoduszny
szlachetność	szlachetny
wspaniałomyślność	wspaniałomyślny
energiczność	energiczny
