administrować	administrowanie
dostać	dostanie
dostać się	dostanie się
dostarczać	dostarczanie
dostarczyć	dostarczenie
dostawać	dostawanie
dostawać	dostawanie
dostawać się	dostawanie się
dostawać się	dostawanie się
dostrzec	dostrzeżenie
dostrzec	dostrzeżenie
dostrzegać	dostrzeganie
dostrzegać	dostrzeganie
doświadczać	doświadczanie
doświadczyć	doświadczenie
dotknąć	dotknięcie
dotknąć	dotknięcie
dotknąć	dotknięcie
dotować	dotowanie
dotrwać	dotrwanie
dotrzeć	dotarcie
dotrzymać	dotrzymanie
dotrzymać kroku	dotrzymanie kroku
dotykać	dotykanie
dowiadywać się	dowiadywanie się
dowiedzieć się	dowiedzenie się
dowierzać	dowierzanie
dowieść	dowiedzenie
dowieść	dowiedzenie
dowieźć	dowiezienie
dowodzić	dowodzenie
dowodzić	dowodzenie
dowodzić	dowodzenie
dozorować	dozorowanie
dołączyć	dołączenie
dołączyć	dołączenie
dołączyć się	dołączenie się
dołożyć	dołożenie
dołożyć	dołożenie
drapować się	drapowanie się
dręczyć	dręczenie
drzeć	darcie
drżeć	drżenie
drżeć	drżenie
drzeć się	darcie się
drzemać	drzemanie
dumać	dumanie
dygotać	dygotanie
dyskutować	dyskutowanie
dysponować	dysponowanie
dysputować	dysputowanie
dziać się	dzianie się
działać	działanie
działać	działanie
działać	działanie
działać na nerwy	działanie na nerwy
działać w złej wierze	działanie w złej wierze
dzierżyć	dzierżenie
dziwić	dziwienie
dziwić się	dziwienie się
dźwięczeć	dźwięczenie
dzwonić	dzwonienie
edukować	edukowanie
edukować się	edukowanie się
egzaminować	egzaminowanie
egzystować	egzystowanie
eksploatować	eksploatowanie
eksplodować	eksplodowanie
emitować	emitowanie
emitować	emisja
fantazjować	fantazjowanie
faworyzować	faworyzacja
faworyzować	faworyzowanie
formułować	formułowanie
formułować	formułowanie
frapować	frapowanie
frasować	frasowanie
frasować się	frasowanie się
frunąć	frunięcie
fruwać	fruwanie
funkcjonować	funkcjonowanie
gadać	gadanie
ganiać	ganianie
ganić	ganienie
gasnąć	gaśnięcie
gawędzić	gawędzenie
giąć	gięcie
ginąć	ginięcie
ginąć	ginięcie
gnać	gnanie
gnębić się	gnębienie się
gnieść	gniecenie
godzić	godzenie
godzić się	godzenie się
godzić się	godzenie się
gonić	gonienie
gorączkować się	gorączkowanie się
górować	górowanie
górować	górowanie
gościć	goszczenie
gościć	gościna
gospodarować	gospodarowanie
grać	granie
grać	granie
grać	granie
grać	granie
grać	granie
grać komedię	granie komedii
grać na nerwach	granie na nerwach
gromadzić	gromadzenie
gromadzić	gromadzenie
gromadzić	gromadzenie
gromadzić się	gromadzenie się
grozić	grożenie
grozić	grożenie
grupować	grupowanie
grupować się	grupowanie się
gryźć się	gryzienie się
gustować	gust
gustować	gustowanie
gwarantować	gwarantowanie
gwarantować	gwarantowanie
głosić	głoszenie
głosować	głosowanie
głowić się	głowienie się
główkować	główkowanie
harmonizować	harmonizacja
harmonizować	harmonizowanie
identyfikować	identyfikowanie
ignorować	ignorowanie
imitować	imitatorstwo
imitować	imitowanie
inaugurować	inaugurowanie
indagować	indagowanie
informować	informowanie
informować się	informowanie się
inicjować	inicjowanie
inkasować	inkasowanie
interesować	interesowanie
interesować się	zainteresowania
interesować się	interesowanie się
interpretować	interpretowanie
interweniować	interweniowanie
intrygować	intrygowanie
inwestować	inwestowanie
inwigilować	inwigilowanie
istnieć	istnienie
izolować się	izolowanie się
jąć	jęcie
jarać	jaranie
jechać	jechanie
jechać	jechanie
jednać	jednanie
jeść	jedzenie
jeździć	jeżdżenie
kablować	kablowanie
kapitulować	kapitulowanie
kapitulować	kapitulacja
kapować	kapowanie
karać	karanie
karmić	karmienie
kasować	kasowanie
katować	katowanie
kazać	kazanie
kicać	kicanie
kierować	kierowanie
kierować	kierowanie
kimać	kima
kimać	kimanie
klasyfikować	klasyfikowanie
kluczyć	kluczenie
kochać	kochanie
kojarzyć	kojarzenie
kojarzyć się	kojarzenie się
komenderować	komenderowanie
komentować	komentowanie
komplementować	komplementowanie
komplementować	komplementacja
kompletować	kompletowanie
komponować się	komponowanie się
komunikować się	komunikowanie się
konać	konanie
koncentrować się	koncentrowanie się
kończyć	kończenie
konfirmować	konfirmowanie
konfrontować	konfrontowanie
konkludować	konkludowanie
konkurować	konkurowanie
konsumować	konsumowanie
konsumować	konsumpcja
kontaktować się	kontaktowanie się
kontrolować	kontrolowanie
kontynuować	kontynuowanie
kopać	kopanie
kopcić	kopcenie
korelować	korelowanie
korespondować	korespondowanie
korzystać	korzystanie
korzystać	korzystanie
kosztować	kosztowanie
kosztować	kosztowanie
kołatać	kołatanie
kołować	kołowanie
kraść	kradnięcie
kraść	kradzenie
krążyć	krążenie
kręcić	kręcenie
kręcić	kręcenie
kręcić się	kręcenie się
kręcić się	kręcenie się
kreować się	kreowanie się
krępować się	krępowanie się
kroczyć	kroczenie
kroczyć	kroczenie
królować	królowanie
kryć	krycie
kryć	krycie
kryć	krycie
kryć się	krycie się
kryć się	krycie się
krytykować	krytykowanie
krzyczeć	krzyczenie
krzyknąć	krzyknięcie
kształcić	kształcenie
kształcić się	kształcenie się
kulać	kulanie
kumulować	kumulowanie
kupić	kupienie
kupować	kupowanie
kurować	kurowanie
kurzyć	kurzenie
kusić	kuszenie
kwalifikować się	kwalifikowanie się
kwestionować	kwestionowanie
kwiecić się	kwiecenie się
kwitnąć	kwitnienie
kwitnąć	kwitnięcie
kłaść	kładzenie
kłaść się	kładzenie się
kłaść trupem	kładzenie trupem
kłopotać się	kłopotanie się
lać	lanie
lać się	lanie się
lać łzy	lanie łez
latać	latanie
lec	legnięcie
lecieć	lecenie
leczyć	leczenie
legitymować się	legitymowanie się
legnąć	legnięcie
lękać się	lękanie się
lekceważyć	lekceważenie
leźć	lezienie
leżeć	leżenie
liczyć	liczenie
liderować	liderowanie
likwidować	likwidowanie
lokować	lokowanie
lokować	lokowanie
lśnić	lśnienie
lubić	lubienie
lulać	lulanie
magazynować	magazynowanie
magnetyzować	magnetyzowanie
mamić	mamienie
marnotrawić	marnotrawienie
marnować	marnowanie
martwić	martwienie
martwić się	martwienie się
marzyć	marzenie
maszerować	maszerowanie
męczyć	męczenie
męczyć się	męczenie się
medytować	medytowanie
menedżerować	menedżerowanie
miąć	mięcie
mianować	mianowanie
międlić	międlenie
mieścić	mieszczenie
mieszać	mieszanie
mieszać	mieszanie
mieszać się	mieszanie się
mieszkać	mieszkanie
mijać	mijanie
milczeć	milczenie
minąć	minięcie
minąć	minięcie
miotać	miotanie
miłować	miłowanie
mniemać	mniemanie
modlić się	modlenie się
modyfikować	modyfikowanie
montować	montowanie
mordować	mordowanie
motywować	motywowanie
mówić	mówienie
mówić	mowa
mówić na ucho	mówienie na ucho
mruknąć	mruknięcie
musieć	mus
mylić	mylenie
mylić się	mylenie się
myśleć	myślenie
nabawić się	nabawienie się
nabierać	nabieranie
nabierać	nabieranie
nabijać w butelkę	nabijanie w butelkę
nabrać	nabranie
nabrać	nabranie
nabyć	nabycie
nabywać	nabywanie
nachylić się	nachylenie się
nacierać	nacieranie
naciskać	naciskanie
nacisnąć	naciśnięcie
nadać	nadanie
nadać się	nadanie się
nadawać imię	nadawanie imienia
nadawać	nadawanie
nadawać się	nadawanie się
nadążyć	nadążenie
nadchodzić	nadchodzenie
nadciągać	nadciąganie
nadciągnąć	nadciągnięcie
nadejść	nadejście
nadepnąć	nadepnięcie
nadeptywać	nadeptywanie
nadesłać	nadścielenie
nadmienić	nadmienienie
nadstawić karku	nadstawienie karku
nadwątlić	nadwątlenie
nadwyrężyć	nadwyrężenie
nadzorować	nadzorowanie
nagabywać	nagabywanie
nagnieść	nagniecenie
nagrodzić	nagrodzenie
nająć	najęcie
nająć	najem
najechać	najechanie
najeżdżać	najeżdżanie
nakazać	nakazanie
nakazywać	nakazywanie
nakierować się	nakierowanie się
nakreślać	nakreślanie
nakładać	nakładanie
nakładać obowiązek	nakładanie obowiązku
nakłaniać	nakłanianie
nakłonić	nakłonienie
nalegać	naleganie
należeć	należenie
należeć	należenie
należeć się	należenie się
należeć się	należenie się
namawiać	namawianie
namówić	namówienie
nanieść	naniesienie
nanosić	nanoszenie
napadać	napadanie
napaść	napadnięcie
napędzić stracha	napędzenie stracha
napełniać	napełnianie
napełniać się	napełnianie się
napełnić	napełnienie
napełnić się	napełnienie się
napić się	napicie się
napierać	napieranie
napisać	napisanie
napomknąć	napomknięcie
napomykać	napomykanie
napotkać	napotkanie
napotykać	napotykanie
naprowadzać	naprowadzanie
naprowadzić	naprowadzenie
narastać	narastanie
narodzić się	narodzenie się
naruszać	naruszanie
naruszyć	naruszenie
naruszyć	naruszenie
narzekać	narzekanie
narzucić	narzucenie
nasadzać	nasadzanie
nasadzić	nasadzenie
naśladować	naśladownictwo
naśladować	naśladowanie
nastać	nastanie
nastąpić	nastąpienie
nastąpić	nastąpienie
nastawać	nastawanie
nastawić	nastawienie
następować	następowanie
nastraszyć	nastraszenie
nastraszyć się	nastraszenie się
nasunąć	nasunięcie
nasuwać	nasuwanie
nasycić	nasycenie
nasłuchiwać	nasłuchiwanie
natknąć się	natknięcie się
natrzeć	natarcie
natykać się	natykanie się
nauczać	nauczanie
nauczyć	nauczenie
nauczyć się	nauczenie się
nawiązać	nawiązanie
nawiązywać	nawiązywanie
nawijać	nawijanie
nawoływać	nawoływanie
nawracać	nawracanie
nawrócić	nawrócenie
nawyknąć	nawyknięcie
nazwać	nazwanie
nazywać	nazywanie
nazywać się	nazywanie się
nałożyć	nałożenie
nałożyć	nałożenie
nałożyć obowiązek	nałożenie obowiązku
nęcić	nęcenie
nie omieszkać	nieomieszkanie
niepokoić	niepokojenie
niepokoić się	niepokojenie się
nieść	niesienie
nieść pomoc	niesienie pomocy
niknąć	niknięcie
niszczyć	niszczenie
nominować	nominowanie
normować	normowanie
nosić	noszenie
nosić w pamięci	noszenie w pamięci
obarczyć	obarczenie
obawiać się	obawianie się
obchodzić	obchodzenie
obchodzić	obchodzenie
obciążyć	obciążenie
obdarować	obdarowanie
obdarowywać	obdarowywanie
obdarzać uczuciem	obdarzanie uczuciem
obdzielać	obdzielanie
obejmować	obejmowanie
obejmować	obejmowanie
obejrzeć	obejrzenie
obejść się	obejście się
oberwać	oberwanie
obgadywać	obgadywanie
obiecać	obiecanie
obiecywać	obiecywanie
objąć	objęcie
objąć	objęcie
objąć	objęcie
objąć umysłem	objęcie umysłem
objuczyć	objuczenie
oblać	oblanie
obliczać	obliczanie
obliczyć	obliczenie
obligować	obligowanie
obmyślać	obmyślanie
obmyślić	obmyślenie
obniżyć	obniżenie
obowiązywać	obowiązywanie
obrać	obranie
obracać	obracanie
obrócić	obrócenie
obrócić się	obrócenie się
obronić	obronienie
obronić się	obronienie się
obserwować	obserwacja
obserwować	obserwowanie
obserwować	obserwowanie
obserwować	obserwowanie
obstąpić	obstąpienie
obstępować	obstępowanie
obsługiwać	obsługiwanie
obudzić	obudzenie
obwieścić	obwieszczenie
obwiesić	obwieszenie
obwieszczać	obwieszczanie
obwiniać	obwinianie
obwinić	obwinienie
obwołać	obwołanie
obwoływać	obwoływanie
obładować	obładowanie
ocalać	ocalanie
ocalić	ocalenie
oceniać	ocenianie
ocenić	ocenienie
ochraniać	ochranianie
oczarować	oczarowanie
oczekiwać	oczekiwanie
odbić	odbicie
odbić się	odbicie się
odbić się	odbicie się
odbiegać	odbieganie
odbierać	odbieranie
odbierać	odbiór
odbijać	odbijanie
odbyć	odbycie
odbywać się	odbywanie się
odchodzić	odchodzenie
odchować	odchowanie
odchylać	odchylanie
odchylić	odchylenie
odcyfrować	odcyfrowanie
odczuć	odczucie
odczuwać	odczuwanie
odczytać	odczytanie
odczytać	odczytanie
odczytywać	odczytywanie
oddać	oddanie
oddalać się	oddalanie się
oddalić	oddalenie
oddalić się	oddalenie się
oddawać	oddawanie
oddychać	oddychanie
oddziaływać	oddziaływanie
odebrać	odebranie
odegrać się	odegranie się
odejść	odejście
odemknąć	odemknięcie
odepchnąć	odepchnięcie
odeprzeć	odparcie
oderwać	oderwanie
odesłać	odesłanie
odezwać się	odezwanie się
odgadnąć	odgadnięcie
odgrażać się	odgrażanie się
odgrywać rolę	odgrywanie
odgrywać rolę	odgrywanie roli
odklepać	odklepanie
odklepywać	odklepywanie
odkręcać	odkręcanie
odkręcić	odkręcenie
odkręcić się	odkręcenie się
odkryć	odkrycie
odkryć	odkrycie
odkrywać	odkrywanie
odkupić	odkupienie
odkładać	odkładanie
odkładać	odkładanie
odmawiać	odmawianie
odmieniać	odmienianie
odmienić	odmienienie
odmówić	odmówienie
odmykać	odmykanie
odnająć	odnajęcie
odnajdować	odnajdowanie
odnaleźć	odnalezienie
odnieść	odniesienie
odnieść wrażenie	odniesienie wrażenia
odnieść się	odniesienie się
odnosić	odnoszenie
odnosić się	odnoszenie się
odnosić się	odnoszenie się
odnowić	odnowienie
odpierać	odpieranie
odpisywać	odpisywanie
odpoczywać	odpoczywanie
odpowiadać	odpowiadanie
odpowiadać	odpowiadanie
odpowiadać	odpowiadanie
odpowiedzieć	odpowiedzenie
odpowiedzieć	odpowiedzenie
odpowiedzieć	odpowiedzenie
odprawiać	odprawianie
odprawić	odprawienie
odpuścić	odpuszczenie
odpytać	odpytanie
odpytywać	odpytywanie
odratować	odratowanie
odratowywać	odratowywanie
odrestaurować	odrestaurowanie
odróżniać się	odróżnianie się
odrywać	odrywanie
odrywać się	odrywanie się
odrzec	odrzeknięcie
odrzucić	odrzucenie
odrzucić	odrzucenie
odskoczyć	odskoczenie
odśpiewać	odśpiewanie
odśpiewywać	odśpiewywanie
odstąpić	odstąpienie
odstawać	odstawanie
odsunąć	odsunięcie
odsuwać	odsuwanie
odświeżyć	odświeżenie
odsyłać	odsyłanie
odszukać	odszukanie
odszukiwać	odszukiwanie
odszyfrować	odszyfrowanie
odsłonić	odsłonienie
odsłonić	odsłonięcie
odsłuchiwać	odsłuchiwanie
odwieść	odwiedzenie
odwieźć	odwiezienie
odwijać	odwijanie
odwinąć się	odwinięcie się
odwołać	odwołanie
odwoływać	odwoływanie
odwrócić się	odwrócenie się
odziać	odzianie
odznaczyć	odznaczenie
odzyskać	odzyskanie
odzyskiwać	odzyskiwanie
odzywać się	odzywanie się
odżywiać się	odżywianie się
odłączyć	odłączenie
odłożyć	odłożenie
oferować	oferowanie
ofiarować	ofiarowanie
ogarnąć umysłem	ogarnięcie umysłem
ogarnąć	ogarnięcie
ogarnąć	ogarnięcie
ogarniać	ogarnianie
ogarniać	ogarnianie
oglądać się	oglądanie się
ogłaszać	ogłaszanie
ogłosić	ogłoszenie
okalać	okalanie
okazać	okazanie
okazywać	okazywanie
okradać	okradanie
okrążać	okrążanie
okrążyć	okrążenie
określać	określanie
określać	określanie
określić	określenie
okrywać	okrywanie
okrzyknąć	okrzyknięcie
okłamywać	okłamywanie
olśnić	olśnienie
omijać	omijanie
omówić	omówienie
opamiętać się	opamiętanie się
opanować	opanowanie
opanować	opanowanie
opanować się	opanowanie się
opanowywać	opanowywanie
opanowywać	opanowywanie
opasać	opasanie
opaść	opadnięcie
opasywać	opasywanie
operować	operowanie
opiekować się	opiekowanie się
opierać się	opieranie się
opierać się	opieranie się
opisać	opisanie
opisywać	opisywanie
oplatać	oplatanie
opleść	oplecenie
oponować	oponowanie
opowiadać	opowiadanie
opowiadać się	opowiadanie się
opowiedzieć	opowiedzenie
opowiedzieć się	opowiedzenie się
opracowywać	opracowywanie
oprzeć	oparcie
oprzeć się	oparcie się
oprzeć się	oprzenie się
opuścić	opuszczenie
opuścić	opuszczenie
opuszczać	opuszczanie
opuszczać	opuszczanie
opłacać	opłacanie
opłacać się	opłacanie się
opłacić	opłacenie
organizować	organizowanie
orzec	orzeknięcie
orzekać	orzekanie
osadzać	osadzanie
osądzać	osądzanie
osądzać	osądzanie
osądzić	osądzenie
oscylować	oscylowanie
osiadać	osiadanie
osiągać	osiąganie
osiągnąć	osiągnięcie
osiedlać się	osiedliny
osiedlać się	osiedlanie się
osiedlić się	osiedlenie się
osiedlić się	osiedlenie się
oskarżać	oskarżanie
oskarżyć	oskarżenie
ostrzegać	ostrzeganie
oświadczyć	oświadczenie
oświadczyć się	oświadczenie się
oświecić	oświecenie
oswobodzić	oswobodzenie
oszacować	oszacowanie
oszczędzać	oszczędzanie
oszukać	oszukanie
oszukiwać	oszukiwanie
osłabić	osłabienie
osłaniać	osłanianie
otaczać	otaczanie
otaczać	otaczanie
otaczać	otaczanie
otoczyć	otoczenie
otoczyć	otoczenie
otrzymać	otrzymanie
otrzymywać	otrzymywanie
otwierać	otwieranie
otwierać się	otwieranie się
otworzyć	otworzenie
otworzyć się	otworzenie się
owinąć wokół palca	owinięcie wokół palca
owładnąć	owładnięcie
owładnąć	owładnięcie
ozdobić	ozdobienie
ożenić się	ożenek
ożenić się	ożenienie się
oznaczać	oznaczanie
oznajmić	oznajmienie
pachnieć	pachnienie
padać	padanie
padać	padanie
palić	palenie
palić	palenie
palić	palenie
palić się	palenie się
palnąć	palnięcie
pamiętać	pamiętanie
panoszyć się	panoszenie się
panować	panowanie
panować	panowanie
paplać	paplanina
paplać	paplanie
paść	padnięcie
pasować	pasowanie
pasować	pasowanie
pasować	pasowanie
pasować	pasowanie
pastwić się	pastwienie się
patrzeć	patrzenie
patrzyć	patrzenie
pauzować	pauzowanie
percypować	percypowanie
perswadować	perswadowanie
pełnić	pełnienie
pełnić rolę	pełnienie roli
pełzać	pełzanie
piąć się	pięcie się
pić	picie
pierzchać	pierzchanie
pierzchnąć	pierzchnięcie
pilnować	pilnowanie
planować	planowanie
pląsać	pląs
pląsać	pląsanie
plasować	plasowanie
plątać	plątanie
plątać się	plątanie się
pobić	pobicie
pobiec	pobiegnięcie
pobierać	pobieranie
pobierać	pobieranie
pobierać nauki	pobieranie nauk
pobierać się	pobieranie się
pobolewać	pobolewanie
pobrać	pobranie
pobrzmiewać	pobrzmiewanie
pochlebiać	pochlebianie
pochlebić	pochlebienie
pochodzić	pochodzenie
pochwalić	pochwalenie
pochwycić	pochwycenie
pochylić się	pochylenie się
pochłaniać	pochłanianie
pochłonąć	pochłonięcie
pociągać	pociąganie
pociągać	pociąganie
pociągnąć	pociągnięcie
począć	poczęcie
poczekać	poczekanie
poczuć	poczucie
poczynać sobie	poczynanie sobie
poczytywać	poczytywanie
podać	podanie
podać	podanie
podać	podanie
podać się do dymisji	podanie się do dymisji
podarować	podarowanie
podarować	podarowanie
podawać	podawanie
podawać	podawanie
podawać się do dymisji	podawanie się do dymisji
podążać	podążanie
podążyć	podążenie
podbić	podbicie
podbijać	podbijanie
podbudować	podbudowanie
podchodzić	podchodzenie
poddać próbie	poddanie próbie
poddać się	poddanie się
poddać się	poddanie się
poddawać	poddawanie
poddawać się	poddawanie się
podejmować	podejmowanie
podejmować się	podejmowanie się
podejrzewać	podejrzewanie
podejść	podejście
podeprzeć	podparcie
podeprzeć się	podparcie się
poderwać się	poderwanie się
podjąć	podjęcie
podjąć	podjęcie
podjąć decyzję	podjęcie decyzji
podjąć decyzję	podjęcie decyzji
podjąć się	podjęcie się
podkreślać	podkreślanie
podkreślić	podkreślenie
podkreślić	podkreślenie
podlegać	podleganie
podliczać	podliczanie
podliczyć	podliczenie
podnieść	podniesienie
podnieść	podniesienie
podnieść	podniesienie
podnieść na duchu	podniesienie na duchu
podnieść się	podniesienie się
podnosić	podnoszenie
podnosić	podnoszenie
podnosić na duchu	podnoszenie na duchu
podnosić się	podnoszenie się
podobać się	podobanie się
podpierać się	podpieranie się
podporządkować	podporządkowanie
podporządkować	podporządkowanie
podpowiadać	podpowiadanie
podpowiedzieć	podpowiedzenie
podróżować	podróżowanie
podrygiwać	podrygiwanie
podrzeć	podarcie
podskakiwać	podskakiwanie
podsumować	podsumowanie
podsumowywać	podsumowywanie
podsuwać	podsuwanie
podtrzymać	podtrzymanie
podtrzymać	podtrzymanie
podtrzymać na duchu	podtrzymanie na duchu
podtrzymywać	podtrzymywanie
podtrzymywać	podtrzymywanie
podtrzymywać na duchu	podtrzymywanie na duchu
podumać	podumanie
podważać	podważanie
podwyższać	podwyższanie
podwyższyć	podwyższenie
podziękować	podziękowanie
podzielać	podzielanie
podzielić	podzielenie
podzielić	podzielenie
podziwiać	podziwianie
pofrunąć	pofrunięcie
pognać	pognanie
pogodzić	pogodzenie
pogodzić się	pogodzenie się
pogruchotać	pogruchotanie
pogwałcić	pogwałcenie
pogłowić się	pogłowienie się
pogłówkować	pogłówkowanie
pohamować	pohamowanie
poinformować	poinformowanie
pojąć	pojęcie
wziąć za żonę	wzięcie za żonę
pojawiać się	pojawianie się
pojawić się	pojawienie się
pojawić się	pojawienie się
pojawić się	pojawienie się
pojechać	pojechanie
pojednać	pojednanie
pojednać się	pojednanie się
pojednywać	pojednywanie
pójść	pójście
pójść o zakład	pójście o zakład
pokarać	pokaranie
pokazać	pokazanie
pokazać	pokazanie
pokazać się	pokazanie się
pokazywać	pokazywanie
pokazywać	pokazywanie
pokazywać się	pokazywanie się
pokonać	pokonanie
pokonywać	pokonywanie
pokryć	pokrycie
pokrywać	pokrywanie
polecać	polecanie
polecić	polecenie
polegać	poleganie
policzyć	policzenie
pomagać	pomaganie
pomedytować	pomedytowanie
pomieszkiwać	pomieszkiwanie
pomijać	pomijanie
pomijać	pomijanie
pominąć	pominięcie
pomóc	pomożenie
pomówić	pomówienie
pomyśleć	pomyślenie
ponaglać	ponaglanie
ponieść odpowiedzialność	poniesienie odpowiedzialności
ponieść porażkę	poniesienie porażki
ponieść śmierć	poniesienie śmierci
ponosić odpowiedzialność	ponoszenie odpowiedzialności
ponosić porażkę	ponoszenie porażki
ponowić	ponowienie
popełniać	popełnianie
popić	popicie
popierać	popieranie
popijać	popijanie
popisać się	popisanie się
poprosić	poproszenie
poprosić o rękę	poproszenie o rękę
poprowadzić	poprowadzenie
poprzeć	poparcie
poprzedzać	poprzedzanie
poradzić	poradzenie
poradzić się	poradzenie się
porozkładać	porozkładanie
porównać	porównanie
porównywać	porównywanie
porozmawiać	porozmawianie
porozumieć się	porozumienie się
poruszać	poruszanie
poruszać	poruszanie
poruszyć	poruszenie
poruszyć	poruszenie
poruszyć się	poruszenie się
porwać	porwanie
porządkować	porządkowanie
porzucić	porzucenie
posiadać	posiadanie
posilać się	posilanie się
posilić się	posilenie się
poślubiać	poślubianie
pospacerować	pospacerowanie
pospieszać	pospieszanie
pośredniczyć	pośredniczenie
postać	postanie
postanowić	postanowienie
postąpić	postąpienie
postarać się	postaranie się
postarać się	postaranie się
postawić	postawienie
postępować	postępowanie
postradać	postradanie
postraszyć	postraszenie
postrzegać	postrzeganie
postulować	postulowanie
posunąć	posunięcie
posuwać	posuwanie
posuwać się	posuwanie się
poświadczać	poświadczanie
poświadczyć	poświadczenie
poświęcać	poświęcanie
poświęcać się	poświęcanie się
poświęcić	poświęcenie
poświęcić	poświęcenie
poświęcić	poświęcenie
poświęcić się	poświęcenie się
posyłać	posyłanie
posyłać uśmiech	posyłanie uśmiechu
poszarpać	poszarpanie
poszeptywać	poszeptywanie
poszerzyć	poszerzenie
poszerzyć się	poszerzenie się
poszukiwać	poszukiwanie
poszybować	poszybowanie
posłać	posłanie
posłać uśmiech	posłanie uśmiechu
