cisnąć	ciskać
odrywać się	oderwać się
odrzec	odrzekać
odrzucić	odrzucać
odrzucić	odrzucać
odskoczyć	odskakiwać
odśpiewać	odśpiewywać
odstąpić	odstępować
odsunąć	odsuwać
odświeżyć	odświeżać
odszukać	odszukiwać
odszyfrować	odszyfrowywać
odsłonić	odsłaniać
odwieść	odwodzić
odwieźć	odwozić
odwinąć się	odwijać się
odwołać	odwoływać
odziać	odziewać
odznaczyć	odznaczać
odzyskać	odzyskiwać
odłączyć	odłączać
odłożyć	odkładać
ogarnąć	ogarniać
ogarnąć	ogarniać
ogłosić	ogłaszać
okrążyć	okrążać
określić	określać
olśnić	olśniewać
omówić	omawiać
opamiętać się	opamiętywać się
opanować	opanowywać
opanować	opanowywać
opanować się	opanowywać się
opasać	opasywać
opaść	opadać
opleść	oplatać
opowiedzieć	opowiadać
opowiedzieć się	opowiadać się
oprzeć	opierać
oprzeć się	opierać się
opuścić	opuszczać
orzec	orzekać
osiągnąć	osiągać
osiedlić się	osiedlać się
oświadczyć	oświadczać
oświadczyć się	oświadczać się
oswobodzić	oswobadzać
oszacować	szacować
osłabić	osłabiać
otoczyć	otaczać
otoczyć	otaczać
otrzymać	otrzymywać
otworzyć	otwierać
otworzyć się	otwierać się
owinąć wokół palca	owijać wokół palca
ozdobić	ozdabiać
ożenić się	żenić się
paść	padać
pierzchnąć	pierzchać
plasować	uplasować
pobrać	pobierać
pochlebić	pochlebiać
pochwalić	chwalić
pochłonąć	pochłaniać
pociągnąć	pociągać
podać	podawać
podać	podawać
podać się do dymisji	podawać się do dymisji
podążyć	podążać
podbić	podbijać
podbudować	podbudowywać
poddać próbie	poddawać próbie
podejść	podchodzić
podeprzeć	podpierać
poderwać się	podrywać się
podjąć	podejmować
podjąć	podejmować
podkreślić	podkreślać
podkreślić	podkreślać
podliczyć	podliczać
podnieść	podnosić
podnieść	podnosić
podnieść	podnosić
podnieść na duchu	podnosić na duchu
podnieść się	podnosić się
podporządkować	podporządkowywać
podsumować	podsumowywać
podtrzymać	podtrzymywać
podtrzymać	podtrzymywać
podtrzymać na duchu	podtrzymywać na duchu
podzielić	dzielić
pognać	gnać
pogodzić	godzić
pogwałcić	pogwałcać
pojąć	pojmować
wziąć za żonę	brać za żonę
pojawić się	pojawiać się
pojawić się	pojawiać się
pojednać	pojednywać
pokazać	pokazywać
pokryć	pokrywać
polecić	polecać
policzyć	liczyć
pominąć	pomijać
ponieść odpowiedzialność	ponosić odpowiedzialność
ponieść porażkę	ponosić porażkę
ponowić	ponawiać
popatrzeć	patrzeć
popić	popijać
popisać się	popisywać się
poprosić	prosić
poprosić o rękę	prosić o rękę
poprzeć	popierać
poradzić	radzić
poradzić się	radzić się
porównać	porównywać
porozumieć się	porozumiewać się
poruszyć	poruszać
poruszyć się	poruszać się
porwać	porywać
porzucić	porzucać
postanowić	postanawiać
postarać się	starać się
postawić	stawiać
posunąć	posuwać
poświadczyć	poświadczać
poświęcić	poświęcać
poświęcić	poświęcać
poszerzyć	poszerzać
poszerzyć się	poszerzać się
posłać uśmiech	posyłać uśmiech
posłuchać	słuchać
posłużyć	służyć
potrącić	potrącać
powiadomić	powiadamiać
powiązać	wiązać
powiedzieć na ucho	mówić na ucho
powierzyć	powierzać
powiesić	wieszać
powołać	powoływać
powrócić	powracać
powstać	powstawać
powstrzymać	powstrzymywać
powstrzymać	powstrzymywać
powtórzyć	powtarzać
pozbawić	pozbawiać
pozbyć się	pozbywać się
pożegnać	żegnać
pożegnać się	żegnać się
pożegnać się ze światem	żegnać się ze światem
poznać	poznawać
pozostać	pozostawać
pozwolić	pozwalać
pozwolić	pozwalać
pozyskać	pozyskiwać
pożywić się	pożywiać się
pożywić się	żywić się
połączyć	łączyć
połknąć	połykać
położyć	kłaść
położyć się	kłaść się
przebaczyć	przebaczać
przebudzić	przebudzać
przebyć	przebywać
przechować	przechowywać
przechwycić	przechwytywać
przeczekać	przeczekiwać
przedostać się	przedostawać się
przedsięwziąć	przedsiębrać
przedzielić	przedzielać
przedzierzgnąć	przedzierzgać
przedłożyć	przedkładać
przedłużyć	przedłużać
przeegzaminować	egzaminować
przegrać	przegrywać
przehandlować	przehandlowywać
przejąć	przejmować
przejść	przechodzić
przekazać	przekazywać
przekonać	przekonywać
przekroczyć	przekraczać
przekroczyć	przekraczać
przekształcić	przekształcać
przemienić	przemieniać
przemierzyć	przemierzać
przemieścić	przemieszczać
przenieść	przenosić
przeniknąć	przenikać
przeobrazić	przeobrażać
przepełnić	przepełniać
przepisać	przepisywać
przepowiedzieć	przepowiadać
przeprowadzić	przeprowadzać
przepuścić	przepuszczać
przepytać	pytać
przepytać	przepytywać
przerazić	przerażać
przerwać	przerywać
przerwać	przerywać
przerwać	przerywać
przestraszyć	przestraszać
przestraszyć się	przestraszać się
przesunąć	przesuwać
przesłać	przesyłać
przesłuchać	przesłuchiwać
przesłuchać	przesłuchiwać
przetrzymać	przetrzymywać
przewieźć	przewozić
przeznaczyć	przeznaczać
przeżyć	przeżywać
przełamać	przełamywać
przełożyć	przekładać
przybliżyć się	przybliżać się
przybrać	przybierać
przybyć	przybywać
przycisnąć	przyciskać
przydać się	przydawać się
przydzielić	przydzielać
przygotować	przygotowywać
przyjąć	przyjmować
przyjąć	przyjmować
przyjąć	przyjmować
przyjechać	przyjeżdżać
przyjść	przychodzić
przyjść na świat	przychodzić na świat
przykazać	przykazywać
przynieść	nieść
przynieść	przynosić
przyodziać	przyodziewać
przyozdobić	przyozdabiać
przypaść do gustu	przypadać do gustu
przypominać	przypomnieć
przypomnieć	przypominać
przyprowadzić	przyprowadzać
przyrównać	przyrównywać
przyspieszyć	przyspieszać
przystać	przystawać
przystać	przystawać
przystąpić	przystępować
przystąpić	przystępować
przytoczyć	przytaczać
przyuczyć	przyuczać
przywieźć	przywozić
przywołać	przywoływać
przywrócić	przywracać
przywyknąć	przywykać
przyznać	przyznawać
przyznać	przyznawać
przyzwolić	przyzwalać
przyzwyczaić	przyzwyczajać
przyzwyczaić się	przyzwyczajać się
przyłączyć	przyłączać
przyłączyć się	przyłączać się
puścić	puszczać
puścić płazem	puszczać płazem
puścić z dymem	puszczać z dymem
rozbić	rozbijać
rozbrzmieć	rozbrzmiewać
rozbudzić	rozbudzać
rozbudzić	rozbudzać
rozchylić się	rozchylać się
rozczarować się	rozczarowywać się
rozczulić	rozczulać
rozczulić się	rozczulać się
rozczłonkować	rozczłonkowywać
rozdysponować	rozdysponowywać
rozdzielić	rozdzielać
rozegrać	rozgrywać
rozerwać	rozrywać
rozerwać się	rozrywać się
rozewrzeć	rozwierać
rozeznać	rozeznawać
rozeznać się	rozeznawać się
rozkazać	rozkazywać
rozkleić się	rozklejać się
rozlec się	rozlegać się
rozplanować	rozplanowywać
rozpocząć	rozpoczynać
rozporządzić	rozporządzać
rozpostrzeć	rozpościerać
rozpoznać	rozpoznawać
rozprzestrzenić się	rozprzestrzeniać się
rozrzewnić	rozrzewniać
rozrzewnić się	rozrzewniać się
rozstać się	rozstawać się
rozstrzygnąć	rozstrzygać
rozsupłać	rozsupływać
rozszarpać	rozszarpywać
rozszerzyć się	rozszerzać się
rozsznurować	rozsznurowywać
rozszyfrować	rozszyfrowywać
roztrzaskać	roztrzaskiwać
roztłuc	tłuc
roztłuc	roztłukiwać
rozważyć	rozważać
rozwiązać	rozwiązywać
rozwiązać	rozwiązywać
rozwikłać	rozwikływać
rozwinąć się	rozwijać się
rozłożyć	rozkładać
ruszyć się	ruszać się
rzucić	rzucać
schlebić	schlebiać
ściągnąć	ściągać
sfinalizować	finalizować
sformułować	formułować
siąść	siadać
sięgnąć	sięgać
skazać	skazywać
skierować	skierowywać
skojarzyć	kojarzyć
skomponować	komponować
skoncentrować się	koncentrować się
skończyć się	kończyć się
skonfrontować	konfrontować
skonsumować	konsumować
skraść	kraść
skrócić	skracać
skryć	skrywać
skupić	skupować
skupić się	skupiać się
spalić	spalać
spalić	palić
spaść	spadać
spasować	pasować
spędzić	spędzać
spędzić	spędzać
spleść	splatać
spodobać się	podobać się
spoglądać	spojrzeć
spostrzec	spostrzegać
spotkać	spotykać
spotkać się	spotykać się
spoważnieć	poważnieć
spowolnić	spowalniać
spożyć	spożywać
sprawić	sprawiać
sprowadzić	sprowadzać
sprowokować	prowokować
sprzedać	sprzedawać
spytać	pytać
stanąć	stawać
starczyć	starczać
stawić się	stawiać się
stchórzyć	tchórzyć
streścić	streszczać
strzelić	strzelać
stulić uszy	tulić uszy
stwierdzać	stwierdzić
stłuc	tłuc
tknąć	tykać
trafić	trafiać
trafić	trafiać
ubić	ubijać
ubrać	ubierać
uchwalić	uchwalać
uchylić	uchylać
uciąć	ucinać
uciec	uciekać
uciszyć	uciszać
uczynić coś złego	czynić coś złego
udekorować	dekorować
uderzyć	uderzać
udokumentować	dokumentować
udostępnić	udostępniać
udowodnić	udowadniać
udzielić wypowiedzi	udzielać wypowiedzi
udzielić	udzielać
ująć	ujmować
ująć	ujmować
ująć	ujmować
ująć się	ujmować się
ujść	uchodzić
ukazać	ukazywać
ukazać się	ukazywać się
ukraść	kraść
ukryć	ukrywać
ukształtować się	kształtować się
ulec	ulegać
ulokować	lokować
umiejscowić	umiejscawiać
umieścić	umieszczać
umieścić	umieszczać
umknąć	umykać
umorzyć	umarzać
umożliwić	umożliwiać
umrzeć	umierać
unieść	unosić
unieważnić	unieważniać
upaść na duchu	upadać na duchu
upełnomocnić	upełnomocniać
uporządkować	porządkować
upoważnić	upoważniać
uprawnić	uprawniać
uprzystępnić	uprzystępniać
uprzytomnić	uprzytamniać
uprzywilejować	uprzywilejowywać
upłynąć	upływać
urazić	urażać
urodzić się	rodzić się
urosnąć	urastać
urosnąć	rosnąć
urozmaicić	urozmaicać
urządzić	urządzać
urzec	urzekać
usankcjonować	sankcjonować
usatysfakcjonować	satysfakcjonować
uśmiechnąć się	uśmiechać się
uśmiercić	uśmiercać
usnąć	usypiać
uspokoić	uspokajać
ustać	ustawać
ustalić	ustalać
ustanowić	ustanawiać
ustąpić	ustępować
ustąpić	ustępować
ustąpić	ustępować
ustawić	ustawiać
ustawić	ustawiać
ustroić	stroić
uświadomić	uświadamiać
usytuować	sytuować
usłuchać	słuchać
utrafić	utrafiać
utrzymać	utrzymywać
utrzymać	utrzymywać
utrzymać	utrzymywać
utrzymać się	utrzymywać się
utworzyć się	tworzyć się
utłuc	utłukiwać
uwidocznić się	uwidaczniać się
uwidocznić się	uwidoczniać się
uwolnić	uwalniać
uwolnić	uwalniać
uzależnić się	uzależniać się
uzasadnić	uzasadniać
uzgodnić	uzgadniać
uzmysłowić	uzmysławiać
użyczyć	użyczać
uzyskać	uzyskiwać
ułagodzić	ułagadzać
ułatwić	ułatwiać
ułożyć	układać
ułożyć	układać
ułożyć się	układać się
walnąć	walić
wcelować	wcelowywać
wdrapać się	wdrapywać się
wejść	wchodzić
wejść w słowo	wchodzić w słowo
wesprzeć	wspierać
wkroczyć	wkraczać
wnieść	wnosić
wnieść	wnosić
wpaść	wpadać
wpaść	wpadać
wpisać	wpisywać
wprowadzić	wprowadzać
wpłynąć	wpływać
wręczyć	wręczać
wrócić na tarczy	wracać na tarczy
wskazać	wskazywać
wspiąć się	wspinać się
wstąpić	wstępować
wstąpić	wstępować
wstawić się	wstawiać się
wstrzymać	wstrzymywać
wstrzymać	wstrzymywać
wszcząć	wszczynać
wtaszczyć	wtaszczać
wtrącić się	wtrącać się
wtrącić swoje trzy grosze	wtrącać swoje trzy grosze
wwieść	wwodzić
wyartykułować	artykułować
wybić	wybijać
wybiec	wybiegać
wybiec	wybiegać
wychować	wychowywać
wychylić	wychylać
wyciągnąć	wyciągać
wyciągnąć konsekwencje	wyciągać konsekwencje
wyciągnąć rękę	wyciągać rękę
wyciszyć	wyciszać
wycofać się	wycofywać się
wycofać się	wycofywać się
wyczerpać się	wyczerpywać się
wydać	wydawać
wydać	wydawać
wydać się	wydawać się
wydobyć	wydobywać
wydostać się	wydostawać się
wydrzeć	wydzierać
wydłużyć	wydłużać
wyedukować się	edukować się
wyeliminować	eliminować
wygasić	wygaszać
wyjąć	wyjmować
wyjść	wychodzić
wyjść	wychodzić
wykazać	wykazywać
wykluczyć	wykluczać
wykorzystać	wykorzystywać
wykraść	wykradać
wykształcić się	kształcić się
wykształcić się	wykształcać się
wykupić	wykupywać
wylecieć	wylatywać
wylecieć z głowy	wylatywać z głowy
wyliczyć	wyliczać
wymazać	wymazywać
wymówić	wymawiać
wymusić	wymuszać
wynająć	wynajmować
wynieść	wynosić
wyniszczyć	wyniszczać
wynurzyć się	wynurzać się
wypełnić	wypełniać
wypełnić	wypełniać
wypełnić się	wypełniać się
wypić	wypijać
wypisać się	wypisywać się
wyposażyć	wyposażać
wypowiedzieć	wypowiadać
wypowiedzieć się	wypowiadać się
wyprawić	wyprawiać
wypróbować	wypróbowywać
wyprowadzić	wyprowadzać
wyprowadzić z równowagi	wyprowadzać z równowagi
wypuścić	wypuszczać
wypuścić	wypuszczać
wypytać	wypytywać
wypłacić	wypłacać
wyrazić	wyrażać
wyrosnąć	wyrastać
wyrosnąć	wyrastać
wyróżnić	wyróżniać
wyrugować	rugować
wyruszyć	wyruszać
wyrwać	wyrywać
wyrwać	wyrywać
wyrzucić	wyrzucać
wysadzić	wysadzać
wyściubić	wyściubiać
wyśpiewać	śpiewać
wystąpić	występować
wystarać się	starać się
wystarczyć	wystarczać
wystartować	startować
wystawić	wystawiać
wystraszyć	straszyć
wysunąć	wysuwać
wyświęcić	wyświęcać
wyszkolić się	szkolić się
wysłać	wysyłać
wytknąć	wytykać
wytrącić	wytrącać
wytracić prędkość	wytracać prędkość
wytrzymać	wytrzymywać
wytworzyć się	wytwarzać się
wytłoczyć	wytłaczać
wywalczyć	walczyć
wywołać	wywoływać
wywołać	wywoływać
wywołać z pamięci	wywoływać z pamięci
wyzbyć się	wyzbywać się
wyznaczyć	wyznaczać
wyzuć	wyzuwać
wyzyskać	wyzyskiwać
wyłączyć	wyłączać
wyłączyć	wyłączać
wyłonić	wyłaniać
wyłonić się	wyłaniać się
wyłożyć	wykładać
wyłożyć	wykładać
wzbogacić się	wzbogacać się
wzbronić	wzbraniać
wzbudzić	budzić
wzbudzić	wzbudzać
wziąć	brać
wziąć	brać
wziąć	brać
wziąć nogi za pas	brać nogi za pas
wziąć się	brać się
wznowić	wznawiać
wzrosnąć	wzrastać
wzruszyć	wzruszać
wzruszyć się	wzruszać się
włączyć	włączać
włożyć	wkładać
zaakceptować	akceptować
zaangażować	angażować
zaapelować	apelować
zabezpieczyć	zabezpieczać
zabić	zabijać
zablokować	zablokowywać
zablokować	blokować
zabrać	zabierać
zabrać	zabierać
zabrać głos	zabierać głos
zabrać się	zabierać się
zabronić	zabraniać
zabukować	bukować
zachować	zachowywać
zachować	zachowywać
zachować	zachowywać
zaciągnąć	zaciągać
zaciągnąć dług	zaciągać dług
zaciągnąć pożyczkę	zaciągać pożyczkę
zacytować	cytować
zadać pytanie	zadawać pytanie
zadać	zadawać
zadać cios	zadawać cios
zademonstrować	demonstrować
zadenuncjować	denuncjować
zadowolić	zadowalać
zadziwić	zadziwiać
zadziwić się	zadziwiać się
zadłużyć się	zadłużać się
zafascynować	fascynować
zaginąć	ginąć
zagonić	zaganiać
zagrodzić	zagradzać
zagwarantować	gwarantować
zagwarantować	zagwarantowywać
zająć	zajmować
zająć	zajmować
zajechać	zajeżdżać
zajrzeć	zaglądać
zajrzeć	zaglądać
zajść	zachodzić
zakazać	zakazywać
zakomunikować	komunikować
zakończyć	zakańczać
zakończyć	zakończać
zakończyć	zakańczać
zakończyć	zakończać
zakończyć	zakańczać
zakończyć	zakończać
zakopać	zakopywać
zakręcić	zakręcać
zakreślić	zakreślać
zakupić	zakupywać
zalać	zalewać
zaliczyć	zaliczać
zamknąć	zamykać
zamknąć	zamykać
zamordować	mordować
zamówić	zamawiać
zanieść	zanosić
zaopatrzyć	zaopatrywać
zapalić	zapalać
zapanować	zapanowywać
zapanować	zapanowywać
zapędzić	zapędzać
zapewnić	zapewniać
zapełnić	zapełniać
zapełnić się	zapełniać się
zapisać	zapisywać
zapoczątkować	zapoczątkowywać
zapomnieć	zapominać
zapowiedzieć	zapowiadać
zapoznać się	zapoznawać się
zaprezentować	prezentować
zaprojektować	projektować
zaprosić	zapraszać
zaprowadzić	zaprowadzać
zaprzeć	zapierać
zaprzepaścić	zaprzepaszczać
zapuścić oko	zapuszczać oko
zapuścić spojrzenie	zapuszczać spojrzenie
zapuścić wzrok	zapuszczać wzrok
zapuścić żurawia	zapuszczać żurawia
zapytać	pytać
zapytać	zapytywać
zapłacić	płacić
zareagować	reagować
zaręczyć	zaręczać
zaręczyć	ręczyć
zarekomendować	rekomendować
zarobić	zarabiać
zarządzić	zarządzać
zarzucić	zarzucać
zarzucić	zarzucać
zasądzić	zasądzać
zaserwować	serwować
zaskoczyć	zaskakiwać
zasnąć	zasypiać
zaśpiewać	śpiewać
zaspokoić	zaspokajać
zastopować	stopować
zasunąć	zasuwać
zaświadczyć	zaświadczać
zasypać	zasypywać
zaszpanować	szpanować
zasłonić	zasłaniać
zasłużyć	zasługiwać
zatarasować	tarasować
zatelefonować	telefonować
zatopić	zatapiać
zatrudniać	zatrudnić
zatrzasnąć	zatrzaskiwać
zatrzymać	zatrzymywać
zatrzymać	zatrzymywać
zatrzymać	zatrzymywać
zatrzymać	zatrzymywać
zatrzymać się	zatrzymywać się
zatwierdzić	zatwierdzać
zauważyć	zauważać
zawiadomić	zawiadamiać
zawiązać	zawiązywać
zawiesić	zawieszać
zawiesić	zawieszać
zawieźć	zawozić
zawinąć	zawijać
zawrócić	zawracać
zawrzeć	zawierać
zawrzeć	zawierać
zażądać	żądać
zaznaczyć	zaznaczać
zaznaczyć	zaznaczać
zaznajomić się	zaznajamiać się
zaznajomić się	zaznajamiać się
załączyć	łączyć
załączyć	załączać
załatwić	załatwiać
założyć	zakładać
założyć się	zakładać się
zbliżyć się	zbliżać się
zbyć	zbywać
zdążyć	zdążać
zdecydować się	decydować się
zdematerializować się	dematerializować się
zderzyć	zderzać
zderzyć się	zderzać się
zdjąć	zdejmować
zdobyć	zdobywać
zdumieć	zdumiewać
zdumieć się	zdumiewać się
zdziwić	dziwić
zebrać	zbierać
zebrać	zbierać
zebrać	zbierać
zebrać się	zbierać się
zejść	schodzić
zejść	schodzić
zepsuć	psuć
zerwać	zrywać
zerwać	rwać
zerwać	zrywać
zerwać	zrywać
zerwać się	zrywać się
zestawić	zestawiać
zestawić	zestawiać
zesznurować	sznurować
zetknąć się	stykać się
zeznać	zeznawać
zezwolić	zezwalać
zgasić	gasić
zginąć	ginąć
zgodzić się	godzić się
zgodzić się	zgadzać się
zgromadzić	zgromadzać
zgromadzić	gromadzić
zgromadzić	gromadzić
zgromadzić	zgromadzać
zgromadzić	gromadzić
zgromadzić się	gromadzić się
zgromadzić się	gromadzić się
zgrupować	grupować
zgrupować się	grupować się
zgładzić	zgładzać
zgłaszać	zgłosić
zgłosić się	zgłaszać się
zgłosić się	zgłaszać się
zidentyfikować	identyfikować
zintegrować	integrować
zjawić się	zjawiać się
zjechać	zjeżdżać
zjednać	zjednywać
zjednoczyć	jednoczyć
zjeść	jeść
zlecić	zlecać
zliczyć	zliczać
zlokalizować	lokalizować
zmarnotrawić	marnotrawić
zmarnować	marnować
zmienić	zmieniać
zmniejszyć	zmniejszać
zmusić	zmuszać
znaleźć	znajdywać
znaleźć	znajdować
znaleźć	znajdywać
znaleźć	znajdować
znaleźć	znajdywać
znaleźć	znajdować
znieść	znosić
znieść	znosić
zniknąć	znikać
zniszczeć	niszczeć
zniszczyć	niszczyć
zniszczyć się	niszczyć się
zniżyć	zniżać
zorganizować	organizować
zostać	zostawać
zranić	ranić
zrealizować	realizować
zrezygnować	rezygnować
zrzec się	zrzekać się
zrzucić	zrzucać
zstąpić	zstępować
zsumować	sumować
zużytkować	zużytkowywać
związać	wiązać
związać	związywać
zwiększać się	zwiększyć się
zwierzyć się	zwierzać się
zwrócić	zwracać
zwrócić	zwracać
zwrócić się	zwracać się
zwrócić się z prośbą	zwracać się z prośbą
zwyciężyć	zwyciężać
zwymiotować	wymiotować
zyskać	zyskiwać
złamać	łamać
złamać	łamać
złożyć	składać
złożyć broń	składać broń
złożyć podziękowanie	składać podziękowanie
złożyć urząd	składać urząd
przywołać	przywoływać
potępić	potępiać
zainkasować	inkasować
skasować	kasować
skompletować	kompletować
podpieprzyć	podpieprzać
podpierdolić	podpierdalać
zwinąć	zwijać
oddać	oddawać
okraść	okradać
obrobić	obrabiać
ogolić	golić
oszczędzić	oszczędzać
podprowadzać	podprowadzić
podpierdzielić	podpierdzielać
przysporzyć	przysparzać
rozdać	rozdawać
rozkraść	rozkradać
dopłacić	dopłacać
uzupełnić	uzupełniać
wywalić	wywalać
zbiednieć	biednieć
popaść w niedostatek	popadać w niedostatek
zaoszczędzić	zaoszczędzać
zaoszczędzić	zaoszczędzać
odłożyć	odkładać
zapożyczyć się	zapożyczać się
zubożeć	ubożeć
zdać	zdawać
zerżnąć	zrzynać
przywłaszczyć	przywłaszczać
odsprzedać	odsprzedawać
zużyć	zużywać
wziąć do serca	brać do serca
wziąć do siebie	brać do siebie
obudzić	budzić
dokuczyć	dokuczać
dogryźć	dogryzać
zaleźć za skórę	załazić za skórę
dać się we znaki	dawać się we znaki
dać popalić	dawać popalić
dać do wiwatu	dawać do wiwatu
zagrozić	grozić
skusić	kusić
przejąć się	przejmować się
przywabić	przywabiać
znęcić	znęcać
przyciągnąć	przyciągać
zwabić	zwabiać
zwabić	wabić
wściec	wściekać
wkurzyć	wkurzać
wkurwić	wkurwiać
wnerwić	wnerwiać
rozśmieszyć	rozśmieszać
zasmucić	zasmucać
tulić uszy po sobie	stulić uszy po sobie
stracić nerwy	tracić nerwy
struchleć	truchleć
wylać łzy	wylewać łzy
uczynić dobro	czynić dobro
zabawić	zabawiać
zachwycić się	zachwycać się
zadręczyć	zadręczać
zadręczyć się	zadręczać się
zamęczyć	zamęczać
zakatować	katować
zawieść	zawodzić
rozczarować	rozczarowywać
zdobyć przychylność	zdobywać przychylność
uspokoić się	uspokajać się
darować	darowywać
dojść	dochodzić
dostać	dostawać
dotrzeć	docierać
kupić	kupować
minąć	mijać
narazić się	narażać się
nastawić	nastawiać
nazwać	nazywać
nałożyć	nakładać
nałożyć	nakładać
ocenić	oceniać
ocenić	oceniać
odebrać	odbierać
odebrać	odbierać
odeprzeć	odpierać
odgadnąć	odgadywać
odkryć	odkrywać
odpisać	odpisywać
opanować	opanowywać
opuścić	opuszczać
począć	poczynać
podać	podawać
podziękować	dziękować
polecić	polecać
poprzeć	popierać
postawić	stawiać
posłać	posyłać
powtórzyć	powtarzać
powtórzyć	powtarzać
poznać	poznawać
poznać	poznawać
pozostawiać	pozostawić
przeczytać	czytać
przedstawić	przedstawiać
przedłożyć	przedkładać
przedłużyć	przedłużać
przejechać	przejeżdżać
przejść	przechodzić
przenieść	przenosić
przepisać	przepisywać
przerwać	przerywać
przesłuchać	przesłuchiwać
przewidzieć	przewidywać
przynieść	przynosić
przywołać	przywoływać
puścić	puszczać
rozbić	rozbijać
rozbić	rozbijać
rozszerzyć się	rozszerzać się
rozwinąć się	rozwijać się
rozwinąć się	rozwijać się
rozłożyć	rozkładać
ruszyć	ruszać
ruszyć się	ruszać się
rzucić	rzucać
ściągnąć	ściągać
ściągnąć	ściągać
skierować	kierować
sprowadzić	sprowadzać
sprowadzić	sprowadzać
startować	wystartować
stracić	tracić
trafić	trafiać
ubrać	ubierać
uderzyć	uderzać
ująć	ujmować
umorzyć	umarzać
unieść	unosić
uspokoić	uspokajać
ułożyć	układać
wejść	wchodzić
wejść	wchodzić
wejść	wchodzić
wezwać	wzywać
wybić	wybijać
wyciągnąć	wyciągać
wydać	wydawać
wyjść	wychodzić
wykryć	wykrywać
wylecieć	wylatywać
wypaść	wypadać
wypłacić	wypłacać
wyrosnąć	wyrastać
wyrwać	wyrywać
wystąpić	występować
wystawić	wystawiać
wystawić	wystawiać
wysunąć	wysuwać
wyłączyć	wyłączać
wziąć	brać
włączyć	włączać
zablokować	zablokowywać
zabrać	zabierać
zabrzmieć	brzmieć
zaciągnąć	zaciągać
zająć	zajmować
zajść	zachodzić
zakończyć	zakańczać
zakończyć	zakończać
zalać	zalewać
zamówić	zamawiać
zanieść	zanosić
zaniknąć	zanikać
