trzmiel	trzmiele i trzmielce|trzmiele
świerk	sosnowe
słonecznik	astrowate|złożone
topola	wierzbowate
tulipan	liliowate
wiąz	wiązowate
wierzba	wierzbowate
winorośl|wino	winoroślowate
wrzos	wrzosowate
szałwia	jasnotowate|wargowe
kameleon	kameleonowate|kameleony
lama	wielbłądowate
świetlik|robaczek świętojański	świetlikowate
bocian|bociek	bocianowate
krab	kraby
sroka	krukowate
świstak	susły i świszcze
tasiemiec	tasiemce
aligator	aligatorowate
antylopa	krętorogie|pustorogie|pustorożce|wołowate
bawół	bydło
bażant	bażanty
bizon|żubr amerykański	bydło
bóbr	bobrowate|bobry
borsuk|jaźwiec	łasice właściwe
gryzoń	gryzonie
chomik	chomiki
mysz	myszy właściwe
chrząszcz	chrząszcze|tęgopokrywce
motyl	motyle|łuskoskrzydłe
czapla	czaplowate
delfin	zębowce
dżdżownica|glizda	dżdżownicowate|dżdżownice
dzik|czarny zwierz	świniowate
flaming	flamingi
foka	fokowate|foki
gęś	gęsi|gęsiowate
małpa	naczelne
gołąb|gruchacz	gołębie
gronostaj|łasica gronostaj	łasice właściwe
grzechotnik	grzechotnikowate|grzechotniki
hipopotam	hipopotamowate
jaskółka	jaskółki
jastrząb	jastrzębie
jeż	jeżowate
kanarek	łuskacze
kangur	kangurowate
kobra	kobry
komar	komarowate|komary
krokodyl	krokodylowate|krokodyle właściwe
królik|król	zającowate|zające
kruk	krukowate
kuropatwa|kuropatwa zwyczajna	kurowate|bażantowate
słoń	słoniowate
mamut	słoniowate
mewa	mewy
mrówka	mrówkowate
myszołów	myszołowy
nietoperz|niedoperz	nietoperze|rękoskrzydłe
norka	łasice właściwe
nosorożec	nosorożce|nosorożcowate
orangutan	orangowate
pająk	pająki
panda|panda wielka	niedźwiedziowate
papuga	papugowe
paw	bażanty
pchła	pchły
pluskwa	pluskwowate
pszczoła	pszczoły żądlące
płaz	płazy
rekin	rekiny
renifer|ren	jeleniowate|pełnorożce
ropucha	płazy bezogonowe
sęp	sępy
pajęczak	pajęczaki
skorpion	skorpiony
stonoga	stonogowate
struś	strusie
świerszcz	świerszczowate|świerszcze
świnka|świnka pospolita	karpiowate
szczur	myszy właściwe
szop	szopowate
termit	termity
ważka	ważki
wesz	wszy
wielbłąd	wielbłądowate
wieloryb|waleń	walenie
wiewiórka	wiewiórkowate
wodnik|wodnik zwyczajny	chruściele|chruścielowate|wodniki
wydra	wydry
żaba	żabowate|żaby właściwe
zebra	koniowate
żółw	żółwie
żubr	bydło
żuk	żukowate|poświętnikowate
żuraw|żuraw zwyczajny|żuraw popielaty|żuraw szary	żurawie
żyrafa	żyrafowate
łasica|łaska	łasice właściwe
łasica|łaska	łasicowate|kunowate
szarańcza	szarańczowate
fregata	fregaty|fregatowate
arbuz|kawon	dyniowate
cykoria	astrowate|złożone
kminek	selerowate|baldaszkowate
kukurydza	kukurydzowe
lawenda	jasnotowate|wargowe
rumianek	astrowate|złożone
sardynka|sardyna|pilchard	sardynki|sardyny
wanilia	waniliowe
bambus	bambusowe
koralowiec|koral	koralowce
ryba słodkowodna	ryby słodkowodne
ryba wędrowna|ryba dwuśrodowiskowa	ryby wędrowne|ryby dwuśrodowiskowe
ryba akwariowa	ryby akwariowe
gołąbek|surojadka	gołąbkowate
płotka|płoć	karpiowate
pieczątka|pieczęć|stempel	sfragistyka
tur	bydło
kaczka	kaczki
mors|koń morski	morsowate
oleander	toinowate
pijawka	pijawki|pijawki właściwe
gąbka	gąbki
rozgwiazda	rozgwiazdy
hymn	hymnografia
krzyżak	krzyżakowate
ciosa	karpiowate
skrzyp	skrzypowate
czajka|czajka zwyczajna|czajka pospolita	czajki
drozd	drozdowate|drozdy
dudek|dudek zwyczajny	dudki|dudkowate
dzięcioł	dzięcioły
gawron	krukowate
kania	myszołowy
kawka	krukowate
kleszcz	kleszcze|kleszczowate
kos|kos zwyczjny	drozdowate|drozdy
kukułka	kukułki
mól	molowate
pasternak	selerowate|baldaszkowate
skowronek	skowronki
szczygieł	łuskacze
szpak	szpakowate|szpaki
łoś	jeleniowate|pełnorożce
wrona	krukowate
słowik	kląskawki
jaszczurka|jaszczureczka	jaszczurki
pieprznik	pieprznikowate
rdza	rdzowate
cietrzew|cietrzew zwyczajny	bażanty
czyż zwyczajny|czyż pospolity|czyżyk|czyż	łuskacze
głuszec|głuszec zwyczajny	bażanty
morświn	morświnowate|morświny
płaszczka	płaszczkokształtne|płaszczki
zimorodek	zimorodki
wąż morski	węże morskie
głowonóg	głowonogi
jak	bydło
koper włoski|fenkuł|fenkuł włoski	selerowate|baldaszkowate
nagietek|nogietek	astrowate|złożone
grążel|nenufar	grzybieniowate
niezapominajka	ogórecznikowate|szorstkolistne
pierwiosnek|pierwiosnka|prymulka	pierwiosnkowate
rabarbar|rzewień	rdestowate
strzyżyk	strzyżyki
wrzosiec	wrzosowate
kapar	kaparowate
granatowiec|granat	krwawnicowate
pławikonik|konik morski	pławikoniki|koniki morskie
szarotka	astrowate|złożone
jałowiec	cyprysowate
wawrzyn|drzewo laurowe|drzewo bobkowe|laur	wawrzynowate|laurowate
olcha|olsza|olszyna	brzozowate
porost	porosty
pancernik	pancerniki
bączek	czaplowate
bylica	astrowate|złożone
daniel	jeleniowate|pełnorożce
gałuszka	marsyliowate
gil zwyczajny|gil	łuskacze
głowacz|byczek	głowaczowate
jarząbek|jarząbek zwyczajny	bażanty
kalina	piżmaczkowate
karaś|karaś pospolity	karpiowate
kuna	łasice właściwe
lipka	ślazowate|malwowate
lipa	ślazowate|malwowate
lipa	lipowate
prusak	prusakowate
przepiórka|przepiórka zwyczajna|przepiórka polna	bażanty
sieja|sieja pospolita|głąbiel|brzona	siejowate|głąbielowate
tracz	tracze
hiena	hieny
orka|miecznik	delfinowate|delfiny oceaniczne
pingwin|bezlotek	pingwiny|bezlotki
pustelnik	pustelniki|kraby pustelniki
rak	rakowate
borowik	borowikowate
koper	selerowate|baldaszkowate
kornik	kornikowate|korniki
krwawnik	astrowate|złożone
pstrąg	łososie właściwe
sardela	sardelowate
rolnica	sówkowate|sówki
piesek preriowy|nieświszczuk	wiewiórkowate
krzyżówka|kaczka krzyżówka	kaczki właściwe
zimowit	zimowitowate
bawełnica	bawełnicowate
mszyca	mszyce
rasa	gatunek
zając morski|tasza	taszowate
wół piżmowy|piżmowół	kozłowate
błyszczka jarzynówka|błyszczka gamma	sówkowate|sówki
brudnica	brudnicowate
koral madreporowy|madrepora	korale madreporowe|korale rafotwórcze|korale kamienne|korale rafowe|koralowce kamienne|madreporowce
tygrys szablastozębny|tygrys szablozębny	machajrodony|tygrysy szablastozębne|koty szablastozębne
trociniarka czerwica|drzewojad|trociniarka|czerwica	trociniarkowate|trociniarki
kozłek	kozłkowate
żywy kamień|litops	pryszczyrnicowate|przypołudnikowate
koźlarz	borowikowate
świdrak okrętowiec|świdrak okrętowy|świdrak	świdrakowate
diabeł tasmański	niełazowate|workowce drapieżne
torbacz|workowiec	torbacze|workowce
koala|miś koala	koalowate
opos|dydelf	dydelfowate|szczury workowate
sówka choinówka|strzygonia choinówka	sówkowate|sówki
lelek kozodój|lelek|lelek zwyczajny	lelkowate
kur rogacz|kur czterorogi	głowaczowate
dziewięćsił	astrowate|złożone
sępolia|saintpaulia	ostrojowate
cyklamen	pierwiosnkowate
szkarłupień	szkarłupnie
jeżowiec|jeż morski	jeżowce
jedwabnik morwowy	prządkowate|prządki|jedwabnikowate
jaszczurka zwinka|zwinka	jaszczurkowate|jaszczurki właściwe
jarząb	różowate
gibon|gibbon	gibonowate|gibony|gibbony
gnatarz rzepakowiec	pilarzowate
grubosz|rubasznica	gruboszowate
guniak czerwczyk|czerwczyk	żukowate|poświętnikowate
rajski ptak|cudowronka	cudowronki|cudowronkowate|ptaki rajskie
ibis	ibisowate
czerwiec polski	czerwce
pluskwiak	pluskwiaki
pluskwiak różnoskrzydły	pluskwiaki różnoskrzydłe
ploniarka zbożówka|ploniarka	krótkorogie|krótkoczułkie
muchówka	muchówki|dwuskrzydłe
niestrzęp głogowiec|niestrzęp|głogowiec	bielinkowate
pluskwiak równoskrzydły	pluskwiaki równoskrzydłe
siła oporu|opór ruchu|opór|odpór	opory ruchu|siły oporu
przeżuwacz	przeżuwacze
kazuar|struś australijski	kazuary|kazuarowate
goryczak żółciowy	borowikowate
nestor	nestory
żeglarek|argonauta	ośmiornice
purchawka|prochówka	pieczarkowate
małpa ogoniasta	makakowate|koczkodanowate
małpa człekokształtna|antropoid	małpy człekokształtne|człekokształtne
płetwal	fałdowce
kaszalot|potwal|potwal olbrotowiec	kaszalotowate
gereza	gerezy
nosacz|nosacz sundajski	gerezy
małpiatka	małpiatki
lemur	lemurokształtne
wyrak|tarsjusz	wyrakowate|wyraki|tarsjusze
pijawka lekarska	pijawkowate
pijawka rybia	pijawki ryjkowe
pijawka końska|pijawka wielożerna	pijawki szczękowe
trufla	truflowate
ssak kopytny|kopytowiec	ssaki kopytne
bazyliszek	hełmogwanowate
smok latający|drako latający	agamowate|agamy
jamochłon	jamochłony
ukwiał	ukwiały
rurkopław	cewiopławy|rurkopławy
świtezianka	świteziankowate
rusałka	rusałkowate|południce|południcowate|perłowce
bielinek	bielinkowate
jedwabnik dębowy|jedwabnik chiński|tussor	pawicowate
niepylak	paziowate|witezie
kajman	kajmany
rdest	rdestowate
bieluń|datura	psiankowate
śnieżka zwyczajna	wróble
paszkot	drozdowate|drozdy
fiołek	fiołkowate
tytoń	psiankowate
makolągwa zwyczajna|makolągwa	łuskacze
czeczotka zwyczajna|czeczotka|czeczota	łuskacze
sójka	krukowate
pliszka	pliszkowate
jemiołuszka	jemiołuszki|jemiołuszkowate
pelikan	pelikanowate|pelikany
głuptak|głuptak zwyczajny|głuptak biały	głuptaki|głuptakowate
kormoran	kormoranowate|kormorany
ślepowron zwyczajny|ślepowron	czaplowate
marabut	bocianowate
warzęcha zwyczajna|warzęcha	ibisowate
bekas	słonki
biegus	słonki
rybitwa	rybitwy
łodzik|nautilus	łodziki
piaskarka algierska	jaszczurkowate|jaszczurki właściwe
piaskarka hiszpańska	jaszczurkowate|jaszczurki właściwe
osioł	koniowate
stawonóg	stawonogi
wij	wije
żarłacz ludojad|rekin ludojad|rekin biały|żarłacz biały|ludojad	lamnowate
brzęczka	świerszczaki
błotniak	jastrzębie
cyranka|cyranka zwyczajna	kaczki właściwe
cyraneczka|cyraneczka zwyczajna	kaczki właściwe
dzierzba	dzierzbowate|dzierzby
głowienka|głowienka zwyczajna|kaczka rdzawogłowa	grążyce|kaczki nurkujące
kulik	kuliki
nur	nury
ogorzałka|ogorzałka zwyczajna	grążyce|kaczki nurkujące
perkoz	perkozy
pluszcz|pluszcz zwyczajny	pluszcze
puszczyk	puszczyki
płomykówka|płomykówka zwyczajna	płomykówki
rybołów|rybołów zwyczajny	rybołowy|rybołowate
sagowiec|drzewo sagowe|cykas	sagowcowate
araukaria|igława	araukariowate|igławowate
baobab|palczara	wełniakowe
chinowiec|drzewo chinowe	marzanowate
chlebowiec	morwowate
cynamonowiec	wawrzynowate|laurowate
dracena|smokowiec	szparagowate
eukaliptus	mirtowate
brodziec	słonki
świergotek	pliszkowate
wodniczka	trzciniaki
zielonka|kureczka zielona	chruściele|chruścielowate|wodniki
pałasz	broń sieczna
marsylia	marsyliowate
stekowiec	stekowce
dziobak	dziobakowate
dereń|derenina	dereniowate
kruszyna	szakłakowate
rokitnik|rozmarynowiec	oliwnikowate|rokitnikowate
indygowiec|indygo	bobowate właściwe|motylkowate właściwe
jojoba|simondsja kalifornijska	goździkowce|śródłożne
kawowiec|kawa	marzanowate
maniok	wilczomleczowate
aronia	różowate
berberys|kwaśnica	berberysowate
bukszpan|gryszpan	bukszpanowate
forsycja|złoty deszcz|złotodeszcz	oliwkowate
tuja|żywotnik	cyprysowate
ligustr	oliwkowate
mimoza|czułek	mimozowe
mirt	mirtowate
ostrokrzew	ostrokrzewowate
śnieguliczka	przewiertniowate
tamaryszek	tamaryszkowate
aloes	złotogłowowe|asfodelowate|złotogłowowate
amarylis|amarylek|hipeastrum	amarylkowate
anturium|kitnia	obrazkowate
begonia|ukośnica	begoniowate
filodendron	obrazkowate
fuksja|ułanka	wiesiołkowate
gardenia|przepyszlin	marzanowate
hoja	toinowate
juka|krępla|jukka	agawowate
petunia	psiankowate
pelargonia|muszkatel|muszkatela|muszkatelka	bodziszkowate
cząber	jasnotowate|wargowe
goździkowiec	mirtowate
lubczyk ogrodowy|lubczyk|korzeń|mleczeń	selerowate|baldaszkowate
kardamon|kardamon malabarski|kardamon cejloński|kardamon długi|kardamon indyjski|kardamon jawajski	imbirowate
kolendra	selerowate|baldaszkowate
morszczyn	morszczynowce
sinica|cyjanofit|cyjanobakteria	sinice|cyjanofity|cyjanobakterie|cyjanoprokariota
lilia wodna	grzybienie
lotos|lotus|bobowiec|bób wodny|nelumbo|nurzybób|nurzykłąb	lotosowate
lotos egipski|lotos tygrysi|grzybień egipski	grzybienie egipskie
moczarka	żabiściekowate
oczeret|palla	ciborowate|turzycowate
pałka|pałka wodna|pałkowiec	pałkowate
rupia	rupiowate
rzęsa	obrazkowate
tatarak|kalmus	tatarakowate
mszak	mszaki
mszak	osiowce|rośliny osiowe|organowce|kormofity
paprotnik	paprotniki
orlica	paprotkowce|paprotnikowce
widłak	widłakowate
bodziszek|geranium	bodziszkowate
barszcz	selerowate|baldaszkowate
kąkol	goździkowate
komosa	szarłatowate
komosa	komosowate
łopian|łopuch	astrowate|złożone
perz	wiechlinowate|trawy
cieciorka	bobowate właściwe|motylkowate właściwe
jasnota	jasnotowate|wargowe
mydlnica	goździkowate
nawłoć	astrowate|złożone
podbiał	astrowate|złożone
psianka	psiankowate
rozchodnik	gruboszowate
tasznik	kapustowate|krzyżowe
blekot	selerowate|baldaszkowate
wilcza jagoda|pokrzyk|belladona|pokrzyk wilcza jagoda	psiankowate
szalej	selerowate|baldaszkowate
tojad|mordownik|akonit	jaskrowate
wilczomlecz	wilczomleczowate
akant	akantowate
heliotrop|tomiłek	ogórecznikowate|szorstkolistne
hibiskus|ketmia|ibiszek	ślazowate|malwowate
alpaka	wielbłądowate
leniec	sandałowcowate
ostrzeń	ogórecznikowate|szorstkolistne
amarant|szarłat	szarłatowate
życica	wiechlinowate|trawy
barciak	omacnicowate
rodzaj	rodzina
podrodzaj	rodzaj
tykwa	dyniowate
muchomor|muchomór	muchomorowate
podgrzybek	borowikowate
drop	dropiowate|dropie
kwiczoł	drozdowate|drozdy
muchołówka	muchołówki
mysikrólik	mysikróliki|mysikrólikowate
przedrzeźniacz północny	przedrzeźniacze
raszka|rudzik|rudzik zwyczajny	złotokosy
turkawka	gołębie
fulmar zwyczajny|petrel|fulmar	burzykowate|petrelowate
papuga żako|żako|papuga popielata|papuga szara	papugi afrykańskie|papugi właściwe
lirogon	lirogony
chlorella	chlorellowate
gryka	rdestowate
pilarz	pilarzowate
tymotka|brzanka	wiechlinowate|trawy
wioślarka	wioślarki
typ	królestwo
podtyp	typ
królestwo	domena
rząd	gromada
rząd	klasa
podrząd	rząd
podrodzina	rodzina
podklasa	klasa
podgromada	gromada
podgromada	gromada
podgatunek	gatunek
odmiana	podgatunek
pierwotniak	protisty zwierzęce|pierwotniaki
euglena|klejnotka	euglenowce
orzęsek|wymoczek	orzęski|wymoczki
promienica|radiolaria	promienice|radiolarie
rzęsistek	wiciowce
sporowiec	apikompleksy|sporowce|zarodnikowce
wiciowiec	wiciowce
jętka|efemeryda	jętkowate
borowiec	borowce
borowiec	mroczkowate
alka zwyczajna|alka|alka krzywonosa	alki
cytrus	rutowate
papaja|melonowiec właściwy	melonowcowate
gupik|gupik pawie oczko|pawie oczko	piękniczkowate|pecylki
skalar|żaglowiec skalar|ryba księżycowa|żaglowiec	pielęgnicowate|pielęgnice
barakuda|barrakuda|barrakuda wielka|barakuda wielka	barrakudowate|barakudowate
drętwa	drętwowate
kulbak	kulbinowate|orłoryby|scjeny
karmazyn	skorpenokształtne
kergulena|kargulena	bielankowate|białokrwiste
marlin	żaglicowate|marliny
mintaj|suketo|rdzawiec pacyficzny	dorszowate|wątłuszowate
morszczuk|morszczuk zwyczajny|morszczuk europejski|morszczuk wielkooki	morszczukowate
piła|ryba piła|piła zwyczajna	piłowate
sajra|saira	makreloszowate|wręgowcowate
boleń pospolity|boleń|rap|rapa	karpiowate
brzana|brzanka	karpiowate
ciernik|kat|kolka|czart	ciernikowate|koluszki
jazgarz	okoniowate
jelec pospolity|jelec|jelec europejski	karpiowate
kiełb|kiełb krótkowąsy|kiełb pospolity	karpiowate
kleń|klonek	karpiowate
pirania	piraniowate|piranie
piskorz	piskorzowate|kozowate|kózkowate
sandacz|sandacz pospolity	okoniowate
śliz|śliz pospolity|śliz zwyczajny	przylgowate
tołpyga|tołpyga biała	karpiowate
ukleja|ukleja pospolita	karpiowate
wzdręga|krasnopiórka	karpiowate
bieługa|wyz	bieługi
certa	karpiowate
minóg	minogowate
troć	łososie właściwe
cykada|piewik	piewiki|cykady
faeton	faetony
glista|askaryda	glisty
giez	gzowate|gzy
hatteria|łupkoząb|tuatara	hatteriowate|hatterie|tuatary
kapucynka	kapucynki
koliber|kolibr	kolibry
kopciuszek zwyczajny|kopciuszek	kląskawki
manta|diabeł morski	mantowate
zwierzę kopalne	zwierzęta kopalne
ssak parzystokopytny	parzystokopytne
ścierwnik|ścierwnik biały|białosęp	orłosępy
grab	brzozowate
daglezja|jedlica	modrzewiowe
irga	różowate
kasztan	bukowate
miłorząb	miłorzębowate
morwa	morwowate
opuncja|nopal	kaktusowate
orzesznik|hikora|przeorzech	orzechowate
skarabeusz	żukowate|poświętnikowate
tukan|pieprzojad	tukany
tyranozaur	tyranozaury
żarłacz śledziowy|lamna śledziowa|lamna|rekin śledziowy	lamnowate
narwal	narwalowate
juta|jarzychna|korchorus	ślazowate|malwowate
amonit	amonity|amonitowate
archeopteryks|praptak|gadoptak	archeopteryksy
moa	moa
wirus Ebola|ebola	filowirusy
retrowirus	retrowirusy
biedronka|boża krówka	biedronkowate
apatozaur|brontozaur	apatozaury
ichtiozaur	ichtiozaury|rybojaszczury
krasnorost	krasnorosty
krętek|spirochet	krętki
liliowiec|dziennica	żółtakowate
mątwa|sepia	mątwowate
omułek	omułkowate
szczeżuja	skójkowate
nicień	nicienie
okrzemka	okrzemki
otwornica	otwornice
paciorkowiec|streptokok	paciorkowce|streptokoki
plezjozaur	plezjozaury
prątek|mykobakteria	prątki|mykobakterie
przywra	przywry
motylica wątrobowa	przywry wnętrzniaki|przywry digenetyczne
pterodaktyl	pterodaktyle
pterozaur|gad latający	pterozaury
płaziniec|robak płaski	płazińce|robaki płaskie
roztocz	roztocze
strunowiec	strunowce
osłonica	osłonice|strunoogonowe
bezczaszkowiec	bezczaszkowce|strunogłowe
świdrowiec|trypanosoma	świdrowce
teropod	teropody
trylobit	trylobity
trylobit	trylobitokształtne|trylobitowce
wąsonóg|wicionóg	wąsonogi
pierścienica	pierścienice
wieloszczet	wieloszczety
wrotek	wrotki
wirek	wirki
jastrun|margerytka	astrowate|złożone
następstwo|diachronia|kolej	ciąg|pasmo
rdzawiec	dorszowate|wątłuszowate
zebu|bydło domowe garbate	bydło
agawa	agawowe
agawa	agawowate
karczoch	astrowate|złożone
kauczukowiec|drzewo kauczukowe|hewea	wilczomleczowate
pistacja	nanerczowate
szczmiel biały|ramia|rami	pokrzywowate
sezam|łogowa	połapkowate
melisa	jasnotowate|wargowe
sorgo	palczatkowe
anakonda zielona|sukuri	dusicielowate|dusiciele
boa|boa dusiciel	dusicielowate|dusiciele
mamba	zdradnicowate
pyton	pytony
zaskroniec	zaskrońcowate
gekon	gekonowate|gekony
legwan zielony	legwanowate|legwany
waran	waranowate|warany
padalec|padalec zwyczajny	padalcowate
kondor	kondorowate
kumak|kumka	kumakowate
aga|kururu|ropucha olbrzymia	ropuchowate|ropuchy właściwe
leming	nornikowate
manat|lamantyna|brzegowiec|manat karaibski|manat amerykański	manatowate|manaty|lamantyny|brzegowce
modliszka	modliszki
tamandua|mrówkojad czteropalczasty	mrówkojady
nornica	nornikowate
nutria	nutriowate
perliczka|perlica|perlica zwyczajna|perlica dzika|pantarka	perlice
popielica|pilch	popielicowate|pilchowate
rosomak	łasice właściwe
rzekotka	rzekotkowate
salamandra	płazy ogoniaste
cyweta|cybeta	wiwerowate
tchórz	łasice właściwe
tapir	tapirowate|tapiry
tarantula	pogońcowate
ptasznik	ptasznikowate
zawilec	jaskrowate
chaber	astrowate|złożone
gerbera	astrowate|złożone
jaśminowiec	hortensjowate
ślaz	ślazowate|malwowate
nasturcja	nasturcjowate
powój	powojowate
klematis|powojnik	jaskrowate
rezeda	rezedowate
jaź	karpiowate
bobak	susły i świszcze
langusta	langustowate
palia jeziorowa|palia amerykańska	łososie właściwe
witlinek|merlan	dorszowate|wątłuszowate
plamiak|łupacz|wątłusz srebrzysty	dorszowate|wątłuszowate
ara	papugi neotropikalne
papużka falista	papugi wschodnie
pieprzyca	kapustowate|krzyżowe
cyneraria|starzec popielnik|starzec	astrowate|złożone
lucerna	bobowate właściwe|motylkowate właściwe
poziomka	różowate
bazylia	jasnotowate|wargowe
cibora	ciborowate|turzycowate
kalia|cantedeskia|kalijka	obrazkowate
kroton|krocień	wilczomleczowate
mandragora	psiankowate
arnika	astrowate|złożone
centuria|tysiącznik	goryczkowate
dąbrówka|gądziel	jasnotowate|wargowe
gajowiec	jasnotowate|wargowe
kaczeniec|knieć|kaczyniec	jaskrowate
lepnica	goździkowate
kruszczyk	epidendronowe
lobelia|stroiczka	lobeliowate|stroiczkowate
lobelia|stroiczka	lobeliowe|stroiczkowe
macierzanka	jasnotowate|wargowe
marzanka	marzanowate
mieczyk|gladiolus|gladiola	kosaćcowate
miodunka	ogórecznikowate|szorstkolistne
sumak	nanerczowate
wężymord	astrowate|złożone
wilec	powojowate
naparstnica|digitalis	babkowate
niecierpek	niecierpkowate
pięciornik	różowate
śnieżyczka	amarylkowate
rdestnica	rdestnicowate
przytulia	marzanowate
rosiczka	rosiczkowate
dzbanecznik	dzbanecznikowate
kapturnica|saracenia	kapturnicowate
muchołówka	rosiczkowate
pływacz	pływaczowate
tłustosz	pływaczowate
rutewka	jaskrowate
skalnica	skalnicowate
torfowiec	torfowcowate
rajgras	owsowe
turzyca	ciborowate|turzycowate
wełnianka	ciborowate|turzycowate
wiechlina|wyklina	wiechlinowate|trawy
żywokost	ogórecznikowate|szorstkolistne
zerwa	dzwonkowate
rozmaryn	jasnotowate|wargowe
werbena|werwena|witułka	werbenowate
pieczarka	pieczarkowate
małpa wąskonosa	małpy wąskonose|wyższe naczelne Starego Świata
małpa szerokonosa|małpa Nowego Świata	małpy szerokonose|małpy Nowego Świata
podkowiec	podkowcowate
iglicznia|iglicznia bałtycka	igliczniowate
pomurnik	pomurniki
korowiec sosnowy|rozwałka sosnowa	korowcowate
kropidlak	rozetkowce
belona|belona pospolita	belonowate
głowacica|łosoś Dunaju|głowacica dunajska	łososie właściwe
turbot|skarp	nagładowate
zębacz	owocożery
witeź	paziowate|witezie
bielik|bielik zwyczajny|birkut	myszołowy
głodek	kapustowate|krzyżowe
sporek	goździkowate
podejźrzon	nasięźrzałowate
bezżuchwowiec|bezszczękowiec	bezżuchwowce|bezszczękowce
wigoń|wikunia|wigonia	wielbłądowate
ślimak|brzuchonóg	ślimaki|brzuchonogi
kozica|kozica północna	kozłowate
kłosek	kłoskowce
twardziak łuskowaty	żagwiowate
twardziak|bocznotrzonowiec|skórzak|łyczak|łuszczak|boczniak	żagwiowate
podkrólestwo	królestwo
łopatonos	łopatonosy
krowiak	krowiakowate
kolczak	kolczakowate|kolczaki
kolczak	kolczakowate
bażyna	wrzosowate
brodawnik|dmuchawiec	astrowate|złożone
buławnik	epidendronowe
cebulica|oszloch	hiacyntowate
cebulica|oszloch	szparagowate
ciemiężyca|ciemierzyca	melantkowate
dębik	różowate
gruszyczka	wrzosowate
gwiazdnica	goździkowate
dziesięciornica	dziesięciornice
cyprysik	cyprysowate
cypryśnik	cyprysowate
czerwiec kaktusowy|koszenila|czerwiec koszenilowy	czerwce
mango|mangowiec|drzewo mangowe	nanerczowate
pochrzyn|jams|ignam	pochrzynowate
polnik śnieżny|nornik śnieżny	nornikowate
szakłak	szakłakowate
tawuła	tawułowe
trzmielina	dławiszowate
tulipanowiec	magnoliowate
