Frunę.	fin:pres.fut
Szpak chce chcieć frunąć.	controlee:infp
Szpak jest przehulany.	controlee:ppas
Szpak jest prezydentem.	controlee:np
Witold jął się pióra.	lex SUBST
Wiele wody upłynęło.	lex NUM
Ciche dni fruną.	lex ADJ
Barani łeb bryka.	lex ADJ
Uśmiechaliśmy się blado.	lex ADV
Bębni na maszynie do pisania.	lex GER
Biegał z wywieszonym ozorem.	lex PPAS
Oczekiwał z bijącym sercem.	lex PACT
Daję się lubić.	lex INF:norefl
Można się ugotować.	lex INF:refl
Nie ma gdzie się podziać.	lex INF:refl ADV
Abdykujesz na rzecz rosomaka.	comprepnp
Brykasz na progu rosomaka.	comprepnp
Brykasz niezależnie od rosomaka.	comprepnp
Frunę, kiszę.	clause multi
Frunę. Kiszę.	sentence multi
Witoldzie, fruń!	clause multi
Komu kisisz?	relator:subst
Kto kisi?	relator:subst
Kogo kisi?	relator:subst
Co kisi?	relator:subst
Wiem, komu kisisz.	relator:subst
Do kogo brykasz?	relator:subst
Któremu rosomakowi kisisz?	relator:adj
Do którego rosomaka brykasz?	relator:adj
Bryka rosomak, któremu kisisz.	relator:adj
Iloma rosomakami kisisz?
Ile szpaków frunie?	relator:num
Z iloma rosomakami brykasz?
Na ile dziewczyn fruniesz?
Do ilu rosomaków brykasz?	relator:num
Kiedy kisisz?	relator:adv
Jak szybko brykasz?	relator:adv
Na myśl o czym brykasz?	relator:subst
Czy fruniesz?	relator:qub
Fruniesz, gdy kisisz.	relator:adv
Frunąłbyś, gdybyś kisił.	relator:qub
Fruniesz, chociaż kisisz.	comp
Dość szybki szpak frunie.	qub
Absorbuje mnie to, że frunę.	ncp
Szpak i rosomak fruną.	conj
Szpak lub rosomak fruną.	conj
Pierwszy lub drugi szpak frunie.	conj
Fruń pod łóżko lub pod szafę.	conj
Fruń pod łóżko lub nad morze.	conj
Fruń pod łóżko lub tutaj.	conj
Fruń tutaj lub pod łóżko.	conj
Fruń teraz lub nigdy.	conj
Szpak frunie i bryka.	conj
- Frunę.	or
- Frunę. Kiszę.	or
- Frunę - powiedział szpak.	or
- Frunę! - powiedział szpak.	or
- Frunę - powiedział szpak. - Kiszę.	or
- Ten szpak - powiedział - frunie.	or
Szpak powiedział:	or
Szpak powiedział: frunę.	or
Szpak powiedział: „Frunę”.	or
Szpak powiedział: „Frunę. Kiszę.”	or
Szpak powiedział: - Frunę.	or
Szpak powiedział: - Frunę. - i bryknął.	or
Szpak powiedział: - Frunę. - i dodał: - Brykam.	or
Szpak bada sprawę: - Frunę - powiada - i brykam.	or
SZPAK: Frunę.	or
SZPAK: - Frunę.	or
Całka Cauchy'ego frunie w TE-cie.	akronim
Frunie (szpak).	inclusion
Frunie „szpak”.	cudzysłowy
„Frunę.”
„Frunę.	dummy
Frunę.”	dummy
Można będzie kupować samochody.	amb
Książka leży po prawej stronie łóżka.	amb
20 czerwca br. przyjęła.	amb
W czerwcu br. przyjęła.	amb
Kot aranżuje.	selpref (tu działa dezambiguacja selpref)
Kot miauczy.	selpref
Kot śpiewa.	selpref
Szpak aranżuje.	selpref
Szpak fruwa.	selpref
Szpak śpiewa.	selpref
Człowiek aranżuje.	selpref
Jaś załadował bagażnik jabłkami.	role
Jaś załadował bagażnik koparką.	arole
Jaś załadował bagażnik wieczorem.	lrole
Pięciu Kotów szybko aranżuje na drzewie.
Po wypadku nie przerwałem pracy.	quant
