( C ) Maćka <---> (C)Maćka
* blisko * znaczne <---> *blisko*znaczne
* jedno * znaczne <---> *jedno*znaczne
PN -92 / T -20091 <---> PN-92/T-20091
PR 3 <---> PR3
PZL -104 <---> PZL-104
Q 1 <---> Q1
R 1 <---> R1
R 2 CH 2 <---> R2CH2
R 2 D 2 <---> R2D2
R 3 CH <---> R3CH
RS 2 <---> RS2
RS 4 <---> RS4
RTL 7 <---> RTL7
RYBOŁÓWSTW 0 <---> RYBOŁÓWSTW0
Rock ’ N ’ Roll <---> Rock’N’Roll
S -400 <---> S-400
SETI @ Home <---> SETI@Home
SG 3 <---> SG3
SP 5 <---> SP5
SQ 25 <---> SQ25
SS ' manie <---> SS'manie
T -72 <---> T-72
T 5 <---> T5
T adeusz <---> T adeusz
TV 4 <---> TV4
TVP 1 <---> TVP1
Top -10 <---> Top-10
Tw ardowski <---> Tw ardowski
U la <---> U la
UST -110 <---> UST-110
V 1 <---> V1
V 2 <---> V2
VC -25 A <---> VC-25A
VDC -300 <---> VDC-300
WIG 20 <---> WIG 20
Wen d y <---> Wen d y
Writers ' <---> Writers'
X -100 <---> X-100
XF 11 <---> XF11
Znaszli <---> Znasz li
[AGM; AG M] -86 <---> AGM-86
[BGM; BG M] -109 <---> BGM-109
[CM; C M] 6000 <---> CM6000
[Lem; Le m; L em] _ ura <---> Lem_ura
[atom; ato m] 2004 meister@gmail.com <---> atom2004meister@gmail.com
[redem; rede m; red em] ptorystów <---> redem ptorystów
[tym; ty m] [czasem; czase m; czas em] <---> tym czasem
a ' la <---> a'la
a j e n t a <---> a j e n t a
albo [wiem; wie m; wi em] <---> albo wiem
all ' amatricane <---> all'amatricane
anty ( radio ) aktywność <---> anty(radio)aktywność
anty katolickich <---> anty katolickich
bar dziej <---> bar dziej
bart @ 1 under.com <---> bart@1under.com
bez nadziejny <---> bez nadziejny
d *** kratycznych <---> d***kratycznych
d Orsay <---> d Orsay
dal eko <---> dal eko
e " S " [mańskim; mański m] <---> e"S"mańskim
e " S " manami <---> e"S"manami
funk ' ującego <---> funk'ującego
goury @ o 2. pl <---> goury@o2.pl
gó * niar <---> gó*niar
http://fandom.art.pl / konwenty / k 2 k . [htm; ht m] <---> http://fandom.art.pl/konwenty/k2k.htm
http://libuda.wrzuta.pl / audio / 3 b 5 aXRh 9 az / <---> http://libuda.wrzuta.pl/audio/3b5aXRh9az/
http://republika.pl / szczurkot / FAQ / index . html <---> http://republika.pl/szczurkot/FAQ/index.html
http://www.georgehart.com / pavilion . html <---> http://www.georgehart.com/pavilion.html
http://www.jeri.gwflota.com / main / <---> http://www.jeri.gwflota.com/main/
http://www.li.net / ~ george / pavilion . html <---> http://www.li.net/~george/pavilion.html
http://www.mtl.pl / bart <---> http://www.mtl.pl/bart
http://www.olechowski.pl / <---> http://www.olechowski.pl/
http://www.ptfbank.pl / 108. xml <---> http://www.ptfbank.pl/108.xml
http://www.pza.org.pl / taternik / 992 polnocnamiegusza . [htm; ht m] <---> http://www.pza.org.pl/taternik/992polnocnamiegusza.htm
http://www.webfabrika.com.pl / fronda / <---> http://www.webfabrika.com.pl/fronda/
izaa 83 @ interia.pl <---> izaa83@interia.pl
jor self <---> jor self
kan ' iak <---> kan'iak
koszernieV <---> koszernie V
lebron 26 @ vp.pl <---> lebron26@vp.pl
lkj 908 ż 7654 fds <---> lkj908ż7654fds
m o j a <---> m o j a
marcoos _ 87 @ wp.pl <---> marcoos_87@wp.pl
na około <---> na około
na rodził <---> na rodził
news : 9 ntb 5 p $ jst $ 1 @ h 1. uw.edu.pl <---> news:9ntb5p$jst$1@h1.uw.edu.pl
nic nie robienie <---> nic nie robienie
nie co <---> nie co
nie dobrze <---> nie dobrze
nie fajne <---> nie fajne
nie koniecznie <---> nie koniecznie
nie konstytucyjne <---> nie konstytucyjne
nie mała <---> nie mała
nie możność <---> nie możność
nie prawda <---> nie prawda
nie szczególnie <---> nie szczególnie
nie wyjęci <---> nie wyjęci
nie zbyt <---> nie zbyt
nie złe <---> nie złe
nie źle <---> nie źle
niechże <---> niech że
nocz ' <---> nocz'
noż <---> no ż
o 2 <---> o2
o [em; e m] <---> o em
o znacza <---> o znacza
obudzilismy <---> obudzili smy
osiągnie my <---> osiągnie my
pe ka o <---> pe ka o
pe pe en <---> pe pe en
pewni e <---> pewni e
pl . [hum; hu m] . teatr <---> pl.hum.teatr
pl . sci . filozofia <---> pl.sci.filozofia
pl . soc . [cośtam; cośta m] <---> pl.soc.cośtam
pl . soc . religia <---> pl.soc.religia
po za <---> po za
pomaga my <---> pomaga my
półtora roczne <---> półtora roczne
rad _ rez@poczta.onet.pl <---> rad_rez@poczta.onet.pl
reżyser ują <---> reżyser ują
rowecki@wp.pl <---> rowecki @ wp . pl
ry ( d ) zykować <---> ry(d)zykować
s t ą d <---> s t ą d
slawek . sa@gazeta.pl <---> slawek.sa@gazeta.pl
sonder aktzion <---> sonder aktzion
sonka _ 86 @ wp.pl <---> sonka_86@wp.pl
straszliważ <---> straszliwa ż
synapse @ friko 2. onet.pl <---> synapse@friko2.onet.pl
t y m <---> t y m
tak że <---> tak że
te fał en <---> te fał en
te fał enu <---> te fał enu
techend trejt loj kropka bloks pot [kom; ko m] <---> techend trejt loj kropka bloks pot kom
trud na <---> trud na
ty s <---> ty s
ucha [chałyście; chały ście] <---> ucha chały ście
urwijże <---> urwij że
usprawiedliwie ( a ) nie <---> usprawiedliwie(a)nie
w a s z y c h <---> w a s z y c h
w cale <---> w cale
w chodzi <---> w chodzi
w pisać <---> w pisać
w w w polskie radio euro kropka pe el <---> w w w polskie radio euro kropka pe el
wer 23451 erdfghjklłlpoiujzhzbdfghuz 786543 [ihgfcym; ihgfcy m] <---> wer23451erdfghjklłlpoiujzhzbdfghuz786543ihgfcym
wie dzieć <---> wie dzieć
wk * rwiony <---> wk*rwiony
www.gadki.lublin.pl/east / z / index . html <---> www.gadki.lublin.pl/east/z/index.html
wy sokich <---> wy sokich
włast ' <---> włast'
y @ z <---> y@z
z a w s z e <---> z a w s z e
z globalizowania <---> z globalizowania
z grupowaniu <---> z grupowaniu
za płacisz <---> za płacisz
zawiodłe ( a ) m <---> zawiodłe(a)m
zeń <---> ze ń
zobaczył ( [am; a m] ) <---> zobaczył(a m)
zostawże <---> zostaw że
zrobiłe ( a ) m <---> zrobiłe(a)m
zy ( g ) [zakiem; zakie m; zaki em] <---> zy(g)zakiem
1 a <---> 1a
1 n <---> 1n
11 a <---> 11a
125 p <---> 125p
126 p <---> 126 p
126 p <---> 126p
2 n <---> 2n
2000 + <---> 2000+
3 a <---> 3a
A / H 1 N 1 <---> A/H1N1
AN ] SPY -1 <---> AN]SPY-1
BZT 5 <---> BZT5
C + + <---> C++
C 1 <---> C1
C 60 <---> C60
F 4 <---> F4
F 8 <---> F8
K -202 <---> K-202
L 3 <---> L3
M 15 <---> M15
Mi -2 <---> Mi-2
U 2 <---> U2
WIG 20 <---> WIG20
Y 2 K <---> Y2K
Z / SI 444 SKAK 33883 AQASA <---> Z/SI444SKAK33883AQASA
ai pi si si <---> ai pi si si
dajże <---> daj że
dla tego <---> dla tego
dlań <---> dla ń
dżi pi es <---> dżi pi es
e . w <---> e.w
jak by <---> jak by
mp 3 <---> mp3
na brudzi <---> na brudzi
nie ważne <---> nie ważne
te fał pe <---> te fał pe
z przed <---> z przed
A 2 <---> A2
A 4 <---> A4
F 1 <---> F1
Okocimia -2 <---> Okocimia-2
ce o dwa <---> ce o dwa
e " S " manów <---> e"S"manów
przezeń <---> przeze ń
3 D <---> 3D
także <---> tak że
weń <---> we ń
F -16 <---> F-16
doń <---> do ń
ha de <---> ha de
o. o. <---> o.o .
nań <---> na ń
