16:24 <---> 16 : 24
16:30 <---> 16 : 30
16.30 <---> 16 . 30
1643-1670 <---> 1643 - 1670
165-168 <---> 165 - 168
1699-1766 <---> 1699 - 1766
16 III 1945 <---> 16 III 1945
16. <---> 16 .
—16 <---> — 16
17.00 <---> 17 . 00
17.03 <---> 17 . 03
17.05 <---> 17 . 05
17-20 <---> 17 - 20
17:25 <---> 17 : 25
17:26 <---> 17 : 26
1727-31 <---> 1727 - 31
17.30 <---> 17 . 30
17.34 <---> 17 . 34
17.50 <---> 17 . 50
1770-84 <---> 1770 - 84
1777–86 <---> 1777 – 86
1797-1863 <---> 1797 - 1863
1799–1873 <---> 1799 – 1873
17.X.64 <---> 17 . X . 64
17. <---> 17 .
-17 <---> - 17
18.00 <---> 18 . 00
1809–1881 <---> 1809 – 1881
1812–23 <---> 1812 – 23
18-19 <---> 18 - 19
18-1 <---> 18 - 1
1821-1914 <---> 1821 - 1914
1822-24 <---> 1822 - 24
18:22 <---> 18 : 22
1824-1891 <---> 1824 - 1891
18–24 <---> 18 – 24
1829–1907 <---> 1829 – 1907
1830–36 <---> 1830 – 36
18:30 <---> 18 : 30
18.30 <---> 18 . 30
1831-1846 <---> 1831 - 1846
1831-1880 <---> 1831 - 1880
1839–41 <---> 1839 – 41
1848–1931 <---> 1848 – 1931
1848-49 <---> 1848 - 49
1849–1910 <---> 1849 – 1910
1850-1920 <---> 1850 - 1920
18.50 <---> 18 . 50
1855-1940 <---> 1855 - 1940
1857–60 <---> 1857 – 60
1858–61 <---> 1858 – 61
1859–1913 <---> 1859 – 1913
1859–1922 <---> 1859 – 1922
1862-1951 <---> 1862 - 1951
1865-1940 <---> 1865 - 1940
1870-1914 <---> 1870 - 1914
1871-1893 <---> 1871 - 1893
1874-1959 <---> 1874 - 1959
1875–1975 <---> 1875 – 1975
1875-76 <---> 1875 - 76
1876-1917 <---> 1876 - 1917
1878-1949 <---> 1878 - 1949
1879–98 <---> 1879 – 98
1893-1971 <---> 1893 - 1971
1894-1972 <---> 1894 - 1972
1895-1968 <---> 1895 - 1968
1896-1952 <---> 1896 - 1952
1896-1962 <---> 1896 - 1962
1897-1936 <---> 1897 - 1936
18. <---> 18 .
1-8 <---> 1 - 8
1–8 <---> 1 – 8
1900-2000 <---> 1900 - 2000
19.00 <---> 19 . 00
1901-49 <---> 1901 - 49
1905-1928 <---> 1905 - 1928
1905-40 <---> 1905 - 40
1906-07 <---> 1906 - 07
1906-1979 <---> 1906 - 1979
1906-1980 <---> 1906 - 1980
1906–59 <---> 1906 – 59
1907–09 <---> 1907 – 09
1907-1983 <---> 1907 - 1983
1909-1987 <---> 1909 - 1987
1910-1963 <---> 1910 - 1963
1913-1983 <---> 1913 - 1983
1914-1945 <---> 1914 - 1945
1918-1919 <---> 1918 - 1919
1918-1922 <---> 1918 - 1922
1918-1932 <---> 1918 - 1932
1918-9 <---> 1918 - 9
1919-1932 <---> 1919 - 1932
1920-1932 <---> 1920 - 1932
19-20 <---> 19 - 20
19-21 <---> 19 - 21
19.2.—20.3. <---> 19 . 2 . — 20 . 3 .
1922-36 <---> 1922 - 36
19.25 <---> 19 . 25
19.27 <---> 19 . 27
1928-1929 <---> 1928 - 1929
19.30 <---> 19 . 30
1934-1939 <---> 1934 - 1939
1937-39 <---> 1937 - 39
1938-1978 <---> 1938 - 1978
1939-1941 <---> 1939 - 1941
1939-1945 <---> 1939 - 1945
19,3 <---> 19 , 3
1941–44 <---> 1941 – 44
1942-1944 <---> 1942 - 1944
1944-48 <---> 1944 - 48
1945-1965 <---> 1945 - 1965
1947-48 <---> 1947 - 48
1947-49 <---> 1947 - 49
1948-49 <---> 1948 - 49
1950-52 <---> 1950 - 52
1950 - 54.547 <---> 1950 - 54.547
1950 - 82.756 <---> 1950 - 82.756
1952-1954 <---> 1952 - 1954
1952-57 <---> 1952 - 57
1955-1991 <---> 1955 - 1991
1960-1993 <---> 1960 - 1993
1962-1980 <---> 1962 - 1980
1962-66 <---> 1962 - 66
1963-1967 <---> 1963 - 1967
1966—1969 <---> 1966 — 1969
1968-1980 <---> 1968 - 1980
1969-71 <---> 1969 - 71
1970-1972 <---> 1970 - 1972
1970–1973 <---> 1970 – 1973
1970–1975 <---> 1970 – 1975
1971—1975 <---> 1971 — 1975
1971-1980 <---> 1971 - 1980
1973-75 <---> 1973 - 75
1973 - 1976 <---> 1973 - 1976
1975-1998 <---> 1975 - 1998
1978-2001 <---> 1978 - 2001
19-7 <---> 19 - 7
1980-1981 <---> 1980 - 1981
1980-1982 <---> 1980 - 1982
1981-1984 <---> 1981 - 1984
1981-1990 <---> 1981 - 1990
1981 - 1985 <---> 1981 - 1985
1982-1983 <---> 1982 - 1983
1982-1984 <---> 1982 - 1984
1982–91 <---> 1982 – 91
1983-1987 <---> 1983 - 1987
1983-87 <---> 1983 - 87
1984-1985 <---> 1984 - 1985
1984-1991 <---> 1984 - 1991
1987–95 <---> 1987 – 95
1989-1991 <---> 1989 - 1991
1989-2009 <---> 1989 - 2009
1989-93 <---> 1989 - 93
1990-1993 <---> 1990 - 1993
1990-1994 <---> 1990 - 1994
1990-93 <---> 1990 - 93
1991-1993 <---> 1991 - 1993
1992-96 <---> 1992 - 96
1993-2008 <---> 1993 - 2008
1994-2000 <---> 1994 - 2000
1994-95 <---> 1994 - 95
1995-1996 <---> 1995 - 1996
1997-1998 <---> 1997 - 1998
1997-1999 <---> 1997 - 1999
1997–2001 <---> 1997 – 2001
1998 - 1999 <---> 1998 - 1999
1999-2000 <---> 1999 - 2000
1 VII 1945 <---> 1 VII 1945
1 VII 1960 <---> 1 VII 1960
1. <---> 1 .
20000-30000 <---> 20000 - 30000
20.00 <---> 20 . 00
2001-2002 <---> 2001 - 2002
2001-2006 <---> 2001 - 2006
200-300 <---> 200 - 300
2003-2006 <---> 2003 - 2006
-2007 <---> - 2007
2008-2018 <---> 2008 - 2018
2.00 <---> 2 . 00
20,12 <---> 20 , 12
2025-30 <---> 2025 - 30
20-30 <---> 20 - 30
20—30 <---> 20 — 30
20. <---> 20 .
2:0 <---> 2 : 0
21.00 <---> 21 . 00
21.1.—18.2. <---> 21 . 1 . — 18 . 2 .
21:11 <---> 21 : 11
2-11 <---> 2 - 11
21:21 <---> 21 : 21
21:25 <---> 21 : 25
21.30 <---> 21 . 30
2:13 <---> 2 : 13
21. <---> 21 .
2:1 <---> 2 : 1
22.00 <---> 22 . 00
22.30 <---> 22 . 30
22.5.—21.6. <---> 22 . 5 . — 21 . 6 .
22.6.—22.7. <---> 22 . 6 . — 22 . 7 .
2:26 <---> 2 : 26
2:27 <---> 2 : 27
22. <---> 22 .
22 - 24 <---> 22 - 24
2:2 <---> 2 : 2
23.00 <---> 23 . 00
230–280 <---> 230 – 280
23.11.—21.12. <---> 23 . 11 . — 21 . 12 .
231-198 <---> 231 - 198
2:35 <---> 2 : 35
23. <---> 23 .
2-3 <---> 2 - 3
2:3 <---> 2 : 3
2—3 <---> 2 — 3
24-48 <---> 24 - 48
24.II.1993 <---> 24 . II . 1993
24 VIII 1985 <---> 24 VIII 1985
24. <---> 24 .
2—4 <---> 2 — 4
25:19 <---> 25 : 19
25:21 <---> 25 : 21
252. <---> 252 .
25-2 <---> 25 - 2
25-30 <---> 25 - 30
25–30 <---> 25 – 30
2,5-3 <---> 2,5 - 3
25:9 <---> 25 : 9
25. <---> 25 .
2-5 <---> 2 - 5
25 - 30 <---> 25 - 30
26-28 <---> 26 - 28
27.01.99 <---> 27 . 01 . 99
27.06.1997 <---> 27 . 06 . 1997
27.06. <---> 27 . 06 .
27,46 <---> 27 , 46
28:13 <---> 28 : 13
29. <---> 29 .
-29 <---> - 29
2. <---> 2 .
30.03.1993 <---> 30 . 03 . 1993
300-400 <---> 300 - 400
3.00 <---> 3 . 00
300 - 400 <---> 300 - 400
30-31 <---> 30 - 31
30-35 <---> 30 - 35
30-40 <---> 30 - 40
30. <---> 30 .
3:0 <---> 3 : 0
3-10 <---> 3 - 10
31.10.97 <---> 31 . 10 . 97
311. <---> 311 .
3:11 <---> 3 : 11
3.15 <---> 3 . 15
3:1 <---> 3 : 1
3:25 <---> 3 : 25
32-76 <---> 32 - 76
3-2 <---> 3 - 2
3:3 <---> 3 : 3
34:19 <---> 34 : 19
34-64 <---> 34 - 64
3-4 <---> 3 - 4
3–4 <---> 3 – 4
35-38 <---> 35 - 38
35. <---> 35 .
3-5 <---> 3 - 5
-367 <---> - 367
3:6 <---> 3 : 6
370. <---> 370 .
3-7 <---> 3 - 7
3-8 <---> 3 - 8
396 093 <---> 396 093
3 - 2 <---> 3 - 2
3. <---> 3 .
3 - 4 <---> 3 - 4
40000-50000 <---> 40000 - 50000
40-50 <---> 40 - 50
40. <---> 40 .
4:0 <---> 4 : 0
-40 <---> - 40
4.10 <---> 4 . 10
4:1 <---> 4 : 1
421-30 <---> 421 - 30
4-25 <---> 4 - 25
428-348 <---> 428 - 348
4:2 <---> 4 : 2
-42 <---> - 42
4.30 <---> 4 . 30
4:3 <---> 4 : 3
44. <---> 44 .
45,72 <---> 45 , 72
45. <---> 45 .
4-5 <---> 4 - 5
4–5 <---> 4 – 5
46. <---> 46 .
4 VIII 1904 <---> 4 VIII 1904
4. <---> 4 .
5.00 <---> 5 . 00
50-100 <---> 50 - 100
50-69 <---> 50 - 69
50. <---> 50 .
5:0 <---> 5 : 0
5-10 <---> 5 - 10
5–10 <---> 5 – 10
5.13 <---> 5 . 13
5—15 <---> 5 — 15
5,16 <---> 5 , 16
517 193 <---> 517 193
518 609 <---> 518 609
51. <---> 51 .
5.23 <---> 5 . 23
5-2 <---> 5 - 2
5:2 <---> 5 : 2
53-58 <---> 53 - 58
53. <---> 53 .
54. <---> 54 .
55. <---> 55 .
56. <---> 56 .
5-6 <---> 5 - 6
570918348.10 <---> 570918348 . 10
57:56 <---> 57 : 56
57. <---> 57 .
58. <---> 58 .
5-8 <---> 5 - 8
59. <---> 59 .
5. <---> 5 .
5 - 8 <---> 5 - 8
-5 <---> - 5
5 % <---> 5%
6.00 <---> 6 . 00
6.02 <---> 6 . 02
60-70 <---> 60 - 70
60. <---> 60 .
6:0 <---> 6 : 0
6.15 <---> 6 . 15
61. <---> 61 .
6.30 <---> 6 . 30
63:63 <---> 63 : 63
6.38 <---> 6 . 38
63. <---> 63 .
64. <---> 64 .
6:4 <---> 6 : 4
-651 <---> - 651
65-8 <---> 65 - 8
65. <---> 65 .
6-7 <---> 6 - 7
68. <---> 68 .
6-8 <---> 6 - 8
6–8 <---> 6 – 8
690. <---> 690 .
6. procentowy <---> 6.procentowy
6 - 11 <---> 6 - 11
6 - 2 <---> 6 - 2
6 - 6,5 <---> 6 - 6,5
6. <---> 6 .
7.00 <---> 7 . 00
7.07.2005 <---> 7 . 07 . 2005
70-75 <---> 70 - 75
70. <---> 70 .
7:0 <---> 7 : 0
’70 <---> ’ 70
7-13 <---> 7 - 13
7-14 <---> 7 - 14
7,15 <---> 7 , 15
71:61 <---> 71 : 61
-7,16 <---> . - 7 , 16
71. <---> 71 .
7.20 <---> 7 . 20
7-2 <---> 7 - 2
7-3 <---> 7 - 3
74:71 <---> 74 : 71
7.56 <---> 7 . 56
75. <---> 75 .
7-5 <---> 7 - 5
7:6 <---> 7 : 6
77. <---> 77 .
7-7 <---> 7 - 7
7.8.9 <---> 7 . 8 . 9
7-9 <---> 7 - 9
7. <---> 7 .
80000-130000 <---> 80000 - 130000
800-1000 <---> 800 - 1000
8.00 <---> 8 . 00
80-100 <---> 80 - 100
8.02 <---> 8 . 02
80-90 <---> 80 - 90
80. <---> 80 .
’80 <---> ’ 80
80 ' <---> 80'
8-10 <---> 8 - 10
8-12 <---> 8 - 12
8:15 <---> 8 : 15
8-19 <---> 8 - 19
8:25 <---> 8 : 25
8.28 <---> 8 . 28
8:2 <---> 8 : 2
8.30 <---> 8 . 30
8.45 <---> 8 . 45
85:0 <---> 85 : 0
87:62 <---> 87 : 62
8-9 <---> 8 - 9
-89 <---> - 89
8. <---> 8 .
9.00 <---> 9 . 00
90. <---> 90 .
9-11 <---> 9 - 11
9-12 <---> 9 - 12
9.15 <---> 9 . 15
9.30 <---> 9 . 30
93-97 <---> 93 - 97
9.40 <---> 9 . 40
9:4 <---> 9 : 4
95-98 <---> 95 - 98
95 ' <---> 95'
960-1127 <---> 960 - 1127
96 ' <---> 96'
99,5-99,7 <---> 99,5 - 99,7
`99 <---> ` 99
9 IV 1241 <---> 9 IV 1241
9. <---> 9 .
austro-węgierską <---> austro - węgierską
austro-węgierskiej <---> austro - węgierskiej
Bim-bam <---> Bim - bam
[b m.; b m] <---> bm
[b r.; b r] <---> br
e. <---> e .
gadu-gadu <---> gadu - gadu
I-III <---> I - III
III–V <---> III – V
I-IV <---> I - IV
in. <---> in .
IV-V <---> IV - V
i t d. <---> itd .
i t p. <---> itp .
km. 2 <---> km.2
km 2 <---> km2
km ² <---> km²
kulturalno-oświatowe <---> kulturalno - oświatowe
[kulturalno-oświatowym; kulturalno-oświatowy m] <---> kulturalno - oświatowym
m. in. <---> m.in.
m. in <---> m.in
m in. <---> min .
m. in. <---> m. in.
m. in. <---> m. in .
m kw. <---> mkw .
m. <---> m .
n. p. m. <---> n.p.m .
N p. <---> Np .
N T G <---> NTG
n t. <---> nt .
n. <---> n .
pif-paf <---> pif - paf
Pif-paf <---> Pif - paf
północno-wschodnią <---> północno - wschodnią
północno-wschodniego <---> północno - wschodniego
północno-wschodniej <---> północno - wschodniej
[północno-wschodnim; północno-wschodni m] <---> północno - wschodnim
północno-wschodni <---> północno - wschodni
Praca ˝ <---> Praca˝
p. n. e. <---> p.n.e .
p n. <---> pn .
p. o. <---> p.o .
p. t. <---> p.t .
p t. <---> pt .
P W <---> PW
p w. <---> pw .
P . E . N . <---> P.E.N.
P . O . N . R . P . [IM; I M] . MJR . H . D . H <---> P.O.N.R.P.IM.MJR.H.D.H
p. <---> p .
P . S <---> P.S
R . E . M . <---> R.E.M.
R . P <---> R.P
r. <---> r .
SGGW-AR <---> SGGW - AR
skądże <---> skąd że
S . A <---> S.A
s . c <---> s.c
S . C <---> S.C
S . T <---> S.T
S . T . W . <---> S.T.W.
talk-show <---> talk - show
tingel-tanglu <---> tingel - tanglu
[Tse-tungiem; Tse-tungi em] <---> Tse - tungiem
t j. <---> tj .
t zn. <---> tzn .
T zn. <---> Tzn .
T zw. <---> Tzw .
ub. r. <---> ub.r.
ub. r. <---> ub.r .
ub. <---> ub .
VI–VIII <---> VI – VIII
w. w. <---> w.w .
w w. <---> ww .
w . c <---> w.c
w . c <---> w. c
XIII-XV <---> XIII - XV
XI–XV <---> XI – XV
XIX–XX <---> XIX – XX
XVII-XIX <---> XVII - XIX
XVI - XVIII <---> XVI - XVIII
XV-XVI <---> XV - XVI
XV–XVI <---> XV – XVI
˝ lub ˝ <---> ˝lub˝
˝ oczywiste ˝ <---> ˝oczywiste˝
˝ Przedsiębiorczość <---> ˝Przedsiębiorczość
<< <---> < <
>> <---> > >
,, <---> , ,
;)) <---> ;) )
:)) <---> :) )
’’ <---> ’ ’
** <---> * *
:))) <---> :) ) )
(!) <---> ( ! )
(?) <---> ( ? )
(*) <---> ( * )
(+) <---> ( + )
(…) <---> ( … )
[-] <---> [ - ]
[?] <---> [ ? ]
[+] <---> [ + ]
*** <---> * * *
(?!) <---> ( ? ! )
(++) <---> ( + + )
**** <---> * * * *
(...) <---> ( . . . )
[...] <---> [ . . . ]
***** <---> * * * * *
