U . S .	U.S.
1200-1259	1200 - 1259
120–140	120 – 140
120–410	120 – 410
1230-1246	1230 - 1246
1248–60	1248 – 60
1253-1810	1253 - 1810
1256-1258	1256 - 1258
1288–90	1288 – 90
12:15	12 : 15
12:29	12 : 29
12:52	12 : 52
13-17	13 - 17
13-23	13- 23
13-35	13 - 35
13.01.1228	13 . 01 . 1228
13.15	13 . 15
13.28	13 . 28
13.40	13 . 40
1333-70	1333 - 70
1340-1405	1340 - 1405
1394-1831	1394 - 1831
13:02	13 : 02
13:06	13 : 06
13:39	13 : 39
13–14	13 – 14
14,36	14 , 36
14-11	14 - 11
14-18	14 - 18
14.00-16.00	14 . 00 - 16 . 00
14.01.1928	14 . 01 . 1928
14.07.1995	14 . 07 . 1995
14.12	14 . 12
14.38	14 . 38
14.50	14 . 50
14.X.1954	14 . X . 1954
1400-1600	1400 - 1600
142-131	142 - 131
1466–1772	1466 – 1772
1486-93	1486 - 93
14:11	14 : 11
14:54	14 : 54
15,22	15 , 22
15-10	15 - 10
15-17	15 - 17
15-20	15 - 20
15-25	15 - 25
15.15	15 . 15
15.40	15 . 40
15.46	15 . 46
15.50	15 . 50
150-180	150 - 180
150-300	150- 300
150–180	150 – 180
1511-21	1511 - 21
1558-62	1558 - 62
1566-82	1566 - 82
1582-1727	1582 - 1727
1585-1590	1585 - 1590
15:10	15 : 10
15:18	15 : 18
15:48	15 : 48
15:53	15 : 53
15:55	15 : 55
15—20	15 — 20
16.15	16 . 15
1600–03	1600 – 03
161 c	161c
1615-17	1615 - 17
1618-22	1618 - 22
1643-1670	1643 - 1670
1687–1716	1687 – 1716
1691-1692	1691 - 1692
1699-1766	1699 - 1766
16:18	16 : 18
16:24	16 : 24
16:30	16 : 30
16–23	16 – 23
17.03	17 . 03
17.05	17 . 05
17.11	17 . 11
17.15	17 . 15
17.34	17 . 34
17.40	17 . 40
17.X.64	17 . X . 64
1709-1713	1709 - 1713
1727–28	1727 – 28
1770-84	1770 - 84
1777–86	1777 – 86
1797-1805	1797 - 1805
1797-1863	1797 - 1863
1799–1873	1799 – 1873
17:25	17 : 25
17:26	17 : 26
17:35	17 : 35
17:40	17 : 40
18-20	18 - 20
18.09.	18 . 09 .
18.15	18 . 15
18.50	18 . 50
1809-1814	1809 - 1814
1809–1881	1809 – 1881
1812–23	1812 – 23
1821-1914	1821 - 1914
1822-24	1822 - 24
1824-1891	1824 - 1891
1829–1907	1829 – 1907
1830–36	1830 – 36
1831-1846	1831 - 1846
1831-1880	1831 - 1880
1839–41	1839 – 41
1848-49	1848 - 49
1848–1931	1848 – 1931
1850-1920	1850 - 1920
1855-1940	1855 - 1940
1857–60	1857 – 60
1858–61	1858 – 61
1859–1913	1859 – 1913
1859–1922	1859 – 1922
1862-1951	1862 - 1951
1865-1940	1865 - 1940
1870-1914	1870 - 1914
1871-1893	1871 - 1893
1874-1959	1874 - 1959
1875-76	1875 - 76
1875–1975	1875 – 1975
1876-1917	1876 - 1917
1878-1949	1878 - 1949
1879-1885	1879 - 1885
1879–98	1879 – 98
1883-1913	1883 - 1913
1886-87	1886 - 87
1893-1971	1893 - 1971
1894-1972	1894 - 1972
1894-97	1894 - 97
1895-1968	1895 - 1968
1896-1901	1896 - 1901
1896-1952	1896 - 1952
1896-1962	1896 - 1962
1897-1936	1897 - 1936
1898-1901	1898 - 1901
18:22	18 : 22
18:24	18 : 24
18:30	18 : 30
18:48	18 : 48
18–20	18 – 20
18–24	18 – 24
18–28	18 – 28
19,3	19 , 3
19-2	19 - 2
19-20	19 - 20
19-21	19 - 21
19-7	19 - 7
19.09	19 . 09
19.12.1956	19 . 12 . 1956
19.2.—20.3.	19 . 2 . — 20 . 3 .
19.20	19 . 20
19.25	19 . 25
19.27	19 . 27
1900-2000	1900 - 2000
1901-49	1901 - 49
1905-1928	1905 - 1928
1905-40	1905 - 40
1906-07	1906 - 07
1906-1907	1906 - 1907
1906-1979	1906 - 1979
1906-1980	1906 - 1980
1906–59	1906 – 59
1907-1983	1907 - 1983
1907–09	1907 – 09
1909-1987	1909 - 1987
1910-1963	1910 - 1963
1912-13	1912 - 13
1913-1983	1913 - 1983
1913-21	1913 - 21
1914-1945	1914 - 1945
1915–30	1915 – 30
1917-1919	1917 - 1919
1918-1919	1918 - 1919
1918-1922	1918 - 1922
1918-1932	1918 - 1932
1918-9	1918 - 9
1919-1932	1919 - 1932
1920-1932	1920 - 1932
1922-36	1922 - 36
1928-1929	1928 - 1929
1929-1933	1929 - 1933
1929-1939	1929 - 1939
1931-39	1931 - 39
1934-1939	1934 - 1939
1937-39	1937 - 39
1938-1957	1938 - 1957
1938-1978	1938 - 1978
1939-1945	1939 - 1945
1941–44	1941 – 44
1942-1944	1942 - 1944
1944-48	1944 - 48
1944-89	1944 - 89
1945-1965	1945 - 1965
1947-48	1947 - 48
1947-49	1947 - 49
1948-49	1948 - 49
1948–49	1948 – 49
1950-52	1950 - 52
1951-77	1951 - 77
1952-1954	1952 - 1954
1952-57	1952 - 57
1955-1991	1955 - 1991
1960-1970	1960 - 1970
1960-1993	1960 - 1993
1962-1980	1962 - 1980
1962-66	1962 - 66
1963-1967	1963 - 1967
1966—1969	1966 — 1969
1968-1980	1968 - 1980
1969-71	1969 - 71
1970-1972	1970 - 1972
1970–1973	1970 – 1973
1970–1975	1970 – 1975
1971-1974	1971 - 1974
1971-1980	1971 - 1980
1971–79	1971 – 79
1973-75	1973 - 75
1975:132	1975 : 132
1975:133	1975 : 133
1978-2001	1978 - 2001
1979-81	1979 - 81
1979-83	1979 - 83
1980-1981	1980 - 1981
1980-1982	1980 - 1982
1980-1989	1980 - 1989
1981-1984	1981 - 1984
1981-1990	1981 - 1990
1982-1983	1982 - 1983
1982-1984	1982 - 1984
1982–91	1982 – 91
1982–92	1982 – 92
1983-1987	1983 - 1987
1983-87	1983 - 87
1984-1985	1984 - 1985
1984-1991	1984 - 1991
1987–95	1987 – 95
1989-2009	1989 - 2009
1989-93	1989 - 93
1990-1993	1990 - 1993
1990-1994	1990 - 1994
1990-93	1990 - 93
1991-1993	1991 - 1993
1993-2008	1993 - 2008
1994-1995	1994 - 1995
1994-2000	1994 - 2000
1994-95	1994 - 95
1995-1996	1995 - 1996
1997-1998	1997 - 1998
1997-2001	1997 - 2001
1997–2001	1997 – 2001
1999-2000	1999 - 2000
1999-2001	1999 - 2001
1:00	1 : 00
1:10	1 : 10
1:100 000 .	1 : 100 000 .
1:2	1 : 2
1:25	1 : 25
1:30000	1 : 30000
1:4	1 : 4
1:50	1 : 50
1–3	1 – 3
1–8	1 – 8
2-11	2 - 11
2-7	2 - 7
2.00	2 . 00
2.2	2 . 2
2.30	2 . 30
20,12	20 , 12
20-26	20 - 26
20.10.2005	20 . 10 . 2005
20.30	20 . 30
200-300	200 - 300
2000-2006	2000 - 2006
20000-30000	20000 - 30000
2001-2002	2001 - 2002
2001-2006	2001 - 2006
2003-2006	2003 - 2006
2004–2006	2004 – 2006
2008-2018	2008 - 2018
2025-30	2025 - 30
20:13	20 : 13
20:25	20 : 25
20:47	20 : 47
20—30	20 — 30
21-23	21 - 23
21.1.—18.2.	21 . 1 . — 18 . 2 .
21.12.1796	21 . 12 . 1796
211-215	211 - 215
21:11	21 : 11
21:12	21 : 12
21:21	21 : 21
21:25	21 : 25
21:30	21 : 30
21:32	21 : 32
21:34	21 : 34
22.02	22 . 02
22.05.1689	22 . 05 . 1689
22.05.1859	22 . 05 . 1859
22.05.2002	22 . 05 . 2002
22.5.—21.6.	22 . 5 . — 21 . 6 .
22.6.—22.7.	22 . 6 . — 22 . 7 .
22:07	22 : 07
22:12	22 : 12
22:33	22 : 33
22:51	22 : 51
23.00	23 . 00
23.11.—21.12.	23 . 11 . — 21 . 12 .
230–280	230 – 280
231-198	231 - 198
23:00	23 : 00
24-26	24 - 26
24-48	24 - 48
24.00	24 . 00
24.12.1926	24 . 12 . 1926
24.II.1993	24 . II . 1993
24.VII.1997	24 . VII . 1997
240-249	240 - 249
242206083.2	242206083 . 2
25-30	25 - 30
25:19	25 : 19
25:9	25 : 9
25–27	25 – 27
25–30	25 – 30
26.06.	26 . 06 .
27,46	27 , 46
27.01.99	27 . 01 . 99
27.06.	27 . 06 .
27.06.1997	27 . 06 . 1997
270-300	270 - 300
286–298	286 – 298
28:13	28 : 13
29.06.1929	29 . 06 . 1929
2:1	2 : 1
2:13	2 : 13
2:2	2 : 2
2:26	2 : 26
2:27	2 : 27
2:3	2 : 3
2:35	2 : 35
2–3	2 – 3
2—3	2 — 3
2—4	2 — 4
3-10	3 - 10
3-16	3 - 16
3-2	3 - 2
3-7	3 - 7
3-8	3 - 8
3.00	3 . 00
3.15	3 . 15
3.29 , 46	3.29,46
3.30 , 47	3.30,47
3.32 , 91	3.32,91
3.47	3 . 47
30 - proc	30-proc
30-31	30 - 31
30-35	30 - 35
30.03.1993	30 . 03 . 1993
300-350	300 - 350
300-400	300 - 400
31.03.1146	31 . 03 . 1146
31.10.97	31 . 10 . 97
32-40	32 - 40
32-76	32 - 76
333-4	333 - 4
34-64	34 - 64
34:19	34 : 19
35-38	35 - 38
3:11	3 : 11
3:25	3 : 25
3:6	3 : 6
3–4	3 – 4
4-25	4 - 25
4-7	4 - 7
4.00	4 . 00
4.07.1610	4 . 07 . 1610
4.07.1890	4 . 07 . 1890
4.10	4 . 10
4.12	4 . 12
4.30	4 . 30
4.9	4 . 9
428-348	428 - 348
43-69	43 - 69
4:2	4 : 2
4:3	4 : 3
4–5	4 – 5
4–6	4 – 6
5 %	5%
5,16	5 , 16
5-2	5 - 2
5.13	5 . 13
5.16.26	5 . 16 . 26
5.21	5 . 21
5.23	5 . 23
5.30	5 . 30
5.40	5 . 40
5.55	5 . 55
50-100	50 - 100
50-56	50 - 56
50-69	50 - 69
53-58	53 - 58
536–552	536 – 552
54-56	54 - 56
5:0	5 : 0
5:2	5 : 2
5–10	5 – 10
5–8	5 – 8
5—15	5 — 15
570918348.10	570918348 . 10
57:56	57 : 56
6.02	6 . 02
6.15	6 . 15
6.38	6 . 38
60-70	60 - 70
63:63	63 : 63
68-75	68 - 75
6:0	6 : 0
6–8	6 – 8
7,15	7 , 15
7-2	7 - 2
7-3	7 - 3
7-5	7 - 5
7-7	7 - 7
7.07.2005	7 . 07 . 2005
7.20	7 . 20
7.56	7 . 56
7.8.9	7 . 8 . 9
74:71	74 : 71
75-139	75 - 139
7:0	7 : 0
8-12	8 - 12
8-19	8 - 19
8-4	8 - 4
8.02	8 . 02
8.28	8 . 28
8.45	8 . 45
80-100	80 - 100
80-90	80 - 90
800-1000	800 - 1000
80000-130000	80000 - 130000
85:0	85 : 0
87:62	87 : 62
89-109	89 - 109
8:25	8 : 25
9-11	9 - 11
9-12	9 - 12
9-14	9 - 14
9.15	9 . 15
9.40	9 . 40
9.45	9 . 45
900-1900	900 - 1900
93-97	93 - 97
95-98	95 - 98
960-1127	960 - 1127
99,5-99,7	99,5 - 99,7
9:4	9 : 4
9–15	9 – 15
0:0	0 : 0
0:1	0 : 1
0:3	0 : 3
1-10	1 - 10
1-2	1 - 2
1-5	1 - 5
10-12	10 - 12
10-17	10 - 17
11.30	11 . 30
12.30	12 . 30
14-16	14 - 16
14-17	14 - 17
14.20	14 . 20
15.00	15 . 00
15.30	15 . 30
16-17	16 - 17
16.20	16 . 20
16:21	16 : 21
17-20	17 - 20
17.30	17 . 30
17.50	17 . 50
18 .	18.
18-19	18 - 19
1849–1910	1849 – 1910
19.00	19 . 00
1939-1941	1939 - 1941
1971—1975	1971 — 1975
1989-1991	1989 - 1991
1992-96	1992 - 96
1997-1999	1997 - 1999
1:5	1 : 5
2,5-3	2,5 - 3
2007-2013	2007 - 2013
21.00	21 . 00
21.30	21 . 30
25:21	25 : 21
26-28	26 - 28
3.30	3 . 30
3:3	3 : 3
4.2.1	4 . 2 . 1
4:1	4 : 1
5-10	5 - 10
5-6	5 - 6
5-7	5 - 7
5-8	5 - 8
5.00	5 . 00
6-7	6 - 7
6-8	6 - 8
6.30	6 . 30
7 - proc	7-proc
7-13	7 - 13
7-14	7 - 14
7.00	7 . 00
8-10	8 - 10
8.15	8 . 15
8.30	8 . 30
8:2	8 : 2
9.30	9 . 30
0:2	0 : 2
10.00	10 . 00
2-5	2 - 5
3:1	3 : 1
40-50	40 - 50
4:0	4 : 0
6.00	6 . 00
7:6	7 : 6
8-9	8 - 9
8:15	8 : 15
9.00	9 . 00
?!!!	? ! ! !
?!...	? ! . . .
północno-wschodniej	północno - wschodniej
warmińsko-mazurskie	warmińsko - mazurskie
kujawsko-pomorskim	kujawsko - pomorskim
północno-wschodnim	północno - wschodnim
warmińsko-mazurskiego	warmińsko - mazurskiego
warmińsko-mazurskim	warmińsko - mazurskim
północno-wschodni	północno - wschodni
północno-wschodniego	północno - wschodniego
północno-wschodnią	północno - wschodnią
kujawsko-pomorskie	kujawsko - pomorskie
kujawsko-pomorskiego	kujawsko - pomorskiego
kulturalno-oświatowe	kulturalno - oświatowe
austro-węgierskiej	austro - węgierskiej
austro-węgierską	austro - węgierską
XVI-XVII	XVI - XVII
XVII-XIX	XVII - XIX
XV–XVI	XV – XVI
XIII-XV	XIII - XV
XIV-XVIII	XIV - XVIII
XIX–XX	XIX – XX
XI–XV	XI – XV
XV-XVI	XV - XVI
VI–VIII	VI – VIII
SGGW-AR	SGGW - AR
IV-V	IV - V
III–V	III – V
I-III	I - III
I-IV	I - IV
I-VIII	I - VIII
(+)	( + )
40000-50000	40000 - 50000
45,72	45 , 72
45-46	45 - 46
49-70	49 - 70
70-75	70 - 75
71:61	71 : 61
9.00-16.00	9 . 00 - 16 . 00
Bielska-Białej	Bielska - Białej
Bielsko-Biała	Bielsko - Biała
Bim-bam	Bim - bam
1.05.	1 . 05 .
10.10.	10 . 10 .
10.12.	10 . 12 .
11.12.	11 . 12 .
14.05.	14 . 05 .
21.06.	21 . 06 .
29.09.	29 . 09 .
9.02.	9 . 02 .
Tse-tungiem	Tse - tungiem
kulturalno-oświatowym	kulturalno - oświatowym
n - ru	n-ru
pif-paf	pif - paf
serbo - chorwackimi	serbo-chorwackimi
gadu-gadu	gadu - gadu
p . s	p.s
w . c	w.c
z - ca	z-ca
e.cz	e . cz
25-30	25 - 30
<<	< <
?!?	? ! ?
?…	? …
MORTKOWICZ - OLCZAKOWA	MORTKOWICZ-OLCZAKOWA
Międzychodzko - Sierakowskiego	Międzychodzko-Sierakowskiego
Strona | Format	Strona|Format
Wołk - Karczewska	Wołk-Karczewska
**	* *
0-0	0 - 0
1-0	1 - 0
1-1	1 - 1
165-168	165 - 168
1727-31	1727 - 31
17:00	17 : 00
18-1	18 - 1
2.14	2 . 14
20.15	20 . 15
22.12. - 20.01 .	22 . 12 . - 20 . 01 .
23-1	23 - 1
25-2	25 - 2
65-8	65 - 8
7.30 - 15.30 .	7 . 30 - 15 . 30 .
AWS - UW	AWS-UW
Dz . U	Dz.U
R . P	R.P
S . A .	S.A.
S . C	S.C
S . T	S.T
16.01. 	16 . 01 .
niby - romantyczna	niby-romantyczna
beta - laktamaz	beta-laktamaz
zrobiłe ( a ) m	zrobiłe(a)m
zawiodłe ( a ) m	zawiodłe(a)m
z - dy	z-dy
s . c	s.c
c . k	c.k
c . o	c.o
k . w	k.w
10-tys.	10-tys .
400-tys.	400-tys .
P W .	PW .
jakże śmy	jak że śmy
`99	` 99
b . r	b.r
talk-show	talk - show
tingel-tanglu	tingel - tanglu
środkowo -	środkowo-
e . w	e.w
e ( a )	e(a)
zobaczył ( am	zobaczył(a m
P.	P .
R . P .	R.P.
Ś.	Ś .
pomaga my	pomaga my
SS ' manie	SS'manie
P. O. N . R . P . [ IM | I M ] . MJR . H . D . H	P.O.N.R.P.IM.MJR.H.D.H
